wave,flux,fluxerr
114.86000,2.58548e-09,1.31824e-10
114.98000,2.70176e-09,1.11457e-10
115.10000,2.40191e-09,1.09274e-10
115.22000,2.30153e-09,9.82339e-11
115.34000,2.32376e-09,9.57590e-11
115.46000,2.26195e-09,9.90691e-11
115.58000,2.38454e-09,8.85754e-11
115.70000,2.52396e-09,8.50775e-11
115.82000,2.38555e-09,9.95834e-11
115.92000,2.39400e-09,1.02608e-10
116.04000,2.40064e-09,9.61401e-11
116.16000,2.48691e-09,8.24964e-11
116.28000,2.43188e-09,7.45908e-11
116.40000,2.35618e-09,6.61675e-11
116.52000,2.26008e-09,5.91300e-11
116.64000,2.20273e-09,7.20860e-11
116.76000,2.12981e-09,9.10947e-11
116.88000,2.08750e-09,6.38416e-11
116.98000,2.07283e-09,5.37681e-11
117.10000,1.93174e-09,5.48519e-11
117.22000,1.80715e-09,5.74459e-11
117.34000,1.73007e-09,3.63035e-11
117.46000,1.70387e-09,3.69707e-11
117.58000,1.81196e-09,5.67900e-11
117.70000,1.95390e-09,7.44984e-11
117.82000,2.05271e-09,7.31336e-11
117.94000,2.11341e-09,6.81251e-11
118.06000,2.15498e-09,5.34937e-11
118.16000,2.20396e-09,3.95564e-11
118.28000,2.18039e-09,4.77971e-11
118.40000,2.19499e-09,5.10572e-11
118.52000,2.14874e-09,6.68656e-11
118.64000,2.13599e-09,4.49165e-11
118.76000,2.10989e-09,4.23895e-11
118.88000,2.04309e-09,3.52096e-11
119.00000,1.98129e-09,3.75944e-11
119.12000,1.96949e-09,3.18309e-11
119.24000,1.92119e-09,3.01067e-11
119.34000,1.85531e-09,2.68378e-11
119.46000,1.81063e-09,2.67574e-11
119.58000,1.76957e-09,2.86788e-11
119.70000,1.73116e-09,2.78244e-11
119.82000,1.67831e-09,3.04217e-11
119.94000,1.63379e-09,4.63186e-11
120.06000,1.63390e-09,4.77076e-11
120.18000,1.66836e-09,4.09675e-11
120.30000,1.64739e-09,3.84667e-11
120.42000,1.60041e-09,3.86559e-11
120.52000,1.47308e-09,3.78164e-11
120.64000,1.38037e-09,4.91178e-11
120.76000,1.18420e-09,3.73264e-11
120.88000,9.44975e-10,4.11772e-11
121.00000,7.32680e-10,6.41473e-11
121.12000,5.37588e-10,6.09635e-11
121.24000,3.67461e-10,4.32129e-11
121.36000,2.68278e-10,2.34762e-11
121.48000,2.24912e-10,2.39389e-11
121.60000,2.79418e-10,3.86601e-11
121.70000,4.45492e-10,6.08422e-11
121.82000,6.62318e-10,8.25597e-11
121.94000,9.48516e-10,1.03498e-10
122.06000,1.24019e-09,1.13453e-10
122.18000,1.50477e-09,1.06753e-10
122.30000,1.70026e-09,8.85876e-11
122.42000,1.87753e-09,7.29276e-11
122.54000,1.94095e-09,5.60668e-11
122.66000,1.96602e-09,6.12673e-11
122.78000,2.01279e-09,7.17113e-11
122.88000,2.09972e-09,6.15904e-11
123.00000,2.09914e-09,6.54157e-11
123.12000,2.07768e-09,4.70296e-11
123.24000,2.00454e-09,5.37868e-11
123.36000,1.89942e-09,5.33407e-11
123.48000,1.81985e-09,4.41186e-11
123.60000,1.83750e-09,4.93046e-11
123.72000,1.86108e-09,5.76647e-11
123.84000,1.89061e-09,5.91582e-11
123.96000,2.05968e-09,5.92407e-11
124.06000,2.16980e-09,7.01478e-11
124.18000,2.15250e-09,5.17293e-11
124.30000,2.13709e-09,4.67543e-11
124.42000,2.13857e-09,4.03853e-11
124.54000,2.13496e-09,3.57024e-11
124.66000,2.13728e-09,3.26950e-11
124.78000,2.13150e-09,3.52394e-11
124.90000,2.12162e-09,4.55587e-11
125.02000,2.06453e-09,5.13946e-11
125.14000,2.03640e-09,4.53732e-11
125.24000,2.08128e-09,3.97574e-11
125.36000,2.07809e-09,3.95042e-11
125.48000,2.07080e-09,4.35819e-11
125.60000,2.09859e-09,3.66894e-11
125.72000,2.06503e-09,4.65675e-11
125.84000,1.99418e-09,4.42101e-11
125.96000,2.09112e-09,6.84008e-11
126.08000,2.20612e-09,8.41686e-11
126.20000,2.22354e-09,7.37512e-11
126.32000,2.32033e-09,4.27096e-11
126.42000,2.30841e-09,4.07951e-11
126.54000,2.18982e-09,5.51959e-11
126.66000,2.28842e-09,4.35231e-11
126.78000,2.27328e-09,3.90679e-11
126.90000,2.23594e-09,5.13629e-11
127.02000,2.23976e-09,7.19797e-11
127.14000,2.20831e-09,5.42705e-11
127.26000,2.28542e-09,5.78674e-11
127.38000,2.36347e-09,7.41953e-11
127.50000,2.33695e-09,7.44338e-11
127.60000,2.20096e-09,5.45942e-11
127.72000,2.25389e-09,4.93222e-11
127.84000,2.30484e-09,3.96103e-11
127.96000,2.31063e-09,3.97098e-11
128.08000,2.25724e-09,3.87923e-11
128.20000,2.27729e-09,3.91368e-11
128.32000,2.21610e-09,3.80852e-11
128.44000,2.24244e-09,5.75499e-11
128.56000,2.23881e-09,6.13043e-11
128.68000,2.25244e-09,6.09035e-11
128.78000,2.27218e-09,6.50816e-11
128.90000,2.35663e-09,5.64304e-11
129.02000,2.37093e-09,5.85386e-11
129.14000,2.36029e-09,4.47547e-11
129.26000,2.28331e-09,3.92403e-11
129.38000,2.22858e-09,4.14914e-11
129.50000,2.19410e-09,7.07637e-11
129.62000,2.13140e-09,4.98163e-11
129.74000,2.14555e-09,4.83034e-11
129.86000,2.12643e-09,4.44622e-11
129.96000,2.07863e-09,4.56060e-11
130.08000,2.01189e-09,4.94434e-11
130.20000,1.97249e-09,4.32772e-11
130.32000,2.04180e-09,3.76631e-11
130.44000,2.09303e-09,7.00219e-11
