wave,flux,fluxerr
171.06747,4.75330e-15,1.83590e-14
171.20455,-3.37100e-14,1.67340e-14
171.34164,-3.07520e-14,1.61400e-14
171.47872,-1.00260e-14,1.63070e-14
171.61581,-9.38300e-15,1.59120e-14
171.75289,-1.63810e-14,1.52500e-14
171.88999,-3.12590e-14,1.51590e-14
172.02708,-1.76880e-14,1.59260e-14
172.16417,1.66000e-14,2.20570e-14
172.30127,-6.88750e-15,1.42340e-14
172.43837,-3.35760e-15,1.37240e-14
172.57546,-3.33140e-14,1.42480e-14
172.71256,-1.24000e-14,1.86270e-14
172.84966,-3.10460e-14,1.36210e-14
172.98677,-6.33010e-15,1.33400e-14
173.12386,-2.04930e-14,1.33630e-14
173.26097,-5.99830e-15,1.37110e-14
173.39807,-3.49900e-14,1.31210e-14
173.53518,-1.84760e-14,1.30610e-14
173.67229,-1.85320e-14,1.32400e-14
173.80940,-4.44720e-14,1.34530e-14
173.94651,-8.37830e-16,1.10480e-14
174.08363,-1.88810e-14,1.24010e-14
174.22074,4.96660e-15,1.29870e-14
174.35785,-9.67760e-15,1.20280e-14
174.49497,-1.87290e-14,1.36130e-14
174.63209,-6.79970e-15,1.16560e-14
174.76921,1.09560e-14,1.29070e-14
174.90632,7.82820e-15,1.21720e-14
175.04344,6.72770e-15,1.20760e-14
175.18058,-8.57410e-15,1.11720e-14
175.31770,-6.08000e-15,1.09610e-14
175.45482,-9.66060e-15,1.09070e-14
175.59196,8.54290e-15,1.15340e-14
175.72908,-5.70040e-15,1.07670e-14
175.86621,3.04400e-14,1.18500e-14
176.00333,1.28030e-14,1.16550e-14
176.14047,5.04020e-14,1.14440e-14
176.27760,7.34900e-15,1.11410e-14
176.41473,1.60980e-14,1.06980e-14
176.55187,1.93200e-14,1.09960e-14
176.68901,3.28790e-14,1.15110e-14
176.82615,-3.89750e-15,9.64300e-15
176.96329,9.45760e-15,1.03110e-14
177.10043,3.11570e-14,1.03540e-14
177.23757,1.47610e-14,1.02970e-14
177.37472,4.02970e-14,1.34370e-14
177.51185,2.54180e-14,1.00320e-14
177.64900,1.31080e-14,1.04900e-14
177.78616,-3.28210e-15,8.95480e-15
177.92330,1.39550e-14,9.68980e-15
178.06045,2.57030e-14,1.10720e-14
178.19760,-5.98870e-15,9.04790e-15
178.33475,1.34210e-14,9.51120e-15
178.47190,9.46270e-15,9.21180e-15
178.60906,8.94990e-15,9.26220e-15
178.74622,7.17530e-15,9.32410e-15
178.88337,2.21290e-14,9.85750e-15
179.02053,1.78590e-14,9.17600e-15
179.15769,4.86120e-16,1.36370e-14
179.29485,7.40520e-15,9.34790e-15
179.43201,2.33120e-14,8.70320e-15
179.56918,3.16540e-14,8.80330e-15
179.70634,2.78330e-14,8.63760e-15
179.84351,1.98880e-14,9.26730e-15
179.98068,2.60840e-14,1.21530e-14
180.11783,2.30240e-14,8.37540e-15
180.25500,-1.11800e-14,7.93650e-15
