wave,flux,fluxerr
114.02734,-7.30350e-16,0.00000
114.08572,-6.14760e-16,0.00000
114.14409,-5.13770e-16,0.00000
114.20247,-4.33560e-16,0.00000
114.26083,-3.64050e-16,0.00000
114.31920,-3.08360e-16,0.00000
114.37758,-2.63080e-16,0.00000
114.43594,-2.24260e-16,0.00000
114.49431,-1.93750e-16,0.00000
114.55269,-1.81050e-16,0.00000
114.61106,3.76970e-16,5.25200e-16
114.66942,-1.31280e-16,0.00000
114.72780,3.58160e-16,4.75790e-16
114.78616,3.01540e-16,4.07470e-16
114.84453,-9.58800e-17,0.00000
114.90291,3.90300e-16,3.94100e-16
114.96127,2.13010e-16,2.93390e-16
115.01964,3.31650e-16,3.34720e-16
115.07800,1.74770e-16,2.43570e-16
115.13638,-6.45850e-17,0.00000
115.19475,1.47300e-16,2.07550e-16
115.25311,1.38220e-16,1.95190e-16
115.31149,-5.37700e-17,0.00000
115.36985,-5.12520e-17,0.00000
115.42822,1.21640e-16,1.70280e-16
115.48658,-4.66520e-17,0.00000
115.54496,1.19670e-16,1.64370e-16
115.60332,3.40750e-16,2.41960e-16
115.66169,-4.14570e-17,0.00000
115.72006,-4.01300e-17,0.00000
115.77842,1.05400e-16,1.44200e-16
115.83679,-3.77330e-17,0.00000
115.89515,-3.67050e-17,0.00000
115.95353,8.30730e-17,1.18650e-16
116.01189,2.02250e-16,1.72440e-16
116.07025,-3.38880e-17,0.00000
116.12863,1.99210e-16,1.64340e-16
116.18699,1.99810e-16,1.64440e-16
116.24535,2.00260e-16,1.64180e-16
116.30372,-3.09810e-17,0.00000
116.36209,-3.05030e-17,0.00000
116.42045,-2.97620e-17,0.00000
116.47882,1.80140e-16,1.48150e-16
116.53718,-2.87360e-17,0.00000
116.59554,6.74510e-17,9.57160e-17
116.65391,-2.78940e-17,0.00000
116.71228,6.97670e-17,9.71480e-17
116.77064,-2.68990e-17,0.00000
116.82900,-2.65000e-17,0.00000
116.88737,-2.60530e-17,0.00000
116.94573,5.77820e-17,8.33530e-17
117.00410,6.27750e-17,8.79740e-17
117.06246,-2.47480e-17,0.00000
117.12083,5.93260e-17,8.36060e-17
117.17919,5.53200e-17,7.91630e-17
117.23755,1.34420e-16,1.11620e-16
117.29591,-2.30220e-17,0.00000
117.35427,1.32850e-16,1.09910e-16
117.41263,5.66060e-17,7.88600e-17
117.47101,2.12130e-16,1.35240e-16
117.52937,1.24680e-16,1.03500e-16
117.58773,-2.12310e-17,0.00000
117.64609,1.26450e-16,1.04240e-16
117.70446,-2.07300e-17,0.00000
117.76282,-2.04590e-17,0.00000
117.82118,1.22040e-16,1.00610e-16
117.87954,4.73920e-17,6.73650e-17
117.93790,-1.97950e-17,0.00000
117.99626,4.65340e-17,6.60700e-17
118.05463,-1.93220e-17,0.00000
118.11299,2.30660e-16,1.24870e-16
118.17134,5.07320e-17,6.96560e-17
118.22970,1.66570e-16,1.06920e-16
118.28806,4.30510e-17,6.15180e-17
118.34642,3.83200e-17,5.65090e-17
118.40479,-1.98270e-17,0.00000
118.46315,2.23390e-16,1.21520e-16
118.52151,1.48930e-16,1.09080e-16
118.57987,-2.75470e-17,2.75700e-17
118.63822,-2.92130e-17,2.92020e-17
118.69658,-2.59960e-19,6.71030e-17
118.75494,1.74580e-16,1.00840e-16
118.81331,6.87820e-17,9.64950e-17
118.87167,7.22200e-17,1.08940e-16
118.93002,-1.34740e-16,6.03300e-17
118.98838,-2.63540e-17,7.09650e-17
119.04674,1.25070e-16,1.62710e-16
119.10510,2.76840e-16,2.19120e-16
119.16345,-2.37020e-16,3.16390e-16
119.22181,4.56810e-16,3.48540e-16
119.28018,7.12470e-16,3.77790e-16
119.33853,1.42040e-16,3.89850e-16
119.39689,-1.27450e-16,3.79060e-16
119.45525,-4.13510e-16,3.28060e-16
119.51360,3.25990e-17,3.23640e-16
119.57196,-1.98770e-17,3.37530e-16
119.63032,-4.50420e-16,3.15260e-16
119.68867,-3.76290e-16,3.41370e-16
119.74703,2.64780e-16,3.18650e-16
119.80538,3.47500e-16,3.33050e-16
119.86375,-1.87180e-17,3.56760e-16
119.92211,3.66970e-16,3.35500e-16
119.98046,-9.26750e-17,2.67400e-16
120.03882,-2.61350e-16,3.34310e-16
120.09717,6.51490e-16,3.44540e-16
120.15553,2.73930e-17,3.21880e-16
120.21388,-1.71400e-16,3.31520e-16
120.27224,1.34480e-16,3.18540e-16
120.33059,2.22810e-16,3.28520e-16
120.38895,6.29610e-16,3.09270e-16
120.44730,5.67930e-16,3.20530e-16
120.50565,2.59170e-17,3.13720e-16
120.56401,1.52900e-16,3.40520e-16
120.62236,-2.05040e-16,2.83370e-16
120.68073,-3.36890e-16,3.07100e-16
120.73907,-1.99350e-17,2.70510e-16
120.79742,-3.36240e-16,2.80630e-16
120.85579,-2.24640e-17,2.78390e-16
120.91414,2.93430e-16,2.85400e-16
120.97249,4.96790e-17,2.68340e-16
121.03085,-2.43830e-16,2.53760e-16
121.08920,-5.34320e-16,2.67330e-16
121.14755,-1.62640e-16,2.50200e-16
121.20591,3.75750e-16,2.81500e-16
121.26426,-3.87490e-16,2.52460e-16
121.32261,4.27370e-17,2.84230e-16
121.38096,1.04220e-16,2.78540e-16
121.43932,-2.84470e-17,2.70470e-16
121.49767,-3.48380e-16,2.60370e-16
121.55602,-5.07640e-17,2.73620e-16
121.61437,-9.33760e-17,2.37810e-16
121.67273,-8.31030e-18,2.41430e-16
121.73108,-1.01340e-16,2.30860e-16
121.78943,-2.20700e-16,2.45610e-16
121.84778,3.95240e-16,2.51340e-16
121.90613,1.07930e-16,2.56170e-16
121.96448,2.43660e-16,2.65440e-16
122.02283,3.78370e-16,2.68500e-16
122.08118,-4.41280e-16,2.12580e-16
122.13954,-2.17650e-16,2.33950e-16
122.19789,2.30350e-17,2.25460e-16
122.25624,-2.16770e-16,2.27810e-16
122.31459,4.07910e-16,2.44560e-16
122.37294,3.18160e-16,2.47210e-16
122.43129,-1.23580e-17,2.33280e-16
122.48964,1.57190e-16,2.26630e-16
122.54799,-5.35360e-16,2.18840e-16
122.60634,4.16420e-16,2.53490e-16
122.66469,-9.47110e-17,2.23340e-16
122.72303,7.58060e-17,2.40870e-16
122.78138,-5.89200e-17,2.47130e-16
122.83973,-1.01400e-16,2.04680e-16
122.89808,2.23020e-17,2.19760e-16
122.95643,1.62540e-16,2.44280e-16
123.01477,-2.24320e-16,2.06520e-16
123.07312,1.63640e-16,2.17820e-16
123.13147,7.42950e-19,2.17610e-16
123.18982,2.43050e-16,2.15910e-16
123.24817,1.47600e-16,2.12340e-16
123.30652,5.04110e-17,2.22860e-16
123.36487,2.61220e-16,2.05230e-16
123.42321,1.93610e-16,2.29510e-16
123.48156,3.22360e-17,2.18450e-16
123.53990,9.49250e-17,2.16020e-16
123.59825,-1.93310e-16,1.79240e-16
123.65660,4.34450e-16,2.08350e-16
123.71494,3.92740e-17,1.80460e-16
123.77329,-2.45800e-16,1.84850e-16
123.83164,2.22660e-16,1.98370e-16
123.88999,1.44260e-16,1.91850e-16
123.94833,-1.46410e-16,1.37300e-16
124.00668,3.89130e-17,8.18930e-17
124.06503,6.30550e-17,8.54260e-17
124.12336,1.10450e-16,7.29560e-17
124.18171,6.57120e-17,4.84680e-17
124.24006,-1.55960e-17,1.39980e-17
124.29840,8.63150e-17,6.19290e-17
124.35675,9.69590e-17,6.00320e-17
124.41509,2.50930e-19,4.40980e-17
124.47344,1.17940e-16,6.02920e-17
124.53179,-7.85560e-18,0.00000
124.59012,9.45400e-17,5.12050e-17
124.64847,9.55020e-17,5.16750e-17
124.70681,9.42110e-17,4.98120e-17
124.76516,1.74310e-16,6.84320e-17
124.82350,1.32440e-16,5.81060e-17
124.88185,8.64930e-17,4.81730e-17
124.94019,1.41550e-16,6.09200e-17
124.99854,4.11370e-17,3.44690e-17
125.05687,1.33160e-16,5.74660e-17
125.11522,1.19380e-16,5.67740e-17
125.17356,8.89210e-17,4.82280e-17
125.23191,4.13220e-17,3.45400e-17
125.29025,8.97760e-17,4.91690e-17
125.34860,1.15040e-16,5.44310e-17
125.40693,1.38640e-16,5.96400e-17
125.46527,9.22460e-17,4.90580e-17
125.52362,6.58030e-17,4.22680e-17
125.58196,1.62470e-16,6.47630e-17
125.64030,1.42090e-16,6.10210e-17
125.69865,8.85670e-17,4.73340e-17
125.75698,9.23140e-17,4.98790e-17
125.81532,6.19660e-17,4.00010e-17
125.87367,1.79490e-16,6.64490e-17
125.93201,6.63430e-17,4.25210e-17
125.99034,1.16620e-16,5.49590e-17
126.04869,6.25010e-17,3.97310e-17
126.10703,9.35830e-17,5.04210e-17
126.16537,6.30940e-17,4.05880e-17
126.22371,2.14160e-16,7.38060e-17
126.28204,8.20030e-17,4.49170e-17
126.34039,1.11650e-16,5.31440e-17
126.39873,1.29410e-16,5.57770e-17
126.45707,8.98320e-17,4.84870e-17
126.51541,1.30270e-16,5.60700e-17
126.57374,2.06410e-16,7.12910e-17
126.63208,2.21970e-16,7.24110e-17
126.69043,1.04640e-16,5.00150e-17
126.74877,8.69430e-17,4.69830e-17
126.80710,2.17770e-16,7.11360e-17
126.86544,1.10580e-16,5.25820e-17
126.92378,1.77250e-16,6.51360e-17
126.98212,1.96070e-16,6.76950e-17
127.04045,2.27680e-16,7.42080e-17
127.09879,1.48530e-16,5.87730e-17
127.15713,1.34930e-16,5.79000e-17
127.21547,3.38170e-16,8.73470e-17
127.27380,1.52880e-16,6.29050e-17
127.33214,2.71610e-16,7.83030e-17
127.39048,1.63420e-16,6.17420e-17
127.44882,2.28540e-16,7.22890e-17
127.50715,1.13550e-16,5.12890e-17
127.56549,1.14850e-16,5.13790e-17
127.62383,2.11270e-16,7.05260e-17
127.68217,1.92730e-16,6.95110e-17
127.74050,1.81730e-16,6.42850e-17
127.79884,1.50830e-16,6.28760e-17
127.85718,4.57890e-16,1.02970e-16
127.91552,2.42410e-16,7.33900e-17
127.97384,3.66870e-16,9.15050e-17
128.03218,2.40870e-16,7.26920e-17
128.09052,2.63280e-16,7.94600e-17
128.14885,4.77890e-16,1.08640e-16
128.20719,3.82870e-16,9.65520e-17
128.26552,1.89830e-16,6.71610e-17
128.32385,1.97890e-16,6.55930e-17
128.38219,1.62590e-16,6.14920e-17
