wave,flux,fluxerr
114.00167,-5.84740e-15,0.00000
114.06005,-4.83940e-15,0.00000
114.11842,-4.12980e-15,0.00000
114.17679,-3.42140e-15,0.00000
114.23517,1.41310e-15,2.50240e-15
114.29354,2.86470e-16,1.92730e-15
114.35192,-7.42690e-16,1.18690e-15
114.41028,-1.77160e-15,0.00000
114.46865,-7.39080e-16,7.97680e-16
114.52703,-1.32640e-15,0.00000
114.58540,-1.16710e-15,0.00000
114.64377,9.41660e-16,1.03400e-15
114.70215,-9.19070e-16,0.00000
114.76051,-8.24190e-16,0.00000
114.81888,-7.47470e-16,0.00000
114.87726,-6.80740e-16,0.00000
114.93563,-6.24990e-16,0.00000
114.99399,-5.76590e-16,0.00000
115.05237,-2.31480e-17,3.61960e-16
115.11074,6.63050e-16,5.40990e-16
115.16912,-3.13900e-16,1.85100e-16
115.22748,-2.19430e-16,2.21270e-16
115.28585,-3.40700e-17,2.70640e-16
115.34423,-1.45210e-16,2.18470e-16
115.40259,-2.13010e-17,2.51480e-16
115.46096,2.89970e-16,3.39070e-16
115.51932,4.53770e-16,3.58090e-16
115.57770,-3.32620e-16,0.00000
115.63607,2.82840e-16,3.01770e-16
115.69443,-1.65450e-16,1.44600e-16
115.75281,6.79510e-17,2.25070e-16
115.81117,-5.41120e-17,1.83450e-16
115.86954,-1.49820e-16,1.33640e-16
115.92791,-1.49020e-16,1.27190e-16
115.98628,-9.55930e-17,1.50890e-16
116.04464,1.28910e-16,2.14840e-16
116.10302,3.12300e-16,2.60470e-16
116.16138,1.01660e-16,2.04050e-16
116.21975,8.70040e-17,1.92630e-16
116.27811,2.18830e-16,2.30380e-16
116.33649,-1.32490e-16,1.04530e-16
116.39485,1.97660e-16,2.15250e-16
116.45322,-1.44460e-17,1.51560e-16
116.51158,1.05600e-16,1.81140e-16
116.56996,9.18390e-17,1.81070e-16
116.62832,3.86200e-16,2.39980e-16
116.68668,1.93950e-16,1.96520e-16
116.74506,1.89330e-16,2.00720e-16
116.80342,-1.85710e-17,1.34120e-16
116.86178,6.92640e-17,1.58390e-16
116.92015,-2.01660e-16,0.00000
116.97852,1.47720e-16,1.73070e-16
117.03688,5.67170e-17,1.45470e-16
117.09525,-2.36850e-17,1.18960e-16
117.15361,-1.00680e-16,8.79970e-17
117.21198,-5.30520e-17,1.02860e-16
117.27034,3.20210e-16,2.00070e-16
117.32871,-1.02280e-16,7.70240e-17
117.38707,1.56610e-16,1.59760e-16
117.44543,-9.97340e-17,7.39500e-17
117.50380,1.34550e-16,1.52960e-16
117.56217,-5.04420e-17,9.21240e-17
117.62053,1.15540e-16,1.41170e-16
117.67889,1.13660e-16,1.39260e-16
117.73726,-2.40910e-17,9.82030e-17
117.79562,-1.72270e-17,1.01890e-16
117.85398,-4.41100e-17,8.98340e-17
117.91234,1.12270e-16,1.35320e-16
117.97072,3.98520e-17,1.13280e-16
118.02908,-4.01580e-17,8.91780e-17
118.08744,2.11940e-16,1.53740e-16
118.14580,2.26340e-16,1.54340e-16
118.20416,-2.53850e-17,8.80130e-17
118.26252,1.57670e-16,1.41880e-16
118.32089,-8.88940e-17,5.77020e-17
118.37925,4.16790e-16,1.87350e-16
118.43761,1.57880e-16,1.34830e-16
118.49597,1.30900e-16,1.27390e-16
118.55433,-2.53100e-17,8.27240e-17
118.61270,-1.09520e-16,5.73040e-17
118.67106,1.22950e-16,1.55340e-16
118.72942,2.35130e-16,2.07020e-16
118.78778,-8.88840e-17,1.44850e-16
118.84614,-3.11020e-17,1.41800e-16
118.90450,1.42160e-16,1.57750e-16
118.96287,-1.07060e-16,1.62800e-16
119.02122,-1.02840e-16,1.61710e-16
119.07958,-2.77230e-16,1.45580e-16
119.13794,-2.70310e-16,1.50000e-16
119.19630,3.98630e-16,2.54020e-16
119.25466,1.44110e-16,3.61910e-16
119.31302,6.55180e-18,3.92200e-16
119.37139,-4.77170e-16,4.41800e-16
119.42974,-1.09980e-16,4.40110e-16
119.48810,-6.46490e-16,4.10740e-16
119.54646,2.58260e-16,4.46160e-16
119.60482,-2.56370e-16,4.27030e-16
119.66317,-5.43250e-16,4.05060e-16
119.72153,1.72010e-16,3.87770e-16
119.77990,6.23960e-16,4.05030e-16
119.83826,-4.87430e-16,3.85630e-16
119.89661,-3.51600e-16,3.89530e-16
119.95497,-1.05180e-16,4.15660e-16
120.01333,6.70400e-16,4.14660e-16
120.07168,1.11430e-16,3.79330e-16
120.13004,4.04700e-17,4.04860e-16
120.18840,3.28370e-16,3.81170e-16
120.24675,6.19210e-16,4.02050e-16
120.30511,-2.00060e-16,3.84970e-16
120.36348,-1.18610e-16,3.70140e-16
120.42183,-3.74540e-16,3.53990e-16
120.48019,1.81780e-16,3.90320e-16
120.53854,2.39320e-16,4.03830e-16
120.59690,8.45110e-16,3.80820e-16
120.65525,-1.05530e-16,3.70400e-16
120.71361,-4.79290e-17,3.69310e-16
120.77196,-1.38320e-16,3.61270e-16
120.83032,-9.16160e-17,3.40150e-16
120.88867,3.90090e-16,3.64890e-16
120.94703,-2.54870e-16,3.40660e-16
121.00538,8.40510e-17,3.57470e-16
121.06375,6.41240e-16,3.50700e-16
121.12209,2.56930e-16,3.66650e-16
121.18046,3.23160e-16,3.46920e-16
