wave,flux,fluxerr
114.05432,1.85610e-15,2.58600e-15
114.11270,-6.21520e-16,0.00000
114.17106,-5.12380e-16,0.00000
114.22943,-4.37660e-16,0.00000
114.28779,-3.63630e-16,0.00000
114.34617,-3.11510e-16,0.00000
114.40453,-2.63760e-16,0.00000
114.46290,5.79340e-16,8.06530e-16
114.52126,-1.95780e-16,0.00000
114.57964,1.03640e-15,8.54450e-16
114.63800,-1.50780e-16,0.00000
114.69637,3.15500e-16,4.49780e-16
114.75474,-1.20420e-16,0.00000
114.81311,-1.08760e-16,0.00000
114.87147,2.25250e-16,3.23910e-16
114.92985,2.17630e-16,3.08010e-16
114.98821,1.98480e-16,2.81590e-16
115.04658,-7.70940e-17,0.00000
115.10494,2.44420e-17,1.52720e-16
115.16331,-6.70580e-17,0.00000
115.22168,-6.26660e-17,0.00000
115.28004,-5.92790e-17,0.00000
115.33840,-5.60570e-17,0.00000
115.39678,-5.34520e-17,0.00000
115.45514,2.77610e-16,2.32230e-16
115.51350,-4.87410e-17,0.00000
115.57188,-4.67140e-17,0.00000
115.63024,2.57810e-16,2.14160e-16
115.68860,-4.33740e-17,0.00000
115.74696,-4.19940e-17,0.00000
115.80533,-4.06120e-17,0.00000
115.86370,-3.95100e-17,0.00000
115.92206,-3.83990e-17,0.00000
115.98042,-3.72470e-17,0.00000
116.03879,2.45500e-16,1.85950e-16
116.09716,1.94510e-16,1.62810e-16
116.15552,-3.46320e-17,0.00000
116.21388,-3.38910e-17,0.00000
116.27224,-3.31560e-17,0.00000
116.33060,-3.23820e-17,0.00000
116.38896,-3.18950e-17,0.00000
116.44734,2.63480e-16,1.70080e-16
116.50570,1.19660e-16,1.26360e-16
116.56406,6.56770e-17,9.56840e-17
116.62242,6.76380e-17,9.71570e-17
116.68079,-2.90970e-17,0.00000
116.73915,4.96550e-16,2.22320e-16
116.79751,5.97740e-17,8.78040e-17
116.85587,-2.76030e-17,0.00000
116.91423,-2.71120e-17,0.00000
116.97260,-2.65990e-17,0.00000
117.03096,5.99820e-17,8.61700e-17
117.08932,6.08370e-17,8.65230e-17
117.14768,-2.51930e-17,0.00000
117.20604,2.04000e-17,5.94100e-17
117.26440,5.55210e-17,7.98150e-17
117.32277,-2.38360e-17,0.00000
117.38113,5.33760e-17,7.67600e-17
117.43949,5.49950e-17,7.80360e-17
117.49784,-2.26540e-17,0.00000
117.55620,7.76400e-17,8.37640e-17
117.61456,-2.19690e-17,0.00000
117.67292,8.07740e-18,4.56420e-17
117.73129,-2.14450e-17,0.00000
117.78965,4.61710e-17,6.73290e-17
117.84800,4.81370e-17,6.90520e-17
117.90636,4.44020e-17,6.50440e-17
117.96472,-2.04360e-17,0.00000
118.02308,4.41900e-17,6.43640e-17
118.08145,1.42240e-16,1.01120e-16
118.13979,-1.96790e-17,0.00000
118.19816,-1.95080e-17,0.00000
118.25652,-1.91930e-17,0.00000
118.31487,-1.90230e-17,0.00000
118.37323,3.93950e-17,5.81260e-17
118.43159,3.85220e-17,5.80790e-17
118.48995,4.08300e-17,6.01900e-17
118.54830,-4.52060e-17,3.78890e-17
118.60666,5.43200e-17,5.43100e-17
118.66503,-5.87850e-17,4.15560e-17
118.72338,-1.11470e-16,5.57530e-17
118.78174,5.58410e-17,9.93190e-17
118.84009,-4.39150e-17,8.59510e-17
118.89845,5.55550e-17,8.53420e-17
118.95681,3.84940e-17,1.10990e-16
119.01516,2.76430e-17,1.13880e-16
119.07352,1.70860e-16,1.75950e-16
119.13187,-4.05130e-17,2.03420e-16
119.19023,-2.18860e-16,2.93560e-16
119.24858,1.94050e-16,3.75090e-16
119.30695,2.08820e-16,4.20300e-16
119.36530,-2.84840e-16,3.46000e-16
119.42366,-1.54710e-18,3.91630e-16
119.48201,2.90470e-16,3.91340e-16
119.54037,-3.95880e-16,3.25470e-16
119.59872,2.64440e-16,3.78820e-16
119.65707,-3.17780e-16,3.45180e-16
119.71543,1.74190e-16,3.48470e-16
119.77378,-1.99660e-16,3.32450e-16
119.83214,-1.01310e-16,3.46320e-16
119.89049,5.95160e-17,3.57660e-16
119.94884,4.19240e-17,3.42580e-16
120.00720,-2.86570e-16,3.24240e-16
