wave,flux,fluxerr
171.04183,-1.00310e-13,2.46530e-14
171.17893,-1.91590e-14,2.49730e-14
171.31603,-7.61850e-14,2.44160e-14
171.45312,-9.78730e-14,2.35000e-14
171.59023,-7.99230e-14,2.31520e-14
171.72733,-1.00770e-13,2.30580e-14
171.86444,-7.12350e-14,2.31250e-14
172.00155,-5.87470e-14,2.27300e-14
172.13866,-1.38690e-13,2.19500e-14
172.27577,-8.45870e-14,3.07810e-14
172.41288,-5.90220e-14,2.11390e-14
172.54999,-7.57790e-14,2.08330e-14
172.68710,-4.12180e-14,2.05670e-14
172.82422,-4.63270e-14,2.38550e-14
172.96133,-4.62080e-14,2.00410e-14
173.09845,-6.69710e-14,1.97710e-14
173.23557,-3.46110e-14,1.95670e-14
173.37269,-2.25330e-14,1.99870e-14
173.50981,-7.07280e-14,1.89770e-14
173.64694,-5.58020e-14,1.87840e-14
173.78406,-3.91010e-14,1.86050e-14
173.92119,-5.50270e-14,1.91820e-14
174.05831,-8.90810e-14,1.91310e-14
174.19545,-2.94830e-14,1.80590e-14
174.33257,-2.67360e-14,1.88610e-14
174.46970,-1.91430e-14,1.77380e-14
174.60684,-3.66740e-14,1.89080e-14
174.74397,-1.25850e-14,1.74320e-14
174.88110,1.64610e-14,1.86990e-14
175.01824,-2.43220e-14,1.70360e-14
175.15537,1.59230e-14,1.70480e-14
175.29252,-8.81310e-16,1.65990e-14
175.42965,-3.25330e-15,1.65480e-14
175.56680,-2.98350e-14,1.60830e-14
175.70394,2.35170e-14,1.63060e-14
175.84109,1.15780e-14,1.62980e-14
175.97823,2.62260e-14,1.62700e-14
176.11538,-4.16800e-15,1.58290e-14
176.25253,2.83150e-14,1.57250e-14
176.38967,2.30940e-14,1.58830e-14
176.52682,8.49560e-15,1.53480e-14
176.66398,2.70370e-14,1.56140e-14
176.80112,5.35860e-14,1.62180e-14
176.93828,2.80770e-14,1.49570e-14
177.07544,3.52900e-14,1.48060e-14
177.21260,3.06450e-14,1.50070e-14
177.34976,1.22390e-14,1.47100e-14
177.48691,4.80120e-14,1.74330e-14
177.62407,6.65340e-16,1.40210e-14
177.76123,1.71480e-15,1.50710e-14
177.89840,4.24090e-15,1.38560e-14
178.03556,-9.86010e-15,1.36210e-14
178.17273,-5.59700e-15,1.48010e-14
178.30989,1.65360e-14,1.38310e-14
178.44706,4.19430e-14,1.37020e-14
178.58423,3.47800e-14,1.34170e-14
178.72140,1.05930e-14,1.30940e-14
178.85857,3.18040e-14,1.31660e-14
178.99574,4.19700e-14,1.43560e-14
179.13292,-3.19380e-15,1.30610e-14
179.27009,-4.32800e-15,1.25390e-14
179.40728,1.36780e-14,1.28210e-14
179.54445,9.02420e-15,1.23850e-14
179.68163,5.93820e-15,1.23200e-14
179.81881,2.66670e-14,1.23370e-14
179.95599,2.40380e-14,1.28840e-14
180.09318,1.43190e-14,1.70150e-14
180.23036,2.88090e-14,1.19780e-14
180.36754,4.71340e-14,1.20610e-14
180.50472,1.47940e-14,1.18510e-14
180.64191,1.04830e-14,1.16870e-14
180.77910,4.15000e-14,1.17600e-14
180.91628,3.76500e-14,1.17170e-14
181.05348,3.04490e-14,1.15980e-14
181.19067,3.29770e-14,1.13320e-14
181.32787,4.47780e-14,1.16780e-14
181.46506,3.24550e-14,1.11240e-14
181.60226,3.18700e-14,1.10100e-14
181.73945,4.20100e-14,1.10810e-14
181.87665,1.97700e-14,1.08640e-14
182.01384,5.30910e-15,1.07960e-14
182.15105,2.42130e-14,1.06650e-14
182.28824,3.17160e-14,1.06350e-14
182.42545,2.40700e-14,1.07970e-14
182.56266,2.62440e-14,1.20960e-14
182.69985,1.90650e-14,1.03280e-14
182.83706,2.60410e-14,1.06390e-14
182.97427,1.92370e-14,1.01720e-14
183.11147,4.17580e-14,1.02020e-14
183.24868,2.77790e-14,1.04460e-14
183.38590,4.19910e-14,1.00760e-14
183.52311,3.75880e-14,9.96700e-15
183.66031,2.28130e-14,1.06800e-14
183.79753,2.62090e-14,9.72970e-15
183.93474,3.65720e-14,1.03380e-14
184.07196,1.42790e-14,9.58180e-15
184.20918,2.96640e-14,9.51330e-15
184.34640,2.81710e-14,9.71570e-15
184.48362,1.84440e-14,9.54620e-15
184.62084,7.26220e-15,9.24490e-15
184.75806,2.31970e-14,9.49690e-15
184.89528,5.49850e-14,9.45760e-15
185.03250,4.19060e-14,9.81830e-15
185.16973,3.63900e-14,9.44290e-15
185.30695,6.81820e-14,1.04870e-14
185.44418,3.40740e-14,9.17310e-15
185.58140,4.00650e-14,9.10870e-15
185.71863,4.34380e-14,9.05670e-15
185.85586,3.97350e-14,8.90890e-15
185.99309,4.70580e-14,8.90490e-15
186.13032,4.02460e-14,8.80240e-15
186.26755,6.91850e-14,9.10230e-15
186.40479,6.43910e-14,8.86380e-15
186.54203,5.37190e-14,8.71000e-15
186.67926,4.10650e-14,8.66670e-15
186.81649,4.70700e-14,8.55500e-15
186.95374,6.68210e-14,9.26120e-15
187.09097,3.53490e-14,8.38680e-15
187.22821,4.29750e-14,8.35150e-15
187.36545,5.28470e-14,8.39660e-15
187.50270,6.84610e-14,8.43050e-15
187.63994,2.94710e-14,8.11660e-15
187.77719,4.11240e-14,8.15810e-15
187.91443,6.23430e-14,8.20200e-15
188.05167,6.25350e-14,8.17980e-15
188.18892,5.77830e-14,8.29570e-15
188.32617,7.01910e-14,8.10940e-15
188.46342,6.06730e-14,8.05790e-15
188.60066,6.39090e-14,7.97770e-15
188.73791,3.46590e-14,7.71750e-15
188.87517,4.42770e-14,7.75070e-15
189.01241,7.24690e-14,7.87900e-15
189.14967,6.33050e-14,7.76510e-15
189.28693,5.32750e-14,7.80340e-15
189.42418,8.56640e-14,1.00520e-14
189.56144,7.25270e-14,7.71360e-15
189.69869,7.12200e-14,8.08660e-15
189.83596,4.48390e-14,7.57730e-15
189.97322,6.24690e-14,7.47140e-15
190.11047,6.95860e-14,7.54350e-15
190.24774,7.34350e-14,7.43030e-15
190.38500,7.26050e-14,7.45020e-15
190.52227,8.63850e-14,7.49360e-15
190.65953,5.08840e-14,7.20820e-15
190.79679,6.41050e-14,7.37980e-15
190.93406,8.12150e-14,7.33630e-15
191.07133,8.18180e-14,7.54510e-15
191.20859,7.96480e-14,7.25350e-15
191.34586,7.24680e-14,7.11490e-15
191.48313,7.72920e-14,8.49000e-15
191.62041,8.47180e-14,7.76060e-15
191.75768,6.83860e-14,7.03600e-15
