wave,flux,fluxerr
529.39790,3.91410e-17,2.43520e-17
529.88482,-1.07530e-18,9.10710e-18
530.37171,7.65900e-19,8.25870e-18
530.85862,3.31350e-18,7.56010e-18
531.34553,-3.21140e-19,7.51500e-18
531.83245,1.37470e-18,1.74010e-17
532.31937,8.01460e-18,8.51380e-18
532.80630,-2.29220e-17,7.61910e-18
533.29323,3.82970e-17,8.90370e-18
533.78017,2.03210e-17,8.76960e-18
534.26712,1.00880e-17,8.58760e-18
534.75407,3.55820e-17,1.56940e-17
535.24103,1.21020e-17,8.76540e-18
535.72799,2.85210e-17,9.20100e-18
536.21496,2.51940e-17,9.63980e-18
536.70193,1.10130e-17,9.16290e-18
537.18891,5.49900e-17,1.00300e-17
537.67590,1.98290e-17,1.28960e-17
538.16289,1.95740e-18,9.25450e-18
538.64989,2.37840e-17,9.10510e-18
539.13690,2.62010e-17,9.51020e-18
539.62390,5.69480e-17,4.10590e-17
540.11092,2.79020e-17,9.35440e-18
540.59794,1.70210e-17,9.22370e-18
541.08497,3.32950e-17,1.04810e-17
541.57200,3.67450e-17,9.63210e-18
542.05904,2.78140e-18,8.01710e-18
542.54608,1.20610e-17,8.16710e-18
543.03313,1.03550e-17,7.79790e-18
543.52019,-2.68620e-18,7.46140e-18
544.00725,1.37910e-17,7.76490e-18
544.49431,1.96860e-17,9.10740e-18
544.98138,6.03310e-17,7.75620e-17
545.46846,4.53250e-17,2.99050e-17
545.95554,5.34100e-18,6.89240e-18
546.44263,4.67640e-18,6.90360e-18
546.92973,3.55910e-17,7.20980e-18
547.41683,1.74170e-17,7.78170e-18
547.90393,2.72130e-18,6.38980e-18
548.39104,2.41960e-17,7.24860e-18
548.87816,2.89700e-17,7.44020e-18
549.36528,1.45660e-17,6.88030e-18
549.85241,2.39640e-17,7.21230e-18
550.33954,2.29280e-17,7.74140e-18
550.82668,2.35000e-17,6.47680e-18
551.31382,2.54120e-17,6.58070e-18
551.80097,1.46110e-17,6.67420e-18
552.28812,4.92190e-17,7.03530e-18
552.77528,1.69830e-17,6.73140e-18
553.26245,3.35420e-17,1.15990e-17
553.74962,2.05730e-17,7.73950e-18
554.23680,7.00890e-19,5.87000e-18
554.72398,2.20390e-17,6.34010e-18
555.21116,1.72420e-17,6.45850e-18
555.69836,-5.14280e-18,2.80250e-17
556.18555,5.34700e-18,6.00320e-18
556.67276,5.05220e-18,5.83200e-18
557.15996,-3.78030e-18,5.92950e-18
557.64718,9.37260e-18,6.00970e-18
558.13440,1.51430e-17,6.22330e-18
558.62162,8.58310e-18,5.93040e-18
559.10885,2.42810e-17,7.12230e-18
559.59608,2.21090e-17,7.20500e-18
560.08332,2.07230e-17,6.61080e-18
560.57057,1.49360e-17,7.28210e-18
561.05782,-4.81480e-18,5.80750e-18
561.54508,7.37800e-18,5.71520e-18
562.03234,9.39840e-18,5.58160e-18
562.51960,7.54520e-18,5.82370e-18
563.00687,1.08970e-17,5.96920e-18
563.49415,-7.43870e-19,5.65590e-18
563.98143,8.24410e-18,5.65820e-18
564.46872,1.31740e-17,5.72540e-18
564.95601,-1.11360e-18,5.40690e-18
565.44331,9.79520e-18,5.49320e-18
565.93061,2.17390e-17,6.65700e-18
566.41792,1.19910e-17,6.75490e-18
566.90523,1.24900e-17,5.53910e-18
567.39255,1.81070e-17,5.59270e-18
567.87987,1.04260e-17,5.82020e-18
