wave,flux,fluxerr
114.86000,1.24698e-11,9.68822e-13
114.98000,1.25694e-11,1.49773e-12
115.10000,1.15875e-11,8.41395e-13
115.22000,1.14227e-11,8.58448e-13
115.34000,1.17592e-11,8.58044e-13
115.46000,1.16335e-11,3.90149e-13
115.58000,1.26549e-11,5.18932e-13
115.70000,1.27098e-11,5.41847e-13
115.82000,1.21104e-11,8.16593e-13
115.92000,1.23597e-11,7.59299e-13
116.04000,1.25503e-11,5.04437e-13
116.16000,1.33381e-11,4.95436e-13
116.28000,1.30804e-11,6.28765e-13
116.40000,1.27886e-11,4.57483e-13
116.52000,1.20230e-11,4.01381e-13
116.64000,1.16200e-11,4.15087e-13
116.76000,1.16775e-11,4.33754e-13
116.88000,1.15883e-11,3.30338e-13
116.98000,1.14160e-11,5.34837e-13
117.10000,1.11113e-11,3.16742e-13
117.22000,1.15543e-11,4.05107e-13
117.34000,1.12835e-11,4.46066e-13
117.46000,1.11720e-11,2.56027e-13
117.58000,1.14647e-11,3.55359e-13
117.70000,1.14956e-11,2.72204e-13
117.82000,1.15478e-11,2.61119e-13
117.94000,1.16487e-11,2.72870e-13
118.06000,1.16082e-11,2.95516e-13
118.16000,1.17991e-11,3.15962e-13
118.28000,1.14857e-11,2.51542e-13
118.40000,1.15019e-11,4.36000e-13
118.52000,1.14592e-11,4.87370e-13
118.64000,1.11405e-11,4.31924e-13
118.76000,1.08974e-11,3.12860e-13
118.88000,1.07475e-11,3.36408e-13
119.00000,1.07449e-11,4.75007e-13
119.12000,1.04080e-11,4.37900e-13
119.24000,1.06177e-11,2.05017e-13
119.34000,1.03605e-11,2.56382e-13
119.46000,1.01335e-11,2.32741e-13
119.58000,9.92383e-12,2.17841e-13
119.70000,9.81407e-12,2.98712e-13
119.82000,1.00437e-11,2.19962e-13
119.94000,9.73993e-12,2.38055e-13
120.06000,9.61006e-12,3.37917e-13
120.18000,9.95070e-12,3.31692e-13
120.30000,9.99612e-12,2.83428e-13
120.42000,1.01156e-11,2.47752e-13
120.52000,9.74021e-12,2.29154e-13
120.64000,9.98938e-12,4.51758e-13
120.76000,9.25248e-12,2.69395e-13
120.88000,8.43353e-12,2.64835e-13
121.00000,8.20895e-12,4.27969e-13
121.12000,7.51622e-12,6.24063e-13
121.24000,6.38220e-12,5.54230e-13
121.36000,5.44730e-12,5.25357e-13
121.48000,4.82164e-12,3.90536e-13
121.60000,5.35265e-12,5.09701e-13
121.70000,6.41088e-12,6.23175e-13
121.82000,7.50357e-12,7.05369e-13
121.94000,8.65779e-12,6.37900e-13
122.06000,9.07048e-12,5.34645e-13
122.18000,9.31517e-12,3.89554e-13
122.30000,9.70647e-12,2.62392e-13
122.42000,9.94727e-12,2.75978e-13
122.54000,9.61704e-12,2.42871e-13
122.66000,9.48777e-12,2.43945e-13
122.78000,9.42181e-12,2.32195e-13
122.88000,9.29720e-12,2.83453e-13
123.00000,9.01409e-12,2.10238e-13
123.12000,8.74631e-12,1.92882e-13
