wave,flux,fluxerr
291.40974,4.65850e-15,7.37800e-15
291.68418,2.72940e-15,6.66220e-15
291.95859,9.77780e-15,6.05270e-15
292.23303,1.02180e-14,6.34480e-15
292.50747,5.57640e-15,4.77980e-15
292.78191,-3.02320e-15,4.21820e-15
293.05635,-3.87470e-15,3.63900e-15
293.33079,-2.34810e-15,3.19570e-15
293.60522,-4.65110e-15,2.79680e-15
293.87966,4.25550e-15,2.58450e-15
294.15410,6.58370e-15,2.33010e-15
294.42856,-2.06300e-15,1.98770e-15
294.70303,2.43580e-15,1.82100e-15
294.97747,2.02410e-15,1.64690e-15
295.25193,-4.42280e-16,1.44820e-15
295.52639,-4.53780e-16,1.32250e-15
295.80085,-1.02970e-15,1.21930e-15
296.07532,2.63000e-15,1.16060e-15
296.34978,-3.18520e-16,1.07160e-15
296.62427,-2.40120e-16,9.90530e-16
296.89873,3.22360e-16,9.55280e-16
297.17319,8.95910e-16,9.20260e-16
297.44768,4.90570e-16,8.81060e-16
297.72217,1.35990e-15,8.49240e-16
297.99666,2.84060e-15,1.20990e-15
298.27112,-8.97900e-17,8.10790e-16
298.54561,-8.76610e-16,7.81120e-16
298.82009,1.97900e-15,8.06340e-16
299.09460,1.25160e-15,7.80110e-16
299.36909,-1.04180e-15,7.44250e-16
299.64358,1.80750e-15,7.65950e-16
299.91809,2.34160e-16,7.42300e-16
300.19258,5.52520e-16,7.20140e-16
300.46709,1.30160e-15,7.22910e-16
300.74160,5.90670e-16,7.16260e-16
301.01611,1.59620e-15,7.79700e-16
301.29062,1.06780e-15,6.91690e-16
301.56514,-6.89080e-18,6.75550e-16
301.83965,-1.07780e-15,6.48860e-16
302.11416,7.09010e-16,6.73740e-16
302.38867,1.45260e-15,6.69360e-16
302.66321,6.28300e-16,6.41550e-16
302.93772,1.01210e-15,6.36300e-16
303.21226,-5.73920e-16,6.04280e-16
303.48679,-1.36520e-15,5.79820e-16
303.76133,1.49400e-16,5.89110e-16
304.03584,9.47180e-16,5.97600e-16
304.31038,1.00520e-16,5.75180e-16
304.58494,1.27860e-16,5.66750e-16
304.85947,1.34720e-15,5.71670e-16
305.13401,1.10850e-15,5.53990e-16
305.40854,1.41250e-15,5.46480e-16
305.68311,1.20570e-15,5.89490e-16
305.95764,2.77690e-16,5.19520e-16
306.23220,-6.96510e-16,5.02720e-16
306.50676,5.23880e-16,5.11290e-16
306.78132,1.25370e-16,4.96720e-16
307.05586,-1.81980e-17,9.46840e-16
307.33042,-1.47790e-16,4.84270e-16
307.60498,1.40770e-16,4.81820e-16
307.87957,3.20830e-16,4.84110e-16
308.15413,-2.85890e-16,4.68670e-16
308.42869,7.66910e-16,4.70300e-16
308.70327,-1.16280e-16,4.66910e-16
308.97783,6.33450e-16,5.11560e-16
309.25242,5.18970e-16,4.68660e-16
309.52700,1.38200e-15,4.67250e-16
309.80156,4.01200e-16,4.53830e-16
310.07615,1.74240e-16,4.60750e-16
310.35073,-1.17260e-16,4.40030e-16
310.62532,9.62480e-16,4.56450e-16
310.89990,6.84190e-16,4.47510e-16
311.17451,3.52750e-16,4.48200e-16
311.44910,-3.69310e-16,4.41070e-16
311.72368,5.23140e-16,4.37710e-16
311.99829,7.97890e-16,4.44970e-16
312.27288,5.19130e-16,4.37490e-16
312.54749,2.27080e-16,4.26690e-16
312.82209,9.62640e-16,5.07220e-16
313.09670,5.97120e-16,4.34900e-16
313.37131,8.11630e-16,4.35330e-16
313.64592,-3.84430e-16,4.18590e-16
313.92053,-1.00040e-16,4.18600e-16
314.19514,1.57330e-15,5.79810e-16
314.46975,1.90210e-16,4.31860e-16
314.74436,2.82620e-17,4.13420e-16
315.01899,3.77090e-16,4.20870e-16
315.29360,-3.39640e-16,4.11210e-16
315.56824,1.17780e-15,5.80060e-16
315.84285,1.60990e-16,4.00320e-16
316.11748,1.61570e-15,4.25630e-16
316.39211,6.38750e-16,4.04580e-16
316.66675,9.09580e-16,4.14110e-16
316.94138,1.61140e-15,4.25460e-16
317.21602,1.57020e-15,4.15130e-16
317.49065,1.73220e-15,4.14970e-16
317.76528,1.31160e-15,4.02180e-16
318.03994,-7.94870e-16,3.85130e-16
318.31458,-4.52600e-16,3.72450e-16
318.58921,8.84890e-16,3.86230e-16
318.86387,1.49050e-15,3.92450e-16
319.13853,1.77310e-15,3.97080e-16
319.41316,1.22710e-15,3.83260e-16
319.68782,1.42090e-15,3.89160e-16
319.96248,8.97430e-16,3.72450e-16
320.23713,1.39970e-15,3.76290e-16
320.51179,1.34260e-15,3.77530e-16
320.78645,2.00750e-15,3.88910e-16
321.06111,1.70870e-15,3.80410e-16
321.33577,1.39630e-15,3.69380e-16
321.61045,1.26370e-15,3.74900e-16
321.88511,1.45260e-15,3.64950e-16
322.15979,1.48590e-15,3.58850e-16
322.43445,1.14310e-15,3.65870e-16
322.70913,1.70000e-15,3.63320e-16
322.98379,1.89710e-15,3.65410e-16
323.25847,1.63370e-15,3.62580e-16
323.53315,1.42540e-15,3.59220e-16
323.80784,1.19720e-15,3.51540e-16
324.08252,2.11010e-15,3.81220e-16
324.35720,1.88460e-15,3.90050e-16
324.63188,1.19800e-15,3.44630e-16
324.90657,2.00480e-15,3.55630e-16
325.18127,1.41220e-15,3.48940e-16
325.45596,9.18120e-16,3.40020e-16
325.73064,1.34590e-15,3.47040e-16
326.00535,5.61450e-16,3.31680e-16
326.28003,2.55110e-15,3.61250e-16
326.55474,1.31730e-15,3.37090e-16
326.82944,2.39700e-15,3.60360e-16
327.10415,2.27760e-15,3.52490e-16
327.37883,1.49890e-15,3.37540e-16
327.65354,2.15410e-15,3.61120e-16
327.92825,2.06760e-15,3.48490e-16
328.20295,1.78500e-15,3.45620e-16
328.47769,2.52770e-15,3.57500e-16
328.75239,2.07720e-15,3.43420e-16
329.02710,1.89140e-15,3.41780e-16
329.30181,3.13480e-15,3.59130e-16
329.57654,3.14530e-15,3.63850e-16
329.85125,2.32400e-15,3.41920e-16
330.12598,2.22020e-15,3.37930e-16
330.40068,2.55730e-15,3.45520e-16
330.67542,2.42310e-15,3.43370e-16
330.95015,3.69930e-15,3.62070e-16
331.22488,3.39500e-15,3.62050e-16
331.49961,3.35740e-15,3.56200e-16
331.77434,4.03050e-15,3.70020e-16
332.04907,4.45160e-15,3.73350e-16
332.32380,3.43350e-15,3.54640e-16
332.59854,3.72840e-15,3.58390e-16
332.87327,4.18520e-15,3.66800e-16
333.14800,4.52920e-15,3.72170e-16
333.42275,3.93460e-15,3.57930e-16
333.69749,3.64830e-15,3.57510e-16
333.97224,4.18360e-15,3.60980e-16
334.24697,4.41270e-15,3.69100e-16
334.52173,4.78690e-15,3.73370e-16
334.79646,4.66350e-15,3.71500e-16
335.07122,4.37090e-15,3.57930e-16
335.34597,4.69090e-15,3.64150e-16
335.62073,5.01420e-15,3.69650e-16
335.89548,4.43860e-15,3.60960e-16
336.17024,4.94250e-15,4.22590e-16
336.44500,4.85670e-15,3.68170e-16
336.71975,3.43580e-15,3.40770e-16
336.99451,4.11660e-15,3.49860e-16
337.26926,4.63750e-15,3.53160e-16
337.54402,5.48910e-15,3.67620e-16
337.81880,4.59380e-15,3.41080e-16
338.09355,4.36500e-15,3.45310e-16
338.36834,6.38870e-15,3.82370e-16
338.64309,5.96520e-15,3.73190e-16
338.91787,5.45450e-15,3.68650e-16
339.19263,4.64550e-15,3.52160e-16
339.46741,5.88440e-15,3.67470e-16
339.74219,5.29510e-15,3.59140e-16
340.01697,6.29620e-15,3.78690e-16
340.29175,5.91930e-15,3.76690e-16
340.56653,5.87380e-15,3.66100e-16
340.84131,5.30510e-15,3.51210e-16
341.11609,4.62240e-15,3.39770e-16
341.39087,4.49010e-15,3.37030e-16
341.66565,5.26010e-15,3.50450e-16
341.94043,7.60790e-15,4.89650e-16
342.21523,6.75040e-15,3.73140e-16
342.49001,6.61100e-15,3.72410e-16
342.76479,7.79460e-15,4.00560e-16
343.03960,8.37130e-15,4.16870e-16
343.31438,6.87170e-15,3.82940e-16
343.58918,6.09960e-15,3.60050e-16
343.86396,5.51590e-15,3.47840e-16
344.13877,4.09260e-15,3.23620e-16
344.41357,4.70250e-15,3.37250e-16
344.68838,6.62090e-15,3.64380e-16
344.96318,7.18720e-15,3.74870e-16
345.23796,7.51620e-15,3.76010e-16
345.51277,8.02090e-15,3.83580e-16
345.78757,7.64590e-15,3.87910e-16
346.06238,7.42390e-15,3.71830e-16
346.33721,6.98130e-15,3.66910e-16
346.61201,6.69010e-15,3.61930e-16
346.88682,7.28720e-15,3.70500e-16
347.16162,7.69610e-15,3.72530e-16
347.43643,5.96660e-15,3.45990e-16
347.71125,6.61620e-15,3.54530e-16
347.98606,9.25850e-15,3.96030e-16
348.26089,1.01210e-14,4.07490e-16
348.53569,8.85860e-15,3.91460e-16
348.81052,8.91040e-15,4.08560e-16
349.08533,7.81170e-15,3.72990e-16
349.36016,7.32800e-15,3.64250e-16
349.63499,7.81120e-15,3.74740e-16
349.90981,8.92930e-15,3.89220e-16
350.18462,9.52380e-15,4.08900e-16
350.45945,1.10450e-14,4.17960e-16
350.73428,1.09860e-14,4.17180e-16
351.00911,9.09960e-15,3.91270e-16
351.28394,8.06330e-15,3.72800e-16
351.55876,7.63140e-15,3.68140e-16
351.83359,9.54360e-15,3.92610e-16
352.10845,9.22520e-15,4.31910e-16
352.38328,6.62990e-15,3.46080e-16
352.65811,7.55190e-15,3.58020e-16
352.93293,9.45810e-15,3.85070e-16
353.20779,9.12130e-15,3.82180e-16
353.48262,1.12010e-14,4.10510e-16
353.75745,1.31800e-14,4.34970e-16
354.03230,1.35350e-14,4.39320e-16
354.30713,1.42470e-14,4.47760e-16
354.58198,1.42000e-14,4.45470e-16
354.85684,1.25210e-14,4.23530e-16
355.13166,1.28300e-14,4.28870e-16
355.40652,1.16070e-14,4.10760e-16
355.68137,1.22430e-14,4.19900e-16
355.95623,1.20950e-14,4.16620e-16
356.23105,1.21510e-14,4.17540e-16
356.50591,1.00330e-14,3.87890e-16
356.78076,9.56360e-15,3.88110e-16
357.05562,7.66090e-15,3.52580e-16
357.33047,9.14820e-15,3.73940e-16
357.60532,8.69650e-15,3.66850e-16
357.88018,5.43180e-15,3.15250e-16
358.15503,5.92980e-15,3.23190e-16
358.42991,7.30790e-15,3.44600e-16
358.70476,7.77130e-15,3.52240e-16
358.97961,8.31980e-15,3.59590e-16
359.25447,8.55770e-15,3.62840e-16
359.52935,8.30440e-15,3.57640e-16
359.80420,1.05650e-14,3.87580e-16
360.07905,1.07810e-14,3.90280e-16
360.35393,9.83800e-15,3.78180e-16
360.62878,8.00620e-15,3.44220e-16
360.90366,7.68870e-15,3.45390e-16
361.17852,9.99170e-15,3.78930e-16
361.45339,1.07220e-14,3.86770e-16
361.72827,1.13890e-14,3.94300e-16
362.00313,8.83640e-15,3.59910e-16
362.27800,9.95640e-15,3.73500e-16
362.55288,1.15820e-14,3.95470e-16
362.82776,1.23030e-14,5.32290e-16
363.10261,9.85710e-15,3.69740e-16
363.37749,9.94690e-15,3.71620e-16
363.65237,1.10450e-14,3.84920e-16
363.92725,1.11600e-14,3.83910e-16
364.20212,1.13450e-14,3.88270e-16
364.47700,1.01940e-14,3.72160e-16
364.75188,9.37890e-15,3.58720e-16
365.02676,1.09540e-14,3.78810e-16
365.30164,1.22990e-14,3.95160e-16
365.57654,1.16340e-14,3.85820e-16
365.85142,1.15990e-14,3.84410e-16
366.12629,1.25520e-14,4.20000e-16
366.40117,1.41120e-14,4.16240e-16
366.67605,1.29790e-14,3.99310e-16
366.95095,1.27480e-14,3.96010e-16
367.22583,1.17850e-14,3.82970e-16
367.50071,1.09700e-14,3.71890e-16
367.77561,1.12000e-14,3.72880e-16
368.05049,1.03320e-14,3.62980e-16
368.32539,1.19470e-14,3.82510e-16
368.60027,1.17900e-14,3.79000e-16
368.87517,1.10250e-14,3.69270e-16
369.15005,1.31890e-14,3.97410e-16
369.42495,1.37510e-14,3.99550e-16
369.69985,1.35440e-14,4.07240e-16
369.97473,1.40450e-14,4.04820e-16
370.24963,1.25370e-14,3.83060e-16
370.52454,1.08280e-14,3.58570e-16
370.79941,9.85950e-15,3.46960e-16
371.07432,1.13770e-14,3.67440e-16
371.34922,1.28380e-14,3.84180e-16
371.62412,1.36850e-14,3.94540e-16
371.89902,8.96870e-15,3.38920e-16
372.17393,6.70700e-15,3.01790e-16
372.44883,1.03300e-14,3.44880e-16
372.72371,1.07910e-14,3.51300e-16
372.99861,1.08960e-14,3.51450e-16
373.27351,7.66810e-15,3.07760e-16
373.54841,7.02750e-15,2.96410e-16
373.82334,7.14640e-15,2.97090e-16
374.09824,9.93600e-15,3.33120e-16
374.37314,9.74520e-15,3.28900e-16
374.64805,6.43870e-15,2.83000e-16
374.92295,7.47850e-15,2.97790e-16
375.19785,1.05770e-14,3.38730e-16
375.47275,1.34510e-14,3.70580e-16
375.74768,1.33040e-14,3.67540e-16
376.02258,1.33120e-14,3.65210e-16
376.29749,1.32110e-14,3.63080e-16
376.57239,1.33550e-14,3.65430e-16
376.84731,1.43800e-14,3.72160e-16
377.12222,1.61180e-14,3.89430e-16
377.39712,1.66080e-14,3.93240e-16
377.67205,1.58800e-14,3.85000e-16
377.94695,1.63280e-14,3.92130e-16
378.22188,1.65640e-14,3.88980e-16
378.49678,1.59360e-14,3.81510e-16
378.77170,1.50910e-14,3.71770e-16
379.04661,1.51670e-14,3.71470e-16
379.32153,1.56040e-14,3.76520e-16
379.59644,1.56970e-14,3.77150e-16
379.87136,1.58750e-14,3.74840e-16
380.14626,1.42880e-14,3.58060e-16
380.42119,1.68000e-14,3.81280e-16
380.69612,1.61830e-14,3.80550e-16
380.97102,1.60550e-14,3.70480e-16
381.24595,1.56010e-14,3.75790e-16
381.52087,1.43700e-14,3.54150e-16
381.79578,1.32090e-14,3.38940e-16
382.07070,1.14100e-14,4.70570e-16
382.34563,1.05820e-14,3.09880e-16
382.62056,1.02190e-14,3.06540e-16
382.89546,1.19490e-14,3.20290e-16
383.17039,1.33270e-14,3.34140e-16
383.44531,1.42910e-14,3.42140e-16
383.72024,1.53890e-14,3.54850e-16
383.99517,1.45010e-14,3.44420e-16
384.27007,1.48890e-14,3.46460e-16
384.54500,1.63900e-14,3.60540e-16
384.81992,1.62870e-14,3.58010e-16
385.09485,1.47910e-14,3.44170e-16
385.36978,1.50380e-14,3.44680e-16
385.64470,1.22750e-14,3.15130e-16
385.91963,9.92110e-15,3.11580e-16
386.19456,1.06350e-14,2.93380e-16
386.46948,1.45120e-14,3.34190e-16
386.74441,1.55390e-14,3.43720e-16
387.01934,1.67410e-14,3.53860e-16
387.29426,1.62050e-14,3.48000e-16
387.56919,1.35600e-14,3.21210e-16
387.84412,1.36000e-14,3.21680e-16
388.11904,1.45190e-14,3.29510e-16
388.39397,1.55150e-14,3.37930e-16
388.66890,1.31780e-14,3.14270e-16
388.94382,1.48810e-14,3.31050e-16
389.21875,1.59830e-14,3.39730e-16
389.49370,1.56560e-14,3.35310e-16
389.76863,1.48360e-14,3.28430e-16
390.04355,1.54440e-14,3.35100e-16
390.31848,1.66550e-14,3.43700e-16
390.59341,1.75180e-14,3.49590e-16
390.86834,1.71310e-14,3.46690e-16
391.14326,1.94470e-14,3.64100e-16
391.41821,1.94530e-14,3.64170e-16
391.69314,1.97400e-14,3.65420e-16
391.96807,1.67750e-14,3.38910e-16
392.24299,1.49940e-14,3.22910e-16
392.51794,1.62030e-14,3.32630e-16
392.79287,1.52510e-14,3.23040e-16
393.06780,1.46800e-14,3.16420e-16
393.34272,1.58530e-14,3.27990e-16
393.61768,1.63960e-14,3.30290e-16
393.89260,1.82720e-14,3.45990e-16
394.16753,1.68290e-14,3.32960e-16
394.44246,1.44050e-14,2.93500e-16
