wave,flux,fluxerr
114.03060,3.98350e-15,6.39150e-15
114.08896,3.50880e-15,5.40080e-15
114.14734,1.17740e-15,4.00280e-15
114.20570,1.20510e-14,5.98160e-15
114.26407,1.06400e-14,5.34300e-15
114.32244,-2.69230e-15,0.00000
114.38081,3.45350e-15,2.87330e-15
114.43917,6.80900e-15,3.31690e-15
114.49753,3.49820e-15,2.32410e-15
114.55591,5.82720e-15,2.58400e-15
114.61427,1.08360e-14,3.16630e-15
114.67263,2.13720e-15,1.51850e-15
114.73101,5.20200e-15,1.97210e-15
114.78937,5.42110e-15,1.94200e-15
114.84773,4.49620e-15,1.66560e-15
114.90610,3.45780e-15,1.38890e-15
114.96447,5.92100e-15,1.68970e-15
115.02283,3.79390e-15,1.34250e-15
115.08120,3.92900e-15,1.31120e-15
115.13956,6.66480e-15,1.53330e-15
115.19792,3.48390e-15,1.16080e-15
115.25629,4.97990e-15,1.25860e-15
115.31466,4.08100e-15,1.15030e-15
115.37302,3.14200e-15,9.71510e-16
115.43138,3.23310e-15,9.80130e-16
115.48975,3.07890e-15,9.10890e-16
115.54811,4.38920e-15,1.06320e-15
115.60648,3.65780e-15,9.45330e-16
115.66484,2.57070e-15,7.98790e-16
115.72321,2.81820e-15,8.12910e-16
115.78157,2.14260e-15,7.18650e-16
115.83993,2.59460e-15,7.54220e-16
115.89829,2.02770e-15,6.79890e-16
115.95665,3.51680e-15,8.52120e-16
116.01501,3.82040e-15,8.56590e-16
116.07338,2.46630e-15,6.92920e-16
116.13174,2.31870e-15,6.69550e-16
116.19010,2.87360e-15,7.25930e-16
116.24846,3.25900e-15,7.64910e-16
116.30682,2.45630e-15,6.63500e-16
116.36519,1.97440e-15,5.80550e-16
116.42355,2.61120e-15,6.78750e-16
116.48191,1.88380e-15,5.54360e-16
116.54027,2.69810e-15,6.73720e-16
116.59863,2.10370e-15,5.76500e-16
116.65699,1.88060e-15,5.50350e-16
116.71536,1.44850e-15,4.94790e-16
116.77372,2.15720e-15,5.77500e-16
116.83208,6.73420e-16,3.44670e-16
116.89044,1.32990e-15,4.56760e-16
116.94880,2.34530e-15,5.76050e-16
117.00717,1.49520e-15,4.64700e-16
117.06553,2.69030e-15,6.07680e-16
117.12388,1.29130e-15,4.31460e-16
117.18224,1.63640e-15,4.70030e-16
117.24060,2.10090e-15,5.17110e-16
117.29896,2.60590e-15,5.71400e-16
117.35732,1.60830e-15,4.53190e-16
117.41567,2.09130e-15,5.00220e-16
117.47404,1.86730e-15,4.77170e-16
117.53240,1.53780e-15,4.33380e-16
117.59076,3.07650e-15,5.87000e-16
117.64911,1.04810e-15,3.57290e-16
117.70747,1.53350e-15,4.20210e-16
117.76583,1.88390e-15,4.60090e-16
117.82418,2.15370e-15,4.84690e-16
117.88254,1.64570e-15,4.30960e-16
117.94091,1.84080e-15,4.40750e-16
117.99926,1.44890e-15,3.97360e-16
118.05762,2.03470e-15,4.56050e-16
118.11598,2.75760e-15,5.24510e-16
118.17433,1.07020e-15,3.41060e-16
118.23269,1.27020e-15,3.68600e-16
118.29105,1.97320e-15,4.36910e-16
118.34940,2.28720e-15,4.78710e-16
118.40776,2.58600e-15,4.91880e-16
118.46611,2.12660e-15,4.40420e-16
118.52448,2.05630e-15,4.39000e-16
118.58282,1.55490e-15,4.38830e-16
118.64119,9.60680e-16,3.99400e-16
118.69954,7.97540e-16,3.84980e-16
118.75790,1.36570e-15,4.49590e-16
118.81625,1.74780e-15,4.91300e-16
118.87461,9.34290e-16,3.54350e-16
118.93296,1.15720e-15,4.92240e-16
118.99132,1.16830e-15,4.63210e-16
119.04967,6.09150e-16,4.66650e-16
119.10803,9.92150e-16,6.10080e-16
119.16638,2.11310e-15,8.83910e-16
119.22473,-1.24650e-15,1.36790e-15
119.28309,-5.34450e-16,1.42550e-15
119.34144,2.85760e-15,1.54000e-15
119.39979,1.89870e-17,1.55020e-15
119.45815,1.27060e-15,1.47180e-15
119.51650,2.07080e-16,1.45680e-15
119.57485,2.09520e-15,1.43310e-15
119.63322,1.29670e-15,1.44460e-15
119.69156,8.83830e-16,1.41310e-15
119.74991,1.89710e-15,1.51220e-15
119.80828,4.18190e-16,1.42060e-15
119.86663,2.84560e-16,1.41850e-15
119.92498,6.72520e-16,1.40550e-15
119.98333,8.42690e-16,1.35580e-15
120.04167,2.60680e-15,1.42050e-15
120.10004,1.90310e-15,1.37800e-15
120.15839,1.95400e-15,1.35270e-15
120.21674,1.08670e-15,1.35560e-15
120.27509,-8.90870e-16,1.57510e-15
120.33344,-2.85760e-16,1.51120e-15
120.39180,5.52670e-16,1.51450e-15
120.45015,-2.34290e-16,1.48150e-15
120.50850,1.44840e-15,1.52770e-15
120.56685,6.41830e-16,1.51280e-15
120.62520,1.58090e-15,1.45570e-15
120.68354,-3.03610e-16,1.23430e-15
120.74189,-8.23860e-16,1.25670e-15
120.80024,7.72060e-16,1.24200e-15
120.85859,-9.09450e-16,1.19060e-15
120.91694,4.51060e-16,1.21390e-15
120.97529,-2.63600e-16,1.19510e-15
121.03364,3.68840e-15,1.22250e-15
121.09199,4.97520e-16,1.15970e-15
121.15034,4.65680e-17,1.18100e-15
121.20869,6.14060e-16,1.16820e-15
121.26704,-6.93270e-16,1.14040e-15
121.32539,7.50450e-16,1.15880e-15
121.38374,2.11880e-15,1.14150e-15
121.44209,-5.68150e-16,1.12070e-15
121.50044,-2.25150e-16,1.08210e-15
121.55879,3.42500e-16,1.10490e-15
121.61714,5.14540e-16,1.10030e-15
121.67549,7.14730e-16,1.09040e-15
121.73383,-1.93580e-15,1.07240e-15
121.79218,-2.10680e-15,1.04630e-15
121.85052,-5.66200e-16,1.06430e-15
121.90887,6.45340e-16,1.05570e-15
121.96722,-4.81160e-16,1.04650e-15
122.02557,-3.71980e-16,1.05680e-15
122.08391,4.43890e-16,1.05260e-15
122.14226,2.36840e-15,1.04880e-15
122.20061,-3.19420e-16,1.01980e-15
122.25896,4.39680e-16,9.92810e-16
122.31730,2.15360e-15,1.03370e-15
122.37565,5.79540e-16,1.00920e-15
122.43400,1.37390e-15,1.02060e-15
122.49233,-9.59080e-16,9.84890e-16
122.55068,-6.94370e-16,9.93400e-16
122.60903,2.46240e-15,9.94410e-16
122.66737,2.44720e-15,1.04430e-15
122.72572,-2.10660e-16,9.53290e-16
122.78407,1.85530e-15,9.92260e-16
122.84241,2.11700e-15,1.00250e-15
122.90076,3.76080e-16,9.42630e-16
122.95911,2.14310e-15,9.36600e-16
123.01744,3.96890e-15,9.81140e-16
123.07579,3.76330e-15,9.48170e-16
123.13413,7.13640e-16,9.33070e-16
123.19248,2.38450e-15,9.29060e-16
123.25082,2.68140e-15,9.62940e-16
123.30917,1.99450e-15,9.16750e-16
123.36750,2.03610e-15,9.18640e-16
123.42585,2.51750e-15,9.24000e-16
123.48419,2.15350e-15,9.29960e-16
123.54254,2.36500e-15,8.79570e-16
123.60088,4.84020e-16,8.67010e-16
123.65923,2.99580e-15,9.11830e-16
123.71757,3.90820e-15,8.97120e-16
123.77592,2.88140e-15,8.88180e-16
123.83425,3.35330e-15,8.65070e-16
123.89259,3.22540e-15,8.87150e-16
123.95094,4.04800e-15,8.07280e-16
124.00928,2.71480e-15,6.07250e-16
124.06763,3.16400e-15,4.77410e-16
124.12596,3.51500e-15,4.37810e-16
124.18430,3.76670e-15,4.14060e-16
124.24265,4.05450e-15,4.31840e-16
124.30099,4.18970e-15,4.21910e-16
124.35933,4.29510e-15,4.25710e-16
124.41768,4.28340e-15,4.15160e-16
124.47601,4.94180e-15,4.40820e-16
124.53435,4.66880e-15,4.36320e-16
124.59269,5.97310e-15,4.69460e-16
124.65104,5.94500e-15,4.78590e-16
124.70937,5.91450e-15,4.71960e-16
124.76771,6.55190e-15,4.91060e-16
124.82605,5.79820e-15,4.68080e-16
124.88439,7.27110e-15,5.06620e-16
124.94274,7.08320e-15,5.12500e-16
125.00107,7.72960e-15,5.35790e-16
125.05941,6.70950e-15,4.92700e-16
125.11775,9.23760e-15,5.73240e-16
125.17609,9.43420e-15,5.88190e-16
125.23442,1.06740e-14,6.23250e-16
125.29276,1.06840e-14,6.23830e-16
125.35110,1.13420e-14,6.37800e-16
125.40945,1.20640e-14,6.58180e-16
125.46779,1.28450e-14,6.72560e-16
125.52612,1.29760e-14,6.76050e-16
125.58446,1.41040e-14,7.04850e-16
125.64280,1.44290e-14,7.15970e-16
125.70114,1.42150e-14,7.16660e-16
125.75947,1.43050e-14,7.05680e-16
125.81781,1.32590e-14,6.89860e-16
125.87615,1.18560e-14,6.33980e-16
125.93448,1.09010e-14,6.16410e-16
125.99282,1.01520e-14,6.02090e-16
126.05116,9.09460e-15,5.68300e-16
126.10950,1.07430e-14,5.96960e-16
126.16782,1.45520e-14,7.29200e-16
126.22616,1.55610e-14,7.27180e-16
126.28450,1.88510e-14,8.21420e-16
126.34283,1.85480e-14,7.89360e-16
126.40117,1.55020e-14,7.39230e-16
126.45951,1.46340e-14,6.96860e-16
126.51785,1.44630e-14,7.07920e-16
126.57617,1.81600e-14,7.76620e-16
126.63451,2.42000e-14,9.20380e-16
126.69285,3.19540e-14,1.02460e-15
126.75118,3.83470e-14,1.14670e-15
126.80952,4.61470e-14,1.25310e-15
126.86785,5.23430e-14,1.31670e-15
126.92618,5.46380e-14,1.34950e-15
126.98452,5.84980e-14,1.40380e-15
127.04286,6.32050e-14,1.44200e-15
127.10118,6.42180e-14,1.48450e-15
127.15952,6.38370e-14,1.45040e-15
127.21786,6.45810e-14,1.47940e-15
127.27618,6.50660e-14,1.45520e-15
127.33452,7.03940e-14,1.54490e-15
127.39286,6.59850e-14,1.47650e-15
127.45118,5.70540e-14,1.38750e-15
127.50952,5.01970e-14,1.29540e-15
127.56786,4.71080e-14,1.24590e-15
127.62618,5.35370e-14,1.33500e-15
127.68452,5.78080e-14,1.38660e-15
127.74285,5.99980e-14,1.42480e-15
127.80118,7.13240e-14,1.53580e-15
127.85952,8.59300e-14,1.71750e-15
127.91785,8.47130e-14,1.66550e-15
127.97618,8.44430e-14,1.66550e-15
128.03451,9.05170e-14,1.74610e-15
128.09285,1.02000e-13,1.82130e-15
128.15117,1.17730e-13,2.00940e-15
128.20951,1.29900e-13,2.06820e-15
128.26783,1.29070e-13,2.06570e-15
128.32617,1.35470e-13,2.14300e-15
128.38450,1.38500e-13,2.12460e-15
128.44283,1.40650e-13,2.18240e-15
128.50116,1.47950e-13,2.20500e-15
128.55948,1.39310e-13,2.12280e-15
128.61782,1.29510e-13,2.07160e-15
128.67615,1.15900e-13,1.98540e-15
128.73447,1.09310e-13,1.88240e-15
128.79281,9.66790e-14,1.80060e-15
128.85114,9.35040e-14,1.72510e-15
128.90947,1.02330e-13,1.85090e-15
128.96780,1.13310e-13,1.92040e-15
129.02612,1.17900e-13,1.98880e-15
129.08445,1.26320e-13,2.03190e-15
129.14279,1.37470e-13,2.10840e-15
129.20111,1.40050e-13,2.14000e-15
129.25944,1.51200e-13,2.22460e-15
129.31777,1.55590e-13,2.24210e-15
129.37610,1.59460e-13,2.30430e-15
129.43442,1.57090e-13,2.26730e-15
129.49275,1.53010e-13,2.23100e-15
129.55107,1.53940e-13,2.25670e-15
