wave,flux,fluxerr
114.06000,1.04235e-10,6.80888e-12
114.16000,1.08510e-10,5.96919e-12
114.26000,1.05660e-10,5.94726e-12
114.36000,1.01570e-10,5.71745e-12
114.46000,9.86943e-11,5.41819e-12
114.56000,1.01116e-10,5.24036e-12
114.66000,1.10019e-10,5.15055e-12
114.76000,1.04791e-10,4.47228e-12
114.86000,1.05787e-10,4.20604e-12
114.96500,9.87275e-11,3.95132e-12
115.06500,1.04630e-10,3.92615e-12
115.16500,1.01508e-10,3.73622e-12
115.26500,1.00487e-10,3.62416e-12
115.36500,9.95342e-11,3.49354e-12
115.46500,1.01716e-10,3.40767e-12
115.56500,1.00832e-10,3.29539e-12
115.66750,1.00250e-10,3.19496e-12
115.77001,9.73973e-11,3.06359e-12
115.87001,9.60566e-11,2.95910e-12
115.97001,9.88804e-11,2.90097e-12
116.07001,1.03357e-10,3.16009e-12
116.17001,1.06971e-10,3.18220e-12
116.27001,1.04053e-10,3.07326e-12
116.37001,1.07196e-10,3.04744e-12
116.47251,1.03679e-10,2.93863e-12
116.57500,9.98097e-11,2.59228e-12
116.67500,9.97919e-11,2.46917e-12
116.77500,9.63947e-11,2.37879e-12
116.87500,8.85534e-11,2.22724e-12
116.97500,8.63667e-11,2.16979e-12
117.07500,9.27859e-11,2.19072e-12
117.18000,9.24442e-11,2.14062e-12
117.28000,9.15556e-11,2.09549e-12
117.38000,9.16115e-11,2.04757e-12
117.48000,8.33377e-11,1.93372e-12
117.58000,7.82234e-11,1.85870e-12
117.68000,8.29504e-11,1.86891e-12
117.78000,9.07198e-11,1.89515e-12
117.88251,9.00736e-11,1.85114e-12
117.98500,8.80852e-11,1.83087e-12
118.08500,9.19026e-11,1.84083e-12
118.18500,9.26160e-11,1.80475e-12
118.28500,8.69798e-11,1.71422e-12
118.38500,8.71585e-11,1.68320e-12
118.48750,8.37269e-11,1.62299e-12
118.59000,8.47995e-11,1.61497e-12
118.69000,8.56932e-11,1.59534e-12
118.79000,8.39851e-11,1.53747e-12
118.89000,8.53144e-11,1.60123e-12
118.99000,8.27507e-11,1.58675e-12
119.09000,8.10495e-11,1.55369e-12
119.19250,8.54361e-11,1.56549e-12
119.29501,7.88580e-11,1.48414e-12
119.39501,7.66042e-11,1.38653e-12
119.49501,7.81414e-11,1.35237e-12
119.59501,7.46242e-11,1.30494e-12
119.69501,7.91252e-11,1.33058e-12
119.79751,7.79089e-11,1.31206e-12
119.90000,7.31778e-11,1.25953e-12
120.00000,6.75145e-11,1.19345e-12
120.10000,6.68362e-11,1.17476e-12
120.20000,7.35856e-11,1.22861e-12
120.30000,7.79453e-11,1.25639e-12
120.40000,7.93254e-11,1.26059e-12
120.50500,8.00644e-11,1.25071e-12
120.60500,7.98670e-11,1.22881e-12
120.70500,7.79874e-11,1.20136e-12
120.80500,7.88969e-11,1.19153e-12
120.90500,7.70377e-11,1.16583e-12
121.00751,7.54918e-11,1.13747e-12
121.11000,7.75115e-11,1.14597e-12
121.21000,7.16672e-11,1.07947e-12
121.31000,6.20807e-11,9.84272e-13
121.41000,4.58393e-11,8.25086e-13
121.51000,2.67631e-11,6.18142e-13
121.61250,2.08934e-11,5.04576e-13
121.71500,3.86767e-11,7.23398e-13
121.81500,5.94188e-11,9.29426e-13
121.91500,7.19681e-11,1.03153e-12
122.01500,7.72211e-11,1.06744e-12
122.11500,7.79720e-11,1.06932e-12
122.22001,7.61699e-11,1.04710e-12
122.32001,7.88794e-11,1.05385e-12
122.42001,8.07320e-11,1.06156e-12
122.52001,7.92491e-11,1.04520e-12
122.62001,8.22281e-11,1.06034e-12
122.72001,8.16010e-11,1.04929e-12
122.82500,7.74159e-11,1.01131e-12
122.92500,7.67490e-11,1.00091e-12
123.02500,7.61601e-11,9.87023e-13
123.12500,7.64163e-11,9.81861e-13
123.22500,7.34140e-11,9.86745e-13
123.32750,6.70847e-11,9.44793e-13
123.43000,6.83131e-11,9.51844e-13
123.53000,7.41084e-11,9.93509e-13
123.63000,7.05887e-11,9.61148e-13
123.73000,6.29915e-11,8.65120e-13
123.83000,5.27527e-11,7.71177e-13
123.93251,5.32595e-11,7.69696e-13
124.03500,6.25915e-11,8.43197e-13
124.13500,6.00492e-11,8.20881e-13
124.23500,5.14549e-11,7.44633e-13
124.33500,5.31502e-11,7.53150e-13
124.43750,6.13642e-11,8.14754e-13
124.54000,6.47668e-11,8.37886e-13
124.64000,7.09189e-11,8.77923e-13
124.74000,6.93413e-11,8.62561e-13
124.84000,6.81709e-11,8.49199e-13
124.94000,6.84376e-11,8.46988e-13
125.04501,6.55047e-11,8.25602e-13
125.14501,6.79557e-11,8.40680e-13
125.24501,6.47930e-11,8.15692e-13
125.34501,6.20546e-11,7.89353e-13
125.44501,6.61182e-11,8.14305e-13
125.54751,7.13154e-11,8.46533e-13
125.65000,6.95094e-11,8.31177e-13
125.75000,6.84407e-11,8.22520e-13
125.85000,6.88603e-11,8.20011e-13
125.95000,6.75069e-11,8.07366e-13
126.05000,6.33288e-11,7.77072e-13
126.15500,6.49802e-11,7.89046e-13
126.25500,7.20718e-11,8.36604e-13
126.35500,7.24307e-11,8.35520e-13
126.45500,7.12006e-11,8.27461e-13
126.55500,7.00573e-11,8.14354e-13
126.66000,6.71938e-11,7.94093e-13
126.76000,6.53809e-11,7.79947e-13
126.86000,6.70926e-11,7.88317e-13
126.96000,6.72284e-11,7.80504e-13
127.06000,6.62280e-11,7.75253e-13
127.16250,6.68662e-11,7.80061e-13
127.26500,6.57458e-11,7.73855e-13
127.36500,6.69901e-11,7.80201e-13
127.46500,7.07010e-11,8.05429e-13
127.56500,7.34019e-11,8.19734e-13
127.66750,6.77760e-11,7.82396e-13
127.77001,7.14774e-11,8.08428e-13
127.87001,7.15447e-11,8.01502e-13
127.97001,6.81886e-11,7.78985e-13
128.07001,6.94284e-11,7.89619e-13
128.17001,6.88306e-11,7.83742e-13
128.27500,6.81012e-11,7.71627e-13
128.37500,6.64593e-11,7.55450e-13
128.47500,6.73527e-11,7.65468e-13
128.57500,7.07002e-11,7.87084e-13
128.67500,6.85818e-11,7.74984e-13
128.78000,6.60024e-11,7.50081e-13
128.88000,7.11425e-11,7.78968e-13
128.98000,7.26580e-11,8.36283e-13
129.08000,7.42525e-11,8.71160e-13
129.18000,7.51896e-11,8.78475e-13
129.28000,7.50586e-11,8.76015e-13
129.38500,7.66511e-11,8.79572e-13
129.48500,7.59262e-11,8.20079e-13
129.58500,7.02211e-11,7.69474e-13
129.68500,6.87582e-11,7.57288e-13
129.78500,7.16072e-11,7.79779e-13
129.89000,7.36391e-11,7.98932e-13
129.99000,7.22951e-11,7.84510e-13
130.09000,6.54089e-11,7.29888e-13
130.19000,6.50118e-11,7.24182e-13
130.29000,6.55743e-11,7.29979e-13
130.39250,6.70743e-11,7.44176e-13
130.49501,6.46812e-11,7.31258e-13
130.59501,6.22299e-11,7.15178e-13
130.69501,6.38277e-11,7.72404e-13
130.79501,6.71170e-11,8.17274e-13
130.89751,6.50116e-11,8.01350e-13
131.00000,6.16194e-11,7.82985e-13
131.10000,6.25684e-11,7.86061e-13
131.20000,6.25736e-11,7.85965e-13
131.30000,6.29002e-11,7.77092e-13
131.40000,6.33530e-11,8.53981e-13
131.50500,6.02031e-11,8.49374e-13
131.60500,6.19425e-11,8.64120e-13
131.70500,6.16854e-11,7.78456e-13
131.80500,5.76988e-11,7.24136e-13
131.90500,6.12764e-11,7.01197e-13
132.01000,6.31145e-11,7.06840e-13
132.11000,6.19183e-11,7.04261e-13
132.21000,6.52819e-11,7.23726e-13
132.31000,6.49749e-11,7.18391e-13
132.41000,6.31844e-11,7.59631e-13
132.51000,6.60867e-11,7.91709e-13
132.61500,7.01154e-11,8.11708e-13
132.71500,6.83699e-11,7.99630e-13
132.81500,6.79669e-11,8.06161e-13
132.91500,6.53430e-11,7.38425e-13
133.01500,6.31841e-11,7.57119e-13
133.12001,6.22795e-11,7.57728e-13
133.22001,6.39514e-11,7.64936e-13
133.32001,6.21149e-11,7.49749e-13
133.42001,5.98188e-11,7.34744e-13
133.52001,5.94982e-11,6.87232e-13
133.62251,6.05368e-11,6.82397e-13
133.72500,6.18945e-11,6.90222e-13
133.82500,6.26309e-11,6.92342e-13
133.92500,6.11002e-11,6.75452e-13
134.02500,6.14198e-11,6.72698e-13
134.12500,6.48557e-11,6.96588e-13
134.23000,6.59300e-11,7.02662e-13
134.33000,5.91273e-11,6.61186e-13
134.43000,6.05920e-11,6.72829e-13
134.53000,6.17936e-11,6.79796e-13
134.63000,6.04596e-11,6.69925e-13
134.73000,5.99593e-11,6.67799e-13
134.83500,6.00419e-11,6.64045e-13
134.93500,5.95357e-11,6.54106e-13
135.03500,5.68141e-11,6.31439e-13
135.13500,5.89477e-11,6.44368e-13
135.23500,6.10215e-11,6.60958e-13
135.33750,6.17062e-11,6.73116e-13
135.44000,6.24862e-11,6.75316e-13
135.54000,5.93041e-11,6.44615e-13
135.64000,5.81458e-11,6.32009e-13
135.74000,5.63922e-11,6.60747e-13
135.84000,5.73547e-11,6.83850e-13
135.94250,5.64052e-11,6.80343e-13
136.04501,5.80757e-11,6.96388e-13
136.14501,5.42586e-11,6.73760e-13
136.24501,5.21926e-11,6.12249e-13
136.34501,5.26097e-11,6.01669e-13
136.44501,5.65701e-11,6.22424e-13
136.55000,5.38194e-11,6.04327e-13
136.65000,5.94332e-11,6.42181e-13
136.75000,6.16591e-11,6.53135e-13
136.85000,6.19018e-11,6.53911e-13
136.95000,6.12140e-11,6.49875e-13
137.05000,5.70200e-11,6.22632e-13
137.15500,5.24402e-11,5.93768e-13
137.25500,5.56594e-11,6.12369e-13
137.35500,5.27819e-11,6.32225e-13
137.45500,5.07796e-11,6.32201e-13
137.55500,5.43181e-11,6.58430e-13
137.65500,5.48822e-11,6.62338e-13
137.76000,5.63998e-11,6.70556e-13
137.86000,5.41289e-11,6.13835e-13
137.96000,5.49952e-11,6.07895e-13
138.06000,5.97616e-11,6.36840e-13
138.16000,6.13670e-11,6.60749e-13
138.26000,6.05498e-11,6.62711e-13
138.36250,5.95616e-11,6.51052e-13
138.46500,5.55665e-11,6.30170e-13
138.56500,5.43003e-11,6.17583e-13
138.66500,5.24342e-11,5.84384e-13
138.76500,4.89404e-11,5.57165e-13
138.86500,5.06775e-11,5.68122e-13
138.96500,5.70142e-11,6.08401e-13
139.07001,5.90626e-11,6.21697e-13
139.17001,5.92803e-11,6.22031e-13
139.27001,5.60395e-11,6.00364e-13
139.37001,5.21009e-11,5.73433e-13
139.47001,5.12824e-11,5.69120e-13
139.57001,5.61672e-11,5.99128e-13
139.67251,5.46032e-11,5.89832e-13
139.77500,5.26426e-11,5.78291e-13
139.87500,5.72448e-11,6.08587e-13
139.97500,5.82193e-11,6.04273e-13
140.07500,5.47030e-11,5.83652e-13
140.17500,5.41839e-11,5.80344e-13
140.27500,5.04718e-11,5.59212e-13
140.37750,5.48349e-11,5.88105e-13
140.48000,5.59374e-11,5.90089e-13
140.58000,5.60500e-11,5.89289e-13
140.68000,4.98117e-11,5.52623e-13
140.78000,4.85707e-11,5.46116e-13
140.88000,4.72599e-11,5.32823e-13
140.98000,4.60935e-11,5.23645e-13
141.08000,5.37299e-11,5.73788e-13
141.18501,5.44817e-11,5.79965e-13
141.28501,6.00168e-11,6.07869e-13
141.38501,5.79313e-11,5.95471e-13
141.48501,5.31125e-11,5.67411e-13
141.58501,5.27012e-11,5.63715e-13
141.68501,5.24804e-11,5.63151e-13
141.78501,5.29622e-11,5.68408e-13
141.89001,5.10062e-11,5.55316e-13
141.99001,4.73643e-11,5.28886e-13
142.09001,4.75402e-11,5.26686e-13
142.19001,5.27459e-11,5.55901e-13
142.29001,5.31067e-11,5.60056e-13
142.39001,5.51171e-11,5.73992e-13
142.49001,5.38036e-11,5.65150e-13
142.59001,5.15043e-11,5.49343e-13
142.69250,5.10723e-11,5.42778e-13
142.79501,4.98416e-11,5.37923e-13
142.89501,5.12878e-11,5.46412e-13
142.99501,4.67728e-11,5.19379e-13
143.09501,4.70726e-11,5.20154e-13
143.19501,5.09072e-11,5.38385e-13
143.29501,5.18572e-11,5.42863e-13
143.39501,5.33382e-11,5.53684e-13
143.49750,5.28334e-11,5.50057e-13
143.60000,5.31276e-11,5.51555e-13
143.70000,5.24524e-11,5.46254e-13
143.80000,4.88509e-11,5.26012e-13
143.90000,4.80643e-11,5.21541e-13
144.00000,4.74619e-11,5.16442e-13
144.10000,4.56400e-11,5.04806e-13
144.20000,4.94543e-11,5.27216e-13
144.30000,4.87354e-11,5.23726e-13
144.40000,5.08704e-11,5.38043e-13
144.50500,4.90567e-11,5.28778e-13
144.60500,4.61095e-11,5.07684e-13
144.70500,4.65013e-11,5.13422e-13
144.80500,4.81922e-11,5.23423e-13
144.90500,4.51646e-11,5.03991e-13
145.00500,4.58596e-11,5.02128e-13
145.10500,4.74105e-11,5.11764e-13
145.20500,4.55316e-11,4.96877e-13
145.30500,4.35741e-11,4.87469e-13
145.40500,4.56442e-11,5.04216e-13
145.51000,4.52010e-11,5.02485e-13
145.61000,4.48778e-11,5.01652e-13
145.71000,4.80812e-11,5.20313e-13
145.81000,4.83361e-11,5.19585e-13
145.91000,4.71155e-11,5.09633e-13
146.01000,4.45953e-11,4.91715e-13
146.11000,4.58598e-11,5.00104e-13
