wave,flux,fluxerr
290.16423,-4.37800e-16,1.38140e-15
290.43875,-1.16570e-15,1.23070e-15
290.71326,9.18470e-16,1.74880e-15
290.98777,-4.25200e-16,1.02130e-15
291.26228,1.58930e-15,9.24260e-16
291.53679,4.48980e-17,8.09130e-16
291.81133,4.87780e-16,7.64280e-16
292.08584,3.73230e-16,7.04400e-16
292.36035,4.21090e-16,5.77460e-16
292.63489,-4.60310e-16,4.81310e-16
292.90942,9.44760e-16,4.86660e-16
293.18394,1.01930e-15,2.46520e-15
293.45847,6.87110e-16,1.24560e-15
293.73301,4.55880e-16,3.03650e-16
294.00754,4.17460e-16,2.67740e-16
294.28208,3.70090e-16,2.61250e-16
294.55662,2.80750e-16,2.64620e-16
294.83118,4.52250e-16,2.11320e-16
295.10571,4.11800e-16,1.98100e-16
295.38027,7.16380e-16,1.90550e-16
295.65481,3.53070e-16,1.51570e-16
295.92937,3.18660e-16,1.36550e-16
296.20391,5.28510e-16,1.28190e-16
296.47847,4.05600e-16,1.24820e-16
296.75303,3.04100e-16,1.12950e-16
297.02759,3.46710e-16,1.10740e-16
297.30215,3.66930e-16,1.03420e-16
297.57671,5.76970e-16,1.49730e-16
297.85127,3.77930e-16,1.02050e-16
298.12585,3.67810e-16,1.01030e-16
298.40042,4.54620e-16,1.70000e-16
298.67500,5.27350e-16,9.96540e-17
298.94956,5.83900e-16,1.06970e-16
299.22415,1.93750e-16,8.93570e-17
299.49871,4.50410e-16,9.03500e-17
299.77329,5.86320e-16,9.04360e-17
300.04788,3.95810e-16,8.70780e-17
300.32246,5.05450e-16,2.61490e-16
300.59705,3.52580e-16,8.76060e-17
300.87163,4.47610e-16,9.01660e-17
301.14622,4.72880e-16,8.92000e-17
301.42083,4.86970e-16,2.75480e-16
301.69541,5.58740e-16,8.42580e-17
301.97002,3.65310e-16,7.69290e-17
302.24460,5.49310e-16,8.15290e-17
302.51921,4.34490e-16,7.91620e-17
302.79380,5.29820e-16,7.78410e-17
303.06841,4.07580e-16,7.59310e-17
303.34302,6.36370e-16,8.09370e-17
303.61763,5.11800e-16,1.04480e-16
303.89224,5.21370e-16,7.26860e-17
304.16685,4.71670e-16,7.39230e-17
304.44146,3.20210e-16,6.91970e-17
304.71609,5.56220e-16,7.07290e-17
304.99070,5.53810e-16,7.15710e-17
305.26531,5.51890e-16,7.11810e-17
305.53994,4.11340e-16,6.81510e-17
305.81455,4.06840e-16,6.36870e-17
306.08918,3.84380e-16,6.38150e-17
306.36382,4.89320e-16,6.53550e-17
306.63843,3.63240e-16,6.11360e-17
306.91306,3.48630e-16,6.17450e-17
307.18770,6.17210e-16,6.52430e-17
307.46233,5.50410e-16,6.76440e-17
307.73696,4.40320e-16,8.90630e-17
308.01160,4.10830e-16,5.91710e-17
308.28625,4.35730e-16,6.00170e-17
308.56089,3.78880e-16,5.81810e-17
308.83552,5.40230e-16,6.15390e-17
309.11018,4.33910e-16,6.07500e-17
309.38481,4.00660e-16,5.77260e-17
309.65947,3.34370e-16,5.54560e-17
309.93413,4.86430e-16,5.93550e-17
310.20876,3.91340e-16,5.93300e-17
310.48342,5.20440e-16,6.01760e-17
310.75808,6.10580e-16,7.10930e-17
311.03274,5.85900e-16,6.33170e-17
311.30740,6.79070e-16,1.26250e-16
311.58206,4.69530e-16,5.75990e-17
311.85674,5.10710e-16,5.79280e-17
312.13140,5.23550e-16,5.73130e-17
312.40605,5.39100e-16,6.30130e-17
312.68074,4.75340e-16,5.79900e-17
312.95540,4.45700e-16,5.65000e-17
313.23008,4.16860e-16,6.69380e-17
313.50474,2.80680e-16,1.25400e-16
313.77942,3.24470e-16,1.01090e-15
314.05410,3.49580e-16,6.64080e-17
314.32876,3.41510e-16,5.26740e-17
314.60344,4.38480e-16,6.41990e-17
314.87813,5.71190e-16,5.54030e-17
315.15281,4.88680e-16,6.69770e-17
315.42749,4.25050e-16,5.44210e-17
315.70220,4.14310e-16,5.46420e-17
315.97688,4.15410e-16,7.17580e-17
316.25156,4.70170e-16,5.19560e-17
316.52625,5.96090e-16,5.57340e-17
316.80095,6.00880e-16,5.43400e-17
317.07563,5.56350e-16,5.43620e-17
317.35034,6.24290e-16,5.47840e-17
317.62502,6.22030e-16,5.83430e-17
317.89973,5.09520e-16,5.06240e-17
318.17444,5.30280e-16,5.35860e-17
318.44915,4.77530e-16,7.65650e-17
318.72385,5.98140e-16,5.41650e-17
318.99856,5.22690e-16,4.96440e-17
319.27327,4.99280e-16,4.99100e-17
319.54797,4.82190e-16,4.86130e-17
319.82268,5.88690e-16,5.14650e-17
320.09739,5.66520e-16,4.92130e-17
320.37209,6.60530e-16,5.12810e-17
320.64683,5.37480e-16,5.13040e-17
320.92153,5.40400e-16,4.91290e-17
321.19626,5.11720e-16,4.86650e-17
321.47097,4.88320e-16,4.91280e-17
321.74570,5.40640e-16,4.98540e-17
322.02041,5.88910e-16,4.81410e-17
322.29514,5.91920e-16,5.62050e-17
322.56987,5.06790e-16,4.58000e-17
322.84460,4.77770e-16,4.49910e-17
323.11931,5.26930e-16,4.70500e-17
323.39404,6.04300e-16,4.82100e-17
323.66877,5.16260e-16,7.95240e-17
323.94351,5.15870e-16,4.77230e-17
324.21826,5.38570e-16,4.66230e-17
324.49299,5.97650e-16,4.79110e-17
324.76772,6.28450e-16,5.42670e-17
325.04246,6.96390e-16,5.05190e-17
325.31721,5.33800e-16,4.47840e-17
325.59194,7.21180e-16,4.78710e-17
325.86670,6.65550e-16,4.65780e-17
326.14143,6.03060e-16,4.65710e-17
326.41619,7.34570e-16,4.86580e-17
326.69092,6.65680e-16,4.86330e-17
326.96567,7.68880e-16,5.57250e-17
327.24043,6.87150e-16,4.71790e-17
327.51519,5.96830e-16,4.54970e-17
327.78994,6.30760e-16,4.48230e-17
328.06467,6.01160e-16,4.54970e-17
328.33943,6.62360e-16,4.65080e-17
328.61421,6.46740e-16,4.53020e-17
328.88896,6.05880e-16,4.47830e-17
329.16372,6.86130e-16,4.64270e-17
329.43848,6.92070e-16,4.64670e-17
329.71323,5.96420e-16,4.49890e-17
329.98801,7.67860e-16,4.71230e-17
330.26277,6.72670e-16,4.52750e-17
330.53752,7.53760e-16,5.10250e-17
330.81230,6.79060e-16,4.75580e-17
331.08706,7.25340e-16,4.78540e-17
331.36184,7.15500e-16,4.61940e-17
331.63662,6.39710e-16,4.38480e-17
331.91138,6.48160e-16,4.42590e-17
332.18616,5.84240e-16,4.92570e-17
332.46094,6.42900e-16,4.41710e-17
332.73572,5.68920e-16,4.31380e-17
333.01050,6.95820e-16,4.66840e-17
333.28528,5.42910e-16,4.27090e-17
333.56006,6.00040e-16,4.19420e-17
333.83484,6.52390e-16,4.26420e-17
334.10962,5.93280e-16,4.20090e-17
334.38440,6.37050e-16,4.24810e-17
334.65918,5.75580e-16,7.07520e-17
334.93396,6.28390e-16,4.18670e-17
335.20876,6.87260e-16,4.39540e-17
335.48354,7.19320e-16,9.68540e-17
335.75833,5.91300e-16,4.16060e-17
336.03313,5.13600e-16,4.00870e-17
336.30791,5.80630e-16,4.05000e-17
336.58271,7.04410e-16,4.19400e-17
336.85750,6.22540e-16,4.07830e-17
337.13230,5.44490e-16,4.03720e-17
337.40710,6.17500e-16,4.14930e-17
337.68188,6.98290e-16,4.21190e-17
337.95669,6.18640e-16,4.40560e-17
338.23149,5.59130e-16,4.08360e-17
338.50630,6.93700e-16,4.67940e-17
338.78110,6.85890e-16,4.21190e-17
339.05591,5.64530e-16,6.38340e-17
339.33071,6.27190e-16,3.97370e-17
339.60552,6.42630e-16,4.13190e-17
339.88032,6.04890e-16,4.01220e-17
340.15513,7.24730e-16,4.08210e-17
340.42993,6.45730e-16,3.97680e-17
340.70474,6.07490e-16,3.91420e-17
340.97957,6.09600e-16,3.96900e-17
341.25437,6.05680e-16,3.91830e-17
341.52917,6.24600e-16,4.29730e-17
341.80400,6.44570e-16,4.83270e-17
342.07881,6.83580e-16,3.95950e-17
342.35364,7.07460e-16,3.98480e-17
342.62844,7.07500e-16,4.04360e-17
342.90327,6.93430e-16,3.95590e-17
343.17808,6.99460e-16,5.48310e-17
343.45291,7.22220e-16,4.11620e-17
343.72773,6.59990e-16,3.92410e-17
344.00254,5.97600e-16,3.76280e-17
344.27737,6.18550e-16,3.76310e-17
344.55220,5.85840e-16,3.71950e-17
344.82703,6.65610e-16,3.92070e-17
345.10186,6.37650e-16,3.93300e-17
345.37666,6.72280e-16,3.85590e-17
345.65149,6.79170e-16,3.94590e-17
345.92632,6.50670e-16,3.84320e-17
346.20115,6.26280e-16,3.75330e-17
346.47600,6.58480e-16,3.90610e-17
346.75083,6.71130e-16,4.05720e-17
347.02566,6.44250e-16,4.63130e-17
347.30049,5.88800e-16,3.79020e-17
347.57532,5.83060e-16,3.87570e-17
347.85017,6.04560e-16,3.66560e-17
348.12500,6.94010e-16,3.89330e-17
348.39983,7.06000e-16,3.79420e-17
348.67468,6.85480e-16,3.77630e-17
348.94951,6.36750e-16,3.73030e-17
349.22434,6.19900e-16,3.67530e-17
349.49919,6.12920e-16,4.03260e-17
349.77402,6.33350e-16,4.06760e-17
350.04888,6.66680e-16,3.70410e-17
350.32373,6.88110e-16,4.12500e-17
350.59856,6.86780e-16,3.76710e-17
350.87341,7.06500e-16,3.77690e-17
351.14827,7.11030e-16,3.83320e-17
351.42310,6.61090e-16,3.71140e-17
351.69795,6.39020e-16,3.67210e-17
351.97280,6.68550e-16,4.24340e-17
352.24766,5.80630e-16,3.60240e-17
352.52249,6.23010e-16,3.59930e-17
352.79734,6.31740e-16,3.61660e-17
353.07219,7.09280e-16,3.79260e-17
353.34705,7.11910e-16,3.72360e-17
353.62190,7.12060e-16,3.70890e-17
353.89675,6.55740e-16,3.60460e-17
354.17161,6.83290e-16,3.66020e-17
354.44646,7.38220e-16,4.44710e-17
354.72131,7.40370e-16,3.70860e-17
354.99619,8.00080e-16,3.82940e-17
355.27104,7.57560e-16,3.74230e-17
355.54590,7.38700e-16,3.70120e-17
355.82075,6.83400e-16,3.92520e-17
356.09561,7.52990e-16,3.69020e-17
356.37048,7.22330e-16,3.74410e-17
356.64534,6.19180e-16,3.55990e-17
356.92019,6.20640e-16,3.52770e-17
357.19507,6.01630e-16,4.45090e-17
357.46992,6.78080e-16,6.62030e-17
357.74478,6.74820e-16,3.73020e-17
358.01965,6.36560e-16,3.49460e-17
358.29451,6.26180e-16,3.47220e-17
358.56938,5.50950e-16,3.39050e-17
358.84424,5.28120e-16,3.29440e-17
359.11912,6.45600e-16,3.56640e-17
359.39399,7.46900e-16,3.72290e-17
359.66885,6.75470e-16,3.54870e-17
359.94373,7.07330e-16,3.73070e-17
360.21858,7.02040e-16,3.58350e-17
360.49346,6.55430e-16,3.56580e-17
360.76833,6.58110e-16,3.88730e-17
361.04321,6.59110e-16,4.16330e-17
361.31807,6.72460e-16,3.63730e-17
361.59294,6.85070e-16,3.59410e-17
361.86782,6.67020e-16,3.44270e-17
362.14270,6.31250e-16,3.68660e-17
362.41758,6.46430e-16,3.44620e-17
362.69243,7.28350e-16,3.58190e-17
362.96731,6.52540e-16,3.66980e-17
363.24219,7.03280e-16,3.64840e-17
363.51707,6.20920e-16,3.35580e-17
363.79194,6.50710e-16,3.39150e-17
364.06682,7.41440e-16,3.63200e-17
364.34170,6.34970e-16,3.38860e-17
364.61658,6.57180e-16,3.49680e-17
364.89146,6.62410e-16,3.45000e-17
365.16633,6.89930e-16,4.14710e-17
365.44121,6.79030e-16,3.35560e-17
365.71609,7.56010e-16,3.64850e-17
365.99097,7.37760e-16,3.43490e-17
366.26587,6.97100e-16,3.62710e-17
366.54075,7.35800e-16,3.40540e-17
366.81563,7.45370e-16,3.45340e-17
367.09050,7.59230e-16,3.60530e-17
367.36538,7.56690e-16,4.85250e-17
367.64028,7.21770e-16,3.46480e-17
367.91516,7.29810e-16,3.39360e-17
368.19004,7.47870e-16,3.53790e-17
368.46492,7.51270e-16,4.79190e-17
368.73982,7.49530e-16,3.39850e-17
369.01470,7.16310e-16,3.34990e-17
369.28958,7.35290e-16,8.92340e-17
369.56448,7.57430e-16,3.39030e-17
369.83936,8.69390e-16,3.47830e-17
370.11423,7.56680e-16,3.38480e-17
370.38914,7.47460e-16,4.00390e-17
370.66401,6.54230e-16,3.21320e-17
370.93892,6.91820e-16,3.23370e-17
371.21379,7.41680e-16,3.29860e-17
371.48870,7.24880e-16,3.25010e-17
371.76357,7.55200e-16,3.47720e-17
372.03845,7.43900e-16,3.27810e-17
372.31335,6.64920e-16,3.19530e-17
372.58823,7.46420e-16,3.24510e-17
372.86313,7.56490e-16,3.25670e-17
373.13804,7.58380e-16,3.32320e-17
373.41291,6.88220e-16,3.11290e-17
373.68782,5.70900e-16,2.92320e-17
373.96270,7.13100e-16,3.14140e-17
374.23760,7.65150e-16,3.24860e-17
374.51248,6.70990e-16,3.06680e-17
374.78738,6.09530e-16,3.03040e-17
375.06228,6.32050e-16,3.03870e-17
375.33716,7.57530e-16,5.07270e-17
375.61206,8.31920e-16,3.21200e-17
375.88696,7.64660e-16,3.57990e-17
376.16184,6.89350e-16,4.38680e-17
376.43674,7.89780e-16,3.31010e-17
376.71162,7.99560e-16,3.13280e-17
376.98652,7.29450e-16,3.01180e-17
377.26143,7.56730e-16,3.12900e-17
377.53633,8.64710e-16,3.22960e-17
377.81121,9.13620e-16,4.65480e-17
378.08611,9.33370e-16,3.24700e-17
378.36101,9.56180e-16,3.35240e-17
378.63589,8.79270e-16,3.15330e-17
378.91079,7.83200e-16,3.14330e-17
379.18569,8.38830e-16,3.28600e-17
379.46060,8.24250e-16,3.02020e-17
379.73547,6.65650e-16,2.79920e-17
380.01038,7.90950e-16,3.04140e-17
380.28528,9.03160e-16,3.61140e-17
380.56018,9.29830e-16,3.76600e-17
380.83508,9.46040e-16,3.15070e-17
381.10996,9.17420e-16,3.90230e-17
381.38486,8.83970e-16,3.07740e-17
381.65977,7.99980e-16,2.92450e-17
381.93467,8.22690e-16,2.96590e-17
382.20955,8.07450e-16,2.92730e-17
382.48445,7.31750e-16,2.83460e-17
382.75935,7.25400e-16,2.80340e-17
383.03425,6.50730e-16,2.71620e-17
383.30916,5.74900e-16,2.55570e-17
383.58406,5.57560e-16,2.52730e-17
383.85894,5.40080e-16,2.48210e-17
384.13384,6.91310e-16,2.74930e-17
384.40874,8.37380e-16,3.17280e-17
384.68364,8.63970e-16,2.90070e-17
384.95854,8.25220e-16,3.43960e-17
385.23342,8.51660e-16,2.87560e-17
385.50833,9.08020e-16,2.94710e-17
385.78323,8.96920e-16,3.24630e-17
386.05813,8.92220e-16,2.87840e-17
386.33303,9.01890e-16,2.97820e-17
386.60793,9.05790e-16,2.95140e-17
386.88281,9.46710e-16,2.91210e-17
387.15771,9.00960e-16,2.83230e-17
387.43262,8.64390e-16,2.85550e-17
387.70752,8.57190e-16,2.78980e-17
387.98242,8.43890e-16,2.76640e-17
388.25732,8.15930e-16,2.75220e-17
388.53220,8.05790e-16,2.70030e-17
388.80710,7.21460e-16,2.57610e-17
389.08201,6.29610e-16,2.48410e-17
389.35691,7.55510e-16,2.60740e-17
389.63181,8.32540e-16,2.69570e-17
389.90669,8.33620e-16,2.70470e-17
390.18159,8.32810e-16,2.67780e-17
390.45649,8.44530e-16,2.68760e-17
390.73140,8.30210e-16,2.66500e-17
