wave,flux,fluxerr
166.86985,6.65940e-11,6.74860e-13
167.00695,6.33850e-11,6.48160e-13
167.14404,6.97020e-11,6.58580e-13
167.28115,7.15790e-11,4.73550e-13
167.41825,7.38060e-11,4.69630e-13
167.55536,7.86560e-11,4.71140e-13
167.69246,7.96190e-11,4.65490e-13
167.82957,8.09730e-11,4.57720e-13
167.96667,7.98280e-11,4.44680e-13
168.10378,8.04100e-11,4.39250e-13
168.24091,8.17800e-11,4.33850e-13
168.37802,8.27360e-11,4.28900e-13
168.51512,8.02290e-11,4.16420e-13
168.65225,7.90040e-11,4.08000e-13
168.78937,8.07920e-11,4.04500e-13
168.92649,8.22460e-11,4.00900e-13
169.06361,8.08610e-11,3.92240e-13
169.20073,8.05510e-11,3.86470e-13
169.33785,7.83390e-11,3.76230e-13
169.47498,7.66610e-11,3.67010e-13
169.61211,7.53890e-11,3.60450e-13
169.74923,7.62740e-11,3.58400e-13
169.88636,7.83820e-11,3.58790e-13
170.02350,7.78710e-11,3.55300e-13
170.16063,7.64960e-11,3.47330e-13
170.29777,7.66610e-11,3.42800e-13
170.43490,7.71560e-11,3.41230e-13
170.57203,7.68260e-11,3.38630e-13
170.70918,7.66720e-11,3.33150e-13
170.84631,7.82130e-11,3.33330e-13
170.98346,7.90460e-11,3.31060e-13
171.12059,7.83570e-11,3.26820e-13
171.25774,7.67220e-11,3.21400e-13
171.39489,7.80320e-11,3.23820e-13
171.53203,7.92490e-11,3.23050e-13
171.66918,7.95190e-11,3.19660e-13
171.80634,7.87030e-11,3.14530e-13
171.94348,7.44150e-11,3.03380e-13
172.08064,7.41380e-11,3.01980e-13
172.21779,7.50510e-11,3.03610e-13
172.35494,7.30990e-11,2.94720e-13
172.49210,7.21650e-11,2.91050e-13
172.62926,7.60510e-11,2.95610e-13
172.76642,8.20640e-11,3.04840e-13
172.90358,8.26250e-11,3.03560e-13
173.04075,7.94460e-11,2.96150e-13
173.17791,7.64930e-11,2.88400e-13
173.31508,7.55490e-11,2.85360e-13
173.45223,7.77450e-11,2.88360e-13
173.58940,7.83540e-11,2.86620e-13
173.72657,7.97000e-11,2.87940e-13
173.86375,8.19730e-11,2.90220e-13
174.00092,8.13320e-11,2.87820e-13
174.13809,7.98620e-11,2.82550e-13
174.27527,7.95340e-11,2.80070e-13
174.41244,7.93330e-11,2.78340e-13
174.54962,7.82410e-11,2.75000e-13
174.68679,7.92470e-11,2.73630e-13
174.82397,8.11830e-11,2.76040e-13
174.96116,8.39080e-11,2.79070e-13
175.09834,8.43540e-11,2.79030e-13
175.23552,8.57260e-11,2.77960e-13
175.37271,8.95880e-11,2.81860e-13
175.50990,9.18610e-11,2.83770e-13
175.64708,9.03220e-11,2.79940e-13
175.78428,8.59620e-11,2.72330e-13
175.92146,8.11660e-11,2.63720e-13
176.05865,7.76880e-11,2.56020e-13
176.19585,7.73540e-11,2.53310e-13
176.33304,7.62240e-11,2.51730e-13
176.47024,7.40310e-11,2.46870e-13
176.60743,7.68090e-11,2.50210e-13
176.74463,7.92020e-11,2.52200e-13
176.88184,7.98820e-11,2.51240e-13
177.01903,8.13820e-11,2.53440e-13
177.15624,8.15460e-11,2.52610e-13
177.29344,8.24280e-11,2.51780e-13
177.43064,8.42160e-11,2.53020e-13
177.56785,8.45250e-11,2.52360e-13
177.70505,8.61570e-11,2.53030e-13
177.84227,8.73570e-11,2.53480e-13
177.97948,8.74390e-11,2.53460e-13
178.11669,8.56180e-11,2.49480e-13
178.25391,8.51110e-11,2.46990e-13
178.39111,8.42630e-11,2.44830e-13
178.52833,8.18260e-11,2.39820e-13
178.66554,8.04180e-11,2.36900e-13
178.80276,8.21490e-11,2.37670e-13
178.93998,8.83410e-11,2.46280e-13
179.07720,9.24220e-11,2.50190e-13
179.21442,9.39040e-11,2.50350e-13
179.35165,9.39990e-11,2.49610e-13
179.48887,9.38200e-11,2.47990e-13
179.62609,9.16910e-11,2.44000e-13
179.76332,9.05930e-11,2.41160e-13
179.90055,9.25400e-11,2.42830e-13
180.03777,9.42440e-11,2.44350e-13
180.17500,9.42760e-11,2.43000e-13
180.31223,9.18110e-11,2.38850e-13
180.44946,8.81080e-11,2.32660e-13
180.58669,8.70290e-11,2.30550e-13
180.72393,8.30160e-11,2.23790e-13
180.86117,8.36890e-11,2.22210e-13
180.99840,8.76080e-11,2.27940e-13
181.13564,9.02830e-11,2.30130e-13
181.27288,8.98910e-11,2.29050e-13
181.41012,8.77400e-11,2.25670e-13
181.54736,8.60750e-11,2.22070e-13
181.68461,8.44870e-11,2.19010e-13
181.82185,8.59730e-11,2.21370e-13
181.95909,8.58020e-11,2.19520e-13
182.09634,8.62850e-11,2.19250e-13
182.23358,8.68440e-11,2.18870e-13
182.37084,8.74790e-11,2.18740e-13
182.50808,8.69370e-11,2.17380e-13
182.64534,8.46740e-11,2.13810e-13
182.78259,8.39890e-11,2.11780e-13
182.91984,8.30120e-11,2.09650e-13
183.05709,7.96270e-11,2.05170e-13
183.19435,7.90600e-11,2.03280e-13
183.33160,8.24820e-11,2.06520e-13
183.46886,8.38680e-11,2.08240e-13
183.60613,8.40370e-11,2.06700e-13
183.74338,8.34210e-11,2.05440e-13
183.88064,7.99570e-11,2.00690e-13
184.01791,7.57560e-11,1.94510e-13
184.15516,7.34830e-11,1.89680e-13
184.29243,7.47390e-11,1.92140e-13
184.42970,7.59720e-11,1.92580e-13
184.56697,7.58760e-11,1.91670e-13
184.70424,7.55850e-11,1.90600e-13
184.84150,7.85100e-11,1.93620e-13
184.97877,8.04010e-11,1.96200e-13
185.11604,7.82910e-11,1.91940e-13
185.25332,7.62910e-11,1.88880e-13
185.39059,7.78450e-11,1.89970e-13
185.52787,7.98820e-11,1.91900e-13
185.66514,8.14410e-11,1.93260e-13
185.80242,7.96090e-11,1.90400e-13
185.93970,7.78440e-11,1.87610e-13
186.07697,7.88760e-11,1.88620e-13
186.21425,8.00010e-11,1.88910e-13
186.35153,7.93340e-11,1.87450e-13
186.48882,7.86240e-11,1.85250e-13
186.62610,7.97080e-11,1.86500e-13
186.76338,8.15420e-11,1.88210e-13
186.90066,8.29990e-11,1.89160e-13
187.03795,8.35870e-11,1.89240e-13
187.17523,8.42310e-11,1.89560e-13
187.31252,8.39140e-11,1.89360e-13
187.44982,8.26330e-11,1.86210e-13
