wave,flux,fluxerr
166.90067,3.90540e-11,3.22940e-13
167.03777,3.78980e-11,3.12040e-13
167.17485,4.07300e-11,3.16160e-13
167.31196,4.25510e-11,2.20050e-13
167.44906,4.33960e-11,2.17970e-13
167.58616,4.49930e-11,2.16910e-13
167.72325,4.52440e-11,2.14750e-13
167.86036,4.59090e-11,2.10460e-13
167.99746,4.61420e-11,2.06310e-13
168.13457,4.64440e-11,2.04080e-13
168.27168,4.67940e-11,2.01390e-13
168.40879,4.68130e-11,1.98370e-13
168.54590,4.51830e-11,1.93300e-13
168.68301,4.54510e-11,1.92200e-13
168.82013,4.62630e-11,1.89070e-13
168.95724,4.68840e-11,1.86440e-13
169.09436,4.62870e-11,1.82820e-13
169.23148,4.58560e-11,1.80250e-13
169.36860,4.53450e-11,1.76620e-13
169.50571,4.45020e-11,1.73030e-13
169.64285,4.37320e-11,1.69470e-13
169.77997,4.45090e-11,1.69500e-13
169.91709,4.49110e-11,1.68310e-13
170.05422,4.41710e-11,1.65410e-13
170.19135,4.36460e-11,1.62970e-13
170.32848,4.36890e-11,1.60600e-13
170.46561,4.36640e-11,1.58990e-13
170.60273,4.38290e-11,1.58870e-13
170.73987,4.29780e-11,1.54960e-13
170.87701,4.30610e-11,1.53810e-13
171.01415,4.27100e-11,1.51510e-13
171.15128,4.28310e-11,1.50290e-13
171.28843,4.31820e-11,1.50060e-13
171.42556,4.35110e-11,1.51190e-13
171.56271,4.36780e-11,1.49030e-13
171.69985,4.33080e-11,1.46990e-13
171.83700,4.27720e-11,1.44670e-13
171.97415,4.08700e-11,1.40380e-13
172.11129,4.06210e-11,1.39300e-13
172.24844,4.08880e-11,1.39600e-13
172.38560,4.02480e-11,1.36680e-13
172.52274,3.98090e-11,1.34780e-13
172.65990,4.14150e-11,1.36460e-13
172.79706,4.36140e-11,1.39140e-13
172.93422,4.36360e-11,1.37940e-13
173.07137,4.21010e-11,1.34820e-13
173.20853,4.14730e-11,1.32680e-13
173.34569,4.11250e-11,1.31560e-13
173.48285,4.23460e-11,1.33240e-13
173.62002,4.23710e-11,1.31720e-13
173.75718,4.24680e-11,1.31530e-13
173.89435,4.36190e-11,1.32790e-13
174.03152,4.37020e-11,1.32250e-13
174.16868,4.30100e-11,1.29980e-13
174.30585,4.30020e-11,1.29100e-13
174.44302,4.37670e-11,1.29370e-13
174.58020,4.30310e-11,1.27620e-13
174.71737,4.28710e-11,1.26860e-13
174.85454,4.27980e-11,1.25580e-13
174.99172,4.31870e-11,1.25250e-13
175.12891,4.37420e-11,1.25500e-13
175.26608,4.44930e-11,1.25730e-13
175.40326,4.57860e-11,1.26600e-13
175.54044,4.67670e-11,1.27240e-13
175.67762,4.60830e-11,1.25620e-13
175.81481,4.44870e-11,1.23090e-13
175.95200,4.18690e-11,1.18870e-13
176.08918,4.02370e-11,1.15690e-13
176.22638,4.03420e-11,1.15410e-13
176.36356,4.07750e-11,1.15460e-13
176.50076,4.06270e-11,1.14720e-13
176.63795,4.12950e-11,1.15140e-13
176.77515,4.13350e-11,1.14380e-13
