wave,flux,fluxerr
114.86000,1.03798e-11,7.40009e-13
114.98000,9.65044e-12,5.76114e-13
115.10000,1.01019e-11,6.98574e-13
115.22000,1.01020e-11,8.03097e-13
115.34000,9.38873e-12,5.89520e-13
115.46000,9.92553e-12,3.24007e-13
115.58000,1.04405e-11,4.03519e-13
115.70000,1.02355e-11,5.43484e-13
115.82000,9.93646e-12,3.85809e-13
115.92000,1.03669e-11,1.89856e-13
116.04000,1.06239e-11,1.89510e-13
116.16000,1.11261e-11,4.68387e-13
116.28000,1.09444e-11,5.86984e-13
116.40000,1.12736e-11,3.70023e-13
116.52000,1.07861e-11,5.31032e-13
116.64000,1.06960e-11,4.50916e-13
116.76000,1.06734e-11,3.94113e-13
116.88000,1.04396e-11,4.84801e-13
116.98000,1.03723e-11,6.01321e-13
117.10000,1.03656e-11,6.15729e-13
117.22000,1.02878e-11,5.48099e-13
117.34000,9.67286e-12,4.78526e-13
117.46000,1.01315e-11,3.43380e-13
117.58000,9.73448e-12,2.98090e-13
117.70000,9.79624e-12,1.74746e-13
117.82000,9.80614e-12,1.74923e-13
117.94000,9.99107e-12,1.78222e-13
118.06000,9.91632e-12,1.87502e-13
118.16000,9.91844e-12,3.36254e-13
118.28000,1.00488e-11,1.95790e-13
118.40000,9.52319e-12,2.51109e-13
118.52000,9.19993e-12,3.66865e-13
118.64000,9.69370e-12,4.25589e-13
118.76000,9.31350e-12,4.07687e-13
118.88000,9.05655e-12,2.13512e-13
119.00000,9.30199e-12,2.64608e-13
119.12000,9.27175e-12,2.64953e-13
119.24000,9.25177e-12,1.91076e-13
119.34000,8.80826e-12,1.71619e-13
119.46000,8.64771e-12,1.68491e-13
119.58000,8.45906e-12,1.64815e-13
119.70000,8.35664e-12,3.30524e-13
119.82000,8.72228e-12,2.06765e-13
119.94000,7.98711e-12,3.10202e-13
120.06000,7.47777e-12,3.79270e-13
120.18000,7.99382e-12,6.38349e-13
120.30000,8.28104e-12,1.61347e-13
120.42000,8.35488e-12,2.38209e-13
120.52000,8.16637e-12,2.90115e-13
120.64000,8.51515e-12,2.33930e-13
120.76000,7.24658e-12,2.20729e-13
120.88000,6.42337e-12,3.67422e-13
121.00000,6.23663e-12,4.77261e-13
121.12000,5.64840e-12,4.84640e-13
121.24000,4.40078e-12,3.03016e-13
121.36000,3.39142e-12,3.18211e-13
121.48000,2.89995e-12,2.16402e-13
121.60000,2.79502e-12,3.11445e-13
121.70000,2.91258e-12,5.92074e-13
121.82000,3.53926e-12,6.28671e-13
121.94000,4.84394e-12,6.14405e-13
122.06000,5.51181e-12,6.84799e-13
122.18000,6.75898e-12,5.51785e-13
122.30000,7.73194e-12,4.27840e-13
122.42000,8.20603e-12,5.11099e-13
122.54000,8.30875e-12,4.52203e-13
122.66000,8.78706e-12,4.58832e-13
122.78000,8.92261e-12,4.98940e-13
122.88000,8.74688e-12,1.90874e-13
123.00000,8.68027e-12,3.17955e-13
123.12000,8.44659e-12,2.72641e-13
123.24000,8.70577e-12,2.08070e-13
123.36000,8.08333e-12,3.01864e-13
123.48000,8.94139e-12,3.00227e-13
123.60000,9.03357e-12,1.87156e-13
123.72000,8.06415e-12,3.23669e-13
123.84000,8.48733e-12,4.40976e-13
123.96000,8.51085e-12,3.61497e-13
124.06000,8.03425e-12,2.08196e-13
124.18000,7.81454e-12,1.52257e-13
124.30000,8.21440e-12,2.66214e-13
124.42000,8.18528e-12,3.06735e-13
124.54000,8.39571e-12,1.92480e-13
124.66000,8.57994e-12,3.47157e-13
124.78000,8.50063e-12,2.84875e-13
124.90000,8.35695e-12,2.24699e-13
125.02000,8.15560e-12,3.53293e-13
125.14000,7.63657e-12,2.06818e-13
125.24000,7.85277e-12,2.86624e-13
125.36000,7.72775e-12,1.85197e-13
125.48000,7.95581e-12,2.69717e-13
125.60000,7.78838e-12,2.16493e-13
125.72000,7.30674e-12,1.62769e-13
125.84000,7.34452e-12,2.21327e-13
125.96000,7.52885e-12,2.60132e-13
126.08000,7.90841e-12,2.65028e-13
126.20000,7.82494e-12,2.67822e-13
126.32000,8.00571e-12,1.72100e-13
126.42000,7.69889e-12,2.15006e-13
126.54000,7.85096e-12,2.17004e-13
126.66000,8.27998e-12,2.30557e-13
126.78000,7.90533e-12,2.45482e-13
126.90000,8.00700e-12,2.93449e-13
127.02000,7.98683e-12,1.73882e-13
127.14000,8.11130e-12,3.46540e-13
127.26000,8.20832e-12,1.89908e-13
127.38000,8.34214e-12,2.56809e-13
127.50000,7.79944e-12,2.39595e-13
127.60000,8.07729e-12,1.64196e-13
