wave,flux,fluxerr
114.86000,2.50680e-11,2.03971e-12
114.98000,2.63352e-11,2.54618e-12
115.10000,2.54967e-11,1.45006e-12
115.22000,2.51957e-11,7.29240e-13
115.34000,2.55179e-11,1.65531e-12
115.45000,2.51150e-11,1.44674e-12
115.57000,2.60495e-11,9.66644e-13
115.69000,2.69956e-11,1.14920e-12
115.81000,2.56370e-11,1.14045e-12
115.93000,2.57385e-11,7.73938e-13
116.04000,2.64144e-11,7.94263e-13
116.16000,2.66050e-11,7.32578e-13
116.28000,2.60677e-11,1.01135e-12
116.40000,2.51503e-11,6.71279e-13
116.52000,2.53421e-11,6.50713e-13
116.63000,2.43217e-11,6.10818e-13
116.75000,2.45910e-11,6.24503e-13
116.87000,2.53124e-11,7.29769e-13
116.99000,2.56140e-11,9.83657e-13
117.11000,2.50731e-11,6.33922e-13
117.22000,2.46342e-11,4.16142e-13
117.34000,2.47090e-11,6.77590e-13
117.46000,2.44328e-11,7.22296e-13
117.58000,2.53758e-11,8.40194e-13
117.70000,2.53908e-11,7.54904e-13
117.81000,2.55026e-11,4.30812e-13
117.93000,2.57899e-11,4.45831e-13
118.05000,2.57120e-11,4.34348e-13
118.17000,2.57095e-11,6.15269e-13
118.29000,2.51721e-11,4.87595e-13
118.40000,2.54646e-11,5.00430e-13
118.52000,2.50311e-11,4.98960e-13
118.64000,2.32413e-11,4.01773e-13
118.76000,2.32247e-11,5.66264e-13
118.88000,2.30327e-11,5.27863e-13
118.99000,2.30727e-11,4.78110e-13
119.11000,2.36092e-11,3.98826e-13
119.23000,2.37566e-11,5.81908e-13
119.35000,2.31072e-11,5.47786e-13
119.47000,2.22825e-11,3.76416e-13
119.58000,2.15769e-11,3.64496e-13
119.70000,2.13366e-11,3.68847e-13
119.82000,2.14636e-11,6.50230e-13
119.94000,2.14059e-11,3.61606e-13
120.06000,2.12500e-11,4.71452e-13
120.17000,2.17337e-11,4.18545e-13
120.29000,2.15573e-11,5.14686e-13
120.41000,2.09392e-11,3.53724e-13
120.53000,2.11912e-11,3.57980e-13
120.65000,2.12666e-11,5.72412e-13
120.76000,2.14864e-11,5.46869e-13
120.88000,2.02213e-11,3.99666e-13
121.00000,1.93265e-11,5.45220e-13
121.12000,1.84579e-11,5.79960e-13
121.24000,1.65859e-11,6.44422e-13
121.35000,1.50329e-11,4.78270e-13
121.47000,1.29902e-11,5.75667e-13
121.59000,1.37159e-11,1.31065e-12
121.71000,1.63558e-11,2.08327e-12
121.83000,1.82548e-11,1.89651e-12
121.94000,2.01962e-11,1.54551e-12
122.06000,2.14045e-11,1.12694e-12
122.18000,2.11531e-11,8.98107e-13
122.30000,2.08201e-11,3.81021e-13
122.42000,2.14697e-11,5.22265e-13
122.53000,2.16252e-11,4.11585e-13
122.65000,2.13399e-11,5.49148e-13
122.77000,2.08313e-11,4.99305e-13
122.89000,2.07648e-11,4.56835e-13
123.00000,2.01803e-11,3.50508e-13
123.12000,1.93127e-11,3.39911e-13
123.24000,1.90498e-11,4.24784e-13
123.36000,1.90998e-11,3.58142e-13
123.48000,1.87232e-11,3.70727e-13
123.59000,1.93081e-11,4.80680e-13
123.71000,1.91836e-11,7.38585e-13
123.83000,1.80412e-11,3.48450e-13
123.95000,1.79953e-11,6.53584e-13
124.07000,1.82237e-11,5.00771e-13
124.18000,1.75434e-11,4.82075e-13
124.30000,1.78724e-11,4.66964e-13
124.42000,1.82523e-11,4.57361e-13
124.54000,1.79578e-11,5.12675e-13
124.66000,1.89091e-11,4.05063e-13
124.77000,1.88987e-11,5.98506e-13
124.89000,1.85713e-11,5.76310e-13
125.01000,1.76388e-11,5.77069e-13
125.13000,1.62337e-11,2.83839e-13
125.25000,1.62816e-11,2.82793e-13
125.36000,1.71690e-11,4.29416e-13
125.48000,1.73187e-11,4.07091e-13
125.60000,1.75705e-11,4.16060e-13
125.72000,1.70933e-11,3.65175e-13
125.84000,1.64818e-11,3.20622e-13
125.95000,1.68341e-11,5.26299e-13
126.07000,1.73402e-11,5.32083e-13
126.19000,1.73633e-11,4.70464e-13
126.31000,1.73858e-11,3.40219e-13
126.43000,1.78082e-11,3.18815e-13
126.54000,1.68845e-11,3.02279e-13
126.66000,1.72442e-11,3.50524e-13
126.78000,1.77676e-11,3.71998e-13
126.90000,1.75098e-11,4.56768e-13
127.02000,1.80525e-11,3.64023e-13
127.13000,1.76193e-11,3.75042e-13
127.25000,1.84586e-11,3.71049e-13
127.37000,1.89894e-11,4.94481e-13
127.49000,1.95611e-11,5.28721e-13
127.61000,1.78340e-11,3.27919e-13
127.72000,1.77495e-11,3.26365e-13
127.84000,1.81986e-11,3.34622e-13
127.96000,1.84840e-11,3.86318e-13
128.08000,1.82161e-11,3.51120e-13
128.20000,1.79593e-11,3.59032e-13
128.31000,1.76214e-11,3.28091e-13
128.43000,1.75410e-11,3.22531e-13
128.55000,1.85802e-11,3.74663e-13
128.67000,1.85335e-11,3.40779e-13
128.79000,1.90119e-11,4.04686e-13
128.90000,1.99642e-11,4.24956e-13
129.02000,2.05911e-11,4.38300e-13
129.14000,2.05727e-11,4.37909e-13
129.26000,1.97741e-11,5.00882e-13
129.38000,1.89037e-11,5.84795e-13
129.49000,1.88974e-11,5.32308e-13
129.61000,1.87801e-11,4.89029e-13
129.73000,1.82919e-11,3.89361e-13
129.85000,1.82584e-11,4.83218e-13
129.97000,1.69740e-11,3.30217e-13
130.08000,1.56860e-11,3.33892e-13
130.20000,1.53198e-11,3.26096e-13
130.32000,1.59702e-11,3.39940e-13
130.44000,1.66745e-11,3.96329e-13
130.56000,1.63304e-11,2.90388e-13
130.67000,1.67445e-11,2.97751e-13
130.79000,1.64736e-11,4.82373e-13
130.91000,1.55239e-11,3.30441e-13
131.03000,1.61715e-11,3.44226e-13
131.15000,1.63188e-11,3.85571e-13
131.26000,1.60458e-11,3.41550e-13
131.38000,1.65615e-11,4.58283e-13
131.50000,1.61435e-11,2.96834e-13
131.62000,1.64931e-11,3.67120e-13
131.73000,1.62728e-11,3.56390e-13
131.85000,1.58853e-11,3.22902e-13
131.97000,1.66598e-11,4.59428e-13
132.09000,1.65688e-11,5.90154e-13
132.21000,1.67959e-11,6.38762e-13
132.32000,1.62679e-11,5.64430e-13
132.44000,1.62936e-11,5.66481e-13
132.56000,1.63623e-11,6.18791e-13
132.68000,1.64849e-11,7.32202e-13
132.80000,1.60522e-11,3.54215e-13
132.91000,1.66545e-11,9.33533e-13
133.03000,1.65750e-11,4.92762e-13
133.15000,1.58080e-11,4.09394e-13
133.27000,1.55765e-11,7.08684e-13
133.39000,1.50642e-11,4.54225e-13
133.50000,1.50662e-11,3.33580e-13
133.62000,1.53516e-11,3.94401e-13
133.74000,1.56488e-11,3.36588e-13
