wave,flux,fluxerr
114.01000,1.89520e-11,5.65486e-13
114.11000,1.93331e-11,5.01222e-13
114.21000,1.91848e-11,4.98827e-13
114.31000,1.93778e-11,4.94453e-13
114.41000,1.91396e-11,4.70287e-13
114.51000,1.94638e-11,4.53512e-13
114.61000,1.98793e-11,4.40087e-13
114.71000,1.92098e-11,3.88899e-13
114.81000,1.91100e-11,3.62238e-13
114.91500,1.89662e-11,3.50424e-13
115.01500,1.92409e-11,3.41245e-13
115.11500,1.92907e-11,3.33820e-13
115.21500,1.89993e-11,3.23027e-13
115.31500,1.92404e-11,3.16380e-13
115.41500,1.89907e-11,3.05310e-13
115.51500,1.89169e-11,2.95459e-13
115.61750,1.86084e-11,2.85055e-13
115.72001,1.84040e-11,2.74504e-13
115.82001,1.86497e-11,2.68084e-13
115.92001,1.84212e-11,2.59481e-13
116.02001,1.84348e-11,2.76679e-13
116.12001,1.85985e-11,2.79424e-13
116.22001,1.88273e-11,2.75225e-13
116.32001,1.87617e-11,2.68347e-13
116.42251,1.85538e-11,2.61421e-13
116.52500,1.82034e-11,2.35604e-13
116.62500,1.83380e-11,2.24278e-13
116.72500,1.80690e-11,2.19327e-13
116.82500,1.80047e-11,2.15327e-13
116.92500,1.82276e-11,2.12502e-13
117.02500,1.80400e-11,2.06685e-13
117.13000,1.80958e-11,2.03746e-13
117.23000,1.80752e-11,2.00598e-13
117.33000,1.79460e-11,1.96759e-13
117.43000,1.74520e-11,1.90980e-13
117.53000,1.68983e-11,1.86681e-13
117.63000,1.71298e-11,1.83863e-13
117.73000,1.76960e-11,1.82225e-13
117.83251,1.78818e-11,1.81518e-13
117.93500,1.76381e-11,1.78879e-13
118.03500,1.75662e-11,1.76835e-13
118.13500,1.75828e-11,1.72402e-13
118.23500,1.73127e-11,1.68403e-13
118.33500,1.70396e-11,1.62959e-13
118.43750,1.70221e-11,1.60327e-13
118.54000,1.71354e-11,1.58911e-13
118.64000,1.70466e-11,1.56214e-13
118.74000,1.70287e-11,1.52510e-13
118.84000,1.68015e-11,1.59088e-13
118.94000,1.66786e-11,1.61562e-13
119.04000,1.63814e-11,1.59255e-13
119.14250,1.66820e-11,1.58689e-13
119.24501,1.62943e-11,1.53963e-13
119.34501,1.59091e-11,1.40030e-13
119.44501,1.64742e-11,1.37489e-13
119.54501,1.68017e-11,1.37756e-13
119.64501,1.66684e-11,1.35968e-13
119.74751,1.65522e-11,1.35914e-13
119.85000,1.61141e-11,1.32978e-13
119.95000,1.52200e-11,1.26582e-13
120.05000,1.54434e-11,1.26721e-13
120.15000,1.58389e-11,1.28125e-13
120.25000,1.56613e-11,1.26252e-13
120.35000,1.54302e-11,1.23844e-13
120.45500,1.53016e-11,1.21601e-13
120.55500,1.52289e-11,1.19818e-13
120.65500,1.46521e-11,1.16067e-13
120.75500,1.45877e-11,1.14684e-13
120.85500,1.39209e-11,1.10302e-13
120.95751,1.33687e-11,1.06035e-13
121.06000,1.29147e-11,1.03780e-13
121.16000,1.20693e-11,9.92356e-14
121.26000,1.09510e-11,9.30679e-14
121.36000,9.29381e-12,8.34463e-14
121.46000,7.01776e-12,6.98757e-14
121.56250,5.37240e-12,6.00730e-14
121.66500,7.35567e-12,7.13626e-14
121.76500,9.17723e-12,8.02116e-14
121.86500,1.04436e-11,8.57464e-14
121.96500,1.15506e-11,9.01538e-14
122.06500,1.21985e-11,9.28276e-14
122.17001,1.26672e-11,9.43615e-14
122.27001,1.33190e-11,9.61805e-14
122.37001,1.37921e-11,9.73375e-14
122.47001,1.40162e-11,9.79973e-14
122.57001,1.42433e-11,9.80910e-14
122.67001,1.44353e-11,9.86888e-14
122.77500,1.47627e-11,9.91409e-14
122.87500,1.46783e-11,9.77744e-14
122.97500,1.45521e-11,9.63893e-14
123.07500,1.46644e-11,9.67270e-14
123.17500,1.47855e-11,1.00921e-13
123.27750,1.47569e-11,1.02626e-13
123.38000,1.46124e-11,1.01529e-13
123.48000,1.48416e-11,1.02588e-13
123.58000,1.47640e-11,1.02040e-13
123.68000,1.48320e-11,9.82554e-14
123.78000,1.46508e-11,9.53708e-14
123.88251,1.43429e-11,9.33847e-14
123.98500,1.47458e-11,9.51038e-14
124.08500,1.46870e-11,9.50637e-14
124.18500,1.43881e-11,9.29247e-14
124.28500,1.42768e-11,9.19500e-14
124.38750,1.46155e-11,9.25533e-14
124.49000,1.45864e-11,9.20056e-14
124.59000,1.45455e-11,9.12383e-14
124.69000,1.45188e-11,9.11270e-14
124.79000,1.45295e-11,9.10501e-14
124.89000,1.44494e-11,9.03574e-14
124.99501,1.42372e-11,8.93390e-14
125.09501,1.41814e-11,8.86064e-14
125.19501,1.42493e-11,8.84084e-14
125.29501,1.43736e-11,8.83928e-14
125.39501,1.44740e-11,8.83525e-14
125.49751,1.45494e-11,8.81704e-14
125.60000,1.45158e-11,8.72141e-14
125.70000,1.43891e-11,8.66489e-14
125.80000,1.43780e-11,8.64738e-14
125.90000,1.40781e-11,8.51387e-14
126.00000,1.36817e-11,8.37216e-14
126.10500,1.37804e-11,8.41748e-14
126.20500,1.39877e-11,8.47510e-14
126.30500,1.39482e-11,8.41007e-14
126.40500,1.39210e-11,8.37012e-14
126.50500,1.38790e-11,8.32285e-14
126.61000,1.38793e-11,8.28154e-14
126.71000,1.38442e-11,8.24923e-14
126.81000,1.38591e-11,8.22114e-14
126.91000,1.38483e-11,8.15781e-14
127.01000,1.37743e-11,8.12821e-14
127.11250,1.36896e-11,8.10497e-14
127.21500,1.35777e-11,8.09193e-14
127.31500,1.35638e-11,8.07586e-14
127.41500,1.34933e-11,8.06889e-14
127.51500,1.35391e-11,8.08497e-14
127.61750,1.34407e-11,8.02582e-14
127.72001,1.35253e-11,8.04304e-14
127.82001,1.34161e-11,7.97951e-14
127.92001,1.32636e-11,7.91608e-14
128.02001,1.33171e-11,7.95919e-14
128.12001,1.33103e-11,7.93018e-14
128.22500,1.32709e-11,7.80997e-14
128.32500,1.33572e-11,7.81131e-14
128.42500,1.33539e-11,7.83615e-14
128.52500,1.32946e-11,7.82941e-14
128.62500,1.31562e-11,7.77121e-14
128.73000,1.31905e-11,7.70517e-14
128.83000,1.31981e-11,7.65563e-14
128.93000,1.31561e-11,7.98460e-14
129.03000,1.30793e-11,8.19216e-14
129.13000,1.31953e-11,8.24770e-14
129.23000,1.30729e-11,8.18621e-14
129.33500,1.29394e-11,8.10039e-14
129.43500,1.28694e-11,7.67850e-14
129.53500,1.27980e-11,7.50183e-14
129.63500,1.27795e-11,7.47852e-14
129.73500,1.26950e-11,7.47244e-14
129.84000,1.28042e-11,7.55138e-14
129.94000,1.27402e-11,7.49082e-14
130.04000,1.25329e-11,7.29490e-14
130.14000,1.22520e-11,7.12241e-14
130.24000,1.21273e-11,7.08215e-14
130.34250,1.23273e-11,7.22253e-14
130.44501,1.22185e-11,7.24521e-14
130.54501,1.23286e-11,7.28483e-14
130.64501,1.24132e-11,7.69926e-14
130.74501,1.24629e-11,7.90083e-14
130.84751,1.24405e-11,7.87137e-14
130.95000,1.23161e-11,7.88353e-14
131.05000,1.22100e-11,7.84833e-14
131.15000,1.22460e-11,7.87201e-14
131.25000,1.22115e-11,7.81198e-14
131.35000,1.23383e-11,8.48309e-14
131.45500,1.22993e-11,8.70849e-14
131.55500,1.21985e-11,8.64803e-14
131.65500,1.22449e-11,7.95519e-14
131.75500,1.20999e-11,7.60997e-14
131.85500,1.20585e-11,7.18197e-14
131.96000,1.20666e-11,7.08547e-14
132.06000,1.20706e-11,7.15498e-14
132.16000,1.19110e-11,7.09554e-14
132.26000,1.19557e-11,7.10287e-14
132.36000,1.20313e-11,7.52856e-14
132.46000,1.20341e-11,7.66281e-14
132.56500,1.20734e-11,7.63806e-14
132.66500,1.20427e-11,7.62596e-14
132.76500,1.18872e-11,7.61566e-14
132.86500,1.17822e-11,7.20078e-14
132.96500,1.18193e-11,7.41789e-14
133.07001,1.18543e-11,7.52484e-14
133.17001,1.18625e-11,7.44441e-14
133.27001,1.17368e-11,7.39656e-14
133.37001,1.13166e-11,7.25202e-14
133.47001,1.11220e-11,6.83946e-14
133.57251,1.14557e-11,6.84030e-14
133.67500,1.16265e-11,6.87935e-14
133.77500,1.16896e-11,6.83281e-14
133.87500,1.15293e-11,6.66707e-14
133.97500,1.15920e-11,6.67003e-14
134.07500,1.16132e-11,6.70613e-14
134.18000,1.16618e-11,6.76272e-14
134.28000,1.13944e-11,6.65606e-14
134.38000,1.12401e-11,6.61330e-14
134.48000,1.11309e-11,6.59016e-14
134.58000,1.12201e-11,6.59821e-14
134.68000,1.13227e-11,6.61148e-14
134.78500,1.14021e-11,6.60710e-14
134.88500,1.13559e-11,6.52969e-14
134.98500,1.12635e-11,6.44052e-14
135.08500,1.11652e-11,6.38198e-14
135.18500,1.11501e-11,6.43964e-14
135.28750,1.11635e-11,6.51677e-14
135.39000,1.11792e-11,6.48186e-14
135.49000,1.09727e-11,6.36080e-14
135.59000,1.09639e-11,6.31756e-14
135.69000,1.08740e-11,6.56999e-14
135.79000,1.09098e-11,6.75912e-14
135.89250,1.09362e-11,6.81642e-14
135.99501,1.08442e-11,6.82481e-14
136.09501,1.06928e-11,6.80253e-14
136.19501,1.06000e-11,6.38998e-14
136.29501,1.07188e-11,6.26715e-14
136.39501,1.07306e-11,6.24114e-14
136.50000,1.07600e-11,6.24061e-14
136.60000,1.08397e-11,6.28607e-14
136.70000,1.07702e-11,6.23919e-14
136.80000,1.07315e-11,6.23657e-14
136.90000,1.06987e-11,6.22422e-14
137.00000,1.05558e-11,6.16419e-14
137.10500,1.05033e-11,6.14168e-14
137.20500,1.05838e-11,6.16573e-14
137.30500,1.05148e-11,6.47497e-14
137.40500,1.03675e-11,6.53296e-14
137.50500,1.04340e-11,6.56336e-14
137.60500,1.03957e-11,6.55791e-14
137.71000,1.04035e-11,6.54686e-14
137.81000,1.04332e-11,6.20297e-14
137.91000,1.03544e-11,6.06179e-14
138.01000,1.04849e-11,6.10216e-14
138.11000,1.03606e-11,6.27444e-14
138.21000,1.03486e-11,6.34617e-14
138.31250,1.03710e-11,6.37148e-14
138.41500,1.02789e-11,6.36385e-14
138.51500,1.02227e-11,6.30756e-14
138.61500,1.01715e-11,6.00330e-14
138.71500,1.01565e-11,5.88546e-14
138.81500,1.01103e-11,5.84873e-14
138.91500,1.01836e-11,5.88605e-14
139.02001,1.02822e-11,5.93750e-14
139.12001,1.02060e-11,5.87822e-14
139.22001,1.00403e-11,5.76429e-14
139.32001,9.69305e-12,5.60983e-14
139.42001,9.55894e-12,5.57398e-14
139.52001,9.89353e-12,5.74169e-14
139.62251,9.92217e-12,5.77920e-14
139.72500,9.88205e-12,5.75035e-14
139.82500,9.90309e-12,5.73911e-14
139.92500,1.00593e-11,5.74863e-14
140.02500,9.83994e-12,5.64876e-14
140.12500,9.72371e-12,5.60433e-14
140.22500,9.40334e-12,5.51512e-14
140.32750,9.42123e-12,5.52219e-14
140.43000,9.69734e-12,5.61804e-14
140.53000,9.66473e-12,5.61225e-14
140.63000,9.49144e-12,5.55373e-14
140.73000,9.34355e-12,5.52563e-14
140.83000,9.34089e-12,5.50426e-14
140.93000,9.18306e-12,5.40538e-14
141.03000,9.37510e-12,5.47151e-14
141.13501,9.47064e-12,5.50781e-14
141.23501,9.67021e-12,5.56481e-14
141.33501,9.52510e-12,5.49646e-14
141.43501,9.48024e-12,5.48007e-14
141.53501,9.31550e-12,5.41414e-14
141.63501,9.31496e-12,5.41405e-14
141.73501,9.33254e-12,5.45211e-14
141.84001,9.23983e-12,5.41215e-14
141.94001,9.28834e-12,5.38439e-14
142.04001,9.17670e-12,5.29308e-14
142.14001,9.27776e-12,5.31995e-14
142.24001,9.25886e-12,5.34773e-14
142.34001,9.29115e-12,5.36211e-14
142.44001,9.28422e-12,5.34838e-14
142.54001,9.24603e-12,5.31737e-14
142.64250,9.28659e-12,5.32357e-14
142.74501,9.16852e-12,5.30041e-14
142.84501,9.01883e-12,5.24519e-14
142.94501,8.78775e-12,5.16795e-14
143.04501,8.87001e-12,5.18357e-14
143.14501,8.92740e-12,5.17548e-14
143.24501,8.98831e-12,5.16598e-14
143.34501,8.97537e-12,5.16893e-14
143.44750,9.10388e-12,5.23097e-14
143.55000,9.10374e-12,5.23778e-14
143.65000,9.10730e-12,5.21855e-14
143.75000,9.05826e-12,5.19708e-14
143.85000,8.95816e-12,5.17700e-14
143.95000,8.92551e-12,5.16167e-14
144.05000,8.88395e-12,5.14177e-14
144.15000,8.98403e-12,5.16159e-14
144.25000,8.94468e-12,5.14645e-14
144.35000,8.95434e-12,5.17515e-14
144.45500,8.95176e-12,5.17794e-14
144.55500,8.86092e-12,5.11214e-14
144.65500,8.79045e-12,5.10839e-14
144.75500,8.79331e-12,5.10828e-14
144.85500,8.71887e-12,5.08070e-14
144.95500,8.72652e-12,5.05445e-14
145.05500,8.73849e-12,5.05827e-14
145.15500,8.71745e-12,5.05210e-14
145.25500,8.65165e-12,5.03876e-14
145.35500,8.68640e-12,5.08564e-14
145.46000,8.61765e-12,5.07225e-14
145.56000,8.49651e-12,5.01045e-14
145.66000,8.66422e-12,5.05814e-14
145.76000,8.67786e-12,5.04342e-14
145.86000,8.60325e-12,5.00982e-14
145.96000,8.42834e-12,4.93745e-14
146.06000,8.49547e-12,4.95988e-14
146.16000,8.50385e-12,4.94426e-14
146.26000,8.41503e-12,4.88597e-14
146.36000,8.44549e-12,4.91376e-14
146.46000,8.37337e-12,4.91264e-14
146.56000,8.44448e-12,4.93500e-14
146.66500,8.41081e-12,4.90011e-14
146.76500,8.31669e-12,4.84968e-14
146.86500,8.28399e-12,4.81416e-14
146.96500,8.49762e-12,4.89273e-14
147.06500,8.47504e-12,4.89501e-14
147.16500,8.36123e-12,4.85782e-14
