wave,flux,fluxerr
171.10697,1.11810e-13,7.23120e-15
171.24404,1.00570e-13,5.49260e-15
171.38112,9.81680e-14,5.97840e-15
171.51820,1.00540e-13,5.60320e-15
171.65527,9.74850e-14,5.17940e-15
171.79236,1.03380e-13,5.23600e-15
171.92943,1.06340e-13,6.17870e-15
172.06652,1.07220e-13,1.20670e-14
172.20360,1.09800e-13,5.07440e-15
172.34069,1.00800e-13,5.00040e-15
172.47778,1.05990e-13,4.98970e-15
172.61487,1.07530e-13,9.52390e-15
172.75195,9.36320e-14,4.69970e-15
172.88905,9.87140e-14,4.68410e-15
173.02615,1.02530e-13,5.41580e-15
173.16323,1.04810e-13,5.22540e-15
173.30033,9.73530e-14,4.60850e-15
173.43743,9.93270e-14,4.80890e-15
173.57452,9.44950e-14,4.86740e-15
173.71162,1.02790e-13,5.04860e-15
173.84873,1.10770e-13,4.75360e-15
173.98583,1.13540e-13,4.70920e-15
174.12294,1.05310e-13,4.40660e-15
174.26003,1.00590e-13,4.39570e-15
174.39714,1.04440e-13,4.39070e-15
174.53425,1.00580e-13,4.27020e-15
174.67136,9.57060e-14,4.82850e-15
174.80847,9.35280e-14,4.12200e-15
174.94558,8.84020e-14,4.10860e-15
175.08269,7.68620e-14,3.91910e-15
175.21981,7.78230e-14,4.12060e-15
175.35692,9.97650e-14,4.03500e-15
175.49404,9.72000e-14,4.19860e-15
175.63116,9.71690e-14,4.01470e-15
175.76827,9.41140e-14,4.69510e-15
175.90540,9.62680e-14,4.37880e-15
176.04252,1.07630e-13,3.98400e-15
176.17964,1.09490e-13,4.37870e-15
176.31677,1.10590e-13,3.95150e-15
176.45389,1.03040e-13,4.31750e-15
176.59102,1.01860e-13,4.00310e-15
176.72815,1.09980e-13,3.82740e-15
176.86528,1.12360e-13,3.82620e-15
177.00240,1.06950e-13,3.87500e-15
177.13954,1.04990e-13,3.92460e-15
177.27667,1.12330e-13,3.79580e-15
177.41381,1.11320e-13,3.75290e-15
177.55094,1.12440e-13,4.36680e-15
177.68809,1.12560e-13,3.68990e-15
177.82522,1.18660e-13,3.68060e-15
177.96235,1.04900e-13,3.55560e-15
178.09950,1.15900e-13,3.69570e-15
178.23665,1.14780e-13,3.75300e-15
178.37378,1.09290e-13,3.53950e-15
178.51093,1.13630e-13,3.61100e-15
178.64807,1.05800e-13,3.48070e-15
178.78522,1.11160e-13,6.24590e-15
178.92238,1.01190e-13,4.21480e-15
179.05952,1.10540e-13,3.44870e-15
179.19667,1.13080e-13,3.95370e-15
179.33383,1.23600e-13,3.52000e-15
179.47097,1.14290e-13,3.64790e-15
179.60813,1.22450e-13,3.52990e-15
179.74529,1.17120e-13,3.58590e-15
179.88243,1.13280e-13,5.47130e-15
180.01959,1.15780e-13,3.34240e-15
180.15675,1.17380e-13,3.32300e-15
180.29392,1.13760e-13,3.26800e-15
180.43108,1.15760e-13,3.36170e-15
180.56824,1.19150e-13,3.35450e-15
180.70541,1.16020e-13,3.36280e-15
180.84257,1.14800e-13,3.22980e-15
180.97974,1.16190e-13,3.20310e-15
181.11689,1.16410e-13,3.63450e-15
181.25406,1.17650e-13,3.14820e-15
181.39124,1.12460e-13,3.06760e-15
181.52841,1.18900e-13,3.12310e-15
181.66558,1.16640e-13,3.14140e-15
181.80275,1.18910e-13,3.23020e-15
181.93993,1.19310e-13,3.11620e-15
182.07710,1.18670e-13,6.25680e-15
182.21428,1.19590e-13,3.13050e-15
182.35145,1.18480e-13,3.03170e-15
182.48864,1.20410e-13,3.06550e-15
182.62582,1.23610e-13,3.45250e-15
182.76299,1.18470e-13,3.00360e-15
182.90017,1.14720e-13,2.95990e-15
183.03735,1.15880e-13,3.10980e-15
183.17454,1.20600e-13,2.95970e-15
183.31173,1.14370e-13,2.89250e-15
183.44891,1.26600e-13,3.63410e-15
183.58610,1.19350e-13,2.93270e-15
183.72329,1.22760e-13,3.32690e-15
183.86047,1.19640e-13,2.93470e-15
183.99767,1.23740e-13,2.87620e-15
184.13486,1.17450e-13,2.88280e-15
184.27206,1.23440e-13,2.93930e-15
184.40925,1.18960e-13,2.84390e-15
184.54645,1.21330e-13,3.06690e-15
184.68364,1.17990e-13,2.78530e-15
184.82084,1.16360e-13,2.74010e-15
184.95803,1.17260e-13,2.82790e-15
185.09523,1.23300e-13,2.98860e-15
185.23243,1.19340e-13,2.74060e-15
185.36963,1.22180e-13,2.88140e-15
185.50684,1.24290e-13,2.82900e-15
185.64404,1.18790e-13,2.70380e-15
185.78125,1.20980e-13,2.71910e-15
185.91846,1.18590e-13,2.76330e-15
186.05565,1.26400e-13,2.79960e-15
186.19287,1.25500e-13,2.70360e-15
186.33008,1.21350e-13,2.65730e-15
186.46729,1.19230e-13,2.66400e-15
186.60449,1.25540e-13,2.71500e-15
186.74171,1.21750e-13,2.64200e-15
186.87892,1.21100e-13,2.63840e-15
187.01614,1.23910e-13,2.63390e-15
187.15334,1.20910e-13,2.64700e-15
187.29056,1.18580e-13,2.56550e-15
187.42778,1.27150e-13,2.68250e-15
187.56500,1.24240e-13,2.68550e-15
187.70222,1.18710e-13,2.51450e-15
187.83944,1.19920e-13,2.54370e-15
187.97666,1.19770e-13,2.70030e-15
188.11388,1.23240e-13,2.54330e-15
188.25111,1.18600e-13,2.49730e-15
188.38833,1.24420e-13,2.55720e-15
188.52555,1.21580e-13,2.48570e-15
188.66278,1.15600e-13,2.42130e-15
188.80001,1.11930e-13,2.39250e-15
188.93723,1.10790e-13,2.41080e-15
189.07446,1.06440e-13,2.45380e-15
189.21169,1.12820e-13,7.43020e-15
189.34893,1.12420e-13,2.33560e-15
189.48616,1.11210e-13,2.34540e-15
189.62339,1.02490e-13,2.37560e-15
189.76062,1.03810e-13,2.27770e-15
189.89786,1.01360e-13,2.28950e-15
190.03510,9.70090e-14,2.19230e-15
190.17233,9.32570e-14,2.14080e-15
190.30957,8.50670e-14,2.09290e-15
190.44680,8.33630e-14,2.04520e-15
190.58405,8.21590e-14,2.04050e-15
190.72129,7.91810e-14,2.00660e-15
190.85853,7.15990e-14,1.99450e-15
190.99578,6.84660e-14,1.93080e-15
191.13302,6.76970e-14,2.00070e-15
191.27026,6.30140e-14,3.27390e-15
191.40751,5.94400e-14,2.50280e-15
191.54475,5.52510e-14,2.02080e-15
191.68199,5.12900e-14,1.85490e-15
191.81925,5.13850e-14,1.99260e-15
191.95649,4.45630e-14,1.61070e-15
192.09374,3.94200e-14,1.59460e-15
192.23099,3.65060e-14,1.57560e-15
192.36825,3.46770e-14,2.24660e-15
192.50549,2.41800e-14,1.41040e-15
192.64275,1.76990e-14,1.37920e-15
192.78000,1.40700e-14,1.90400e-15
192.91726,1.38490e-14,1.31200e-15
193.05452,1.37740e-14,1.27250e-15
193.19177,1.70030e-14,1.32950e-15
193.32903,3.60660e-14,1.78550e-15
193.46628,6.63960e-14,1.97770e-15
193.60355,9.26190e-14,2.50990e-15
193.74081,1.07920e-13,2.33470e-15
193.87808,1.18380e-13,2.11640e-15
194.01533,1.17130e-13,2.11580e-15
194.15260,1.17720e-13,2.20680e-15
194.28986,1.20440e-13,2.35220e-15
194.42712,1.23960e-13,2.13610e-15
194.56439,1.21490e-13,2.10670e-15
194.70166,1.31240e-13,2.17250e-15
194.83893,1.25910e-13,2.11980e-15
194.97620,1.31610e-13,2.14330e-15
195.11346,1.29530e-13,2.16080e-15
195.25073,1.29950e-13,2.16320e-15
195.38800,1.30920e-13,2.27490e-15
195.52527,1.29380e-13,2.12680e-15
195.66255,1.30110e-13,2.11880e-15
195.79982,1.29610e-13,2.08750e-15
