wave,flux,fluxerr
114.00526,-2.83270e-15,0.00000
114.06364,1.71600e-14,1.28530e-14
114.12200,-1.99140e-15,0.00000
114.18037,1.01460e-14,8.33890e-15
114.23875,7.87710e-15,7.13700e-15
114.29712,3.03360e-15,4.20670e-15
114.35548,-1.00750e-15,0.00000
114.41385,1.21460e-14,6.50120e-15
114.47223,4.66330e-15,3.82120e-15
114.53059,3.16970e-15,2.93310e-15
114.58896,9.83560e-15,4.65220e-15
114.64734,4.78210e-15,3.04800e-15
114.70570,4.85800e-15,2.91290e-15
114.76407,3.90920e-15,2.48660e-15
114.82245,4.99360e-15,2.68150e-15
114.88081,3.06340e-15,1.96320e-15
114.93918,3.19350e-15,1.91800e-15
114.99756,2.67610e-15,1.70740e-15
115.05592,7.07140e-16,9.65130e-16
115.11429,4.29090e-15,1.90240e-15
115.17266,3.02200e-15,1.62440e-15
115.23103,2.57420e-15,1.39320e-15
115.28939,1.18910e-15,9.82670e-16
115.34777,4.24260e-15,1.67590e-15
115.40613,1.09710e-15,9.04110e-16
115.46450,3.22370e-15,1.38710e-15
115.52286,3.41460e-15,1.42330e-15
115.58124,3.01050e-15,1.29460e-15
115.63960,2.96920e-15,1.27550e-15
115.69797,3.32410e-15,1.31330e-15
115.75634,4.07810e-15,1.43470e-15
115.81471,5.44390e-15,1.61230e-15
115.87307,4.72240e-15,1.51130e-15
115.93143,3.83810e-15,1.34970e-15
115.98981,2.36840e-15,1.02000e-15
116.04817,2.34120e-15,1.01040e-15
116.10654,3.71860e-15,1.25780e-15
116.16490,4.20990e-15,1.30620e-15
116.22327,3.55000e-15,1.20050e-15
116.28164,5.46950e-15,1.45980e-15
116.34000,3.43330e-15,1.12240e-15
116.39836,2.88280e-15,1.05940e-15
116.45673,3.78000e-15,1.14020e-15
116.51510,3.44720e-15,1.14200e-15
116.57346,3.33130e-15,1.06890e-15
116.63182,2.84740e-15,9.84530e-16
116.69019,3.32500e-15,1.08430e-15
116.74856,3.87750e-15,1.13250e-15
116.80692,2.28480e-15,8.62480e-16
116.86528,3.37160e-15,1.04670e-15
116.92365,4.72430e-15,1.21900e-15
116.98201,3.70710e-15,1.05480e-15
117.04038,3.11140e-15,9.82490e-16
117.09874,4.63490e-15,1.16910e-15
117.15710,3.96170e-15,1.06980e-15
117.21547,2.98450e-15,9.27310e-16
117.27383,2.90060e-15,9.13540e-16
117.33219,3.68950e-15,1.00950e-15
117.39055,4.12850e-15,1.04220e-15
117.44891,4.66970e-15,1.12120e-15
117.50728,5.06030e-15,1.15060e-15
117.56565,5.93100e-15,1.21930e-15
117.62401,4.12670e-15,1.01040e-15
117.68237,6.04000e-15,1.22430e-15
117.74073,3.41310e-15,9.21980e-16
117.79910,4.33440e-15,1.02280e-15
117.85746,5.40210e-15,1.14360e-15
117.91582,6.54280e-15,1.22940e-15
117.97418,5.25480e-15,1.11340e-15
118.03254,4.43790e-15,1.00940e-15
118.09089,4.82140e-15,1.03570e-15
118.14926,5.05780e-15,1.04760e-15
118.20762,5.99320e-15,1.16770e-15
118.26598,4.80540e-15,1.00310e-15
118.32434,6.31650e-15,1.18650e-15
118.38270,6.75060e-15,1.17630e-15
118.44106,3.52300e-15,8.47290e-16
118.49943,6.40980e-15,1.14080e-15
118.55779,6.28120e-15,1.14050e-15
118.61614,3.86640e-15,8.58480e-16
118.67450,5.74580e-15,1.07970e-15
118.73286,4.50820e-15,9.21610e-16
118.79122,5.78100e-15,1.06760e-15
118.84959,4.85130e-15,9.46310e-16
118.90793,3.42780e-15,8.08970e-16
118.96630,2.40390e-15,6.59670e-16
119.02466,5.30950e-15,9.81270e-16
119.08302,4.81610e-15,9.22110e-16
119.14137,4.42210e-15,8.97240e-16
119.19973,5.27980e-15,9.65280e-16
119.25809,4.50380e-15,8.83530e-16
119.31644,4.28260e-15,8.57110e-16
119.37480,3.22110e-15,7.46770e-16
119.43317,4.57040e-15,8.80510e-16
119.49152,3.75890e-15,7.96270e-16
119.54988,3.22050e-15,7.27100e-16
119.60824,3.16490e-15,7.20830e-16
119.66659,2.71720e-15,6.54070e-16
119.72495,3.58410e-15,7.65210e-16
119.78330,2.39820e-15,6.14010e-16
119.84166,4.22650e-15,8.24310e-16
119.90002,4.28700e-15,8.25790e-16
119.95837,3.86730e-15,7.60060e-16
120.01674,1.80110e-15,5.29390e-16
120.07509,3.66770e-15,7.44730e-16
120.13345,3.83530e-15,7.53310e-16
120.19180,4.21320e-15,7.88180e-16
120.25016,4.07540e-15,7.80500e-16
120.30851,3.33470e-15,6.92010e-16
120.36687,2.86590e-15,6.46230e-16
120.42522,3.91900e-15,7.41200e-16
120.48357,4.13030e-15,7.66430e-16
