wave,flux,fluxerr
114.01493,3.69870e-15,9.20370e-15
114.07330,-4.58170e-15,0.00000
114.13166,1.07260e-15,5.42820e-15
114.19004,-3.21860e-15,0.00000
114.24840,-2.72100e-15,0.00000
114.30677,-2.28300e-15,0.00000
114.36514,1.20270e-15,3.14850e-15
114.42351,-1.65310e-15,0.00000
114.48187,1.05750e-15,2.48590e-15
114.54025,1.19940e-15,2.23990e-15
114.59861,-1.08430e-15,0.00000
114.65698,-9.56080e-16,0.00000
114.71534,1.92110e-15,1.96150e-15
114.77372,1.52310e-15,1.69870e-15
114.83208,2.44400e-16,1.03890e-15
114.89044,-6.29890e-16,0.00000
114.94882,-5.77410e-16,0.00000
115.00718,-3.68930e-16,3.73390e-16
115.06555,2.03880e-15,1.46200e-15
115.12391,-4.59060e-16,0.00000
115.18228,-4.29230e-16,0.00000
115.24065,1.48270e-15,1.12670e-15
115.29901,1.39120e-15,1.02320e-15
115.35737,1.46960e-15,1.05710e-15
115.41575,1.32910e-15,9.66280e-16
115.47411,1.87580e-15,1.10210e-15
115.53247,6.88100e-16,7.08620e-16
115.59083,1.82290e-16,4.83720e-16
115.64921,2.03350e-15,1.03910e-15
115.70757,6.23820e-16,6.39210e-16
115.76593,6.23110e-16,6.32010e-16
115.82429,1.78140e-16,4.40220e-16
115.88265,1.42360e-15,8.39130e-16
115.94103,9.99330e-16,7.19750e-16
115.99939,9.65350e-16,6.96960e-16
116.05775,1.50320e-15,7.93890e-16
116.11611,6.91180e-16,5.76800e-16
116.17448,1.49300e-16,3.72370e-16
116.23284,9.08710e-16,6.28660e-16
116.29120,2.56560e-15,9.82610e-16
116.34956,1.14960e-15,6.79760e-16
116.40793,1.14750e-16,3.19220e-16
116.46630,7.29000e-16,5.57300e-16
116.52466,1.02210e-15,6.09460e-16
116.58302,7.82420e-16,5.63440e-16
116.64138,4.05300e-16,4.20790e-16
116.69974,1.60190e-15,7.30280e-16
116.75811,4.32530e-16,4.35420e-16
116.81647,1.59280e-15,7.23750e-16
116.87483,1.14700e-15,6.05630e-16
116.93319,1.18480e-15,6.21650e-16
116.99155,2.27630e-15,8.15580e-16
117.04991,6.39060e-16,4.65830e-16
117.10828,1.13400e-15,5.94050e-16
117.16663,8.95150e-16,5.28040e-16
117.22499,1.28170e-15,5.99090e-16
117.28335,1.58620e-15,6.58270e-16
117.34171,2.58140e-15,8.24430e-16
117.40007,8.95490e-16,5.08210e-16
117.45844,6.01380e-16,4.16410e-16
117.51680,1.51050e-15,6.25800e-16
117.57516,2.05560e-15,7.03130e-16
117.63351,1.38210e-15,5.85140e-16
117.69187,5.21400e-16,3.80880e-16
117.75023,2.52320e-15,7.67910e-16
117.80859,1.21650e-15,5.51690e-16
117.86696,2.68670e-15,7.82440e-16
117.92531,9.45950e-16,4.82200e-16
117.98367,2.09440e-15,6.77670e-16
118.04203,1.33930e-15,5.54650e-16
118.10038,1.70020e-15,6.17010e-16
118.15874,2.08480e-15,6.66420e-16
118.21710,1.05550e-15,4.81460e-16
118.27546,1.10380e-15,5.00520e-16
118.33381,1.72530e-15,5.90440e-16
118.39218,1.29060e-15,5.32850e-16
118.45054,2.06420e-15,6.35920e-16
118.50889,1.29450e-15,5.06370e-16
118.56725,2.11720e-15,6.77700e-16
118.62560,5.79610e-16,5.06540e-16
118.68396,9.84040e-16,5.37460e-16
118.74232,7.01270e-16,4.80680e-16
118.80067,6.75510e-16,4.56900e-16
118.85903,2.07650e-15,6.93680e-16
118.91738,8.96090e-16,5.56440e-16
118.97574,1.00660e-15,5.97040e-16
119.03409,1.12260e-15,6.24080e-16
119.09246,9.71040e-16,7.04050e-16
119.15081,-3.72030e-16,9.11290e-16
119.20917,1.48830e-15,1.70140e-15
119.26752,2.63600e-15,1.84390e-15
119.32588,4.12880e-15,1.93020e-15
119.38423,-3.11060e-15,1.96390e-15
119.44259,2.30650e-15,1.94050e-15
119.50094,-2.12030e-15,1.76610e-15
119.55929,1.73080e-15,1.92360e-15
119.61765,-2.02310e-15,1.80200e-15
119.67600,1.90830e-15,1.84280e-15
119.73436,5.54240e-16,1.77490e-15
119.79271,3.34970e-15,1.97970e-15
119.85106,4.30340e-16,1.76050e-15
119.90942,2.79190e-15,1.77440e-15
119.96777,2.17720e-15,1.83170e-15
120.02612,1.77150e-15,1.75140e-15
120.08448,7.26590e-16,1.75080e-15
120.14283,-1.85420e-15,1.74250e-15
120.20118,2.48670e-15,1.70930e-15
120.25953,3.88000e-15,1.74490e-15
120.31790,4.34040e-15,1.94760e-15
120.37625,1.10360e-15,2.00170e-15
120.43459,1.80040e-15,1.90560e-15
120.49294,4.31920e-16,2.00820e-15
120.55131,1.63290e-15,1.87140e-15
120.60966,3.91100e-15,1.78900e-15
120.66801,3.92280e-15,1.83080e-15
120.72635,1.72550e-15,1.59990e-15
120.78470,8.53670e-16,1.62190e-15
120.84305,3.85310e-15,1.58850e-15
120.90140,3.18730e-15,1.66000e-15
120.95977,5.95670e-16,1.53200e-15
121.01812,6.11680e-16,1.52260e-15
121.07646,-3.08890e-16,1.52210e-15
121.13481,1.94710e-15,1.55890e-15
121.19316,3.70100e-16,1.50310e-15
121.25151,2.32010e-15,1.51110e-15
121.30986,6.29790e-16,1.46840e-15
121.36821,1.07300e-15,1.47420e-15
121.42656,8.32800e-16,1.50470e-15
121.48491,2.69510e-15,1.50530e-15
121.54326,1.20100e-15,1.38500e-15
121.60161,1.21240e-15,1.39160e-15
121.65996,-2.71770e-15,1.30420e-15
121.71831,2.65430e-15,1.46250e-15
121.77666,-4.31240e-16,1.37450e-15
121.83501,-1.01110e-15,1.38610e-15
121.89336,-8.02820e-16,1.29530e-15
121.95171,-4.22170e-16,1.34070e-15
122.01006,1.03760e-15,1.35370e-15
122.06840,-1.14780e-15,1.25170e-15
122.12675,-8.95000e-16,1.28510e-15
122.18510,2.58580e-15,1.30100e-15
122.24344,8.89080e-16,1.31800e-15
122.30179,-2.46100e-16,1.34420e-15
122.36014,1.07040e-15,1.34190e-15
122.41848,-9.59610e-17,1.29060e-15
122.47683,-3.01480e-17,1.28470e-15
122.53518,1.44260e-15,1.26970e-15
122.59353,2.53930e-15,1.31210e-15
122.65188,1.78150e-15,1.27350e-15
122.71022,2.11750e-15,1.26790e-15
122.76857,1.62830e-15,1.33130e-15
122.82692,-1.16970e-16,1.25510e-15
122.88525,2.08940e-15,1.33250e-15
122.94360,1.14380e-15,1.25000e-15
123.00195,1.52900e-15,1.22230e-15
123.06029,2.02970e-15,1.23240e-15
123.11864,7.17590e-16,1.13650e-15
123.17699,3.65210e-15,1.29270e-15
123.23533,-2.49720e-16,1.18390e-15
123.29368,3.03060e-15,1.23000e-15
123.35203,1.75840e-15,1.23380e-15
123.41036,2.94190e-15,1.22610e-15
123.46871,2.81640e-15,1.15200e-15
123.52705,3.65950e-15,1.24010e-15
123.58540,3.02000e-15,1.18250e-15
123.64374,1.22280e-15,1.11940e-15
123.70209,3.48150e-15,1.18580e-15
123.76044,1.80320e-15,1.11750e-15
123.81877,3.70460e-15,1.17520e-15
123.87712,2.35530e-15,1.09830e-15
123.93546,3.94140e-15,1.16140e-15
123.99380,1.35950e-15,8.37510e-16
124.05215,2.32090e-15,6.58480e-16
124.11049,2.55340e-15,5.70450e-16
124.16884,3.07210e-15,5.54340e-16
124.22717,3.08600e-15,5.41630e-16
124.28552,2.68810e-15,4.99120e-16
124.34386,2.33830e-15,4.47240e-16
124.40220,3.24190e-15,5.37100e-16
124.46055,2.59040e-15,4.81130e-16
124.51888,3.64610e-15,5.71470e-16
124.57723,3.35390e-15,5.19480e-16
124.63557,3.73740e-15,5.44620e-16
124.69391,4.17210e-15,5.86160e-16
124.75225,4.95790e-15,6.30330e-16
124.81060,4.79660e-15,6.14810e-16
124.86893,5.37200e-15,6.59330e-16
124.92727,4.80750e-15,6.07390e-16
124.98562,5.93140e-15,6.85490e-16
125.04396,5.63990e-15,6.71240e-16
125.10229,6.85540e-15,7.28550e-16
125.16063,6.06320e-15,6.80710e-16
125.21898,5.92490e-15,6.84050e-16
125.27732,6.50940e-15,7.14500e-16
125.33566,5.96550e-15,6.84660e-16
125.39399,6.17330e-15,6.92290e-16
125.45233,5.93290e-15,6.75480e-16
125.51067,7.57980e-15,7.63100e-16
125.56902,6.70810e-15,7.14590e-16
125.62736,7.28690e-15,7.46660e-16
125.68569,6.62320e-15,7.09870e-16
125.74403,6.83440e-15,7.33360e-16
125.80237,6.99280e-15,7.24060e-16
125.86071,6.00740e-15,6.85480e-16
125.91904,7.35150e-15,7.34220e-16
125.97738,6.27930e-15,6.88630e-16
126.03572,4.88240e-15,6.13030e-16
126.09406,5.18760e-15,6.31740e-16
126.15239,5.45470e-15,6.25120e-16
126.21073,5.93750e-15,6.86250e-16
126.26907,8.65590e-15,7.95820e-16
126.32740,8.52380e-15,8.15260e-16
126.38574,9.00620e-15,8.04940e-16
126.44408,5.48200e-15,6.47760e-16
126.50242,6.19130e-15,6.66490e-16
126.56075,7.19040e-15,7.35570e-16
126.61909,7.45320e-15,7.33370e-16
126.67743,8.87560e-15,8.19370e-16
126.73577,7.69840e-15,7.39740e-16
126.79410,1.07040e-14,8.93610e-16
126.85243,1.09630e-14,8.97020e-16
126.91077,1.08130e-14,8.79810e-16
126.96910,1.12330e-14,9.01100e-16
127.02744,1.13720e-14,9.09900e-16
127.08578,1.18040e-14,9.15580e-16
127.14412,1.12980e-14,9.16000e-16
127.20244,9.85930e-15,8.37410e-16
127.26078,1.07880e-14,8.94590e-16
127.31912,1.10250e-14,8.80390e-16
127.37745,1.16850e-14,9.25690e-16
127.43578,1.03060e-14,8.56220e-16
127.49412,8.00690e-15,7.61210e-16
127.55245,8.60060e-15,7.88530e-16
127.61079,9.50570e-15,8.25410e-16
127.66912,1.02300e-14,8.53090e-16
127.72745,8.22050e-15,7.72380e-16
127.78579,9.75560e-15,8.41250e-16
127.84412,1.11660e-14,8.98050e-16
127.90245,1.23690e-14,9.58910e-16
127.96078,1.33930e-14,9.72940e-16
128.01912,1.12080e-14,8.94980e-16
128.07745,1.29630e-14,9.69880e-16
128.13578,1.22090e-14,9.30420e-16
128.19412,1.69330e-14,1.12520e-15
128.25244,1.63920e-14,1.09570e-15
128.31078,1.80130e-14,1.13760e-15
128.36912,1.40880e-14,1.02180e-15
128.42744,1.64460e-14,1.08770e-15
128.48578,1.56660e-14,1.07840e-15
