wave,flux,fluxerr
114.02686,-1.26910e-15,0.00000
114.08523,-1.05780e-15,0.00000
114.14360,2.93060e-15,3.82410e-15
114.20198,-7.44190e-16,0.00000
114.26034,-1.16720e-17,1.30430e-15
114.31871,-5.29970e-16,0.00000
114.37709,-4.52930e-16,0.00000
114.43546,-3.85890e-16,0.00000
114.49384,-3.33350e-16,0.00000
114.55221,-2.88970e-16,0.00000
114.61057,-2.54230e-16,0.00000
114.66895,-2.24260e-16,0.00000
114.72732,-2.00460e-16,0.00000
114.78569,5.83520e-16,7.63860e-16
114.84407,4.72870e-16,6.36240e-16
114.90243,-1.48830e-16,0.00000
114.96080,-1.36710e-16,0.00000
115.01918,2.76450e-16,4.53540e-16
115.07754,3.66180e-16,4.83320e-16
115.13591,-1.08960e-16,0.00000
115.19429,-1.02440e-16,0.00000
115.25265,2.61400e-16,3.57530e-16
115.31102,-9.10590e-17,0.00000
115.36940,2.45210e-16,3.31540e-16
115.42776,5.64930e-16,4.57750e-16
115.48613,-7.85750e-17,0.00000
115.54451,2.18720e-16,2.94160e-16
115.60287,-7.24560e-17,0.00000
115.66124,1.99750e-16,2.69620e-16
115.71960,2.34220e-16,2.75410e-16
115.77798,-6.53930e-17,0.00000
115.83634,6.39620e-16,4.05880e-16
115.89471,-6.16750e-17,0.00000
115.95308,-6.00050e-17,0.00000
116.01145,-5.83450e-17,0.00000
116.06981,1.56800e-16,2.15080e-16
116.12819,-5.56440e-17,0.00000
116.18655,-5.43960e-17,0.00000
116.24492,-5.32660e-17,0.00000
116.30328,5.51410e-16,3.48490e-16
116.36166,1.79210e-16,2.11050e-16
116.42002,3.38540e-16,2.74920e-16
116.47839,1.22820e-16,1.71940e-16
116.53676,1.42480e-16,1.90920e-16
116.59512,1.23490e-16,1.70960e-16
116.65349,6.47930e-16,3.47390e-16
116.71185,-4.60310e-17,0.00000
116.77021,2.90530e-16,2.37510e-16
116.82859,1.14720e-16,1.59190e-16
116.88695,2.78360e-16,2.27790e-16
116.94531,-4.30270e-17,0.00000
117.00369,1.18160e-16,1.60420e-16
117.06205,1.14240e-16,1.55830e-16
117.12041,-4.08230e-17,0.00000
117.17878,1.06590e-16,1.46670e-16
117.23715,2.69030e-16,2.08790e-16
117.29551,3.94440e-16,2.50090e-16
117.35387,1.00260e-16,1.38250e-16
117.41223,1.00770e-16,1.38090e-16
117.47061,2.24860e-16,1.85000e-16
117.52897,6.30890e-16,2.98570e-16
117.58733,9.59680e-17,1.31640e-16
117.64569,-3.51870e-17,0.00000
117.70405,9.56410e-17,1.30410e-16
117.76241,3.67420e-16,2.25380e-16
117.82079,3.43660e-16,2.18030e-16
117.87915,-3.36020e-17,0.00000
117.93751,8.56210e-17,1.18810e-16
117.99587,2.09110e-16,1.71100e-16
118.05424,4.55460e-16,2.38690e-16
118.11260,8.10970e-17,1.13200e-16
118.17096,2.00250e-16,1.64190e-16
118.22932,2.07390e-16,1.68910e-16
118.28768,7.97330e-17,1.10710e-16
118.34604,2.03580e-16,1.65660e-16
118.40441,7.02130e-16,2.80490e-16
118.46277,4.06570e-16,2.18270e-16
118.52113,2.92470e-16,1.85970e-16
118.57949,2.12050e-16,1.50030e-16
118.63785,1.05410e-16,1.05410e-16
118.69622,7.41410e-17,1.25720e-16
118.75458,2.93410e-16,1.69420e-16
118.81294,1.64220e-16,1.99620e-16
118.87130,-1.38880e-16,1.46400e-16
118.92966,2.24470e-16,2.24060e-16
118.98801,1.72140e-16,1.37170e-16
119.04637,1.88580e-16,2.13460e-16
119.10474,1.65040e-16,1.81870e-16
119.16310,-1.73210e-16,1.95220e-16
119.22146,5.63110e-16,4.36110e-16
119.27982,5.85810e-16,5.86070e-16
119.33817,-1.06930e-16,5.44540e-16
119.39653,-1.71970e-16,5.04820e-16
119.45490,1.67780e-16,4.49220e-16
119.51326,2.06990e-16,5.04020e-16
119.57161,3.82860e-16,5.02820e-16
119.62997,-3.80600e-16,4.61970e-16
119.68833,2.43770e-18,4.76860e-16
119.74669,5.60750e-16,4.70880e-16
119.80504,1.17460e-16,4.73010e-16
119.86340,8.38260e-17,5.26170e-16
119.92177,3.72510e-16,4.93050e-16
119.98011,-1.67710e-16,4.53820e-16
120.03848,1.54500e-15,5.34530e-16
120.09684,-4.38420e-16,4.58380e-16
120.15519,2.54710e-16,4.53310e-16
120.21355,5.04560e-17,4.21320e-16
120.27190,6.88020e-16,5.86730e-16
120.33026,2.72940e-16,5.07960e-16
120.38862,-8.17660e-16,5.15620e-16
120.44697,1.09370e-16,4.78600e-16
120.50533,-3.08840e-16,4.64250e-16
120.56368,2.30140e-16,4.91000e-16
120.62205,4.42110e-16,5.11270e-16
120.68040,2.50730e-16,4.66090e-16
120.73876,8.63810e-17,4.26710e-16
120.79711,-1.24700e-16,3.91450e-16
120.85547,5.77820e-17,4.17490e-16
120.91382,-8.46870e-16,3.91720e-16
120.97218,1.12540e-16,3.91340e-16
121.03053,5.58810e-17,3.98060e-16
121.08889,-4.52640e-16,3.77790e-16
121.14724,-3.68790e-16,3.48340e-16
121.20559,5.15940e-16,4.40520e-16
121.26395,9.60540e-17,3.73610e-16
121.32230,-4.64060e-16,3.48210e-16
121.38066,2.53160e-17,3.36150e-16
121.43901,3.45030e-16,4.25540e-16
121.49736,6.21530e-16,4.33730e-16
121.55573,6.60740e-16,3.74600e-16
121.61407,-6.12600e-16,3.73940e-16
121.67242,-4.53710e-16,3.18820e-16
121.73077,1.78470e-16,3.34240e-16
121.78914,-1.71800e-16,3.52820e-16
121.84749,-4.12080e-17,3.64980e-16
121.90583,-1.14220e-16,3.09180e-16
121.96418,-3.05130e-16,3.73200e-16
122.02255,9.84190e-17,3.35130e-16
122.08090,-2.14210e-16,3.47340e-16
122.13925,4.04310e-16,3.22800e-16
122.19760,-1.74610e-16,3.51550e-16
122.25594,3.83690e-17,3.56610e-16
122.31431,1.22020e-16,4.03540e-16
122.37266,4.00530e-16,3.85490e-16
122.43101,-1.37790e-16,3.10850e-16
122.48936,1.18210e-16,3.16620e-16
122.54771,2.29390e-16,3.48130e-16
122.60605,1.26270e-16,3.13490e-16
122.66440,-3.11610e-16,3.23410e-16
122.72275,5.69890e-16,3.71890e-16
122.78112,3.30230e-16,3.54970e-16
122.83947,6.70450e-16,3.30960e-16
122.89781,-2.84060e-17,3.03880e-16
122.95616,-1.39460e-16,3.28750e-16
123.01451,7.90740e-16,3.50510e-16
123.07286,5.65450e-16,3.18170e-16
123.13121,7.17420e-16,3.36540e-16
123.18956,7.90350e-17,2.97120e-16
123.24791,6.12340e-17,2.99270e-16
123.30626,3.65500e-16,3.04890e-16
123.36461,2.06880e-16,3.61770e-16
123.42295,1.28580e-16,3.05460e-16
123.48130,4.99330e-16,3.35390e-16
123.53965,1.17860e-16,3.04270e-16
123.59800,3.32680e-16,3.08510e-16
123.65635,1.72880e-19,3.18580e-16
123.71470,3.05500e-16,3.24190e-16
123.77305,5.53990e-16,2.86760e-16
123.83140,5.20960e-16,3.20970e-16
123.88973,4.33330e-16,3.03150e-16
123.94808,5.40500e-16,2.75650e-16
