wave,flux,fluxerr
114.04749,8.66130e-14,1.36660e-14
114.10591,8.45420e-14,1.10040e-14
114.16432,7.72640e-14,1.00750e-14
114.22274,7.16870e-14,8.82220e-15
114.28116,7.21810e-14,8.15200e-15
114.33959,7.06870e-14,7.38410e-15
114.39800,7.29900e-14,7.01280e-15
114.45642,7.36380e-14,6.39170e-15
114.51484,6.58690e-14,5.62430e-15
114.57327,7.83750e-14,5.76200e-15
114.63168,8.10600e-14,5.48190e-15
114.69010,8.33750e-14,5.28030e-15
114.74852,8.37350e-14,4.97890e-15
114.80693,8.64350e-14,4.81840e-15
114.86536,8.74790e-14,4.65680e-15
114.92378,8.43030e-14,4.33820e-15
114.98220,8.79560e-14,4.22500e-15
115.04061,8.28350e-14,3.92750e-15
115.09904,7.85680e-14,3.72080e-15
115.15746,8.34690e-14,3.72490e-15
115.21587,8.20800e-14,3.58280e-15
115.27429,8.64710e-14,3.55260e-15
115.33271,8.29840e-14,3.37690e-15
115.39113,8.15350e-14,3.28750e-15
115.44955,8.34400e-14,3.20640e-15
115.50797,7.97880e-14,3.10740e-15
115.56638,8.48360e-14,3.12690e-15
115.62480,7.98480e-14,2.96420e-15
115.68323,8.30140e-14,2.97320e-15
115.74164,8.49020e-14,2.98860e-15
115.80006,8.45200e-14,2.90110e-15
115.85847,8.53660e-14,2.87270e-15
115.91689,8.64760e-14,2.85610e-15
115.97532,8.42170e-14,2.76950e-15
116.03373,8.70840e-14,2.78750e-15
116.09215,8.69670e-14,2.75760e-15
116.15056,8.65650e-14,2.70070e-15
116.20898,8.87540e-14,2.73890e-15
116.26741,8.49280e-14,2.62970e-15
116.32582,8.47250e-14,2.58770e-15
116.38424,8.59780e-14,2.57610e-15
116.44265,8.74580e-14,2.58340e-15
116.50107,8.47340e-14,2.53340e-15
116.55950,8.38840e-14,2.49900e-15
116.61791,8.42320e-14,2.47500e-15
116.67633,8.40020e-14,2.44910e-15
116.73474,8.34680e-14,2.43490e-15
116.79316,8.10050e-14,2.34030e-15
116.85157,7.96750e-14,2.33170e-15
116.91000,7.58180e-14,2.23840e-15
116.96841,7.63180e-14,2.22090e-15
117.02683,8.09700e-14,2.27710e-15
117.08524,8.21920e-14,2.27560e-15
117.14366,8.23560e-14,2.25540e-15
117.20208,8.22030e-14,2.22220e-15
117.26050,8.03580e-14,2.18530e-15
117.31891,8.03120e-14,2.16580e-15
117.37733,7.96630e-14,2.12680e-15
117.43574,8.25960e-14,2.15350e-15
117.49416,8.33830e-14,2.14150e-15
117.55258,7.86350e-14,2.06910e-15
117.61100,7.86770e-14,2.05450e-15
117.66941,7.77630e-14,2.04120e-15
117.72783,8.18350e-14,2.06320e-15
117.78624,8.16500e-14,2.06090e-15
117.84467,8.13900e-14,2.03480e-15
117.90308,8.32250e-14,2.04600e-15
117.96150,8.15320e-14,2.02110e-15
118.01991,8.21390e-14,2.02800e-15
118.07833,8.19920e-14,1.99840e-15
118.13674,8.09170e-14,1.98130e-15
118.19515,8.08380e-14,1.97580e-15
118.25358,8.07240e-14,1.93650e-15
118.31199,8.03260e-14,1.93560e-15
118.37041,8.27470e-14,1.95450e-15
118.42882,8.02220e-14,1.89660e-15
118.48724,8.22530e-14,1.93690e-15
118.54565,8.31310e-14,1.93870e-15
118.60406,8.27940e-14,1.91070e-15
118.66249,8.18530e-14,1.88930e-15
118.72090,8.28160e-14,1.89760e-15
118.77931,7.94870e-14,1.83370e-15
118.83773,7.94560e-14,1.83430e-15
118.89614,7.80570e-14,1.80230e-15
118.95457,7.71060e-14,1.78980e-15
119.01298,7.44800e-14,1.76110e-15
119.07139,7.33720e-14,1.73760e-15
119.12981,7.45720e-14,1.80220e-15
119.18822,7.72440e-14,1.89430e-15
119.24663,7.51290e-14,1.91320e-15
119.30505,7.06230e-14,1.86110e-15
119.36346,7.15810e-14,1.85940e-15
119.42188,7.23830e-14,1.86170e-15
119.48030,7.41010e-14,1.86380e-15
119.53871,7.40510e-14,1.87060e-15
119.59712,7.48530e-14,1.86180e-15
119.65554,7.35290e-14,1.85650e-15
119.71395,7.27250e-14,1.83010e-15
119.77236,6.96470e-14,1.76050e-15
119.83079,6.65490e-14,1.73080e-15
119.88920,6.25020e-14,1.68450e-15
119.94761,5.87130e-14,1.62850e-15
120.00603,5.90110e-14,1.62180e-15
120.06444,6.14460e-14,1.68140e-15
120.12285,6.36100e-14,1.67770e-15
120.18126,6.59580e-14,1.71940e-15
120.23969,6.47290e-14,1.68840e-15
120.29810,6.50020e-14,1.69270e-15
120.35651,6.53180e-14,1.67120e-15
120.41492,6.19150e-14,1.61990e-15
120.47334,6.18080e-14,1.64030e-15
120.53175,5.97050e-14,1.59980e-15
120.59016,5.42530e-14,1.51980e-15
120.64857,5.45850e-14,1.50450e-15
120.70699,5.21980e-14,1.48070e-15
120.76541,4.96630e-14,1.43940e-15
120.82382,4.97950e-14,1.42820e-15
120.88223,4.46990e-14,1.37330e-15
120.94064,3.92030e-14,1.29660e-15
120.99906,3.61270e-14,1.25670e-15
121.05747,3.20160e-14,1.18700e-15
121.11588,2.57130e-14,1.11800e-15
121.17429,1.99570e-14,1.01940e-15
121.23270,1.56950e-14,9.57400e-16
121.29113,1.23310e-14,8.82400e-16
121.34954,1.04130e-14,8.34370e-16
121.40795,7.59400e-15,7.69850e-16
121.46636,6.80500e-15,7.50210e-16
121.52477,7.45840e-15,7.53080e-16
121.58318,6.77560e-15,7.62880e-16
121.64160,6.53760e-15,7.42070e-16
121.70001,8.50630e-15,7.73490e-16
121.75842,1.00880e-14,8.08750e-16
121.81683,1.10760e-14,8.35990e-16
121.87524,1.40070e-14,8.66250e-16
121.93365,1.78770e-14,9.16100e-16
121.99207,2.35640e-14,1.01940e-15
122.05049,2.91520e-14,1.08290e-15
122.10890,3.44290e-14,1.13830e-15
122.16731,3.74670e-14,1.16710e-15
122.22572,4.16170e-14,1.21900e-15
122.28413,4.67810e-14,1.26040e-15
122.34254,5.23200e-14,1.31780e-15
122.40095,5.48380e-14,1.32160e-15
122.45936,5.69690e-14,1.34270e-15
122.51777,6.05080e-14,1.37410e-15
122.57618,6.66580e-14,1.42520e-15
122.63461,6.35640e-14,1.39000e-15
122.69302,6.77440e-14,1.42140e-15
122.75143,6.81060e-14,1.41160e-15
122.80984,6.82450e-14,1.42250e-15
122.86825,6.94250e-14,1.42560e-15
122.92666,6.88130e-14,1.41310e-15
122.98507,6.95730e-14,1.41150e-15
123.04348,7.12900e-14,1.40730e-15
123.10189,7.35580e-14,1.42840e-15
123.16030,7.24670e-14,1.42300e-15
123.21871,7.43770e-14,1.41690e-15
123.27712,7.59710e-14,1.43620e-15
123.33553,7.67290e-14,1.43180e-15
123.39395,7.74390e-14,1.42400e-15
123.45236,7.90340e-14,1.43020e-15
123.51077,7.99560e-14,1.43640e-15
123.56918,8.07440e-14,1.43900e-15
123.62759,7.88150e-14,1.41290e-15
123.68600,7.84470e-14,1.41550e-15
123.74441,7.47130e-14,1.35190e-15
123.80282,7.67780e-14,1.38370e-15
123.86123,7.34700e-14,1.33960e-15
123.91964,7.30870e-14,1.31550e-15
123.97805,7.43640e-14,1.29570e-15
124.03646,7.47800e-14,1.27540e-15
124.09487,7.61280e-14,1.27160e-15
124.15328,7.55010e-14,1.27340e-15
124.21169,7.54250e-14,1.26040e-15
124.27010,7.54630e-14,1.25330e-15
124.32852,7.70850e-14,1.26900e-15
124.38693,7.78890e-14,1.26460e-15
124.44532,7.75290e-14,1.27180e-15
124.50374,7.76230e-14,1.26860e-15
124.56215,7.90790e-14,1.26810e-15
124.62056,7.72080e-14,1.25850e-15
124.67897,7.70410e-14,1.24710e-15
124.73738,7.71300e-14,1.24880e-15
124.79579,7.75540e-14,1.25320e-15
124.85420,7.80180e-14,1.24690e-15
124.91261,7.68700e-14,1.23180e-15
124.97102,7.73450e-14,1.24820e-15
125.02942,7.74210e-14,1.24300e-15
125.08783,7.62290e-14,1.22420e-15
125.14624,7.65980e-14,1.23710e-15
125.20465,7.77520e-14,1.23400e-15
125.26306,7.76790e-14,1.23690e-15
125.32147,7.57440e-14,1.21700e-15
