wave,flux,fluxerr
114.01945,3.81800e-14,7.63020e-15
114.07781,1.83930e-14,4.81000e-15
114.13617,3.31970e-14,5.87110e-15
114.19453,2.86900e-14,5.04460e-15
114.25289,3.28190e-14,4.84400e-15
114.31125,2.16280e-14,3.62610e-15
114.36962,2.77360e-14,3.78920e-15
114.42798,2.36750e-14,3.17950e-15
114.48634,2.67730e-14,3.14110e-15
114.54470,2.40690e-14,2.83260e-15
114.60306,2.30990e-14,2.56810e-15
114.66143,2.49970e-14,2.48660e-15
114.71979,1.97840e-14,2.10380e-15
114.77814,2.60610e-14,2.28110e-15
114.83650,1.99320e-14,1.92690e-15
114.89486,2.05910e-14,1.80350e-15
114.95322,2.11550e-14,1.82270e-15
115.01158,2.16450e-14,1.69490e-15
115.06995,1.98730e-14,1.60400e-15
115.12831,1.96320e-14,1.51110e-15
115.18667,1.69180e-14,1.39320e-15
115.24502,1.54420e-14,1.25120e-15
115.30338,1.59960e-14,1.26620e-15
115.36174,1.49010e-14,1.17260e-15
115.42010,1.62300e-14,1.20110e-15
115.47845,1.55810e-14,1.14820e-15
115.53682,1.50030e-14,1.11960e-15
115.59518,1.33210e-14,1.01620e-15
115.65354,1.46830e-14,1.06820e-15
115.71189,1.33190e-14,9.99280e-16
115.77025,1.27990e-14,9.37600e-16
115.82861,1.30300e-14,9.36200e-16
115.88696,1.40320e-14,9.59830e-16
115.94532,1.28240e-14,9.04720e-16
116.00369,1.10140e-14,8.33600e-16
116.06204,1.06670e-14,8.09260e-16
116.12040,1.01570e-14,7.61690e-16
116.17876,1.15380e-14,8.34740e-16
116.23711,9.44340e-15,7.11640e-16
116.29547,9.28970e-15,7.30710e-16
116.35382,1.06680e-14,7.45620e-16
116.41218,9.49100e-15,7.05200e-16
116.47054,8.30210e-15,6.65560e-16
116.52889,7.84870e-15,6.34310e-16
116.58726,7.52430e-15,6.04450e-16
116.64561,1.01780e-14,7.05760e-16
116.70397,7.85780e-15,6.10330e-16
116.76232,6.71360e-15,5.55820e-16
116.82068,6.89450e-15,5.68320e-16
116.87903,6.58360e-15,5.48120e-16
116.93739,7.32660e-15,5.67970e-16
116.99574,6.15030e-15,5.16720e-16
117.05409,6.93630e-15,5.46900e-16
117.11245,6.62780e-15,5.27410e-16
117.17080,6.57580e-15,5.14920e-16
117.22916,5.42450e-15,4.69410e-16
117.28751,4.86990e-15,4.39300e-16
117.34586,5.06170e-15,4.39420e-16
117.40422,4.23450e-15,4.00410e-16
117.46257,5.12960e-15,4.38570e-16
117.52094,4.11990e-15,3.92820e-16
117.57928,5.04240e-15,4.26070e-16
117.63763,4.94490e-15,4.22850e-16
117.69598,4.52090e-15,3.95280e-16
117.75435,3.56560e-15,3.52720e-16
117.81270,3.67320e-15,3.52610e-16
117.87104,3.85090e-15,3.60480e-16
117.92939,3.37740e-15,3.34800e-16
117.98776,3.45100e-15,3.44230e-16
118.04611,2.98360e-15,3.08310e-16
118.10446,3.11490e-15,3.21390e-16
118.16281,2.92440e-15,3.02440e-16
118.22117,3.45160e-15,3.24080e-16
118.27952,2.97700e-15,3.03440e-16
118.33787,2.80780e-15,3.01600e-16
118.39622,2.14600e-15,2.77160e-16
118.45457,2.07170e-15,2.65520e-16
118.51291,2.38470e-15,2.74500e-16
118.57126,1.95380e-15,2.63780e-16
118.62961,2.14690e-15,2.58900e-16
118.68798,2.30260e-15,2.78510e-16
118.74633,2.20140e-15,2.61430e-16
