wave,flux,fluxerr
290.06897,1.41270e-15,1.80000e-15
290.34346,3.29350e-16,9.27510e-16
290.61794,-1.42830e-16,8.21300e-16
290.89246,-1.45400e-16,9.83560e-16
291.16694,-2.01190e-15,8.32910e-16
291.44143,-7.72270e-16,5.53620e-16
291.71594,6.70780e-16,5.10500e-16
291.99045,1.84280e-15,5.64480e-16
292.26494,6.88250e-16,4.90790e-16
292.53945,2.22300e-15,4.50040e-16
292.81396,2.35510e-14,4.05370e-16
293.08848,1.21420e-15,4.02280e-16
293.36299,8.91890e-16,7.28930e-16
293.63752,6.36990e-16,1.21200e-15
293.91204,3.86800e-16,3.29300e-16
294.18655,2.24130e-16,1.75330e-16
294.46108,2.39570e-16,1.67770e-16
294.73560,3.89930e-16,2.09020e-16
295.01013,2.84610e-17,1.56510e-16
295.28467,2.81830e-16,1.12310e-16
295.55918,2.31250e-16,1.05080e-16
295.83372,5.45950e-16,1.45310e-16
296.10825,4.08030e-16,1.10030e-16
296.38279,1.83080e-16,8.33240e-17
296.65735,7.84070e-16,8.12100e-17
296.93188,1.09200e-16,7.27940e-17
297.20642,3.30130e-16,7.25150e-17
297.48096,3.47820e-16,7.15670e-17
297.75552,1.91810e-16,7.11660e-17
298.03008,2.25900e-16,6.83460e-17
298.30461,2.70880e-16,7.04470e-17
298.57917,1.74200e-16,8.19830e-17
298.85374,1.66740e-16,6.99580e-17
299.12830,1.62800e-16,5.98500e-17
299.40286,2.53780e-17,5.92020e-17
299.67742,1.59390e-16,5.73430e-17
299.95198,2.16810e-16,5.66500e-17
300.22654,1.28050e-16,7.04400e-17
300.50112,2.83360e-16,1.18820e-16
300.77568,2.16420e-16,8.09610e-17
301.05027,1.53570e-16,5.61290e-17
301.32483,2.79170e-16,5.57050e-17
301.59941,1.03910e-16,8.30200e-17
301.87397,1.97960e-16,8.16630e-17
302.14856,1.67080e-16,4.97580e-17
302.42314,1.46510e-16,4.85210e-17
302.69773,2.34580e-16,5.48790e-17
302.97231,3.22930e-16,5.22370e-17
303.24690,2.57050e-16,5.11490e-17
303.52151,4.23940e-16,5.01750e-17
303.79609,2.39090e-16,5.64190e-17
304.07068,2.66970e-16,5.78100e-17
304.34529,3.12880e-16,4.90050e-17
304.61987,3.44190e-16,4.58610e-17
304.89448,3.32810e-16,4.75410e-17
305.16909,2.80200e-16,4.64530e-17
305.44368,4.10130e-16,4.45490e-17
305.71829,3.19230e-16,5.14290e-17
305.99290,2.71260e-16,4.57900e-17
306.26750,3.00350e-16,4.15520e-17
306.54211,3.50640e-16,4.14780e-17
306.81672,2.44980e-16,3.99050e-17
307.09136,3.72100e-16,4.01760e-17
307.36597,4.26510e-16,4.32120e-17
307.64058,4.12380e-16,4.42140e-17
307.91521,4.34360e-16,6.02840e-17
308.18982,3.84640e-16,6.67060e-17
308.46445,3.95450e-16,4.72000e-17
308.73906,4.11200e-16,4.46780e-17
309.01370,3.25660e-16,4.13250e-17
309.28833,3.07420e-16,4.54490e-17
309.56296,2.41300e-16,4.74460e-17
309.83760,2.19020e-16,4.12290e-17
310.11223,2.69310e-16,3.61920e-17
310.38687,3.71870e-16,3.99010e-17
310.66150,4.45560e-16,4.10830e-17
310.93616,5.57090e-16,4.09350e-17
311.21079,5.87220e-16,4.11830e-17
311.48542,5.32150e-16,4.98880e-17
311.76008,4.79620e-16,4.85300e-17
312.03472,4.35260e-16,3.68600e-17
312.30937,3.65170e-16,3.48830e-17
