wave,flux,fluxerr
290.01528,-5.15050e-15,1.66690e-15
290.28977,2.05480e-15,9.02540e-16
290.56428,3.13690e-15,8.43510e-16
290.83877,3.48780e-16,8.49340e-16
291.11326,2.77030e-15,1.48410e-15
291.38777,2.04170e-15,6.13580e-16
291.66226,3.75010e-16,5.48250e-16
291.93677,8.52690e-16,4.94700e-16
292.21128,1.18750e-15,5.22400e-16
292.48579,7.33310e-16,4.06050e-16
292.76030,1.23800e-15,3.95370e-16
293.03481,1.74390e-15,3.49230e-16
293.30933,2.09810e-15,5.46070e-16
293.58384,2.11360e-15,1.06520e-15
293.85835,1.35950e-15,7.37180e-16
294.13289,1.16690e-15,1.91560e-16
294.40740,1.09930e-15,1.71640e-16
294.68193,1.36930e-15,1.70770e-16
294.95645,1.43520e-15,1.95250e-16
295.23098,1.32100e-15,1.34240e-16
295.50552,1.18640e-15,1.17530e-16
295.78005,1.34820e-15,1.20880e-16
296.05459,1.39340e-15,1.45130e-16
296.32913,1.59640e-15,9.78230e-17
296.60366,1.11860e-15,9.28570e-17
296.87820,7.91110e-16,1.07940e-16
297.15276,6.85110e-16,7.53990e-17
297.42729,8.49650e-16,7.35780e-17
297.70183,1.11800e-15,7.53760e-17
297.97639,1.46440e-15,8.25640e-17
298.25095,1.06470e-15,8.10730e-17
298.52549,9.68050e-16,8.43040e-17
298.80005,1.03960e-15,8.97840e-17
299.07461,1.12640e-15,7.70920e-17
299.34917,1.09110e-15,8.41010e-17
299.62373,9.15540e-16,7.44610e-17
299.89832,9.13700e-16,6.63580e-17
300.17288,8.79600e-16,7.25720e-17
300.44744,8.11960e-16,9.84960e-17
300.72202,1.06350e-15,1.56810e-16
300.99658,7.05590e-16,5.98120e-17
301.27117,9.99990e-16,6.59050e-17
301.54573,8.78570e-16,7.38970e-17
301.82031,8.94180e-16,1.51390e-16
302.09490,7.06270e-16,5.83410e-17
302.36948,7.91450e-16,5.73370e-17
302.64407,9.82190e-16,6.29420e-17
302.91865,1.33560e-15,7.89070e-17
303.19324,1.54860e-15,6.22490e-17
303.46782,1.77270e-15,6.74190e-17
303.74241,1.60270e-15,7.18900e-17
304.01702,1.26610e-15,7.74990e-17
304.29160,1.48680e-15,7.49910e-17
304.56621,1.53870e-15,6.00180e-17
304.84080,1.52310e-15,5.66820e-17
305.11541,1.66550e-15,6.23590e-17
305.39001,1.74530e-15,8.65060e-17
305.66462,1.69660e-15,5.79110e-17
305.93923,1.32430e-15,6.31500e-17
306.21384,1.26980e-15,5.14560e-17
306.48845,1.39500e-15,5.38580e-17
306.76306,1.32820e-15,5.09570e-17
307.03767,1.50750e-15,5.12580e-17
307.31228,1.80640e-15,5.40880e-17
307.58691,1.78520e-15,5.60370e-17
307.86152,1.72390e-15,6.11050e-17
308.13616,1.82600e-15,6.89200e-17
308.41077,1.59920e-15,6.00770e-17
308.68540,1.87820e-15,5.51950e-17
308.96003,1.87280e-15,6.11150e-17
309.23467,1.55120e-15,5.28150e-17
309.50930,1.44570e-15,6.30790e-17
309.78394,1.50870e-15,6.00070e-17
310.05857,1.41320e-15,4.71690e-17
310.33320,1.40610e-15,4.85850e-17
310.60784,1.93040e-15,5.65190e-17
310.88247,2.37920e-15,6.59910e-17
311.15713,2.70360e-15,1.21980e-16
