wave,flux,fluxerr
166.74795,1.68190e-10,1.46930e-12
166.88500,1.44140e-10,1.34860e-12
167.02206,1.36840e-10,1.29240e-12
167.15911,1.54410e-10,1.33540e-12
167.29617,1.60810e-10,9.26880e-13
167.43323,1.71290e-10,9.30650e-13
167.57029,1.78520e-10,9.29030e-13
167.70736,1.85490e-10,9.23660e-13
167.84442,1.82750e-10,9.09450e-13
167.98148,1.83450e-10,8.93190e-13
168.11855,1.87250e-10,8.79770e-13
168.25563,1.87770e-10,8.65450e-13
168.39270,1.86730e-10,8.48030e-13
168.52977,1.83660e-10,8.31970e-13
168.66685,1.82590e-10,8.11750e-13
168.80392,1.90460e-10,8.15000e-13
168.94099,1.88340e-10,8.00500e-13
169.07808,1.86670e-10,7.86990e-13
169.21515,1.87120e-10,7.76990e-13
169.35223,1.83350e-10,7.59030e-13
169.48932,1.81860e-10,7.44730e-13
169.62639,1.80740e-10,7.33720e-13
169.76348,1.83740e-10,7.30440e-13
169.90057,1.85120e-10,7.27370e-13
170.03766,1.80100e-10,7.09620e-13
170.17474,1.77510e-10,6.96270e-13
170.31184,1.78160e-10,6.89900e-13
170.44893,1.78810e-10,6.85210e-13
170.58602,1.77640e-10,6.77290e-13
170.72312,1.75670e-10,6.65720e-13
170.86022,1.73450e-10,6.55730e-13
170.99731,1.74630e-10,6.53670e-13
171.13441,1.71940e-10,6.41060e-13
171.27151,1.75370e-10,6.43650e-13
171.40862,1.77520e-10,6.41980e-13
171.54572,1.74410e-10,6.31690e-13
171.68282,1.75830e-10,6.27850e-13
171.81993,1.70700e-10,6.12930e-13
171.95703,1.62280e-10,5.91150e-13
172.09414,1.61200e-10,5.92140e-13
172.23125,1.61880e-10,5.86460e-13
172.36837,1.59670e-10,5.77340e-13
172.50548,1.56350e-10,5.67180e-13
172.64259,1.64490e-10,5.77810e-13
172.77971,1.72820e-10,5.86350e-13
172.91682,1.72350e-10,5.83070e-13
173.05394,1.66800e-10,5.68020e-13
173.19106,1.65220e-10,5.62670e-13
173.32819,1.65470e-10,5.58920e-13
173.46531,1.67610e-10,5.59000e-13
173.60243,1.70540e-10,5.59850e-13
173.73956,1.71090e-10,5.59010e-13
