wave,flux,fluxerr
114.86000,6.07284e-09,3.28142e-10
114.98000,5.93354e-09,3.81323e-10
115.10000,5.95304e-09,2.14808e-10
115.22000,5.64143e-09,1.95834e-10
115.34000,5.57732e-09,1.83164e-10
115.46000,5.54402e-09,2.45377e-10
115.58000,5.80361e-09,2.15513e-10
115.70000,5.94569e-09,1.96348e-10
115.82000,5.79379e-09,2.01123e-10
115.92000,5.74123e-09,1.64946e-10
116.04000,5.89327e-09,2.02692e-10
116.16000,6.00994e-09,1.87215e-10
116.28000,5.78071e-09,1.72681e-10
116.40000,5.70218e-09,1.32830e-10
116.52000,5.52605e-09,1.09544e-10
116.64000,5.37531e-09,1.22269e-10
116.76000,5.20154e-09,1.26395e-10
116.88000,5.16038e-09,1.18559e-10
116.98000,4.81642e-09,1.44976e-10
117.10000,4.29539e-09,1.37729e-10
117.22000,3.73679e-09,1.52247e-10
117.34000,3.38888e-09,1.02935e-10
117.46000,3.28369e-09,8.03919e-11
117.58000,3.50794e-09,1.64714e-10
117.70000,4.19973e-09,2.16188e-10
117.82000,4.61586e-09,1.96707e-10
117.94000,5.11176e-09,1.80716e-10
118.06000,5.34477e-09,1.26946e-10
118.16000,5.38409e-09,1.05501e-10
118.28000,5.37475e-09,9.74617e-11
118.40000,5.35986e-09,1.17022e-10
118.52000,5.48173e-09,1.72263e-10
118.64000,5.60388e-09,1.30796e-10
118.76000,5.34671e-09,9.71974e-11
118.88000,5.26875e-09,1.12867e-10
119.00000,5.09881e-09,9.08278e-11
119.12000,4.95658e-09,1.08896e-10
119.24000,5.04173e-09,1.33105e-10
119.34000,4.94001e-09,8.77733e-11
119.46000,4.80087e-09,9.16603e-11
119.58000,4.68867e-09,9.10172e-11
119.70000,4.61581e-09,7.33690e-11
119.82000,4.56541e-09,6.83973e-11
119.94000,4.40035e-09,7.75818e-11
120.06000,4.42076e-09,1.19941e-10
120.18000,4.56739e-09,1.32473e-10
120.30000,4.49788e-09,9.98457e-11
120.42000,4.42320e-09,8.28335e-11
120.52000,4.22867e-09,7.26235e-11
120.64000,4.10205e-09,7.55077e-11
120.76000,3.87650e-09,1.12611e-10
120.88000,3.76603e-09,1.57567e-10
121.00000,3.23994e-09,1.43991e-10
121.12000,2.58313e-09,1.45595e-10
121.24000,1.97172e-09,1.76877e-10
121.36000,1.50807e-09,1.28948e-10
121.48000,1.31854e-09,6.33568e-11
121.60000,1.56726e-09,1.37659e-10
121.70000,2.34547e-09,2.57222e-10
121.82000,3.06761e-09,2.84732e-10
121.94000,3.91609e-09,2.55196e-10
122.06000,4.58050e-09,2.26502e-10
122.18000,5.11796e-09,2.54900e-10
122.30000,5.25355e-09,1.87522e-10
122.42000,5.35093e-09,1.55745e-10
122.54000,5.45133e-09,1.73408e-10
122.66000,5.19451e-09,1.03945e-10
122.78000,5.09696e-09,1.13019e-10
122.88000,5.18500e-09,1.63207e-10
123.00000,5.30575e-09,1.35315e-10
123.12000,5.38791e-09,1.10555e-10
123.24000,5.32715e-09,1.08715e-10
123.36000,5.25117e-09,8.90105e-11
123.48000,5.06048e-09,8.71891e-11
123.60000,5.03446e-09,1.67306e-10
123.72000,5.03210e-09,2.02581e-10
123.84000,5.02157e-09,1.41118e-10
123.96000,5.25033e-09,1.86482e-10
124.06000,5.27283e-09,2.15506e-10
124.18000,5.27589e-09,1.69151e-10
124.30000,5.17573e-09,8.65773e-11
124.42000,4.99615e-09,1.54611e-10
124.54000,4.82916e-09,1.31672e-10
124.66000,4.77602e-09,1.27560e-10
124.78000,4.86199e-09,1.76756e-10
124.90000,4.89170e-09,1.94201e-10
125.02000,4.90720e-09,1.61161e-10
125.14000,4.92353e-09,8.67512e-11
125.24000,4.83388e-09,1.28297e-10
125.36000,4.82876e-09,1.30315e-10
125.48000,4.97124e-09,1.20300e-10
125.60000,5.01910e-09,1.64836e-10
125.72000,5.04166e-09,1.47305e-10
125.84000,5.04695e-09,1.05529e-10
125.96000,5.13961e-09,1.83696e-10
126.08000,5.35493e-09,2.43047e-10
126.20000,5.53892e-09,1.66466e-10
126.32000,5.63819e-09,1.43042e-10
126.42000,5.50161e-09,1.17183e-10
126.54000,5.40922e-09,9.68170e-11
126.66000,5.37807e-09,1.42140e-10
126.78000,5.39707e-09,1.55282e-10
126.90000,5.38368e-09,1.63602e-10
127.02000,5.39225e-09,1.87314e-10
127.14000,5.46408e-09,1.69728e-10
127.26000,5.51060e-09,1.17856e-10
127.38000,5.58420e-09,1.93364e-10
127.50000,5.46758e-09,2.17168e-10
127.60000,5.43767e-09,1.47960e-10
127.72000,5.40668e-09,1.02480e-10
127.84000,5.42509e-09,1.34445e-10
127.96000,5.50097e-09,1.96707e-10
128.08000,5.43927e-09,1.65594e-10
128.20000,5.28834e-09,1.24772e-10
128.32000,5.28652e-09,8.97334e-11
128.44000,5.25788e-09,1.46068e-10
128.56000,5.32116e-09,1.75223e-10
128.68000,5.30843e-09,1.66695e-10
128.78000,5.22840e-09,1.63886e-10
128.90000,5.34238e-09,1.58995e-10
129.02000,5.44488e-09,1.40481e-10
129.14000,5.33932e-09,1.28612e-10
129.26000,5.16243e-09,1.45364e-10
129.38000,5.02000e-09,9.93673e-11
129.50000,4.84635e-09,1.02145e-10
129.62000,4.66057e-09,1.22657e-10
129.74000,4.63158e-09,1.77934e-10
129.86000,4.64429e-09,1.90853e-10
129.96000,4.56109e-09,1.20293e-10
130.08000,4.49490e-09,9.74947e-11
130.20000,4.57099e-09,1.12653e-10
130.32000,4.80508e-09,9.35057e-11
130.44000,4.79643e-09,1.34791e-10
130.56000,4.98574e-09,1.07863e-10
130.68000,5.34413e-09,1.57036e-10
130.80000,5.37438e-09,1.56127e-10
130.92000,5.27893e-09,1.07204e-10
131.04000,5.42938e-09,2.04899e-10
131.14000,5.29282e-09,2.09001e-10
131.26000,5.19627e-09,1.47149e-10
131.38000,5.10678e-09,1.67085e-10
131.50000,5.17585e-09,1.45403e-10
131.62000,5.15957e-09,1.57170e-10
131.74000,5.21364e-09,1.60876e-10
131.86000,5.25554e-09,1.33334e-10
131.98000,5.20128e-09,1.34277e-10
132.10000,5.15007e-09,1.03716e-10
132.20000,5.03614e-09,1.20455e-10
132.32000,5.03674e-09,1.15924e-10
132.44000,5.03012e-09,1.05556e-10
132.56000,5.07160e-09,1.33757e-10
132.68000,5.02122e-09,9.99878e-11
132.80000,4.91941e-09,8.32524e-11
132.92000,4.98420e-09,1.52748e-10
133.04000,4.99985e-09,1.64397e-10
133.16000,4.81237e-09,1.13542e-10
133.28000,4.70657e-09,1.16257e-10
133.38000,4.60866e-09,1.40821e-10
133.50000,4.57104e-09,1.63454e-10
133.62000,4.59055e-09,1.65190e-10
133.74000,4.79066e-09,1.18451e-10
133.86000,4.85959e-09,1.70707e-10
133.98000,4.81372e-09,1.34740e-10
134.10000,4.65456e-09,9.23933e-11
134.22000,4.61246e-09,1.31678e-10
134.34000,4.58843e-09,1.57856e-10
134.46000,4.59007e-09,1.55609e-10
134.56000,4.79344e-09,1.23214e-10
134.68000,4.78790e-09,2.12772e-10
134.80000,4.86535e-09,2.41444e-10
134.92000,4.86636e-09,1.49780e-10
135.04000,4.89765e-09,1.24527e-10
135.16000,4.94419e-09,1.67339e-10
135.28000,4.95721e-09,1.93485e-10
135.40000,4.96044e-09,1.74803e-10
135.52000,4.82960e-09,1.70192e-10
135.64000,4.80524e-09,1.03690e-10
135.74000,4.71159e-09,1.14279e-10
135.86000,4.76897e-09,1.64333e-10
135.98000,4.71900e-09,1.73925e-10
136.10000,4.66659e-09,1.87866e-10
136.22000,4.67447e-09,1.17028e-10
136.34000,4.54669e-09,1.39434e-10
136.46000,4.62161e-09,1.43793e-10
136.58000,4.72766e-09,1.86634e-10
136.70000,4.74312e-09,1.57624e-10
136.82000,4.71082e-09,1.28445e-10
136.92000,4.65930e-09,1.42368e-10
137.04000,4.60878e-09,1.12557e-10
137.16000,4.55799e-09,1.16399e-10
137.28000,4.64984e-09,1.24708e-10
137.40000,4.65911e-09,1.45999e-10
137.52000,4.61566e-09,1.18387e-10
137.64000,4.63251e-09,1.21660e-10
137.76000,4.62457e-09,1.07527e-10
137.88000,4.48827e-09,1.25881e-10
138.00000,4.35483e-09,8.76578e-11
138.10000,4.46686e-09,9.11580e-11
138.22000,4.35199e-09,1.31765e-10
138.34000,4.23103e-09,7.59650e-11
138.46000,4.12092e-09,9.32894e-11
138.58000,4.15772e-09,8.25309e-11
138.70000,4.11843e-09,9.25441e-11
138.82000,4.07776e-09,1.24543e-10
138.94000,3.80259e-09,9.26542e-11
139.06000,3.41169e-09,1.15080e-10
139.18000,2.97310e-09,1.26021e-10
139.28000,2.68818e-09,4.60441e-11
139.40000,2.74328e-09,8.04435e-11
139.52000,3.15260e-09,1.14628e-10
139.64000,3.37152e-09,7.17346e-11
139.76000,3.34686e-09,9.95533e-11
139.88000,3.36323e-09,1.08970e-10
140.00000,3.26942e-09,1.25702e-10
140.12000,2.96883e-09,6.61480e-11
140.24000,2.86971e-09,5.36444e-11
140.36000,2.98741e-09,1.11187e-10
140.46000,3.48402e-09,1.31554e-10
140.58000,3.82375e-09,1.26523e-10
140.70000,3.96232e-09,1.23510e-10
140.82000,3.96273e-09,6.85805e-11
140.94000,4.02279e-09,8.80138e-11
141.06000,4.01129e-09,6.96180e-11
141.18000,4.07096e-09,9.80339e-11
141.30000,4.05212e-09,7.31226e-11
141.42000,3.93629e-09,8.30189e-11
141.54000,3.94349e-09,1.06406e-10
141.64000,3.88366e-09,9.93452e-11
141.76000,3.86742e-09,6.02082e-11
141.88000,3.91087e-09,8.75207e-11
142.00000,3.84813e-09,7.08659e-11
142.12000,3.85774e-09,5.40854e-11
142.24000,3.83488e-09,6.13950e-11
142.36000,3.86822e-09,9.11032e-11
142.48000,3.70343e-09,1.10527e-10
142.60000,3.51440e-09,9.13373e-11
142.72000,3.39775e-09,8.78835e-11
142.82000,3.43184e-09,7.01992e-11
142.94000,3.61812e-09,9.31893e-11
143.06000,3.67084e-09,7.60222e-11
143.18000,3.77257e-09,5.78335e-11
143.30000,3.78227e-09,9.43560e-11
143.42000,3.78714e-09,7.55459e-11
143.54000,3.74258e-09,5.93337e-11
143.66000,3.80187e-09,5.66536e-11
143.78000,3.81285e-09,7.18838e-11
143.90000,3.83042e-09,7.76859e-11
144.00000,3.85074e-09,7.38814e-11
144.12000,3.83023e-09,5.39095e-11
144.24000,3.86750e-09,5.67929e-11
144.36000,3.89308e-09,7.82153e-11
144.48000,3.87073e-09,7.89953e-11
144.60000,3.84028e-09,6.55817e-11
144.72000,3.76898e-09,5.90345e-11
144.84000,3.78228e-09,6.03233e-11
144.96000,3.81558e-09,8.75575e-11
145.08000,3.68206e-09,7.25781e-11
145.18000,3.66885e-09,6.19624e-11
145.30000,3.65552e-09,5.76778e-11
145.42000,3.57934e-09,5.78007e-11
145.54000,3.56575e-09,6.64141e-11
145.66000,3.60101e-09,7.41665e-11
145.78000,3.65368e-09,7.78226e-11
145.90000,3.56827e-09,7.78447e-11
146.02000,3.62805e-09,7.20001e-11
146.14000,3.61219e-09,6.93622e-11
146.26000,3.56418e-09,7.37177e-11
146.36000,3.59898e-09,7.79345e-11
146.48000,3.58918e-09,7.29525e-11
146.60000,3.51896e-09,8.45446e-11
146.72000,3.48167e-09,8.61879e-11
146.84000,3.54356e-09,7.77182e-11
146.96000,3.61158e-09,5.66501e-11
147.08000,3.59143e-09,5.66665e-11
147.20000,3.63520e-09,6.07708e-11
147.32000,3.63140e-09,5.62289e-11
147.44000,3.53420e-09,4.84282e-11
147.54000,3.47554e-09,5.49268e-11
147.66000,3.38812e-09,5.67950e-11
147.78000,3.38580e-09,6.34060e-11
147.90000,3.37531e-09,6.10511e-11
148.02000,3.40887e-09,6.33710e-11
148.14000,3.56913e-09,7.36862e-11
148.26000,3.50566e-09,6.26082e-11
148.38000,3.38158e-09,5.97745e-11
148.50000,3.49734e-09,5.75077e-11
148.60000,3.54342e-09,7.67160e-11
148.72000,3.54189e-09,7.37710e-11
148.84000,3.61282e-09,6.73275e-11
148.96000,3.59499e-09,5.55008e-11
149.08000,3.49805e-09,6.61472e-11
149.20000,3.51994e-09,5.96478e-11
149.32000,3.45103e-09,5.70614e-11
149.44000,3.34069e-09,4.65394e-11
149.56000,3.37637e-09,6.81645e-11
149.68000,3.35049e-09,5.35626e-11
149.78000,3.21899e-09,6.35168e-11
149.90000,3.13787e-09,6.11995e-11
150.02000,3.04113e-09,6.29242e-11
150.14000,3.01444e-09,4.75019e-11
150.26000,3.05273e-09,4.18306e-11
150.38000,3.04995e-09,5.08477e-11
150.50000,3.09529e-09,4.45346e-11
150.62000,3.25397e-09,6.76255e-11
150.74000,3.28836e-09,6.89410e-11
150.86000,3.29620e-09,4.51669e-11
150.96000,3.18957e-09,4.41428e-11
151.08000,3.04379e-09,4.17082e-11
151.20000,2.98453e-09,4.62126e-11
151.32000,2.98525e-09,5.22233e-11
151.44000,2.99228e-09,4.52392e-11
151.56000,2.96562e-09,4.14498e-11
151.68000,3.01439e-09,6.34724e-11
151.80000,3.11832e-09,5.93938e-11
151.92000,3.13658e-09,7.14896e-11
152.04000,3.19486e-09,5.34095e-11
152.14000,3.19697e-09,5.76794e-11
152.26000,3.10480e-09,7.96995e-11
152.38000,3.02966e-09,7.59717e-11
152.50000,2.84508e-09,6.28962e-11
152.62000,2.69708e-09,5.44504e-11
152.74000,2.62187e-09,3.84416e-11
152.86000,2.62404e-09,6.56806e-11
152.98000,2.68628e-09,7.21462e-11
153.10000,2.62686e-09,5.71123e-11
153.22000,2.47077e-09,4.07404e-11
153.32000,2.44244e-09,4.47357e-11
153.44000,2.50422e-09,4.76973e-11
153.56000,2.54070e-09,4.69995e-11
153.68000,2.53975e-09,4.11818e-11
153.80000,2.49585e-09,4.40038e-11
153.92000,2.51118e-09,4.88621e-11
154.04000,2.50003e-09,4.35067e-11
154.16000,2.42718e-09,4.37910e-11
154.28000,2.29257e-09,3.58125e-11
154.40000,2.07965e-09,6.31681e-11
154.50000,1.84776e-09,7.65488e-11
154.62000,1.64003e-09,4.83167e-11
154.74000,1.53132e-09,2.95165e-11
154.86000,1.54265e-09,3.82606e-11
154.98000,1.65864e-09,5.28803e-11
155.10000,1.86945e-09,5.78080e-11
155.22000,2.14093e-09,7.58840e-11
155.34000,2.30663e-09,6.35302e-11
155.46000,2.44036e-09,4.58123e-11
155.58000,2.45722e-09,3.71498e-11
155.68000,2.46078e-09,5.18154e-11
155.80000,2.46990e-09,4.83975e-11
155.92000,2.45586e-09,3.80268e-11
156.04000,2.42417e-09,3.68717e-11
156.16000,2.39800e-09,3.68023e-11
156.28000,2.40496e-09,3.66893e-11
156.40000,2.35674e-09,4.29507e-11
156.52000,2.37920e-09,4.32513e-11
156.64000,2.45360e-09,5.82763e-11
156.76000,2.51812e-09,5.57833e-11
156.86000,2.48763e-09,4.78359e-11
156.98000,2.50367e-09,4.92878e-11
157.10000,2.61813e-09,5.39328e-11
157.22000,2.62770e-09,3.60066e-11
157.34000,2.63403e-09,4.12668e-11
157.46000,2.59952e-09,4.17947e-11
157.58000,2.50310e-09,4.29884e-11
157.70000,2.45873e-09,4.24509e-11
157.82000,2.47864e-09,5.08329e-11
157.94000,2.47651e-09,4.33236e-11
158.04000,2.49754e-09,4.89390e-11
158.16000,2.55884e-09,5.94903e-11
158.28000,2.57926e-09,6.34994e-11
158.40000,2.64537e-09,5.24399e-11
158.52000,2.66837e-09,5.17988e-11
158.64000,2.70822e-09,5.70256e-11
158.76000,2.75608e-09,5.36274e-11
158.88000,2.67829e-09,5.18691e-11
159.00000,2.60944e-09,4.93439e-11
159.12000,2.55737e-09,4.47381e-11
159.22000,2.49707e-09,4.63066e-11
159.34000,2.50325e-09,5.17950e-11
159.46000,2.50738e-09,3.48160e-11
159.58000,2.52627e-09,3.46168e-11
159.70000,2.50611e-09,3.43405e-11
159.82000,2.48946e-09,3.54769e-11
159.94000,2.49773e-09,4.15272e-11
160.06000,2.52767e-09,4.89521e-11
160.18000,2.44381e-09,3.34868e-11
160.30000,2.35647e-09,4.49908e-11
160.40000,2.38394e-09,4.17041e-11
160.52000,2.36814e-09,3.24500e-11
160.64000,2.34567e-09,3.21420e-11
160.76000,2.33924e-09,3.48320e-11
160.88000,2.30206e-09,4.18490e-11
161.00000,2.24647e-09,3.21167e-11
161.12000,2.25613e-09,3.09151e-11
161.24000,2.29806e-09,3.14897e-11
161.36000,2.36091e-09,3.23508e-11
161.48000,2.44014e-09,5.39444e-11
161.58000,2.49091e-09,4.72163e-11
161.70000,2.46836e-09,3.38233e-11
161.82000,2.41180e-09,3.63530e-11
161.94000,2.34777e-09,4.71838e-11
162.06000,2.34508e-09,4.53088e-11
162.18000,2.35843e-09,3.35018e-11
162.30000,2.36208e-09,3.46326e-11
162.42000,2.40755e-09,3.66189e-11
162.54000,2.48555e-09,3.40588e-11
162.66000,2.45510e-09,3.36415e-11
162.76000,2.41560e-09,4.33614e-11
162.88000,2.40776e-09,4.23408e-11
163.00000,2.35947e-09,3.95518e-11
163.12000,2.37203e-09,4.52878e-11
163.24000,2.43490e-09,4.84901e-11
163.36000,2.47626e-09,4.44503e-11
163.48000,2.54089e-09,5.03687e-11
