wave,flux,fluxerr
90.028882,8.17633e-15,0.00000
90.031085,8.17681e-15,0.00000
90.046875,8.18020e-15,0.00000
90.064880,8.18373e-15,0.00000
90.098663,8.18932e-15,0.00000
90.125659,8.19240e-15,0.00000
90.166248,8.19303e-15,0.00000
90.188843,8.18986e-15,0.00000
90.191040,8.18934e-15,0.00000
90.206836,8.18425e-15,0.00000
90.224835,8.17436e-15,0.00000
90.230426,8.17003e-15,0.00000
90.244531,8.15540e-15,0.00000
90.258624,8.13292e-15,0.00000
90.268823,8.10889e-15,0.00000
90.272717,8.09718e-15,0.00000
90.277814,8.07904e-15,0.00000
90.286816,8.03627e-15,0.00000
90.291315,8.00751e-15,0.00000
90.295813,7.97153e-15,0.00000
90.300311,7.92541e-15,0.00000
90.304810,7.86446e-15,0.00000
90.309308,7.78041e-15,0.00000
90.311609,7.72535e-15,0.00000
90.313812,7.65766e-15,0.00000
90.316003,7.57267e-15,0.00000
90.318304,7.46318e-15,0.00000
90.318805,7.43446e-15,0.00000
90.320502,7.31758e-15,0.00000
90.322803,7.11573e-15,0.00000
90.326807,6.48600e-15,0.00000
90.330804,4.96622e-15,0.00000
90.331702,4.34528e-15,0.00000
90.334802,9.69370e-16,0.00000
90.337207,1.83308e-17,0.00000
90.337903,1.75205e-17,0.00000
90.338599,1.83341e-17,0.00000
90.339996,1.29618e-16,0.00000
90.342798,3.04476e-15,0.00000
90.344397,4.35390e-15,0.00000
90.345599,4.98971e-15,0.00000
90.346796,5.41905e-15,0.00000
90.349200,5.88363e-15,0.00000
90.351599,6.03236e-15,0.00000
90.353998,5.97821e-15,0.00000
90.355200,5.88698e-15,0.00000
90.356000,5.80237e-15,0.00000
90.356396,5.75262e-15,0.00000
90.356799,5.69770e-15,0.00000
90.358398,5.42155e-15,0.00000
90.361591,4.51833e-15,0.00000
90.362793,4.01406e-15,0.00000
90.364795,2.89372e-15,0.00000
90.366791,1.43729e-15,0.00000
90.368793,2.02116e-16,0.00000
90.369794,3.01061e-17,0.00000
90.370795,1.77529e-17,0.00000
90.371790,1.66595e-17,0.00000
90.373792,2.99531e-17,0.00000
90.377789,1.47479e-15,0.00000
90.381793,1.33307e-15,0.00000
90.385785,1.27435e-16,0.00000
90.388788,1.65911e-17,0.00000
90.389789,1.59915e-17,0.00000
90.390784,1.65953e-17,0.00000
90.392786,4.20718e-17,0.00000
90.394788,3.53274e-16,0.00000
90.396783,1.18517e-15,0.00000
90.398785,2.22784e-15,0.00000
90.400787,3.19540e-15,0.00000
90.402783,3.98421e-15,0.00000
90.404785,4.58623e-15,0.00000
90.406781,5.02087e-15,0.00000
90.408777,5.30199e-15,0.00000
90.410779,5.42890e-15,0.00000
90.411981,5.42166e-15,0.00000
90.412781,5.37510e-15,0.00000
90.413580,5.28852e-15,0.00000
90.415179,4.95939e-15,0.00000
90.418378,3.22594e-15,0.00000
90.419580,1.99771e-15,0.00000
90.421582,9.79889e-17,0.00000
90.423578,1.77328e-17,0.00000
90.426581,8.59055e-16,0.00000
90.427582,2.07759e-15,0.00000
90.428583,3.21856e-15,0.00000
90.430573,4.84508e-15,0.00000
90.431573,5.38748e-15,0.00000
90.432574,5.80543e-15,0.00000
90.433575,6.13257e-15,0.00000
90.435571,6.60433e-15,0.00000
90.439575,7.14949e-15,0.00000
90.442572,7.38418e-15,0.00000
90.443573,7.44413e-15,0.00000
90.444574,7.49747e-15,0.00000
90.446576,7.58823e-15,0.00000
90.447571,7.62714e-15,0.00000
90.448572,7.66252e-15,0.00000
90.450574,7.72443e-15,0.00000
90.451373,7.74639e-15,0.00000
90.453571,7.80010e-15,0.00000
90.456567,7.86064e-15,0.00000
90.461768,7.94130e-15,0.00000
90.466968,8.00135e-15,0.00000
90.470770,8.03639e-15,0.00000
90.472168,8.04785e-15,0.00000
90.472968,8.05408e-15,0.00000
90.473566,8.05862e-15,0.00000
90.476361,8.07838e-15,0.00000
90.479761,8.09961e-15,0.00000
90.486560,8.13491e-15,0.00000
90.486761,8.13583e-15,0.00000
90.500153,8.18612e-15,0.00000
90.513556,8.22113e-15,0.00000
90.538947,8.26531e-15,0.00000
90.540350,8.26720e-15,0.00000
90.540552,8.26747e-15,0.00000
90.541748,8.26906e-15,0.00000
90.544543,8.27265e-15,0.00000
90.550140,8.27941e-15,0.00000
90.559741,8.28982e-15,0.00000
90.564343,8.29436e-15,0.00000
90.578937,8.30730e-15,0.00000
90.593530,8.31844e-15,0.00000
90.622723,8.33712e-15,0.00000
90.660510,8.35686e-15,0.00000
90.681110,8.36631e-15,0.00000
90.683704,8.36746e-15,0.00000
90.685907,8.36842e-15,0.00000
90.701703,8.37515e-15,0.00000
90.719702,8.38247e-15,0.00000
90.753491,8.39551e-15,0.00000
90.821069,8.41972e-15,0.00000
90.890851,8.44321e-15,0.00000
90.956232,8.46445e-15,0.00000
91.003619,8.47953e-15,0.00000
91.021613,8.48523e-15,0.00000
91.024817,8.48623e-15,0.00000
91.035413,8.48958e-15,0.00000
91.039612,8.49090e-15,0.00000
91.054407,8.49554e-15,0.00000
91.073401,8.50148e-15,0.00000
91.111389,8.51333e-15,0.00000
91.120392,8.51613e-15,0.00000
91.187372,8.53685e-15,0.00000
91.241058,8.55336e-15,0.00000
91.254352,8.55745e-15,0.00000
91.388318,8.60928e-15,0.00000
91.448596,8.63231e-15,0.00000
91.656244,8.71045e-15,0.00000
91.760022,8.74891e-15,0.00000
91.863788,8.78692e-15,0.00000
91.915778,8.80571e-15,0.00000
91.967657,8.82415e-15,0.00000
91.993555,8.83302e-15,0.00000
92.019543,8.84102e-15,0.00000
92.032544,8.84389e-15,0.00000
92.045441,8.84384e-15,0.00000
92.051941,8.84031e-15,0.00000
92.058435,8.82865e-15,0.00000
92.061737,8.81437e-15,0.00000
