wave,flux,fluxerr
114.86000,3.18560e-09,1.39347e-10
114.98000,3.31479e-09,1.61028e-10
115.10000,3.11120e-09,1.38715e-10
115.22000,2.97229e-09,1.02985e-10
115.34000,3.00623e-09,1.29634e-10
115.46000,2.99657e-09,1.21507e-10
115.58000,3.03197e-09,9.79235e-11
115.70000,3.08498e-09,9.86773e-11
115.82000,3.00885e-09,9.22377e-11
115.92000,3.02561e-09,9.28858e-11
116.04000,3.06064e-09,8.48636e-11
116.16000,3.12292e-09,8.09104e-11
116.28000,3.04582e-09,7.82372e-11
116.40000,2.93969e-09,6.50777e-11
116.52000,2.83771e-09,5.87916e-11
116.64000,2.76674e-09,6.46857e-11
116.76000,2.73119e-09,6.37334e-11
116.88000,2.66395e-09,5.28279e-11
117.00000,2.56062e-09,6.04348e-11
117.10000,2.37737e-09,5.02035e-11
117.22000,2.22835e-09,4.44863e-11
117.34000,2.10427e-09,5.91862e-11
117.46000,1.96915e-09,5.73951e-11
117.58000,2.01330e-09,5.34120e-11
117.70000,2.16442e-09,7.68178e-11
117.82000,2.38842e-09,7.79864e-11
117.94000,2.61615e-09,7.57889e-11
118.06000,2.69511e-09,7.15003e-11
118.16000,2.75186e-09,5.64024e-11
118.28000,2.72438e-09,4.81040e-11
118.40000,2.78254e-09,5.30811e-11
118.52000,2.81199e-09,6.99851e-11
118.64000,2.74106e-09,7.40569e-11
118.76000,2.72404e-09,6.35665e-11
118.88000,2.68163e-09,4.59216e-11
119.00000,2.59678e-09,4.42381e-11
119.12000,2.60570e-09,4.26561e-11
119.24000,2.60939e-09,3.48445e-11
119.34000,2.51861e-09,3.73197e-11
119.46000,2.45192e-09,3.45910e-11
119.58000,2.40098e-09,3.19550e-11
119.70000,2.38189e-09,3.73014e-11
119.82000,2.35794e-09,4.44581e-11
119.94000,2.29500e-09,4.87694e-11
120.06000,2.31531e-09,6.20405e-11
120.18000,2.38984e-09,5.37535e-11
120.30000,2.39408e-09,7.06301e-11
120.42000,2.36296e-09,5.46165e-11
120.52000,2.31476e-09,3.54286e-11
120.64000,2.28137e-09,3.29947e-11
120.76000,2.27179e-09,5.52305e-11
120.88000,2.18719e-09,4.77399e-11
121.00000,1.98006e-09,4.71717e-11
121.12000,1.70474e-09,5.91418e-11
121.24000,1.36672e-09,6.76059e-11
121.36000,1.12911e-09,6.18130e-11
121.48000,9.53654e-10,3.25347e-11
121.60000,1.03265e-09,6.00145e-11
121.70000,1.37856e-09,1.28983e-10
121.82000,1.79375e-09,1.46185e-10
121.94000,2.22079e-09,1.29952e-10
122.06000,2.58363e-09,1.21497e-10
122.18000,2.77751e-09,1.22662e-10
122.30000,2.79781e-09,8.42072e-11
122.42000,2.89344e-09,6.71503e-11
122.54000,2.87259e-09,6.47133e-11
122.66000,2.78094e-09,4.18498e-11
122.78000,2.72434e-09,5.37441e-11
122.88000,2.72600e-09,7.14980e-11
123.00000,2.81278e-09,8.00938e-11
123.12000,2.81193e-09,8.32929e-11
123.24000,2.82380e-09,6.64236e-11
123.36000,2.77337e-09,7.28675e-11
123.48000,2.53489e-09,4.50386e-11
123.60000,2.56897e-09,4.56813e-11
123.72000,2.55053e-09,7.38079e-11
123.84000,2.41001e-09,7.01164e-11
123.96000,2.48745e-09,5.52724e-11
124.06000,2.58145e-09,7.17652e-11
124.18000,2.53574e-09,6.60877e-11
124.30000,2.60820e-09,5.32856e-11
124.42000,2.61398e-09,5.62145e-11
124.54000,2.51612e-09,5.35946e-11
124.66000,2.47482e-09,5.75304e-11
124.78000,2.52111e-09,5.86064e-11
124.90000,2.57434e-09,4.10151e-11
125.02000,2.53272e-09,4.54900e-11
125.14000,2.51093e-09,5.60255e-11
125.24000,2.44891e-09,4.18036e-11
125.36000,2.45587e-09,5.41955e-11
125.48000,2.46075e-09,4.68760e-11
125.60000,2.50054e-09,5.04796e-11
125.72000,2.53425e-09,4.11285e-11
125.84000,2.48587e-09,3.78837e-11
125.96000,2.53243e-09,6.47815e-11
126.08000,2.70701e-09,7.87292e-11
126.20000,2.70740e-09,5.55897e-11
126.32000,2.76976e-09,4.87862e-11
126.42000,2.85803e-09,6.23409e-11
126.54000,2.72401e-09,4.18434e-11
126.66000,2.72304e-09,4.18285e-11
126.78000,2.77603e-09,6.45323e-11
126.90000,2.72883e-09,5.74268e-11
127.02000,2.73058e-09,4.99138e-11
127.14000,2.71224e-09,4.66621e-11
127.26000,2.73486e-09,5.64336e-11
127.38000,2.86150e-09,4.46192e-11
127.50000,2.90805e-09,8.23769e-11
127.60000,2.77963e-09,4.39206e-11
127.72000,2.74021e-09,4.81402e-11
127.84000,2.78785e-09,4.46301e-11
127.96000,2.82256e-09,4.76798e-11
128.08000,2.77239e-09,6.06659e-11
128.20000,2.74435e-09,6.17639e-11
128.32000,2.66646e-09,4.87850e-11
128.44000,2.68173e-09,4.18162e-11
128.56000,2.70220e-09,4.21353e-11
128.68000,2.64987e-09,4.07045e-11
128.78000,2.66962e-09,5.49506e-11
128.90000,2.74183e-09,4.21171e-11
129.02000,2.77831e-09,5.53384e-11
129.14000,2.78500e-09,6.00350e-11
129.26000,2.73577e-09,6.70984e-11
129.38000,2.65255e-09,4.07457e-11
129.50000,2.59147e-09,3.98074e-11
129.62000,2.52642e-09,5.07094e-11
129.74000,2.48856e-09,5.03318e-11
129.86000,2.52730e-09,7.07849e-11
129.96000,2.46899e-09,4.28564e-11
130.08000,2.47667e-09,5.68124e-11
130.20000,2.41069e-09,6.34457e-11
130.32000,2.49536e-09,5.72411e-11
130.44000,2.47903e-09,5.12815e-11
130.56000,2.49113e-09,5.16592e-11
130.68000,2.63326e-09,5.35154e-11
130.80000,2.64370e-09,5.02921e-11
130.92000,2.65422e-09,5.10443e-11
131.04000,2.73007e-09,4.55527e-11
131.14000,2.76169e-09,6.49775e-11
131.26000,2.68169e-09,4.62981e-11
131.38000,2.64246e-09,5.41051e-11
131.50000,2.62572e-09,6.63913e-11
131.62000,2.70234e-09,4.20054e-11
131.74000,2.65801e-09,4.19719e-11
131.86000,2.65270e-09,4.32844e-11
131.98000,2.65259e-09,5.08749e-11
132.10000,2.53486e-09,4.08277e-11
132.22000,2.53362e-09,5.21432e-11
132.32000,2.56901e-09,4.16483e-11
132.44000,2.58138e-09,4.07618e-11
132.56000,2.58863e-09,4.08762e-11
132.68000,2.58866e-09,4.08767e-11
132.80000,2.53767e-09,3.94458e-11
132.92000,2.61699e-09,5.03282e-11
133.04000,2.61716e-09,4.97874e-11
133.16000,2.52732e-09,6.56808e-11
133.28000,2.49489e-09,6.70423e-11
133.40000,2.34260e-09,5.54163e-11
133.50000,2.22917e-09,4.24603e-11
133.62000,2.28358e-09,4.91092e-11
133.74000,2.36881e-09,5.76130e-11
133.86000,2.40570e-09,5.13658e-11
133.98000,2.39612e-09,5.17747e-11
134.10000,2.38545e-09,4.44599e-11
134.22000,2.42683e-09,4.52312e-11
134.34000,2.39169e-09,6.04964e-11
134.46000,2.32336e-09,7.35196e-11
134.58000,2.36593e-09,4.79726e-11
134.68000,2.38973e-09,3.67086e-11
134.80000,2.45291e-09,6.45568e-11
134.92000,2.39816e-09,5.12050e-11
135.04000,2.42390e-09,4.20738e-11
135.16000,2.48313e-09,5.92491e-11
135.28000,2.49936e-09,8.30558e-11
135.40000,2.49940e-09,7.66585e-11
135.52000,2.52434e-09,5.26066e-11
135.64000,2.41369e-09,3.70765e-11
135.76000,2.36350e-09,4.97387e-11
135.86000,2.32660e-09,4.83666e-11
135.98000,2.30441e-09,5.03831e-11
136.10000,2.30833e-09,7.52895e-11
136.22000,2.27283e-09,4.82961e-11
136.34000,2.28322e-09,3.50724e-11
136.46000,2.26285e-09,3.47596e-11
136.58000,2.36226e-09,4.97905e-11
136.70000,2.38814e-09,5.68232e-11
136.82000,2.40192e-09,3.94785e-11
136.92000,2.43494e-09,3.74030e-11
137.04000,2.38124e-09,4.19430e-11
137.16000,2.30405e-09,3.53924e-11
137.28000,2.29205e-09,3.33597e-11
137.40000,2.34554e-09,3.60297e-11
137.52000,2.37130e-09,3.64254e-11
137.64000,2.38369e-09,4.77226e-11
137.76000,2.32906e-09,6.02239e-11
137.88000,2.27532e-09,5.16112e-11
138.00000,2.28183e-09,4.69684e-11
138.10000,2.30794e-09,4.52606e-11
138.22000,2.28968e-09,6.01436e-11
138.34000,2.18026e-09,3.57236e-11
138.46000,2.21452e-09,4.46714e-11
138.58000,2.18232e-09,3.35225e-11
138.70000,2.16349e-09,3.95476e-11
138.82000,2.08807e-09,3.20748e-11
138.94000,2.06328e-09,4.39489e-11
139.06000,2.04400e-09,7.19075e-11
139.18000,1.91924e-09,5.64745e-11
139.28000,1.80632e-09,4.57688e-11
139.40000,1.71953e-09,3.40761e-11
139.52000,1.78928e-09,4.38817e-11
139.64000,1.82496e-09,3.08551e-11
139.76000,1.83673e-09,4.68722e-11
139.88000,1.89284e-09,6.54637e-11
140.00000,1.85662e-09,4.39016e-11
140.12000,1.79973e-09,4.23169e-11
140.24000,1.72214e-09,3.62140e-11
140.36000,1.72887e-09,3.84263e-11
140.46000,1.85303e-09,5.03469e-11
140.58000,1.98883e-09,4.28904e-11
140.70000,1.99543e-09,4.63095e-11
140.82000,1.95732e-09,5.12807e-11
140.94000,2.01521e-09,4.63118e-11
141.06000,2.04899e-09,4.14318e-11
141.18000,2.08725e-09,4.44515e-11
141.30000,2.10252e-09,3.84068e-11
141.42000,2.09706e-09,3.81170e-11
141.54000,2.10065e-09,4.22766e-11
141.64000,2.05373e-09,4.28168e-11
141.76000,2.01473e-09,3.89703e-11
141.88000,1.97677e-09,3.29741e-11
142.00000,1.93298e-09,3.74747e-11
142.12000,1.94634e-09,3.28982e-11
142.24000,1.98705e-09,3.40272e-11
142.36000,1.98414e-09,4.11074e-11
142.48000,1.91249e-09,3.40231e-11
142.60000,1.80306e-09,3.50360e-11
142.72000,1.70276e-09,3.22561e-11
142.82000,1.69058e-09,3.33002e-11
142.94000,1.76720e-09,3.77888e-11
143.06000,1.82766e-09,4.01356e-11
143.18000,1.88564e-09,4.32013e-11
143.30000,2.01405e-09,3.34110e-11
143.42000,2.04197e-09,4.48603e-11
143.54000,2.03446e-09,4.76143e-11
143.66000,2.04275e-09,4.49690e-11
143.78000,1.98166e-09,3.31402e-11
143.90000,1.96366e-09,3.97943e-11
144.00000,1.94029e-09,3.27099e-11
144.12000,1.88028e-09,2.62763e-11
144.24000,1.91748e-09,3.36015e-11
144.36000,1.95559e-09,3.33150e-11
144.48000,1.93150e-09,3.08480e-11
144.60000,1.91410e-09,3.86372e-11
144.72000,1.92809e-09,3.46426e-11
144.84000,1.91947e-09,3.75534e-11
144.96000,1.90515e-09,3.21176e-11
145.08000,1.88517e-09,2.61773e-11
145.18000,1.86010e-09,3.15232e-11
145.30000,1.82109e-09,3.23163e-11
145.42000,1.78322e-09,3.94761e-11
145.54000,1.77312e-09,3.83873e-11
145.66000,1.78400e-09,3.41907e-11
145.78000,1.78034e-09,2.81179e-11
145.90000,1.75340e-09,3.58601e-11
146.02000,1.76280e-09,3.13600e-11
146.14000,1.77423e-09,3.06188e-11
146.26000,1.78877e-09,3.82501e-11
146.36000,1.81041e-09,3.03598e-11
146.48000,1.81913e-09,3.51868e-11
146.60000,1.85816e-09,2.93470e-11
146.72000,1.83066e-09,3.20801e-11
146.84000,1.81948e-09,3.25298e-11
146.96000,1.85584e-09,2.52760e-11
147.08000,1.85860e-09,2.52311e-11
147.20000,1.84094e-09,3.73238e-11
147.32000,1.82450e-09,3.66666e-11
147.44000,1.83387e-09,2.48955e-11
147.54000,1.81523e-09,2.46424e-11
147.66000,1.75666e-09,2.33797e-11
147.78000,1.74313e-09,2.31996e-11
147.90000,1.71711e-09,2.75764e-11
148.02000,1.75276e-09,3.08704e-11
148.14000,1.80539e-09,3.93262e-11
