wave,flux,fluxerr
170.09662,-4.25110e-16,1.16580e-16
170.25109,-1.26660e-16,1.02400e-16
170.40555,-1.12670e-16,1.00950e-16
170.56002,-1.82630e-16,9.56230e-17
170.71449,-2.69580e-16,9.03460e-17
170.86896,6.74340e-18,1.02820e-16
171.02343,-1.36650e-16,9.48020e-17
171.17791,-1.65090e-16,9.19720e-17
171.33237,-8.06160e-17,9.55610e-17
171.48685,-1.37000e-16,9.21030e-17
171.64132,-1.53350e-16,9.00110e-17
171.79580,-1.45120e-16,8.84860e-17
171.95028,-3.17590e-17,9.36260e-17
172.10476,-1.51090e-16,8.58570e-17
172.25923,-1.29700e-16,8.63830e-17
172.41371,-1.32270e-16,8.61610e-17
172.56819,-1.53030e-16,8.40160e-17
172.72268,-3.15250e-17,8.92200e-17
172.87716,-9.75390e-18,8.92970e-17
173.03164,-7.63360e-17,8.47000e-17
173.18612,-8.97770e-17,8.29690e-17
173.34061,-4.61060e-17,8.35560e-17
173.49509,-8.19980e-17,8.10210e-17
173.64959,-1.23840e-16,7.83750e-17
173.80408,-1.34240e-16,7.59260e-17
173.95856,-1.35850e-16,7.64940e-17
174.11305,-1.12440e-16,7.57360e-17
174.26754,-2.22010e-18,8.12990e-17
174.42203,-1.07480e-16,7.48380e-17
174.57653,-8.34490e-17,7.54130e-17
174.73102,-1.51720e-16,7.15930e-17
174.88551,-2.21400e-16,6.75690e-17
175.04000,-1.56330e-16,7.06490e-17
175.19451,-1.37000e-16,6.97380e-17
175.34900,-1.61630e-16,6.83450e-17
175.50350,-2.35610e-16,6.42500e-17
175.65800,-8.02170e-17,7.16890e-17
175.81250,-3.58200e-17,7.19960e-17
175.96700,-1.26240e-16,6.71970e-17
176.12150,-2.22430e-16,6.16310e-17
176.27600,-1.39850e-16,6.57400e-17
176.43051,-7.15120e-17,6.79330e-17
176.58501,-5.33580e-17,6.79640e-17
176.73951,-5.41230e-17,6.72320e-17
176.89402,-5.56550e-17,6.66200e-17
177.04854,-1.11800e-16,6.39620e-17
177.20304,-1.07750e-16,6.12620e-17
177.35754,-8.67770e-17,6.36590e-17
177.51206,-5.05700e-17,6.54830e-17
177.66656,-1.11030e-16,6.15750e-17
177.82108,-1.10660e-16,6.05180e-17
177.97560,-1.68800e-16,5.63500e-17
178.13011,-5.61330e-17,6.20410e-17
178.28462,-9.48880e-17,6.00810e-17
178.43914,-1.14660e-16,5.92750e-17
178.59365,-6.55820e-17,6.06070e-17
178.74817,-1.06310e-16,5.82110e-17
178.90270,-1.39810e-16,5.60240e-17
179.05721,-4.99520e-17,6.02530e-17
179.21173,-6.56450e-17,5.92360e-17
179.36625,-7.47240e-17,5.81660e-17
179.52078,-1.49220e-16,5.27640e-17
179.67529,-1.78370e-16,5.00710e-17
179.82982,-1.32490e-16,5.26670e-17
179.98435,-1.36350e-16,5.28020e-17
180.13887,-1.32640e-16,5.19440e-17
180.29340,-5.85070e-17,5.50340e-17
180.44792,-5.74290e-17,5.51240e-17
180.60245,-6.18460e-17,5.42110e-17
180.75698,-5.61600e-17,5.50690e-17
180.91151,-1.37840e-16,5.00640e-17
181.06605,-8.38720e-17,5.20910e-17
181.22058,-6.20010e-17,5.31310e-17
181.37511,-5.42920e-17,5.22880e-17
181.52965,-4.84730e-17,5.30340e-17
181.68418,-6.26600e-17,5.10610e-17
181.83872,-7.34930e-17,5.08950e-17
181.99325,-4.61180e-17,5.22800e-17
182.14779,-6.16130e-17,5.08650e-17
182.30233,-8.18040e-17,4.86820e-17
182.45687,-1.23750e-16,4.57630e-17
