wave,flux,fluxerr
222.23000,1.86710e-15,0.00000
222.28000,1.95340e-15,0.00000
222.33000,1.89850e-15,0.00000
222.38000,2.41530e-15,0.00000
222.43000,2.00800e-15,0.00000
222.48999,2.13260e-15,0.00000
222.53999,1.98260e-15,0.00000
222.58999,2.05480e-15,0.00000
222.63999,2.04090e-15,0.00000
222.68999,1.86020e-15,0.00000
222.73999,1.98880e-15,0.00000
222.78999,2.11400e-15,0.00000
222.85000,2.17440e-15,0.00000
222.90000,2.06490e-15,0.00000
222.95000,2.09160e-15,0.00000
223.00000,2.20870e-15,0.00000
223.05000,2.11600e-15,0.00000
223.10000,2.22070e-15,0.00000
223.15000,2.57750e-15,0.00000
223.21001,3.00500e-15,0.00000
223.26001,3.42270e-15,0.00000
223.31001,3.15520e-15,0.00000
223.36001,3.38240e-15,0.00000
223.41001,3.17480e-15,0.00000
223.46001,3.32380e-15,0.00000
223.51001,3.31860e-15,0.00000
223.57000,3.27940e-15,0.00000
223.62000,3.06180e-15,0.00000
223.67000,2.64160e-15,0.00000
223.72000,2.63440e-15,0.00000
223.77000,2.64330e-15,0.00000
223.82000,2.69290e-15,0.00000
223.87000,2.87240e-15,0.00000
223.93000,2.73260e-15,0.00000
223.98000,2.77070e-15,0.00000
224.03000,2.71280e-15,0.00000
224.08000,2.40750e-15,0.00000
224.13000,2.24020e-15,0.00000
224.18000,2.36490e-15,0.00000
224.23000,2.40180e-15,0.00000
224.28999,2.13770e-15,0.00000
224.33999,2.05770e-15,0.00000
224.38999,2.27280e-15,0.00000
224.43999,2.33930e-15,0.00000
224.48999,2.75080e-15,0.00000
224.53999,2.70490e-15,0.00000
224.58999,2.90960e-15,0.00000
224.65000,2.88700e-15,0.00000
224.70000,2.98130e-15,0.00000
224.75000,2.99960e-15,0.00000
224.80000,2.68430e-15,0.00000
224.85000,2.47610e-15,0.00000
224.90000,2.38680e-15,0.00000
224.95000,2.28120e-15,0.00000
225.01001,2.17150e-15,0.00000
225.06001,2.12500e-15,0.00000
225.11001,2.33670e-15,0.00000
225.16001,2.45980e-15,0.00000
225.21001,2.31390e-15,0.00000
225.26001,2.10420e-15,0.00000
225.31001,1.98210e-15,0.00000
225.37000,1.99000e-15,0.00000
225.42000,2.13800e-15,0.00000
225.47000,2.09110e-15,0.00000
225.52000,2.08760e-15,0.00000
225.57000,2.09730e-15,0.00000
225.62000,2.16700e-15,0.00000
225.67000,2.17700e-15,0.00000
225.73000,2.17370e-15,0.00000
225.78000,2.31530e-15,0.00000
225.83000,2.25980e-15,0.00000
225.88000,2.16150e-15,0.00000
225.93000,1.84890e-15,0.00000
225.98000,1.79670e-15,0.00000
226.03000,1.80540e-15,0.00000
226.08999,1.94000e-15,0.00000
226.13999,2.06380e-15,0.00000
226.18999,2.10760e-15,0.00000
226.23999,1.88940e-15,0.00000
226.28999,1.61680e-15,0.00000
226.33999,1.63780e-15,0.00000
226.38999,1.49060e-15,0.00000
226.43999,1.49590e-15,0.00000
226.50000,1.40640e-15,0.00000
226.55000,1.47680e-15,0.00000
226.60000,1.40170e-15,0.00000
226.65000,1.43380e-15,0.00000
226.70000,1.47920e-15,0.00000
226.75000,1.40740e-15,0.00000
226.80000,1.25480e-15,0.00000
226.86001,1.29990e-15,0.00000
226.91001,1.46060e-15,0.00000
226.96001,1.34980e-15,0.00000
227.01001,1.26130e-15,0.00000
227.06001,1.29130e-15,0.00000
227.11001,1.43140e-15,0.00000
227.16001,1.34530e-15,0.00000
227.22000,1.39850e-15,0.00000
227.27000,1.61940e-15,0.00000
227.32000,1.58150e-15,0.00000
227.37000,1.50180e-15,0.00000
227.42000,1.58000e-15,0.00000
227.47000,1.60650e-15,0.00000
227.52000,1.58570e-15,0.00000
227.58000,1.87170e-15,0.00000
227.63000,1.73160e-15,0.00000
227.68000,1.81050e-15,0.00000
227.73000,2.02600e-15,0.00000
227.78000,1.90220e-15,0.00000
227.83000,1.79510e-15,0.00000
227.88000,1.93130e-15,0.00000
227.93999,2.05230e-15,0.00000
227.98999,2.15780e-15,0.00000
228.03999,2.24560e-15,0.00000
228.08999,2.52760e-15,0.00000
228.13999,2.54160e-15,0.00000
228.18999,2.63390e-15,0.00000
228.23999,2.32820e-15,0.00000
228.28999,2.30940e-15,0.00000
228.35000,2.38700e-15,0.00000
228.40000,2.44860e-15,0.00000
228.45000,2.57690e-15,0.00000
228.50000,2.54050e-15,0.00000
228.55000,2.16300e-15,0.00000
228.60000,2.09620e-15,0.00000
228.65000,1.88970e-15,0.00000
228.71001,1.80940e-15,0.00000
228.76001,2.07480e-15,0.00000
228.81001,2.34150e-15,0.00000
228.86001,2.08350e-15,0.00000
228.91001,1.95390e-15,0.00000
228.96001,1.94550e-15,0.00000
229.01001,1.99140e-15,0.00000
