wave,flux,fluxerr
222.23000,4.59890e-16,0.00000
222.28000,4.95260e-16,0.00000
222.33000,5.91970e-16,0.00000
222.38000,4.31260e-16,0.00000
222.43000,4.28730e-16,0.00000
222.48999,4.52060e-16,0.00000
222.53999,3.85500e-16,0.00000
222.58999,4.21450e-16,0.00000
222.63999,3.24680e-16,0.00000
222.68999,4.27160e-16,0.00000
222.73999,4.07230e-16,0.00000
222.78999,3.51040e-16,0.00000
222.85000,4.10990e-16,0.00000
222.90000,3.81610e-16,0.00000
222.95000,4.16940e-16,0.00000
223.00000,4.12580e-16,0.00000
223.05000,4.77640e-16,0.00000
223.10000,4.09220e-16,0.00000
223.15000,4.23010e-16,0.00000
223.21001,4.23880e-16,0.00000
223.26001,4.72040e-16,0.00000
223.31001,5.75610e-16,0.00000
223.36001,5.43640e-16,0.00000
223.41001,5.65380e-16,0.00000
223.46001,6.30660e-16,0.00000
223.51001,6.14320e-16,0.00000
223.57000,6.15870e-16,0.00000
223.62000,6.61740e-16,0.00000
223.67000,5.87080e-16,0.00000
223.72000,5.77570e-16,0.00000
223.77000,5.67660e-16,0.00000
223.82000,5.32340e-16,0.00000
223.87000,4.56000e-16,0.00000
223.93000,4.96590e-16,0.00000
223.98000,5.90140e-16,0.00000
224.03000,5.75820e-16,0.00000
224.08000,4.83470e-16,0.00000
224.13000,4.30820e-16,0.00000
224.18000,4.49470e-16,0.00000
224.23000,4.63370e-16,0.00000
224.28999,3.47720e-16,0.00000
224.33999,3.92560e-16,0.00000
224.38999,4.63440e-16,0.00000
224.43999,4.21720e-16,0.00000
224.48999,3.65360e-16,0.00000
224.53999,4.63320e-16,0.00000
224.58999,5.72510e-16,0.00000
224.65000,5.10910e-16,0.00000
224.70000,5.58300e-16,0.00000
224.75000,6.17910e-16,0.00000
224.80000,5.04220e-16,0.00000
224.85000,5.21290e-16,0.00000
224.90000,5.03240e-16,0.00000
224.95000,4.90850e-16,0.00000
225.01001,4.94390e-16,0.00000
225.06001,4.63570e-16,0.00000
225.11001,4.45830e-16,0.00000
225.16001,4.52170e-16,0.00000
225.21001,5.63210e-16,0.00000
225.26001,3.96090e-16,0.00000
225.31001,3.92360e-16,0.00000
225.37000,4.39930e-16,0.00000
225.42000,4.13850e-16,0.00000
225.47000,4.48060e-16,0.00000
225.52000,3.72370e-16,0.00000
225.57000,4.59750e-16,0.00000
225.62000,3.64480e-16,0.00000
225.67000,3.62490e-16,0.00000
225.73000,4.25110e-16,0.00000
225.78000,5.38150e-16,0.00000
225.83000,4.18260e-16,0.00000
225.88000,4.60710e-16,0.00000
225.93000,4.50270e-16,0.00000
225.98000,4.39920e-16,0.00000
226.03000,3.89010e-16,0.00000
226.08999,3.71590e-16,0.00000
226.13999,3.29790e-16,0.00000
226.18999,3.74620e-16,0.00000
226.23999,4.28560e-16,0.00000
226.28999,4.63260e-16,0.00000
226.33999,3.83780e-16,0.00000
226.38999,3.98520e-16,0.00000
226.43999,3.61630e-16,0.00000
226.50000,3.10560e-16,0.00000
226.55000,3.51040e-16,0.00000
226.60000,2.44370e-16,0.00000
226.65000,3.06740e-16,0.00000
226.70000,2.65150e-16,0.00000
226.75000,3.40410e-16,0.00000
226.80000,2.69890e-16,0.00000
226.86001,2.65860e-16,0.00000
226.91001,2.69890e-16,0.00000
226.96001,2.87210e-16,0.00000
227.01001,2.35180e-16,0.00000
227.06001,2.74610e-16,0.00000
227.11001,3.11650e-16,0.00000
227.16001,2.41250e-16,0.00000
227.22000,2.97460e-16,0.00000
227.27000,3.10090e-16,0.00000
227.32000,3.43110e-16,0.00000
227.37000,2.83410e-16,0.00000
227.42000,2.70830e-16,0.00000
227.47000,2.78320e-16,0.00000
227.52000,2.95350e-16,0.00000
227.58000,3.64510e-16,0.00000
227.63000,2.64290e-16,0.00000
227.68000,3.38110e-16,0.00000
227.73000,2.99670e-16,0.00000
227.78000,3.52800e-16,0.00000
227.83000,3.92010e-16,0.00000
227.88000,3.86680e-16,0.00000
227.93999,3.13940e-16,0.00000
227.98999,3.55070e-16,0.00000
228.03999,3.39060e-16,0.00000
228.08999,3.96790e-16,0.00000
228.13999,4.14920e-16,0.00000
228.18999,5.47440e-16,0.00000
228.23999,4.04240e-16,0.00000
228.28999,5.67980e-16,0.00000
228.35000,4.87980e-16,0.00000
228.40000,4.15210e-16,0.00000
228.45000,4.02580e-16,0.00000
228.50000,5.60270e-16,0.00000
228.55000,5.08860e-16,0.00000
228.60000,5.10860e-16,0.00000
228.65000,4.75450e-16,0.00000
228.71001,4.32180e-16,0.00000
228.76001,4.21140e-16,0.00000
228.81001,3.65330e-16,0.00000
228.86001,3.92000e-16,0.00000
228.91001,3.53250e-16,0.00000
228.96001,3.69550e-16,0.00000
229.01001,4.04820e-16,0.00000
229.07000,3.42900e-16,0.00000
229.12000,3.94610e-16,0.00000
229.17000,4.08950e-16,0.00000
229.22000,4.08510e-16,0.00000
229.27000,4.23330e-16,0.00000
229.32000,4.30540e-16,0.00000
229.37000,3.35380e-16,0.00000
229.42000,4.18760e-16,0.00000
229.48000,4.22830e-16,0.00000
229.53000,4.60560e-16,0.00000
229.58000,4.50410e-16,0.00000
229.63000,4.30260e-16,0.00000
229.68000,4.09820e-16,0.00000
229.73000,4.18200e-16,0.00000
229.78000,3.52160e-16,0.00000
229.83999,2.98800e-16,0.00000
229.88999,3.02180e-16,0.00000
229.93999,3.00320e-16,0.00000
229.98999,3.29140e-16,0.00000
230.03999,3.47740e-16,0.00000
230.08999,3.94930e-16,0.00000
230.13999,3.83950e-16,0.00000
230.20000,4.27980e-16,0.00000
230.25000,4.01630e-16,0.00000
230.30000,4.05780e-16,0.00000
230.35000,3.97830e-16,0.00000
230.40000,4.34370e-16,0.00000
230.45000,3.71790e-16,0.00000
230.50000,5.25950e-16,0.00000
230.55000,5.46040e-16,0.00000
230.61001,6.20130e-16,0.00000
230.66001,6.13580e-16,0.00000
230.71001,5.93500e-16,0.00000
230.76001,5.93070e-16,0.00000
230.81001,5.54870e-16,0.00000
230.86001,5.13230e-16,0.00000
230.91001,4.64680e-16,0.00000
230.97000,4.35070e-16,0.00000
231.02000,3.59400e-16,0.00000
231.07000,3.25360e-16,0.00000
231.12000,2.87150e-16,0.00000
231.17000,3.13190e-16,0.00000
231.22000,2.86010e-16,0.00000
231.27000,2.76900e-16,0.00000
231.33000,3.10380e-16,0.00000
231.38000,3.18230e-16,0.00000
231.43000,3.23900e-16,0.00000
231.48000,4.46920e-16,0.00000
231.53000,4.36590e-16,0.00000
231.58000,5.04210e-16,0.00000
231.63000,5.22530e-16,0.00000
231.68000,4.16170e-16,0.00000
231.73999,5.15000e-16,0.00000
231.78999,4.62380e-16,0.00000
231.83999,4.34630e-16,0.00000
231.88999,4.11570e-16,0.00000
231.93999,3.53870e-16,0.00000
231.98999,3.69540e-16,0.00000
232.03999,3.65830e-16,0.00000
232.10000,3.21120e-16,0.00000
232.15000,3.04580e-16,0.00000
232.20000,4.08570e-16,0.00000
232.25000,4.30630e-16,0.00000
232.30000,4.74960e-16,0.00000
232.35000,5.12310e-16,0.00000
232.40000,5.93730e-16,0.00000
232.45000,5.79420e-16,0.00000
232.51001,4.60960e-16,0.00000
232.56001,4.40070e-16,0.00000
232.61001,4.22120e-16,0.00000
232.66001,3.29460e-16,0.00000
232.71001,2.97870e-16,0.00000
232.76001,3.60790e-16,0.00000
232.81001,3.56300e-16,0.00000
232.87000,3.86100e-16,0.00000
232.92000,4.61990e-16,0.00000
232.97000,4.67820e-16,0.00000
233.02000,4.59270e-16,0.00000
233.07000,4.55170e-16,0.00000
233.12000,4.43240e-16,0.00000
233.17000,3.84310e-16,0.00000
233.22000,3.30640e-16,0.00000
233.28000,3.10310e-16,0.00000
233.33000,3.22360e-16,0.00000
233.38000,2.84370e-16,0.00000
233.43000,3.56470e-16,0.00000
233.48000,4.31560e-16,0.00000
233.53000,4.01390e-16,0.00000
233.58000,4.47350e-16,0.00000
233.63999,4.30990e-16,0.00000
233.68999,4.44550e-16,0.00000
233.73999,3.62500e-16,0.00000
233.78999,3.23340e-16,0.00000
233.83999,2.62380e-16,0.00000
233.88999,2.55050e-16,0.00000
233.93999,2.13890e-16,0.00000
233.98999,2.38460e-16,0.00000
234.05000,3.29430e-16,0.00000
234.10000,3.71640e-16,0.00000
234.15000,3.59210e-16,0.00000
234.20000,3.70150e-16,0.00000
234.25000,3.68250e-16,0.00000
234.30000,3.40090e-16,0.00000
234.35000,2.97570e-16,0.00000
234.40000,2.34130e-16,0.00000
234.46001,2.00160e-16,0.00000
234.51001,2.57090e-16,0.00000
234.56001,2.47320e-16,0.00000
234.61001,2.38190e-16,0.00000
234.66001,2.19590e-16,0.00000
234.71001,3.21620e-16,0.00000
234.76001,2.94070e-16,0.00000
234.82000,2.47640e-16,0.00000
