wave,flux,fluxerr
199.95240,9.57070e-17,4.75290e-17
200.10701,1.06790e-16,4.85590e-17
200.26162,6.20300e-17,4.45640e-17
200.41622,1.31940e-16,5.00900e-17
200.57083,1.31860e-16,4.98980e-17
200.72544,1.00000e-18,3.78560e-17
200.88005,8.56880e-17,4.58870e-17
201.03466,9.63520e-17,4.60590e-17
201.18927,1.14700e-16,4.79080e-17
201.34388,3.22680e-17,4.03770e-17
201.49850,1.27830e-16,4.88080e-17
201.65311,1.04700e-16,4.60040e-17
201.80773,1.14700e-16,4.73870e-17
201.96234,1.18550e-16,4.72460e-17
202.11696,8.31120e-17,4.42110e-17
202.27158,1.36220e-16,4.83660e-17
202.42620,1.29310e-16,4.64880e-17
202.58082,1.25530e-16,4.72900e-17
202.73544,1.25180e-16,4.62680e-17
202.89006,7.55790e-17,4.26730e-17
203.04468,9.31720e-17,4.43270e-17
203.19930,1.08820e-16,4.39830e-17
203.35393,1.04460e-16,4.47060e-17
203.50856,1.55190e-16,4.80800e-17
203.66318,1.34340e-16,4.65500e-17
203.81781,1.34680e-16,4.59250e-17
203.97244,1.58070e-16,4.75070e-17
204.12706,1.74580e-16,4.84800e-17
204.28169,1.81750e-16,4.92570e-17
204.43633,1.62690e-16,4.78100e-17
204.59095,1.93070e-16,4.91910e-17
204.74559,1.11110e-16,4.34910e-17
204.90022,1.20680e-16,4.38140e-17
205.05486,1.77080e-16,4.80310e-17
205.20950,1.92480e-16,4.86740e-17
205.36414,1.40170e-16,4.43810e-17
205.51877,2.03930e-16,4.90710e-17
205.67339,1.27230e-16,4.37230e-17
205.82803,1.11880e-16,4.20890e-17
205.98269,6.97520e-17,3.84330e-17
206.13733,1.41490e-16,4.46110e-17
206.29197,5.44050e-17,3.66400e-17
206.44661,1.37670e-16,4.38380e-17
206.60125,1.00910e-16,4.07670e-17
206.75588,1.66510e-16,4.42850e-17
206.91055,1.47400e-16,4.39160e-17
207.06519,1.49990e-16,4.38310e-17
