wave,flux,fluxerr
114.06337,1.15340e-15,9.36490e-16
114.12174,1.10500e-15,7.39400e-16
114.18011,6.39460e-16,5.40150e-16
114.23849,2.07620e-16,7.24890e-16
114.29688,-7.13490e-17,3.40400e-16
114.35525,1.21340e-16,2.88100e-16
114.41362,6.74290e-16,3.50800e-16
114.47200,5.61060e-17,1.11950e-16
114.53037,1.53150e-16,2.12320e-16
114.58876,2.12090e-16,1.95070e-16
114.64713,2.41280e-16,4.38250e-17
114.70551,4.62820e-16,1.85890e-16
114.76388,5.22000e-16,2.11090e-16
114.82225,4.15420e-16,1.80800e-16
114.88063,1.04140e-16,7.03010e-17
114.93900,3.36800e-16,9.64320e-17
114.99738,5.48560e-16,1.58220e-16
115.05575,3.90840e-16,1.21350e-16
115.11414,1.19120e-16,9.04400e-17
115.17251,2.90750e-16,1.13630e-16
115.23088,2.58940e-16,1.07450e-16
115.28926,3.60220e-16,1.11730e-16
115.34763,2.12300e-16,8.68280e-17
115.40601,2.72800e-16,9.60230e-17
115.46438,3.66710e-16,1.05480e-16
115.52275,2.45030e-16,8.52480e-17
115.58113,1.89090e-16,6.17160e-17
115.63950,2.73080e-16,8.50950e-17
115.69786,2.87990e-16,8.69220e-17
115.75624,3.01610e-16,8.65570e-17
115.81461,2.22210e-16,7.23020e-17
115.87299,3.04870e-16,7.71130e-17
115.93136,2.35890e-16,7.32680e-17
115.98973,2.49210e-16,7.47080e-17
116.04811,3.01440e-16,7.93470e-17
116.10648,2.96070e-16,7.28120e-17
116.16486,2.94680e-16,7.64250e-17
116.22322,3.53980e-16,6.81560e-17
116.28159,2.89220e-16,6.45840e-17
116.33997,2.59320e-16,6.91880e-17
116.39834,2.27990e-16,5.67510e-17
116.45671,2.45170e-16,6.61690e-17
116.51508,2.69510e-16,6.52290e-17
116.57345,1.28370e-16,3.86700e-17
116.63182,1.82780e-16,5.55290e-17
116.69020,1.85100e-16,5.05660e-17
116.74856,1.75540e-16,4.99260e-17
116.80693,1.90730e-16,5.23190e-17
116.86531,1.67170e-16,5.23330e-17
116.92367,1.05330e-16,4.27310e-17
116.98204,2.08490e-16,5.58580e-17
117.04042,2.19990e-16,5.62740e-17
117.09878,2.74710e-16,5.57270e-17
117.15715,1.70070e-16,4.62670e-17
117.21553,2.11980e-16,5.33770e-17
117.27389,1.67290e-16,4.82400e-17
117.33226,1.20980e-16,3.60250e-17
117.39062,1.25340e-16,4.08480e-17
117.44900,2.09840e-16,4.92300e-17
117.50737,1.33450e-16,3.80320e-17
117.56573,2.44120e-16,5.11760e-17
117.62411,1.58100e-16,4.26860e-17
117.68247,7.16240e-17,3.36740e-17
117.74084,1.63630e-16,4.41160e-17
117.79921,9.82370e-17,3.42110e-17
117.85758,1.18850e-16,3.84050e-17
117.91594,1.96000e-16,4.61830e-17
117.97432,1.43940e-16,3.95680e-17
118.03268,1.99710e-16,4.20890e-17
118.09105,1.33060e-16,3.91690e-17
118.14941,1.61910e-16,3.94240e-17
118.20778,1.55350e-16,4.05850e-17
118.26615,1.44060e-16,3.90470e-17
