wave,flux,fluxerr
114.05292,2.03660e-13,1.50890e-14
114.11128,1.91330e-13,1.33180e-14
114.16965,1.73050e-13,1.16560e-14
114.22803,1.77850e-13,1.07290e-14
114.28639,1.72910e-13,9.75900e-15
114.34476,1.77490e-13,9.12330e-15
114.40314,1.73010e-13,8.33170e-15
114.46150,1.80620e-13,7.80240e-15
114.51987,1.76610e-13,7.18130e-15
114.57823,1.94240e-13,7.06670e-15
114.63661,1.91700e-13,6.57480e-15
114.69497,1.89960e-13,6.17280e-15
114.75334,1.93230e-13,5.93400e-15
114.81171,1.88910e-13,5.58850e-15
114.87008,1.84130e-13,5.22400e-15
114.92844,1.85240e-13,4.98980e-15
114.98682,1.86620e-13,4.82850e-15
115.04518,1.85600e-13,4.58890e-15
115.10355,1.86570e-13,4.45160e-15
115.16191,1.88770e-13,4.27750e-15
115.22029,1.90830e-13,4.20140e-15
115.27865,1.89380e-13,4.01650e-15
115.33701,1.89230e-13,3.94740e-15
115.39539,1.91880e-13,3.84340e-15
115.45375,1.94960e-13,3.79740e-15
115.51212,1.90190e-13,3.64200e-15
115.57048,1.87610e-13,3.55870e-15
115.62885,1.94670e-13,3.54090e-15
115.68722,1.94410e-13,3.49140e-15
115.74558,1.89630e-13,3.38870e-15
115.80394,1.86370e-13,3.32390e-15
115.86230,1.88710e-13,3.29940e-15
115.92068,1.87490e-13,3.23330e-15
115.97904,1.82940e-13,3.11910e-15
116.03740,1.91710e-13,3.14020e-15
116.09576,1.85490e-13,3.05520e-15
116.15414,1.85860e-13,3.03360e-15
116.21250,1.89140e-13,3.03260e-15
116.27086,1.85010e-13,2.95240e-15
116.32922,1.86270e-13,2.94160e-15
116.38759,1.88420e-13,2.89800e-15
116.44596,1.87500e-13,2.89360e-15
116.50432,1.86260e-13,2.81300e-15
116.56268,1.86270e-13,2.80530e-15
116.62104,1.88570e-13,2.79320e-15
116.67941,1.84480e-13,2.75630e-15
116.73777,1.86540e-13,2.74220e-15
116.79613,1.84160e-13,2.68860e-15
116.85449,1.82720e-13,2.64740e-15
116.91287,1.80870e-13,2.60550e-15
116.97123,1.78770e-13,2.56430e-15
117.02959,1.78250e-13,2.54410e-15
117.08795,1.79870e-13,2.53940e-15
117.14631,1.81520e-13,2.51520e-15
117.20468,1.79650e-13,2.47860e-15
117.26304,1.83080e-13,2.48300e-15
117.32140,1.78810e-13,2.42740e-15
117.37976,1.76170e-13,2.38830e-15
117.43812,1.71810e-13,2.33530e-15
117.49647,1.75560e-13,2.34300e-15
117.55483,1.74810e-13,2.31200e-15
117.61320,1.72470e-13,2.27920e-15
117.67156,1.72930e-13,2.27790e-15
117.72992,1.74060e-13,2.27330e-15
117.78828,1.73710e-13,2.25620e-15
117.84664,1.73510e-13,2.22850e-15
117.90500,1.73020e-13,2.21720e-15
117.96337,1.68760e-13,2.16530e-15
118.02172,1.69740e-13,2.15950e-15
118.08008,1.66750e-13,2.11510e-15
118.13844,1.69860e-13,2.13960e-15
118.19680,1.65700e-13,2.08900e-15
118.25516,1.64920e-13,2.08510e-15
118.31351,1.65450e-13,2.05420e-15
118.37188,1.61030e-13,2.01330e-15
118.43024,1.61670e-13,1.99360e-15
118.48860,1.57920e-13,1.96970e-15
118.54695,1.55400e-13,1.93920e-15
118.60531,1.54600e-13,1.93130e-15
118.66367,1.52960e-13,1.89610e-15
118.72202,1.51860e-13,1.89760e-15
