wave,flux,fluxerr
290.09822,-1.65600e-15,1.39030e-15
290.37273,1.60290e-15,1.29620e-15
290.64727,-8.78700e-18,1.16170e-15
290.92178,-5.33660e-16,1.65040e-15
291.19629,2.94750e-15,9.82690e-16
291.47083,-1.70820e-16,8.12190e-16
291.74536,5.55860e-16,7.49890e-16
292.01987,4.51370e-16,6.46840e-16
292.29441,1.07240e-15,5.96160e-16
292.56895,-8.29800e-16,4.99040e-16
292.84348,8.45170e-16,4.57100e-16
293.11802,-4.55800e-16,4.20010e-16
293.39255,1.02190e-15,2.53730e-15
293.66709,6.39570e-16,1.36250e-15
293.94165,-1.21550e-16,2.69720e-16
294.21619,7.13040e-16,2.51210e-16
294.49075,4.76520e-16,2.51890e-16
294.76528,-7.70770e-17,2.77430e-16
295.03984,5.39510e-16,1.79940e-16
295.31440,7.40430e-17,1.58150e-16
295.58896,2.98710e-17,1.45610e-16
295.86353,4.27090e-16,1.43620e-16
296.13809,1.22220e-16,1.24360e-16
296.41265,-1.03150e-16,1.11020e-16
296.68721,3.07400e-16,1.15440e-16
296.96177,4.66160e-17,1.02980e-16
297.23635,3.55210e-16,1.07430e-16
297.51091,3.75580e-16,9.83920e-17
297.78550,2.00650e-16,1.11100e-16
298.06006,4.82180e-16,9.57200e-17
298.33464,3.54280e-16,9.36550e-17
298.60923,1.75340e-16,1.23000e-16
298.88381,2.20350e-16,9.55350e-17
299.15840,2.64570e-16,8.63450e-17
299.43298,2.43190e-16,8.73380e-17
299.70757,3.95000e-16,8.67830e-17
299.98215,9.37020e-17,7.92890e-17
300.25676,6.51270e-17,8.10950e-17
300.53135,3.46170e-16,2.62430e-16
300.80593,3.67750e-16,8.62870e-17
301.08054,5.18240e-16,1.01110e-16
301.35515,3.43340e-16,9.29610e-17
301.62974,2.67180e-16,2.69580e-16
301.90435,2.60280e-16,8.04650e-17
302.17896,2.09100e-16,7.38340e-17
302.45356,3.31640e-16,7.55390e-17
302.72817,2.95290e-16,7.42170e-17
303.00278,4.03960e-16,7.39020e-17
303.27739,4.14870e-16,7.84680e-17
303.55203,4.89830e-16,7.90030e-17
303.82664,2.67210e-16,1.01510e-16
304.10125,1.81350e-16,6.53470e-17
304.37588,3.24600e-16,6.87280e-17
304.65051,2.72220e-16,6.63950e-17
304.92512,3.59070e-16,6.64580e-17
305.19976,3.53110e-16,6.58870e-17
305.47439,2.60810e-16,6.65270e-17
305.74902,3.04140e-16,6.44930e-17
306.02366,3.60820e-16,6.14020e-17
306.29829,2.78340e-16,5.98590e-17
306.57292,4.33680e-16,6.40820e-17
306.84756,2.75730e-16,5.78220e-17
307.12219,1.71240e-16,5.67700e-17
307.39685,4.02520e-16,6.02380e-17
307.67148,3.77810e-16,6.39130e-17
307.94614,3.55520e-16,1.32120e-16
308.22078,6.16670e-16,6.27510e-17
308.49543,2.20470e-16,5.52140e-17
308.77009,2.52260e-16,5.47990e-17
309.04473,3.59770e-16,5.84160e-17
309.31938,3.16710e-16,5.88830e-17
309.59404,2.39800e-16,7.70100e-17
309.86870,2.09850e-16,5.19120e-17
310.14336,2.08030e-16,5.35110e-17
310.41804,3.02910e-16,6.55380e-17
310.69270,4.07600e-16,6.42860e-17
310.96736,3.78140e-16,6.54020e-17
311.24204,4.40460e-16,5.67640e-17
311.51670,5.22770e-16,1.23310e-16
311.79138,2.86850e-16,5.36660e-17
312.06604,3.14520e-16,5.35400e-17
312.34072,2.99470e-16,5.24480e-17
312.61541,2.12730e-16,5.61190e-17
312.89006,3.06940e-16,5.45750e-17
313.16475,2.11160e-16,5.14630e-17
313.43943,2.02670e-16,6.26320e-17
313.71411,1.23300e-16,1.30430e-16
313.98879,2.13180e-16,1.06130e-15
314.26350,2.07060e-16,6.53320e-17
314.53818,2.39670e-16,4.98360e-17
314.81287,2.01750e-16,4.77310e-17
315.08755,4.24020e-16,5.20640e-17
315.36226,3.06890e-16,6.29370e-17
315.63694,2.62790e-16,5.29630e-17
315.91165,3.55500e-16,6.09900e-17
316.18635,2.75410e-16,7.38090e-17
316.46104,2.90120e-16,4.85920e-17
316.73574,3.87610e-16,5.20830e-17
317.01045,2.55030e-16,4.90220e-17
317.28516,2.60570e-16,4.76810e-17
317.55986,4.87200e-16,5.11960e-17
317.83457,2.81990e-16,4.70830e-17
318.10928,2.52270e-16,4.48790e-17
318.38398,2.82380e-16,4.60840e-17
318.65869,2.45080e-16,6.96210e-17
318.93342,3.92310e-16,4.97690e-17
319.20813,2.69810e-16,4.46520e-17
319.48284,2.35250e-16,4.76180e-17
319.75757,4.37440e-16,4.69950e-17
320.03228,3.10020e-16,4.52410e-17
320.30701,3.44910e-16,4.49090e-17
320.58174,4.78760e-16,5.04160e-17
320.85647,3.64120e-16,5.18880e-17
321.13118,2.78860e-16,4.67580e-17
321.40591,3.34360e-16,4.62650e-17
321.68064,2.66740e-16,4.70800e-17
321.95537,2.49850e-16,4.92530e-17
322.23010,4.13820e-16,4.44630e-17
322.50483,3.60610e-16,5.25760e-17
322.77957,3.37630e-16,4.20590e-17
323.05432,3.03290e-16,4.10990e-17
323.32905,2.89880e-16,4.22910e-17
323.60378,3.81100e-16,4.43540e-17
323.87854,3.02440e-16,6.74530e-17
324.15327,3.36820e-16,4.43710e-17
324.42803,4.58040e-16,4.40770e-17
324.70276,2.37890e-16,3.90620e-17
324.97751,3.75750e-16,4.59940e-17
325.25227,3.46030e-16,4.13710e-17
325.52703,3.12650e-16,4.09570e-17
325.80176,3.44230e-16,4.10360e-17
326.07651,4.35670e-16,4.17960e-17
326.35127,2.49280e-16,3.86440e-17
326.62603,5.31920e-16,4.50070e-17
326.90078,5.26180e-16,4.50080e-17
327.17554,3.33210e-16,6.06310e-17
327.45032,4.64320e-16,4.35760e-17
327.72507,4.32440e-16,4.28210e-17
327.99983,3.21620e-16,3.91070e-17
328.27459,4.25080e-16,4.20020e-17
328.54937,3.35730e-16,4.17370e-17
328.82412,3.22100e-16,3.98800e-17
329.09890,3.99340e-16,4.05200e-17
329.37366,3.63630e-16,4.00230e-17
329.64844,4.25690e-16,4.18810e-17
329.92322,4.36850e-16,4.17390e-17
330.19797,3.11430e-16,3.89750e-17
330.47275,4.84430e-16,4.23060e-17
330.74753,4.63350e-16,4.60730e-17
331.02231,3.21540e-16,3.90240e-17
331.29709,4.11560e-16,4.25060e-17
331.57187,3.71190e-16,4.03820e-17
331.84666,4.22060e-16,3.97620e-17
332.12144,4.53750e-16,4.04730e-17
332.39622,2.98130e-16,4.24850e-17
332.67100,3.58870e-16,3.88620e-17
332.94578,4.88770e-16,3.99030e-17
333.22058,3.86560e-16,3.96460e-17
333.49536,3.60200e-16,3.84270e-17
333.77014,4.02010e-16,3.80120e-17
334.04495,3.77980e-16,3.81650e-17
334.31973,3.32750e-16,3.75010e-17
334.59453,4.59930e-16,4.09140e-17
334.86934,3.81620e-16,8.43720e-17
335.14412,4.56670e-16,3.87750e-17
335.41892,4.03310e-16,3.95970e-17
335.69373,4.16540e-16,1.25400e-16
335.96851,3.80840e-16,3.99150e-17
336.24331,5.74050e-16,4.22930e-17
336.51812,3.65590e-16,4.01400e-17
336.79292,5.15170e-16,3.87000e-17
337.06772,2.64470e-16,3.42260e-17
337.34253,2.94460e-16,3.56200e-17
337.61733,3.75250e-16,3.68040e-17
337.89214,3.27280e-16,3.58760e-17
338.16694,4.00720e-16,3.95160e-17
338.44177,4.18380e-16,3.81720e-17
338.71658,3.11810e-16,4.13830e-17
338.99138,3.82310e-16,3.73360e-17
339.26621,4.10390e-16,6.27180e-17
339.54102,3.78350e-16,3.56600e-17
339.81582,5.31740e-16,4.18150e-17
340.09065,3.93740e-16,4.16530e-17
340.36545,3.55370e-16,3.47680e-17
340.64028,4.33640e-16,3.61120e-17
340.91511,3.62670e-16,3.49590e-17
341.18992,3.31680e-16,3.47420e-17
341.46475,4.90350e-16,3.70160e-17
341.73958,3.39820e-16,3.44240e-17
342.01440,4.71890e-16,4.64790e-17
342.28921,4.92940e-16,3.62090e-17
342.56404,3.77390e-16,3.45110e-17
342.83887,4.51730e-16,3.67370e-17
343.11370,4.96470e-16,3.58320e-17
343.38853,3.83560e-16,5.65810e-17
343.66335,4.37930e-16,3.58470e-17
343.93818,3.90650e-16,3.45210e-17
344.21301,2.82600e-16,3.22960e-17
344.48787,4.03250e-16,3.38570e-17
344.76270,3.99790e-16,3.43320e-17
345.03752,4.11570e-16,3.53230e-17
345.31235,4.75160e-16,3.62970e-17
345.58721,4.26770e-16,3.38650e-17
345.86204,3.50360e-16,3.39450e-17
346.13687,4.04530e-16,3.36970e-17
346.41172,3.52220e-16,3.50250e-17
346.68655,4.41140e-16,3.62930e-17
346.96140,4.81850e-16,3.65780e-17
347.23623,3.88900e-16,4.15230e-17
347.51108,3.93280e-16,3.32900e-17
347.78591,3.71400e-16,4.16460e-17
348.06077,3.81690e-16,3.28350e-17
348.33562,4.61150e-16,3.46310e-17
348.61047,4.00340e-16,3.26480e-17
348.88530,3.88000e-16,3.29140e-17
349.16016,4.49310e-16,3.37470e-17
349.43501,3.37830e-16,3.19810e-17
349.70986,4.13440e-16,3.71450e-17
349.98472,5.54950e-16,4.05080e-17
350.25957,4.79020e-16,3.46180e-17
350.53442,5.20690e-16,3.76360e-17
350.80928,4.75670e-16,3.58680e-17
351.08413,4.02050e-16,3.53340e-17
351.35898,4.58060e-16,3.40010e-17
351.63384,4.64150e-16,3.38450e-17
351.90869,3.81620e-16,3.20350e-17
352.18354,5.28830e-16,4.05180e-17
352.45840,3.66810e-16,3.21180e-17
352.73328,3.58660e-16,3.12940e-17
353.00813,5.57800e-16,3.46710e-17
353.28298,4.17970e-16,3.30110e-17
353.55786,4.63830e-16,3.31030e-17
353.83271,4.63630e-16,3.27110e-17
354.10757,5.01640e-16,3.35660e-17
354.38245,4.78820e-16,3.48090e-17
354.65730,5.46110e-16,4.73760e-17
354.93218,4.30000e-16,3.37640e-17
355.20703,4.86580e-16,3.30970e-17
355.48191,4.87630e-16,3.32320e-17
355.75676,3.99830e-16,3.13540e-17
356.03164,4.31590e-16,3.29910e-17
356.30652,5.20890e-16,3.33510e-17
356.58137,3.60550e-16,3.71350e-17
356.85625,4.53710e-16,3.79800e-17
357.13113,3.40440e-16,3.04710e-17
357.40598,3.59680e-16,3.92720e-17
357.68086,5.27780e-16,6.82990e-17
357.95574,3.74180e-16,3.16570e-17
358.23062,3.52770e-16,3.01560e-17
358.50549,4.08920e-16,3.10980e-17
358.78037,3.18910e-16,3.00450e-17
359.05525,3.88900e-16,3.02810e-17
359.33010,4.96940e-16,4.18100e-17
359.60498,3.66030e-16,3.12120e-17
359.87986,5.20810e-16,3.25460e-17
360.15474,4.56840e-16,3.25160e-17
360.42961,3.43870e-16,3.05580e-17
360.70452,4.31830e-16,3.18760e-17
360.97939,3.71320e-16,3.50860e-17
361.25427,3.44700e-16,4.83500e-17
361.52915,4.90200e-16,3.37910e-17
361.80403,3.36260e-16,3.04710e-17
362.07891,3.71520e-16,2.96560e-17
362.35378,4.74910e-16,3.52300e-17
362.62869,3.57980e-16,2.97370e-17
362.90356,4.55780e-16,3.11380e-17
363.17844,4.05530e-16,3.14170e-17
363.45332,3.89120e-16,3.01530e-17
363.72822,4.91060e-16,3.12730e-17
364.00310,4.28910e-16,3.07230e-17
364.27798,4.71740e-16,3.16360e-17
364.55288,4.63110e-16,3.64980e-17
364.82776,4.94200e-16,3.83970e-17
365.10266,4.54280e-16,3.42160e-17
365.37754,5.09010e-16,3.85540e-17
365.65244,4.71350e-16,3.08830e-17
365.92732,4.63680e-16,3.28980e-17
366.20220,5.40220e-16,3.12970e-17
366.47710,4.88400e-16,3.26710e-17
366.75200,4.83250e-16,3.01940e-17
367.02688,4.95920e-16,3.07190e-17
367.30178,4.26070e-16,3.09070e-17
367.57666,4.63120e-16,4.52840e-17
367.85156,4.67690e-16,3.05020e-17
368.12644,4.33640e-16,2.95370e-17
368.40134,4.56070e-16,3.09360e-17
368.67625,5.25060e-16,4.56030e-17
368.95112,3.94150e-16,2.82380e-17
369.22603,5.46710e-16,3.07580e-17
369.50093,5.10110e-16,6.68190e-17
369.77583,4.73820e-16,2.93990e-17
370.05071,5.83960e-16,3.05220e-17
370.32561,4.14660e-16,2.83400e-17
370.60051,3.92140e-16,3.55950e-17
370.87542,4.67290e-16,2.93600e-17
371.15029,3.89460e-16,2.75390e-17
371.42520,4.81220e-16,2.92300e-17
371.70010,5.46460e-16,2.94990e-17
371.97500,4.60860e-16,2.92110e-17
372.24990,4.28420e-16,2.79450e-17
372.52480,4.68670e-16,2.86960e-17
372.79971,4.33520e-16,2.77920e-17
373.07458,4.95870e-16,2.84770e-17
373.34949,3.85530e-16,2.74630e-17
373.62439,3.41770e-16,2.58170e-17
373.89929,4.91010e-16,2.79950e-17
374.17419,3.77490e-16,2.62400e-17
374.44910,5.22720e-16,2.92700e-17
374.72400,4.49270e-16,2.72980e-17
374.99890,3.34810e-16,2.59900e-17
375.27380,4.85670e-16,2.93640e-17
375.54871,4.89210e-16,3.70300e-17
375.82361,4.73170e-16,2.69560e-17
376.09851,4.63250e-16,2.92110e-17
376.37341,5.15040e-16,3.40610e-17
376.64832,4.26050e-16,2.70250e-17
376.92322,5.10240e-16,2.71830e-17
377.19812,4.77930e-16,2.61000e-17
377.47302,5.52920e-16,2.86360e-17
377.74792,6.30820e-16,3.02480e-17
378.02283,6.23490e-16,4.12030e-17
378.29773,6.01550e-16,2.79000e-17
378.57266,5.92360e-16,2.81340e-17
378.84756,5.21330e-16,2.64310e-17
379.12246,5.14530e-16,2.63300e-17
379.39736,5.49050e-16,2.89860e-17
379.67227,4.29490e-16,2.44270e-17
379.94717,4.41790e-16,2.46760e-17
380.22207,5.12180e-16,2.64480e-17
380.49697,5.34910e-16,2.61500e-17
380.77190,5.65070e-16,2.72930e-17
381.04680,5.99330e-16,2.70230e-17
381.32170,4.75450e-16,3.18630e-17
381.59661,5.13050e-16,2.59230e-17
381.87151,5.30560e-16,2.53480e-17
382.14641,4.70190e-16,2.47410e-17
382.42131,5.03500e-16,2.46640e-17
382.69624,3.98200e-16,2.37640e-17
382.97114,4.23010e-16,2.46290e-17
383.24604,3.91530e-16,2.88990e-17
383.52095,3.09540e-16,2.66940e-17
383.79585,3.73190e-16,2.22980e-17
384.07078,4.30210e-16,2.31370e-17
384.34568,4.49330e-16,2.43220e-17
384.62058,5.88040e-16,2.90630e-17
384.89548,5.75000e-16,2.51770e-17
385.17039,5.57190e-16,3.10160e-17
385.44531,6.08010e-16,2.55470e-17
385.72021,5.95040e-16,2.53180e-17
385.99512,5.48440e-16,2.75710e-17
386.27002,5.86230e-16,2.47990e-17
386.54492,6.15350e-16,2.61780e-17
386.81982,6.28350e-16,2.53440e-17
387.09475,6.17750e-16,2.49330e-17
387.36965,4.88880e-16,2.28440e-17
387.64456,5.88510e-16,2.50700e-17
387.91946,4.94740e-16,2.32910e-17
388.19436,5.18680e-16,2.32730e-17
388.46929,6.07390e-16,2.80930e-17
388.74419,5.12620e-16,2.58950e-17
389.01909,5.17980e-16,2.29240e-17
389.29399,5.01250e-16,2.68000e-17
389.56890,5.56990e-16,2.72620e-17
389.84380,5.49880e-16,2.32820e-17
390.11873,5.86000e-16,2.39970e-17
390.39363,5.20230e-16,2.25830e-17
390.66853,5.54850e-16,2.32240e-17
390.94343,6.00130e-16,2.36190e-17
391.21833,5.23510e-16,2.30740e-17
391.49324,5.81770e-16,2.48930e-17
391.76816,5.74990e-16,3.59230e-17
392.04307,4.90370e-16,2.28050e-17
392.31797,5.15830e-16,2.22700e-17
392.59287,5.12870e-16,2.32050e-17
392.86777,4.08260e-16,2.24680e-17
393.14268,2.85080e-16,1.92560e-17
393.41758,1.97650e-16,1.71470e-17
393.69248,2.25320e-16,1.88220e-17
393.96738,3.55670e-16,1.96130e-17
394.24231,4.39320e-16,2.09370e-17
394.51721,5.14020e-16,2.19010e-17
394.79211,5.70220e-16,2.22490e-17
395.06702,5.46080e-16,2.26820e-17
395.34192,5.32640e-16,2.20750e-17
395.61682,6.00320e-16,2.24220e-17
395.89172,5.03520e-16,2.11620e-17
396.16663,5.29600e-16,2.15320e-17
396.44153,3.94150e-16,1.96480e-17
396.71643,2.39590e-16,1.68620e-17
396.99133,2.92720e-16,1.94750e-17
397.26624,3.75830e-16,2.23060e-17
397.54114,3.98900e-16,2.30900e-17
397.81604,5.65510e-16,2.36130e-17
398.09094,6.42690e-16,2.25330e-17
398.36584,6.53550e-16,3.97650e-17
398.64075,6.21690e-16,2.35770e-17
398.91562,6.41340e-16,2.34560e-17
399.19053,6.14620e-16,2.20420e-17
399.46543,6.44830e-16,2.31270e-17
399.74033,6.25200e-16,2.58930e-17
400.01523,6.76400e-16,3.05560e-17
400.29014,6.83790e-16,2.30900e-17
400.56504,6.03710e-16,2.20160e-17
400.83992,6.72890e-16,2.26400e-17
401.11482,7.11220e-16,2.44140e-17
401.38972,6.98750e-16,2.28670e-17
401.66462,7.07440e-16,2.46380e-17
401.93953,7.23810e-16,2.31400e-17
402.21440,7.13350e-16,2.28180e-17
402.48931,6.82670e-16,2.24950e-17
402.76421,6.82410e-16,2.31950e-17
403.03909,6.47900e-16,2.29130e-17
403.31399,6.47650e-16,2.19050e-17
403.58889,6.44610e-16,2.31290e-17
403.86377,7.54210e-16,2.72250e-17
404.13867,7.11920e-16,2.27200e-17
404.41357,6.68540e-16,3.50180e-17
404.68845,6.16770e-16,2.58690e-17
404.96335,6.83940e-16,2.26280e-17
405.23823,6.48150e-16,3.08170e-17
405.51313,6.72770e-16,2.22490e-17
405.78801,6.79800e-16,2.69220e-17
406.06292,6.40240e-16,2.24680e-17
406.33779,6.56610e-16,2.22220e-17
406.61270,6.36100e-16,2.13810e-17
406.88757,6.62600e-16,2.32380e-17
407.16248,6.82190e-16,2.20150e-17
407.43735,6.63520e-16,2.23720e-17
