wave,flux,fluxerr
166.90736,3.30110e-09,2.18810e-11
167.04446,3.25800e-09,2.13350e-11
167.18157,3.32470e-09,2.11390e-11
167.31868,3.36570e-09,1.45330e-11
167.45579,3.50010e-09,1.45240e-11
167.59290,3.56490e-09,1.43140e-11
167.73000,3.69580e-09,1.43460e-11
167.86711,3.83460e-09,1.42850e-11
168.00424,3.80280e-09,1.39200e-11
168.14136,3.71250e-09,1.35630e-11
168.27847,3.76710e-09,1.35000e-11
168.41559,3.78940e-09,1.33080e-11
168.55271,3.66030e-09,1.28830e-11
168.68983,3.51360e-09,1.23880e-11
168.82695,3.51200e-09,1.22050e-11
168.96409,3.53780e-09,1.20940e-11
169.10121,3.53320e-09,1.19240e-11
169.23834,3.54680e-09,1.18600e-11
169.37546,3.50700e-09,1.16120e-11
169.51260,3.47820e-09,1.13560e-11
169.64973,3.49180e-09,1.12990e-11
169.78687,3.45880e-09,1.11390e-11
169.92400,3.43780e-09,1.09800e-11
170.06113,3.44940e-09,1.08160e-11
170.19828,3.48820e-09,1.08520e-11
170.33541,3.45260e-09,1.06510e-11
170.47256,3.46060e-09,1.05730e-11
170.60970,3.46240e-09,1.04920e-11
170.74685,3.42790e-09,1.07050e-11
170.88398,3.44120e-09,1.04730e-11
171.02114,3.38460e-09,1.00800e-11
171.15829,3.43380e-09,1.00690e-11
171.29543,3.47240e-09,1.00500e-11
171.43259,3.47390e-09,1.00250e-11
171.56974,3.36190e-09,9.77050e-12
171.70690,3.12530e-09,9.34280e-12
171.84406,3.03130e-09,9.10330e-12
171.98120,3.13420e-09,9.19910e-12
172.11836,3.09670e-09,9.04860e-12
172.25553,3.04210e-09,8.91640e-12
172.39269,3.05100e-09,8.86470e-12
172.52985,3.12040e-09,8.91650e-12
172.66702,3.19440e-09,8.96580e-12
172.80417,3.26950e-09,8.99030e-12
172.94135,3.27970e-09,8.96270e-12
173.07852,3.31310e-09,8.95190e-12
173.21569,3.35940e-09,8.92650e-12
173.35286,3.39110e-09,8.92260e-12
173.49003,3.44560e-09,8.93890e-12
173.62720,3.40110e-09,8.81990e-12
173.76437,3.36750e-09,8.73650e-12
173.90155,3.28680e-09,8.59820e-12
174.03872,3.25740e-09,8.52420e-12
174.17590,3.27930e-09,8.49730e-12
174.31309,3.36610e-09,8.53510e-12
174.45027,3.42910e-09,8.56300e-12
174.58745,3.36230e-09,8.43900e-12
174.72463,3.28060e-09,8.29190e-12
174.86182,3.30520e-09,8.27090e-12
174.99901,3.27920e-09,8.17200e-12
175.13619,3.18470e-09,7.95840e-12
175.27339,3.15400e-09,7.93850e-12
175.41057,3.23860e-09,7.98280e-12
175.54777,3.33540e-09,8.07550e-12
175.68496,3.36900e-09,8.05090e-12
175.82216,3.32000e-09,7.96870e-12
175.95935,3.26210e-09,7.85390e-12
176.09655,3.23740e-09,7.75460e-12
176.23375,3.22860e-09,7.71960e-12
176.37095,3.20900e-09,7.66330e-12
176.50815,3.17680e-09,7.59570e-12
176.64535,3.17850e-09,7.56790e-12
176.78256,3.12110e-09,7.44330e-12
176.91976,3.15350e-09,7.44470e-12
177.05697,3.19970e-09,7.48760e-12
177.19418,3.18830e-09,7.43470e-12
177.33138,3.18650e-09,7.36650e-12
177.46859,3.19290e-09,7.33840e-12
177.60581,3.15110e-09,7.27160e-12
177.74302,3.15320e-09,7.22140e-12
177.88024,3.14140e-09,7.17230e-12
178.01744,3.13570e-09,7.15100e-12
178.15466,3.11560e-09,7.10830e-12
178.29188,3.12000e-09,7.05160e-12
178.42910,3.11210e-09,6.99310e-12
178.56632,3.11770e-09,6.97490e-12
178.70354,3.08960e-09,6.93590e-12
178.84077,3.07060e-09,6.85840e-12
178.97799,3.06660e-09,6.83710e-12
179.11522,2.97690e-09,6.70310e-12
179.25244,2.96630e-09,6.64920e-12
179.38967,2.96960e-09,6.64120e-12
179.52690,3.03210e-09,6.68150e-12
179.66414,3.04350e-09,6.64960e-12
179.80137,3.02760e-09,6.59150e-12
179.93860,3.04870e-09,6.60200e-12
180.07583,3.06620e-09,6.59310e-12
180.21306,3.06140e-09,6.55490e-12
180.35031,3.03870e-09,6.50080e-12
180.48754,2.96970e-09,6.38990e-12
180.62478,2.96480e-09,6.37660e-12
180.76201,2.93500e-09,6.31650e-12
180.89926,2.92470e-09,6.25780e-12
181.03650,2.90460e-09,6.21450e-12
181.17374,2.89930e-09,6.17480e-12
181.31099,2.95380e-09,6.21410e-12
181.44823,2.97340e-09,6.22100e-12
181.58549,2.95420e-09,6.15540e-12
181.72273,2.95180e-09,6.13020e-12
181.85999,2.94130e-09,6.11690e-12
181.99723,2.91340e-09,6.04600e-12
182.13448,2.95320e-09,6.08790e-12
182.27174,2.96940e-09,6.04400e-12
182.40898,2.99630e-09,6.05150e-12
182.54624,2.99250e-09,6.03510e-12
182.68350,2.92510e-09,5.93960e-12
182.82075,2.93600e-09,5.91740e-12
182.95802,2.94640e-09,5.88520e-12
183.09528,2.97300e-09,5.92830e-12
183.23253,3.00390e-09,5.93270e-12
183.36980,3.04570e-09,5.93120e-12
183.50707,3.01570e-09,5.89350e-12
183.64432,2.99930e-09,5.83970e-12
183.78159,2.94370e-09,5.75910e-12
183.91886,2.89860e-09,5.70240e-12
184.05613,2.82480e-09,5.60840e-12
184.19340,2.78150e-09,5.53470e-12
184.33066,2.75890e-09,5.50490e-12
184.46793,2.77510e-09,5.50130e-12
184.60521,2.77340e-09,5.49070e-12
184.74248,2.78800e-09,5.48220e-12
184.87976,2.74880e-09,5.41920e-12
185.01703,2.72490e-09,5.36280e-12
185.15431,2.69940e-09,5.33420e-12
185.29159,2.66790e-09,5.28360e-12
185.42887,2.61260e-09,5.20810e-12
185.56615,2.67100e-09,5.23530e-12
185.70343,2.75630e-09,5.32100e-12
185.84071,2.74220e-09,5.28010e-12
185.97799,2.72750e-09,5.25210e-12
186.11527,2.68230e-09,5.19620e-12
186.25256,2.68510e-09,5.17890e-12
186.38984,2.74870e-09,5.22370e-12
186.52714,2.78810e-09,5.24390e-12
186.66443,2.80590e-09,5.23600e-12
