wave,flux,fluxerr
290.24053,-2.39400e-16,1.23790e-15
290.51501,-3.80380e-16,1.11380e-15
290.78950,7.32290e-16,1.71210e-15
291.06399,-1.05120e-15,8.65760e-16
291.33850,3.86180e-16,7.92910e-16
291.61299,-2.36650e-17,7.13330e-16
291.88750,-4.30590e-16,6.10820e-16
292.16199,1.03780e-15,5.96720e-16
292.43650,-9.17060e-16,4.81730e-16
292.71101,-5.30370e-16,4.26520e-16
292.98552,6.80270e-16,4.45440e-16
293.26003,1.21070e-15,2.59310e-15
293.53455,8.19100e-17,1.25510e-15
293.80906,1.28570e-16,2.84100e-16
294.08357,3.23620e-18,2.32610e-16
294.35811,1.48500e-16,2.43200e-16
294.63262,3.04780e-16,2.77730e-16
294.90715,5.28680e-16,1.75650e-16
295.18167,6.50980e-16,1.64850e-16
295.45620,5.49860e-16,1.71770e-16
295.73074,5.21150e-16,1.48610e-16
296.00525,3.04580e-16,1.19980e-16
296.27979,1.37220e-16,1.12720e-16
296.55432,2.76880e-17,1.07300e-16
296.82888,2.12090e-16,9.93610e-17
297.10342,2.89040e-16,9.96270e-17
297.37795,3.22610e-16,9.19890e-17
297.65249,3.01560e-16,1.06510e-16
297.92705,3.83300e-16,8.83330e-17
298.20159,1.13170e-16,8.43780e-17
298.47615,3.96710e-16,1.58340e-16
298.75071,3.19130e-16,9.61010e-17
299.02524,1.14750e-16,1.25330e-16
299.29980,6.87820e-17,9.12480e-17
299.57437,3.25850e-16,8.05110e-17
299.84893,4.18050e-16,8.07940e-17
300.12349,3.28120e-16,7.94120e-17
300.39807,2.89700e-16,1.30150e-16
300.67263,3.28760e-16,7.93920e-17
300.94719,3.67180e-16,8.22180e-17
301.22178,4.30580e-16,8.05480e-17
301.49634,4.21860e-16,2.62420e-16
301.77092,1.72860e-16,7.93650e-17
302.04551,2.19530e-16,6.70260e-17
302.32007,3.93150e-16,7.25190e-17
302.59465,3.53140e-16,7.10430e-17
302.86924,3.49740e-16,6.81710e-17
303.14382,5.13240e-16,7.29130e-17
303.41841,3.39480e-16,6.93340e-17
303.69299,2.90920e-16,1.09730e-16
303.96760,2.76860e-16,6.26130e-17
304.24219,4.58950e-16,6.72270e-17
304.51677,4.14970e-16,6.67960e-17
304.79138,4.90400e-16,7.39610e-17
305.06597,6.10770e-16,6.69240e-17
305.34058,4.34740e-16,6.34250e-17
305.61519,3.43990e-16,6.12090e-17
305.88979,2.35900e-16,5.56850e-17
306.16438,2.97310e-16,5.63510e-17
306.43899,3.23800e-16,5.84880e-17
306.71360,3.62270e-16,5.54970e-17
306.98823,4.13880e-16,5.72810e-17
307.26284,4.29420e-16,5.69470e-17
307.53745,3.21910e-16,5.92400e-17
307.81206,5.10580e-16,8.22490e-17
308.08669,4.42810e-16,5.57990e-17
308.36130,3.61900e-16,5.52140e-17
308.63594,3.91190e-16,5.38930e-17
308.91055,2.66740e-16,5.23290e-17
309.18518,3.41890e-16,5.52450e-17
309.45981,3.26800e-16,5.16360e-17
309.73445,2.36460e-16,4.98170e-17
310.00908,3.73580e-16,5.38040e-17
310.28372,4.25770e-16,5.73250e-17
310.55835,5.26670e-16,5.80370e-17
310.83298,5.73990e-16,7.79050e-17
311.10762,5.68160e-16,5.65900e-17
311.38225,5.67550e-16,1.12130e-16
311.65691,4.78170e-16,5.30620e-17
311.93154,3.59920e-16,5.06810e-17
312.20620,4.01950e-16,5.09860e-17
312.48083,3.83100e-16,5.60410e-17
312.75549,4.16550e-16,5.26950e-17
313.03013,5.41340e-16,5.29180e-17
313.30479,4.98150e-16,6.79310e-17
313.57944,4.48130e-16,5.36260e-17
313.85410,5.28360e-16,3.13090e-16
314.12876,5.60430e-16,6.09050e-17
314.40342,3.35980e-16,4.85320e-17
314.67808,3.27010e-16,4.88310e-17
314.95273,3.97450e-16,4.84820e-17
315.22742,4.08740e-16,5.95830e-17
315.50208,4.13420e-16,5.02140e-17
315.77673,2.82410e-16,4.81640e-17
316.05142,3.25880e-16,7.02300e-17
316.32607,4.58890e-16,4.84960e-17
316.60076,3.89660e-16,4.95360e-17
316.87544,5.14410e-16,5.01520e-17
317.15010,5.43430e-16,4.96360e-17
317.42478,5.11800e-16,5.00920e-17
317.69946,4.85490e-16,5.16590e-17
317.97415,3.84910e-16,4.47600e-17
318.24883,4.47980e-16,4.66100e-17
318.52351,4.50740e-16,7.06480e-17
318.79819,4.90100e-16,4.93790e-17
319.07288,3.91050e-16,4.48170e-17
319.34756,4.04670e-16,4.57300e-17
319.62227,4.95150e-16,4.60670e-17
319.89695,5.33000e-16,4.64830e-17
320.17166,5.35120e-16,4.56380e-17
320.44634,5.05470e-16,4.53460e-17
320.72104,5.53220e-16,4.83060e-17
320.99573,4.62850e-16,4.48780e-17
321.27043,3.97510e-16,4.24320e-17
321.54514,3.80700e-16,4.33460e-17
321.81982,4.96930e-16,4.58940e-17
322.09453,5.47070e-16,4.39310e-17
322.36924,4.12940e-16,5.07920e-17
322.64395,4.59590e-16,4.20030e-17
322.91865,3.57810e-16,3.98490e-17
323.19336,3.94510e-16,4.20900e-17
323.46809,4.67100e-16,4.29420e-17
323.74280,5.11890e-16,7.30240e-17
324.01750,4.52020e-16,4.52560e-17
324.29224,5.47130e-16,4.35510e-17
324.56694,4.85380e-16,4.13680e-17
324.84165,5.44290e-16,4.65340e-17
325.11638,5.13060e-16,4.20390e-17
325.39111,5.21020e-16,4.26520e-17
325.66582,6.87100e-16,4.54060e-17
325.94055,6.69600e-16,4.35610e-17
326.21528,5.70260e-16,4.24560e-17
326.49001,6.18930e-16,4.47280e-17
326.76472,5.83660e-16,4.44900e-17
327.03945,6.08650e-16,6.10890e-17
327.31418,6.09740e-16,4.36260e-17
327.58892,6.31970e-16,4.64180e-17
327.86365,6.18300e-16,4.51460e-17
328.13840,7.48220e-16,4.49630e-17
328.41313,6.35020e-16,4.43930e-17
328.68787,5.50160e-16,4.13950e-17
328.96260,6.00550e-16,4.16370e-17
329.23735,8.07040e-16,4.73440e-17
329.51208,6.95610e-16,4.39610e-17
329.78684,7.10990e-16,4.37350e-17
330.06157,7.30980e-16,4.40030e-17
330.33633,7.07980e-16,4.32940e-17
