wave,flux,fluxerr
290.03298,-2.39020e-15,1.18940e-15
290.30750,-6.38560e-16,8.63470e-16
290.58203,-6.14770e-16,9.04090e-16
290.85654,-2.23590e-17,1.02960e-15
291.13105,-2.18140e-15,6.14960e-16
291.40559,2.72330e-17,5.62630e-16
291.68010,3.61220e-16,5.07140e-16
291.95464,-1.39410e-15,4.35290e-16
292.22917,-1.56360e-15,4.00680e-16
292.50371,-8.84190e-16,3.66730e-16
292.77825,3.67710e-17,3.50940e-16
293.05278,3.93880e-16,4.26740e-16
293.32732,1.24530e-15,1.34220e-15
293.60186,3.85130e-16,5.14270e-16
293.87639,-4.47890e-16,1.80500e-16
294.15095,2.09280e-17,1.66610e-16
294.42549,1.45870e-16,1.72650e-16
294.70005,1.10690e-16,1.72430e-16
294.97461,4.92270e-17,1.24180e-16
295.24915,6.81950e-17,1.07540e-16
295.52371,4.09910e-17,1.11270e-16
295.79827,-8.27690e-17,1.03630e-16
296.07283,3.43150e-17,8.04750e-17
296.34739,-8.94190e-17,7.60470e-17
296.62195,-1.03600e-16,7.35650e-17
296.89653,-1.22020e-16,6.62230e-17
297.17109,5.94020e-17,6.61830e-17
297.44565,5.23870e-17,6.69450e-17
297.72024,-3.67560e-17,6.90030e-17
297.99480,1.32040e-16,6.65790e-17
298.26938,1.73410e-16,6.78880e-17
298.54397,-2.55370e-17,7.65990e-17
298.81855,-8.16260e-17,5.73290e-17
299.09314,-3.24780e-17,5.53170e-17
299.36772,-3.90710e-17,5.63350e-17
299.64231,7.08070e-17,5.44540e-17
299.91689,-3.07900e-17,5.87540e-17
300.19148,-6.82280e-18,7.33460e-17
300.46609,-5.58280e-17,1.04350e-16
300.74067,-2.15410e-17,5.16420e-17
301.01528,-3.98070e-17,5.17910e-17
301.28987,7.34570e-17,6.60230e-17
301.56448,5.10580e-17,1.01430e-16
301.83909,-4.94910e-17,4.79060e-17
302.11370,-5.00810e-17,4.76960e-17
302.38828,5.11690e-17,5.47200e-17
302.66289,2.94750e-17,5.13520e-17
302.93752,-5.75090e-17,4.43920e-17
303.21213,-2.82260e-17,4.88610e-17
303.48674,-2.31690e-17,5.35400e-17
303.76135,2.57170e-17,5.75740e-17
304.03599,3.27620e-17,4.34400e-17
304.31060,-9.07850e-17,4.03840e-17
304.58523,-3.11980e-17,4.03430e-17
304.85984,-3.51950e-17,4.08830e-17
305.13447,-2.90850e-17,4.05260e-17
305.40911,2.02670e-17,4.28170e-17
305.68374,5.61510e-18,4.27400e-17
305.95837,-2.50140e-17,3.96300e-17
306.23301,-6.72070e-18,3.98770e-17
306.50764,-5.06980e-17,3.65510e-17
306.78228,-5.55080e-17,3.49760e-17
307.05691,-5.58780e-17,3.60400e-17
307.33154,-4.01100e-17,3.65940e-17
307.60620,-4.13280e-17,4.23560e-17
307.88083,3.74210e-17,5.88450e-17
308.15549,-2.05150e-17,3.71980e-17
308.43015,5.78280e-18,3.59520e-17
308.70479,-8.49910e-18,3.60830e-17
308.97944,-4.17410e-17,3.77990e-17
