wave,flux,fluxerr
114.04922,1.32580e-13,1.84100e-14
114.10759,1.24510e-13,1.70040e-14
114.16598,1.27740e-13,1.51870e-14
114.22435,1.03830e-13,1.26760e-14
114.28274,1.47300e-13,1.37690e-14
114.34111,1.42870e-13,1.23400e-14
114.39949,1.23720e-13,1.04450e-14
114.45787,1.22180e-13,9.79520e-15
114.51625,1.19730e-13,8.73460e-15
114.57462,1.30910e-13,8.59630e-15
114.63301,1.15460e-13,7.66190e-15
114.69138,1.36620e-13,7.76040e-15
114.74976,1.28180e-13,7.13170e-15
114.80814,1.21630e-13,6.51060e-15
114.86652,1.19810e-13,6.15870e-15
114.92489,1.23650e-13,6.08730e-15
114.98328,1.18930e-13,5.56490e-15
115.04165,1.10790e-13,5.30070e-15
115.10002,1.22370e-13,5.23530e-15
115.15840,1.11960e-13,4.88100e-15
115.21678,1.21930e-13,4.91940e-15
115.27516,1.16780e-13,4.74530e-15
115.33353,1.21900e-13,4.62590e-15
115.39191,1.06560e-13,4.24800e-15
115.45028,1.12430e-13,4.26820e-15
115.50865,1.11500e-13,4.09570e-15
115.56704,1.11120e-13,4.03080e-15
115.62542,1.05510e-13,3.86130e-15
115.68379,1.06390e-13,3.78110e-15
115.74216,9.48650e-14,3.55970e-15
115.80054,9.55930e-14,3.52560e-15
115.85891,8.68560e-14,3.21690e-15
115.91729,8.77360e-14,3.20350e-15
115.97566,8.57000e-14,3.13520e-15
116.03403,8.20310e-14,2.99640e-15
116.09241,8.87520e-14,3.12860e-15
116.15078,8.04000e-14,2.93260e-15
116.20916,8.28380e-14,2.89960e-15
116.26753,8.11890e-14,2.91650e-15
116.32590,7.65400e-14,2.69860e-15
116.38428,7.67160e-14,2.76090e-15
116.44265,6.91550e-14,2.52420e-15
116.50103,6.44950e-14,2.42050e-15
116.55940,6.85010e-14,2.54360e-15
116.61777,6.17650e-14,2.34390e-15
116.67615,6.31310e-14,2.33770e-15
116.73452,6.18120e-14,2.28300e-15
116.79290,5.89020e-14,2.22120e-15
116.85127,5.65920e-14,2.12800e-15
116.90964,5.22990e-14,2.04880e-15
116.96801,5.18840e-14,2.02630e-15
