wave,flux,fluxerr
90.017291,2.85040e-13,0.00000
90.054987,2.83448e-13,0.00000
90.092572,2.81252e-13,0.00000
90.111469,2.79824e-13,0.00000
90.130267,2.78080e-13,0.00000
90.149060,2.75932e-13,0.00000
90.167957,2.73240e-13,0.00000
90.186755,2.69802e-13,0.00000
90.196149,2.67715e-13,0.00000
90.205646,2.65316e-13,0.00000
90.214447,2.62724e-13,0.00000
90.215045,2.62536e-13,0.00000
90.224438,2.59293e-13,0.00000
90.234442,2.55223e-13,0.00000
90.244440,2.50346e-13,0.00000
90.249432,2.47524e-13,0.00000
90.254437,2.44408e-13,0.00000
90.259436,2.40952e-13,0.00000
90.264435,2.37104e-13,0.00000
90.269434,2.32801e-13,0.00000
90.274536,2.27961e-13,0.00000
90.279529,2.22505e-13,0.00000
90.284528,2.16309e-13,0.00000
90.287030,2.12879e-13,0.00000
90.289526,2.09201e-13,0.00000
90.292029,2.05249e-13,0.00000
90.294531,2.01012e-13,0.00000
90.297028,1.96437e-13,0.00000
90.299530,1.91480e-13,0.00000
90.302026,1.86113e-13,0.00000
90.304523,1.80268e-13,0.00000
90.307025,1.73872e-13,0.00000
90.309521,1.66884e-13,0.00000
90.312024,1.59185e-13,0.00000
90.314520,1.50669e-13,0.00000
90.317023,1.41214e-13,0.00000
90.319525,1.30639e-13,0.00000
90.322021,1.18734e-13,0.00000
90.324524,1.05315e-13,0.00000
90.327020,9.01997e-14,0.00000
90.329523,7.32473e-14,0.00000
90.332019,5.47732e-14,0.00000
90.334515,3.56987e-14,0.00000
90.337018,1.82631e-14,0.00000
90.337317,1.67262e-14,0.00000
90.339514,4.88139e-15,0.00000
90.341815,2.92017e-15,0.00000
90.344116,4.88265e-15,0.00000
90.346320,1.64507e-14,0.00000
90.348615,2.99132e-14,0.00000
90.350916,4.17826e-14,0.00000
90.353119,4.95653e-14,0.00000
90.355414,5.27622e-14,0.00000
90.357709,5.18974e-14,0.00000
90.359912,4.78916e-14,0.00000
90.362213,4.16768e-14,0.00000
90.364508,3.40547e-14,0.00000
90.366809,2.57782e-14,0.00000
90.369012,1.77088e-14,0.00000
90.371313,1.06835e-14,0.00000
90.371411,1.02800e-14,0.00000
90.373608,4.10750e-15,0.00000
90.375708,2.61488e-15,0.00000
90.377808,4.10834e-15,0.00000
90.380011,9.87082e-15,0.00000
90.382111,1.33384e-14,0.00000
90.384302,1.37305e-14,0.00000
90.386401,1.16724e-14,0.00000
90.388507,8.94928e-15,0.00000
90.390704,5.23209e-15,0.00000
90.391907,3.02483e-15,0.00000
90.392804,2.47209e-15,0.00000
90.393707,2.36971e-15,0.00000
90.395502,3.02556e-15,0.00000
90.399103,9.37440e-15,0.00000
90.402704,1.59384e-14,0.00000
90.406305,2.48519e-14,0.00000
90.409906,3.41108e-14,0.00000
90.413501,4.05955e-14,0.00000
90.417096,3.99169e-14,0.00000
90.420697,2.80319e-14,0.00000
90.421100,2.60949e-14,0.00000
90.424298,7.73858e-15,0.00000
90.427496,2.94119e-15,0.00000
90.430701,7.75314e-15,0.00000
90.433899,2.87128e-14,0.00000
90.437097,5.13881e-14,0.00000
90.440289,7.31445e-14,0.00000
90.443494,9.25080e-14,0.00000
90.446692,1.09328e-13,0.00000
90.449890,1.24003e-13,0.00000
90.453094,1.36846e-13,0.00000
90.456293,1.48173e-13,0.00000
90.459491,1.58267e-13,0.00000
90.462689,1.67311e-13,0.00000
90.465887,1.75453e-13,0.00000
90.469086,1.82839e-13,0.00000
90.472284,1.89526e-13,0.00000
90.475488,1.95629e-13,0.00000
90.478687,2.01204e-13,0.00000
90.480884,2.04758e-13,0.00000
90.481885,2.06307e-13,0.00000
90.485089,2.11013e-13,0.00000
90.489288,2.16622e-13,0.00000
90.493481,2.21665e-13,0.00000
90.497681,2.26218e-13,0.00000
90.501880,2.30353e-13,0.00000
90.506079,2.34121e-13,0.00000
90.510278,2.37548e-13,0.00000
90.514478,2.40681e-13,0.00000
90.518677,2.43551e-13,0.00000
90.527075,2.48613e-13,0.00000
90.535474,2.52917e-13,0.00000
90.543872,2.56588e-13,0.00000
90.552271,2.59759e-13,0.00000
90.560669,2.62514e-13,0.00000
90.569067,2.64918e-13,0.00000
90.585864,2.68879e-13,0.00000
90.602655,2.71985e-13,0.00000
90.619458,2.74461e-13,0.00000
90.636249,2.76463e-13,0.00000
90.653052,2.78103e-13,0.00000
90.669843,2.79462e-13,0.00000
90.703436,2.81557e-13,0.00000
90.737024,2.83062e-13,0.00000
90.770618,2.84179e-13,0.00000
90.837805,2.85675e-13,0.00000
90.904987,2.86583e-13,0.00000
90.964978,2.87106e-13,0.00000
90.972174,2.87155e-13,0.00000
90.979370,2.87203e-13,0.00000
90.986768,2.87250e-13,0.00000
90.993768,2.87291e-13,0.00000
91.022565,2.87445e-13,0.00000
91.058350,2.87599e-13,0.00000
91.065253,2.87625e-13,0.00000
91.129938,2.87814e-13,0.00000
91.130939,2.87816e-13,0.00000
91.194623,2.87931e-13,0.00000
91.257709,2.87993e-13,0.00000
91.258307,2.87994e-13,0.00000
91.385681,2.88017e-13,0.00000
91.513654,2.87950e-13,0.00000
91.558844,2.87927e-13,0.00000
91.768994,2.87735e-13,0.00000
91.882867,2.87714e-13,0.00000
91.979144,2.87548e-13,0.00000
92.043030,2.87393e-13,0.00000
92.058429,2.87344e-13,0.00000
92.075427,2.87310e-13,0.00000
92.107812,2.87385e-13,0.00000
92.172601,2.87548e-13,0.00000
92.279480,2.86782e-13,0.00000
92.286780,2.86737e-13,0.00000
92.287378,2.86735e-13,0.00000
92.294080,2.86735e-13,0.00000
92.308673,2.86870e-13,0.00000
92.337866,2.87288e-13,0.00000
92.367859,2.87709e-13,0.00000
92.388354,2.87907e-13,0.00000
92.408844,2.88055e-13,0.00000
92.425348,2.88107e-13,0.00000
92.445038,2.88078e-13,0.00000
92.449841,2.88055e-13,0.00000
92.474335,2.87860e-13,0.00000
92.523322,2.86933e-13,0.00000
92.562415,2.85694e-13,0.00000
92.582013,2.85074e-13,0.00000
92.601605,2.84709e-13,0.00000
92.621198,2.85227e-13,0.00000
92.640796,2.86005e-13,0.00000
92.660291,2.86802e-13,0.00000
92.679883,2.87566e-13,0.00000
92.709277,2.88464e-13,0.00000
92.719080,2.88698e-13,0.00000
92.728772,2.88886e-13,0.00000
92.748273,2.89198e-13,0.00000
92.787262,2.89569e-13,0.00000
92.841748,2.89500e-13,0.00000
92.865240,2.89234e-13,0.00000
92.888739,2.88822e-13,0.00000
92.902734,2.88446e-13,0.00000
92.935730,2.87238e-13,0.00000
92.958527,2.85990e-13,0.00000
92.968719,2.85337e-13,0.00000
92.978918,2.84639e-13,0.00000
92.989917,2.83741e-13,0.00000
92.999310,2.82881e-13,0.00000
93.008710,2.82039e-13,0.00000
93.026306,2.80317e-13,0.00000
93.027509,2.80202e-13,0.00000
93.028705,2.80094e-13,0.00000
93.031104,2.79870e-13,0.00000
93.033105,2.79710e-13,0.00000
93.033704,2.79658e-13,0.00000
93.035907,2.79470e-13,0.00000
93.038708,2.79245e-13,0.00000
93.043707,2.78907e-13,0.00000
93.048706,2.78696e-13,0.00000
93.053699,2.78642e-13,0.00000
93.058698,2.78729e-13,0.00000
93.063702,2.78972e-13,0.00000
93.068701,2.79344e-13,0.00000
93.078693,2.80259e-13,0.00000
93.083197,2.80732e-13,0.00000
93.089691,2.81363e-13,0.00000
93.098694,2.82339e-13,0.00000
93.114191,2.83834e-13,0.00000
