wave,flux,fluxerr
90.022802,3.15392e-13,0.00000
90.027800,3.15375e-13,0.00000
90.040806,3.15332e-13,0.00000
90.047805,3.15308e-13,0.00000
90.058811,3.15271e-13,0.00000
90.067810,3.15241e-13,0.00000
90.076815,3.15211e-13,0.00000
90.087815,3.15174e-13,0.00000
90.094820,3.15151e-13,0.00000
90.107820,3.15107e-13,0.00000
90.112825,3.15090e-13,0.00000
90.127825,3.15040e-13,0.00000
90.130829,3.15030e-13,0.00000
90.147830,3.14973e-13,0.00000
90.148834,3.14970e-13,0.00000
90.166838,3.14909e-13,0.00000
90.167836,3.14906e-13,0.00000
90.184843,3.14849e-13,0.00000
90.187841,3.14839e-13,0.00000
90.202847,3.14788e-13,0.00000
90.207846,3.14772e-13,0.00000
90.220852,3.14728e-13,0.00000
90.227851,3.14705e-13,0.00000
90.238856,3.14668e-13,0.00000
90.247856,3.14638e-13,0.00000
90.256861,3.14607e-13,0.00000
90.267861,3.14571e-13,0.00000
90.274866,3.14547e-13,0.00000
90.287866,3.14504e-13,0.00000
90.292870,3.14487e-13,0.00000
90.307871,3.14436e-13,0.00000
90.310875,3.14426e-13,0.00000
90.327876,3.14369e-13,0.00000
90.328879,3.14366e-13,0.00000
90.346884,3.14305e-13,0.00000
90.347881,3.14302e-13,0.00000
90.364888,3.14245e-13,0.00000
90.367886,3.14235e-13,0.00000
90.382893,3.14184e-13,0.00000
90.387891,3.14167e-13,0.00000
90.400898,3.14124e-13,0.00000
90.407896,3.14100e-13,0.00000
90.418902,3.14063e-13,0.00000
90.427901,3.14033e-13,0.00000
90.436907,3.14002e-13,0.00000
90.447906,3.13965e-13,0.00000
90.454911,3.13942e-13,0.00000
90.467912,3.13898e-13,0.00000
90.472916,3.13881e-13,0.00000
90.487917,3.13831e-13,0.00000
90.490920,3.13821e-13,0.00000
90.507922,3.13764e-13,0.00000
90.508925,3.13760e-13,0.00000
90.526929,3.13700e-13,0.00000
90.527927,3.13696e-13,0.00000
90.544934,3.13639e-13,0.00000
90.547932,3.13629e-13,0.00000
90.562939,3.13578e-13,0.00000
90.567937,3.13562e-13,0.00000
90.580943,3.13518e-13,0.00000
90.587942,3.13494e-13,0.00000
90.598948,3.13457e-13,0.00000
90.607947,3.13427e-13,0.00000
90.616952,3.13397e-13,0.00000
90.627952,3.13360e-13,0.00000
90.634957,3.13336e-13,0.00000
90.647957,3.13292e-13,0.00000
90.652961,3.13276e-13,0.00000
90.667962,3.13225e-13,0.00000
90.670966,3.13215e-13,0.00000
