wave,flux,fluxerr
346.500,1.00342e-14,1.00342e-14
346.540,7.84592e-15,7.84592e-15
346.580,6.59378e-15,6.59378e-15
346.620,6.68949e-15,6.68949e-15
346.660,7.71010e-15,7.71010e-15
346.700,9.02327e-15,9.02327e-15
346.740,1.02400e-14,1.02400e-14
346.780,1.14997e-14,1.14997e-14
346.820,1.24694e-14,1.24694e-14
346.860,1.22010e-14,1.22010e-14
346.900,1.14574e-14,1.14574e-14
346.940,1.17146e-14,1.17146e-14
346.980,1.33394e-14,1.33394e-14
347.020,1.49930e-14,1.49930e-14
347.060,1.55452e-14,1.55452e-14
347.100,1.46129e-14,1.46129e-14
347.140,1.28864e-14,1.28864e-14
347.180,1.11161e-14,1.11161e-14
347.220,9.57232e-15,9.57232e-15
347.260,8.93374e-15,8.93374e-15
347.300,9.20155e-15,9.20155e-15
347.340,9.04355e-15,9.04355e-15
347.380,8.06761e-15,8.06761e-15
347.420,7.17285e-15,7.17285e-15
347.460,6.51604e-15,6.51604e-15
347.500,5.69107e-15,5.69107e-15
347.540,4.97353e-15,4.97353e-15
347.580,4.98666e-15,4.98666e-15
347.620,5.29419e-15,5.29419e-15
347.660,5.58913e-15,5.58913e-15
347.700,6.64770e-15,6.64770e-15
347.740,8.61957e-15,8.61957e-15
347.780,1.05092e-14,1.05092e-14
347.820,1.13576e-14,1.13576e-14
347.860,1.16052e-14,1.16052e-14
347.900,1.20745e-14,1.20745e-14
347.940,1.21300e-14,1.21300e-14
347.980,1.14649e-14,1.14649e-14
348.020,1.08197e-14,1.08197e-14
348.060,1.09093e-14,1.09093e-14
348.100,1.13811e-14,1.13811e-14
348.140,1.18400e-14,1.18400e-14
348.180,1.24667e-14,1.24667e-14
348.220,1.22798e-14,1.22798e-14
348.260,1.08309e-14,1.08309e-14
348.300,9.05440e-15,9.05440e-15
348.340,8.32012e-15,8.32012e-15
348.380,9.30390e-15,9.30390e-15
348.420,1.07501e-14,1.07501e-14
348.460,1.07754e-14,1.07754e-14
348.500,9.86616e-15,9.86616e-15
348.540,9.57950e-15,9.57950e-15
348.580,1.05005e-14,1.05005e-14
348.620,1.23822e-14,1.23822e-14
348.660,1.41559e-14,1.41559e-14
348.700,1.54770e-14,1.54770e-14
348.740,1.57773e-14,1.57773e-14
348.780,1.47154e-14,1.47154e-14
348.820,1.30455e-14,1.30455e-14
348.860,1.12543e-14,1.12543e-14
348.900,9.71519e-15,9.71519e-15
348.940,8.50351e-15,8.50351e-15
348.980,7.02834e-15,7.02834e-15
349.020,5.85201e-15,5.85201e-15
349.060,5.41787e-15,5.41787e-15
349.100,6.13568e-15,6.13568e-15
349.140,7.76610e-15,7.76610e-15
349.180,8.63068e-15,8.63068e-15
349.220,8.09048e-15,8.09048e-15
349.260,6.89003e-15,6.89003e-15
349.300,6.38775e-15,6.38775e-15
349.340,7.61757e-15,7.61757e-15
349.380,1.00551e-14,1.00551e-14
349.420,1.21582e-14,1.21582e-14
349.460,1.30549e-14,1.30549e-14
349.500,1.26687e-14,1.26687e-14
349.540,1.10534e-14,1.10534e-14
349.580,9.03511e-15,9.03511e-15
349.620,8.02523e-15,8.02523e-15
349.660,7.58015e-15,7.58015e-15
349.700,7.15750e-15,7.15750e-15
349.740,7.00036e-15,7.00036e-15
349.780,7.66550e-15,7.66550e-15
349.820,9.34162e-15,9.34162e-15
349.860,1.19705e-14,1.19705e-14
349.900,1.46496e-14,1.46496e-14
349.940,1.68805e-14,1.68805e-14
349.980,1.72882e-14,1.72882e-14
350.020,1.53191e-14,1.53191e-14
350.060,1.39647e-14,1.39647e-14
350.100,1.39817e-14,1.39817e-14
350.140,1.45945e-14,1.45945e-14
350.180,1.36485e-14,1.36485e-14
350.220,1.28114e-14,1.28114e-14
350.260,1.37852e-14,1.37852e-14
350.300,1.68984e-14,1.68984e-14
350.340,1.96049e-14,1.96049e-14
350.380,2.07590e-14,2.07590e-14
350.420,1.94265e-14,1.94265e-14
350.460,1.64611e-14,1.64611e-14
350.500,1.44212e-14,1.44212e-14
350.540,1.38834e-14,1.38834e-14
