wave,flux,fluxerr
346.500,7.59822e-15,7.59822e-15
346.540,7.47613e-15,7.47613e-15
346.580,7.23429e-15,7.23429e-15
346.620,7.26557e-15,7.26557e-15
346.660,7.52978e-15,7.52978e-15
346.700,7.72810e-15,7.72810e-15
346.740,7.81344e-15,7.81344e-15
346.780,7.93506e-15,7.93506e-15
346.820,8.09479e-15,8.09479e-15
346.860,8.05188e-15,8.05188e-15
346.900,7.90615e-15,7.90615e-15
346.940,7.76330e-15,7.76330e-15
346.980,7.84057e-15,7.84057e-15
347.020,8.08681e-15,8.08681e-15
347.060,7.92369e-15,7.92369e-15
347.100,7.65514e-15,7.65514e-15
347.140,7.92318e-15,7.92318e-15
347.180,7.74936e-15,7.74936e-15
347.220,7.81097e-15,7.81097e-15
347.260,7.82238e-15,7.82238e-15
347.300,7.59221e-15,7.59221e-15
347.340,7.22146e-15,7.22146e-15
347.380,7.22169e-15,7.22169e-15
347.420,7.19123e-15,7.19123e-15
347.460,6.93901e-15,6.93901e-15
347.500,7.00432e-15,7.00432e-15
347.540,6.90288e-15,6.90288e-15
347.580,6.74542e-15,6.74542e-15
347.620,6.68673e-15,6.68673e-15
347.660,6.30343e-15,6.30343e-15
347.700,6.50945e-15,6.50945e-15
347.740,6.86860e-15,6.86860e-15
347.780,7.33130e-15,7.33130e-15
347.820,7.73590e-15,7.73590e-15
347.860,7.86176e-15,7.86176e-15
347.900,7.89434e-15,7.89434e-15
347.940,7.58926e-15,7.58926e-15
347.980,7.87342e-15,7.87342e-15
348.020,7.98442e-15,7.98442e-15
348.060,7.45051e-15,7.45051e-15
348.100,7.71745e-15,7.71745e-15
348.140,8.12668e-15,8.12668e-15
348.180,7.89147e-15,7.89147e-15
348.220,7.89638e-15,7.89638e-15
348.260,7.62391e-15,7.62391e-15
348.300,6.84444e-15,6.84444e-15
348.340,6.68271e-15,6.68271e-15
348.380,7.10313e-15,7.10313e-15
348.420,7.22478e-15,7.22478e-15
348.460,7.44806e-15,7.44806e-15
348.500,7.80745e-15,7.80745e-15
348.540,7.51817e-15,7.51817e-15
348.580,7.58374e-15,7.58374e-15
348.620,7.89822e-15,7.89822e-15
348.660,8.06759e-15,8.06759e-15
348.700,8.01565e-15,8.01565e-15
348.740,7.88144e-15,7.88144e-15
348.780,7.95503e-15,7.95503e-15
348.820,7.99391e-15,7.99391e-15
348.860,7.64564e-15,7.64564e-15
348.900,7.37372e-15,7.37372e-15
348.940,7.11268e-15,7.11268e-15
348.980,7.04924e-15,7.04924e-15
349.020,6.83257e-15,6.83257e-15
349.060,6.66918e-15,6.66918e-15
349.100,6.54200e-15,6.54200e-15
349.140,6.81336e-15,6.81336e-15
349.180,7.36056e-15,7.36056e-15
349.220,7.63027e-15,7.63027e-15
349.260,7.39734e-15,7.39734e-15
