wave,flux,fluxerr
346.500,2.75469e-15,2.75469e-15
346.540,2.77367e-15,2.77367e-15
346.580,2.65100e-15,2.65100e-15
346.620,2.68168e-15,2.68168e-15
346.660,2.88705e-15,2.88705e-15
346.700,2.94220e-15,2.94220e-15
346.740,2.82317e-15,2.82317e-15
346.780,2.77357e-15,2.77357e-15
346.820,2.82344e-15,2.82344e-15
346.860,2.83848e-15,2.83848e-15
346.900,2.83362e-15,2.83362e-15
346.940,2.89459e-15,2.89459e-15
346.980,2.94307e-15,2.94307e-15
347.020,2.96019e-15,2.96019e-15
347.060,3.04167e-15,3.04167e-15
347.100,3.10377e-15,3.10377e-15
347.140,3.07317e-15,3.07317e-15
347.180,2.98773e-15,2.98773e-15
347.220,2.83669e-15,2.83669e-15
347.260,2.79280e-15,2.79280e-15
347.300,2.85767e-15,2.85767e-15
347.340,2.79581e-15,2.79581e-15
347.380,2.74810e-15,2.74810e-15
347.420,2.71652e-15,2.71652e-15
347.460,2.69293e-15,2.69293e-15
347.500,2.55625e-15,2.55625e-15
347.540,2.48806e-15,2.48806e-15
347.580,2.58589e-15,2.58589e-15
347.620,2.53253e-15,2.53253e-15
347.660,2.54105e-15,2.54105e-15
347.700,2.70965e-15,2.70965e-15
347.740,2.69352e-15,2.69352e-15
347.780,2.76474e-15,2.76474e-15
347.820,3.01840e-15,3.01840e-15
347.860,3.01995e-15,3.01995e-15
347.900,3.03342e-15,3.03342e-15
347.940,3.13072e-15,3.13072e-15
347.980,3.15834e-15,3.15834e-15
348.020,3.17852e-15,3.17852e-15
348.060,2.96175e-15,2.96175e-15
348.100,2.94177e-15,2.94177e-15
348.140,3.16637e-15,3.16637e-15
348.180,3.11443e-15,3.11443e-15
348.220,3.16371e-15,3.16371e-15
348.260,3.05500e-15,3.05500e-15
348.300,2.84509e-15,2.84509e-15
348.340,2.88460e-15,2.88460e-15
348.380,2.84457e-15,2.84457e-15
348.420,2.83868e-15,2.83868e-15
348.460,2.99153e-15,2.99153e-15
348.500,3.06050e-15,3.06050e-15
348.540,2.93772e-15,2.93772e-15
348.580,2.97710e-15,2.97710e-15
348.620,3.06368e-15,3.06368e-15
348.660,3.17710e-15,3.17710e-15
348.700,3.25350e-15,3.25350e-15
348.740,3.30843e-15,3.30843e-15
348.780,3.21077e-15,3.21077e-15
348.820,3.09779e-15,3.09779e-15
348.860,3.20060e-15,3.20060e-15
348.900,3.10107e-15,3.10107e-15
348.940,2.81159e-15,2.81159e-15
348.980,2.88163e-15,2.88163e-15
349.020,2.67052e-15,2.67052e-15
349.060,2.54321e-15,2.54321e-15
349.100,2.81109e-15,2.81109e-15
349.140,3.00767e-15,3.00767e-15
349.180,2.99586e-15,2.99586e-15
349.220,3.15135e-15,3.15135e-15
349.260,3.12633e-15,3.12633e-15
349.300,3.00303e-15,3.00303e-15
349.340,2.94306e-15,2.94306e-15
349.380,2.93114e-15,2.93114e-15
349.420,3.11541e-15,3.11541e-15
349.460,3.16719e-15,3.16719e-15
349.500,2.88860e-15,2.88860e-15
349.540,2.82452e-15,2.82452e-15
349.580,2.64021e-15,2.64021e-15
349.620,2.65114e-15,2.65114e-15
349.660,2.66182e-15,2.66182e-15
349.700,2.77998e-15,2.77998e-15
349.740,2.78224e-15,2.78224e-15
349.780,2.84547e-15,2.84547e-15
349.820,2.83169e-15,2.83169e-15
349.860,3.06024e-15,3.06024e-15
349.900,3.20207e-15,3.20207e-15
349.940,3.06155e-15,3.06155e-15
349.980,3.05766e-15,3.05766e-15
350.020,3.00749e-15,3.00749e-15
350.060,3.12402e-15,3.12402e-15
350.100,3.01615e-15,3.01615e-15
350.140,2.97580e-15,2.97580e-15
350.180,2.97745e-15,2.97745e-15
350.220,3.05884e-15,3.05884e-15
350.260,2.96236e-15,2.96236e-15
350.300,2.97930e-15,2.97930e-15
350.340,3.20492e-15,3.20492e-15
350.380,3.23053e-15,3.23053e-15
350.420,3.15462e-15,3.15462e-15
350.460,3.20046e-15,3.20046e-15
350.500,3.04222e-15,3.04222e-15
350.540,2.81024e-15,2.81024e-15
350.580,2.88713e-15,2.88713e-15
350.620,2.84859e-15,2.84859e-15
350.660,2.98499e-15,2.98499e-15
350.700,2.95248e-15,2.95248e-15
350.740,3.05648e-15,3.05648e-15
350.780,3.14985e-15,3.14985e-15
350.820,3.11042e-15,3.11042e-15
350.860,3.17633e-15,3.17633e-15
350.900,3.15050e-15,3.15050e-15
