wave,flux,fluxerr
346.500,4.87460e-14,4.87460e-14
346.540,4.52784e-14,4.52784e-14
346.580,4.17845e-14,4.17845e-14
346.620,4.17573e-14,4.17573e-14
346.660,4.45638e-14,4.45638e-14
346.700,4.68069e-14,4.68069e-14
346.740,4.80957e-14,4.80957e-14
346.780,4.95990e-14,4.95990e-14
346.820,5.10029e-14,5.10029e-14
346.860,4.95073e-14,4.95073e-14
346.900,4.77650e-14,4.77650e-14
346.940,4.66967e-14,4.66967e-14
346.980,4.81747e-14,4.81747e-14
347.020,5.05275e-14,5.05275e-14
347.060,5.12339e-14,5.12339e-14
347.100,5.01804e-14,5.01804e-14
347.140,4.85608e-14,4.85608e-14
347.180,4.78920e-14,4.78920e-14
347.220,4.75716e-14,4.75716e-14
347.260,4.65724e-14,4.65724e-14
347.300,4.65444e-14,4.65444e-14
347.340,4.49246e-14,4.49246e-14
347.380,4.36738e-14,4.36738e-14
347.420,4.25255e-14,4.25255e-14
347.460,4.12414e-14,4.12414e-14
347.500,3.97557e-14,3.97557e-14
347.540,3.77110e-14,3.77110e-14
347.580,3.68019e-14,3.68019e-14
347.620,3.67727e-14,3.67727e-14
347.660,3.62471e-14,3.62471e-14
347.700,3.69316e-14,3.69316e-14
347.740,4.01853e-14,4.01853e-14
347.780,4.43181e-14,4.43181e-14
347.820,4.75313e-14,4.75313e-14
347.860,4.83783e-14,4.83783e-14
347.900,4.86927e-14,4.86927e-14
347.940,4.97889e-14,4.97889e-14
347.980,4.97508e-14,4.97508e-14
348.020,4.86102e-14,4.86102e-14
348.060,4.92624e-14,4.92624e-14
348.100,4.94881e-14,4.94881e-14
348.140,5.03752e-14,5.03752e-14
348.180,5.12388e-14,5.12388e-14
348.220,4.99876e-14,4.99876e-14
348.260,4.84787e-14,4.84787e-14
348.300,4.62067e-14,4.62067e-14
348.340,4.38626e-14,4.38626e-14
348.380,4.44215e-14,4.44215e-14
348.420,4.55283e-14,4.55283e-14
348.460,4.74908e-14,4.74908e-14
348.500,4.84760e-14,4.84760e-14
348.540,4.77650e-14,4.77650e-14
348.580,4.86516e-14,4.86516e-14
348.620,5.10207e-14,5.10207e-14
348.660,5.31840e-14,5.31840e-14
348.700,5.43667e-14,5.43667e-14
348.740,5.44138e-14,5.44138e-14
348.780,5.35661e-14,5.35661e-14
348.820,5.19974e-14,5.19974e-14
348.860,4.98846e-14,4.98846e-14
348.900,4.76533e-14,4.76533e-14
348.940,4.59199e-14,4.59199e-14
348.980,4.34581e-14,4.34581e-14
349.020,4.12080e-14,4.12080e-14
349.060,3.96899e-14,3.96899e-14
349.100,3.98875e-14,3.98875e-14
349.140,4.36371e-14,4.36371e-14
