wave,flux,fluxerr
346.500,3.36868e-16,3.36868e-16
346.540,2.86640e-16,2.86640e-16
346.580,2.31777e-16,2.31777e-16
346.620,2.22304e-16,2.22304e-16
346.660,2.83564e-16,2.83564e-16
346.700,3.42805e-16,3.42805e-16
346.740,3.73755e-16,3.73755e-16
346.780,4.27240e-16,4.27240e-16
346.820,4.43496e-16,4.43496e-16
346.860,3.96509e-16,3.96509e-16
346.900,4.15529e-16,4.15529e-16
346.940,3.87531e-16,3.87531e-16
346.980,4.48977e-16,4.48977e-16
347.020,4.65794e-16,4.65794e-16
347.060,4.66294e-16,4.66294e-16
347.100,4.50896e-16,4.50896e-16
347.140,4.01717e-16,4.01717e-16
347.180,3.32722e-16,3.32722e-16
347.220,2.94922e-16,2.94922e-16
347.260,3.15846e-16,3.15846e-16
347.300,3.26710e-16,3.26710e-16
347.340,3.14983e-16,3.14983e-16
347.380,2.96883e-16,2.96883e-16
347.420,2.96014e-16,2.96014e-16
347.460,2.20948e-16,2.20948e-16
347.500,1.97744e-16,1.97744e-16
347.540,1.92973e-16,1.92973e-16
347.580,1.69789e-16,1.69789e-16
347.620,1.74309e-16,1.74309e-16
347.660,2.07323e-16,2.07323e-16
347.700,2.49009e-16,2.49009e-16
347.740,2.99528e-16,2.99528e-16
347.780,3.52350e-16,3.52350e-16
347.820,3.76349e-16,3.76349e-16
347.860,3.84188e-16,3.84188e-16
347.900,4.11504e-16,4.11504e-16
347.940,3.74308e-16,3.74308e-16
347.980,4.35370e-16,4.35370e-16
348.020,4.10802e-16,4.10802e-16
348.060,3.77262e-16,3.77262e-16
348.100,3.69761e-16,3.69761e-16
348.140,3.88277e-16,3.88277e-16
348.180,3.92812e-16,3.92812e-16
348.220,3.60796e-16,3.60796e-16
348.260,3.50432e-16,3.50432e-16
348.300,3.38093e-16,3.38093e-16
348.340,2.85954e-16,2.85954e-16
348.380,2.85638e-16,2.85638e-16
348.420,2.98238e-16,2.98238e-16
348.460,2.59315e-16,2.59315e-16
348.500,2.87497e-16,2.87497e-16
348.540,2.91113e-16,2.91113e-16
348.580,3.17552e-16,3.17552e-16
348.620,4.24296e-16,4.24296e-16
348.660,4.17356e-16,4.17356e-16
348.700,4.47683e-16,4.47683e-16
348.740,4.52049e-16,4.52049e-16
348.780,4.41849e-16,4.41849e-16
348.820,4.39391e-16,4.39391e-16
348.860,3.22126e-16,3.22126e-16
348.900,2.44033e-16,2.44033e-16
348.940,2.43368e-16,2.43368e-16
348.980,2.35146e-16,2.35146e-16
349.020,2.03690e-16,2.03690e-16
349.060,1.54168e-16,1.54168e-16
349.100,1.80580e-16,1.80580e-16
349.140,2.79218e-16,2.79218e-16
349.180,2.79323e-16,2.79323e-16
349.220,2.90109e-16,2.90109e-16
349.260,2.66276e-16,2.66276e-16
349.300,2.23749e-16,2.23749e-16
349.340,2.77824e-16,2.77824e-16
349.380,3.60275e-16,3.60275e-16
349.420,4.09243e-16,4.09243e-16
349.460,4.27402e-16,4.27402e-16
349.500,4.08294e-16,4.08294e-16
349.540,4.05083e-16,4.05083e-16
349.580,3.29302e-16,3.29302e-16
349.620,3.22959e-16,3.22959e-16
349.660,2.87708e-16,2.87708e-16
349.700,2.55558e-16,2.55558e-16
349.740,2.30327e-16,2.30327e-16
349.780,2.40713e-16,2.40713e-16
349.820,2.74060e-16,2.74060e-16
349.860,3.41363e-16,3.41363e-16
349.900,4.33509e-16,4.33509e-16
349.940,4.82430e-16,4.82430e-16
349.980,5.06868e-16,5.06868e-16
350.020,5.13842e-16,5.13842e-16
350.060,4.85870e-16,4.85870e-16
350.100,4.47117e-16,4.47117e-16
350.140,4.66551e-16,4.66551e-16
350.180,4.92766e-16,4.92766e-16
350.220,4.66651e-16,4.66651e-16
350.260,4.44516e-16,4.44516e-16
350.300,5.20583e-16,5.20583e-16
350.340,5.62084e-16,5.62084e-16
350.380,5.78316e-16,5.78316e-16
350.420,5.70013e-16,5.70013e-16
350.460,4.78321e-16,4.78321e-16
350.500,4.35033e-16,4.35033e-16
350.540,4.42426e-16,4.42426e-16
350.580,4.39741e-16,4.39741e-16
350.620,3.57246e-16,3.57246e-16
350.660,3.84264e-16,3.84264e-16
350.700,4.26413e-16,4.26413e-16
350.740,4.78313e-16,4.78313e-16
350.780,4.94011e-16,4.94011e-16
350.820,5.27861e-16,5.27861e-16
350.860,5.09830e-16,5.09830e-16
350.900,4.68644e-16,4.68644e-16
350.940,4.33348e-16,4.33348e-16
350.980,3.56308e-16,3.56308e-16
351.020,3.04150e-16,3.04150e-16
351.060,2.96079e-16,2.96079e-16
351.100,3.31017e-16,3.31017e-16
351.140,4.08777e-16,4.08777e-16
351.180,3.51343e-16,3.51343e-16
351.220,3.15430e-16,3.15430e-16
351.260,3.52708e-16,3.52708e-16
