wave,flux,fluxerr
171.081,4.56747e-14,1.16726e-11
171.218,4.70765e-14,1.45179e-11
171.355,4.85941e-14,8.45708e-12
171.493,5.02421e-14,8.58732e-12
171.630,5.20382e-14,1.13106e-11
171.767,5.40032e-14,1.41568e-11
171.904,5.61619e-14,8.31974e-12
172.041,5.85445e-14,1.17642e-11
172.178,6.11874e-14,2.14433e-11
172.315,6.41360e-14,7.29642e-12
172.452,6.74463e-14,7.73299e-12
172.589,7.11889e-14,7.63181e-12
172.726,7.54545e-14,2.42360e-11
172.863,8.03608e-14,7.35729e-12
173.001,8.60634e-14,7.42261e-12
173.138,-7.24257e-15,7.33053e-15
173.275,4.95091e-14,1.05530e-14
173.412,4.28186e-13,6.73703e-15
173.549,-1.16622e-14,7.00878e-15
173.686,1.90342e-14,8.43318e-15
173.823,3.54808e-14,9.11501e-15
173.960,1.21687e-13,1.41265e-14
174.098,2.26497e-13,1.30495e-11
174.235,3.72796e-13,1.45769e-14
174.372,-6.24566e-15,6.46908e-15
174.509,-4.64490e-16,6.64124e-15
174.646,-8.87310e-15,6.05396e-15
174.783,2.13465e-14,8.37196e-15
174.920,-1.14380e-14,6.09380e-15
175.057,2.53072e-14,7.87063e-15
175.195,-2.66694e-14,6.00345e-15
175.332,-7.40628e-15,5.92074e-15
175.469,-1.55887e-13,5.93003e-12
175.606,-1.31029e-13,6.05855e-12
175.743,-1.12658e-13,1.39702e-11
175.880,-9.85289e-14,1.58733e-11
176.017,-8.73248e-14,2.95304e-11
176.155,-7.82228e-14,5.72866e-12
176.292,-7.06823e-14,7.24972e-12
176.429,-6.43337e-14,7.85670e-12
176.566,-5.89151e-14,1.10912e-11
176.703,-5.42364e-14,6.26772e-12
176.840,-5.01558e-14,5.32814e-12
176.977,2.25325e-15,5.22236e-15
177.115,-1.30502e-15,5.58788e-15
177.252,3.25351e-15,5.88009e-15
177.389,-9.39576e-15,5.22942e-15
177.526,7.71187e-16,5.29786e-15
177.663,5.83522e-14,9.20023e-15
177.800,-7.56294e-15,4.96364e-15
177.937,3.70405e-15,4.81941e-15
178.075,7.75968e-14,1.00076e-14
178.212,-8.21043e-15,5.04024e-15
178.349,1.56573e-14,6.19342e-15
178.486,-7.71812e-15,4.64924e-15
178.623,1.30335e-15,5.09340e-15
178.760,-5.85793e-15,4.68645e-15
178.897,-2.09347e-14,1.51373e-11
179.035,2.59415e-14,7.15983e-15
179.172,-3.49237e-15,4.70356e-15
179.309,2.87238e-14,6.80053e-15
179.446,1.88916e-14,4.52040e-15
179.583,1.98555e-14,5.42176e-15
179.720,7.02581e-16,4.75665e-15
179.858,1.35347e-14,5.83734e-15
179.995,-1.46530e-14,1.31613e-11
180.132,-6.55954e-15,4.11786e-15
180.269,-4.41541e-15,4.39812e-15
180.406,-2.07443e-15,4.63435e-15
180.544,-2.32340e-15,4.33805e-15
180.681,6.18469e-15,4.84660e-15
180.818,9.00728e-15,5.03085e-15
180.955,1.37111e-14,5.46696e-15
181.092,-5.16155e-15,4.09479e-15
181.230,2.57999e-14,5.86589e-15
181.367,4.23431e-16,4.07861e-15
181.504,1.45793e-14,4.32841e-15
181.641,-8.98350e-15,1.11861e-11
181.778,1.19439e-13,6.77777e-15
181.915,-9.77572e-15,3.78061e-15
182.053,-8.34206e-16,3.62801e-15
182.190,-4.21843e-14,3.77758e-15
182.327,-1.65780e-15,4.30106e-15
182.464,3.81735e-14,6.89488e-15
182.601,-6.34894e-15,3.79869e-15
182.739,-4.95033e-14,3.65617e-15
182.876,6.78407e-15,4.12034e-15
183.013,-8.25215e-16,3.76124e-15
183.150,1.61476e-14,5.12311e-15
183.287,-4.53511e-15,3.45108e-15
183.425,-6.06184e-15,3.52534e-15
183.562,5.31721e-14,7.04139e-15
183.699,-1.78493e-14,3.51032e-15
183.836,6.06612e-14,7.43989e-15
183.973,1.95444e-16,3.66560e-15
