wave,flux,fluxerr
171.099,6.34952e-14,7.19305e-15
171.236,6.40209e-14,7.60343e-15
171.374,6.93851e-14,7.31926e-15
171.511,7.87533e-14,7.11879e-15
171.648,6.36297e-14,6.94078e-15
171.785,6.52261e-14,7.16424e-15
171.922,5.66145e-14,6.85300e-15
172.059,6.12614e-14,6.49796e-15
172.196,7.03850e-14,9.29522e-15
172.333,7.01123e-14,6.47873e-15
172.470,8.69235e-14,6.67646e-15
172.607,8.91686e-14,6.69034e-15
172.745,6.65471e-14,8.73233e-15
172.882,8.22511e-14,6.54854e-15
173.019,8.45933e-14,6.32052e-15
173.156,9.45434e-14,6.44501e-15
173.293,8.08435e-14,6.14651e-15
173.430,9.15142e-14,6.26742e-15
173.567,9.86132e-14,6.84279e-15
173.705,8.71279e-14,6.28262e-15
173.842,8.58697e-14,6.34086e-15
173.979,9.24704e-14,6.02450e-15
174.116,9.59223e-14,6.06819e-15
174.253,8.70960e-14,6.07202e-15
174.390,9.83425e-14,6.19138e-15
174.527,1.01753e-13,5.99242e-15
174.665,1.04372e-13,5.96192e-15
174.802,9.69995e-14,5.79221e-15
174.939,8.41948e-14,5.75060e-15
175.076,1.11067e-13,5.90444e-15
175.213,1.15816e-13,6.05120e-15
175.350,1.18480e-13,5.92470e-15
175.487,1.13403e-13,5.81802e-15
175.625,1.06736e-13,5.65423e-15
175.762,1.05452e-13,5.66922e-15
175.899,9.56662e-14,5.54318e-15
176.036,9.34152e-14,5.39495e-15
176.173,9.45683e-14,5.30843e-15
176.310,9.54616e-14,6.27212e-15
176.447,1.13842e-13,5.53758e-15
176.585,1.13069e-13,5.49051e-15
176.722,1.07980e-13,5.59529e-15
176.859,1.19105e-13,5.52758e-15
176.996,1.13514e-13,5.35594e-15
177.133,1.20983e-13,5.52971e-15
177.270,1.23998e-13,5.46867e-15
177.408,1.28989e-13,5.46555e-15
177.545,1.29817e-13,5.40141e-15
177.682,1.45266e-13,7.95318e-15
177.819,1.22494e-13,5.26621e-15
177.956,1.32044e-13,5.30050e-15
178.094,1.23578e-13,5.16942e-15
178.231,1.12673e-13,5.02835e-15
178.368,1.24996e-13,5.13533e-15
178.505,1.21309e-13,5.04028e-15
178.642,1.27790e-13,5.33123e-15
178.779,1.36259e-13,7.57618e-15
178.917,1.29540e-13,7.19658e-15
179.054,1.38871e-13,5.24229e-15
179.191,1.32766e-13,5.01938e-15
179.328,1.33247e-13,5.05126e-15
179.465,1.30200e-13,4.93099e-15
179.603,1.45830e-13,5.31535e-15
179.740,1.39219e-13,5.00188e-15
179.877,1.54695e-13,7.32283e-15
180.014,1.40204e-13,6.04591e-15
180.151,1.37846e-13,4.95937e-15
180.288,1.21986e-13,4.69360e-15
180.426,1.02226e-13,4.41799e-15
180.563,1.20327e-13,4.57432e-15
180.700,1.30568e-13,4.66781e-15
180.837,1.46545e-13,4.83944e-15
180.974,1.41684e-13,4.78847e-15
181.112,1.35323e-13,4.65468e-15
181.249,1.25777e-13,4.59805e-15
181.386,1.27941e-13,4.51441e-15
181.523,1.25628e-13,4.44629e-15
181.660,1.23733e-13,4.52964e-15
181.798,1.29300e-13,4.43138e-15
181.935,1.41310e-13,4.99535e-15
182.072,1.47254e-13,4.59538e-15
182.209,1.25677e-13,4.32783e-15
182.346,1.33714e-13,4.41519e-15
182.484,1.30566e-13,4.31730e-15
182.621,1.36794e-13,4.43426e-15
182.758,1.33473e-13,4.31482e-15
182.895,1.33133e-13,4.34154e-15
183.033,1.36351e-13,4.34468e-15
183.170,1.59715e-13,4.60147e-15
183.307,1.34340e-13,4.39946e-15
183.444,1.42207e-13,4.31839e-15
183.581,1.25321e-13,4.16621e-15
183.719,1.30710e-13,4.14100e-15
183.856,1.27595e-13,4.34499e-15
183.993,1.31858e-13,4.34838e-15
184.130,1.32227e-13,4.08456e-15
184.268,1.21065e-13,3.97643e-15
184.405,1.15171e-13,3.93555e-15
184.542,1.21280e-13,3.90846e-15
184.679,1.29442e-13,3.99882e-15
184.816,1.20842e-13,3.86545e-15
184.954,1.27214e-13,3.91432e-15
185.091,1.28257e-13,3.93222e-15
185.228,1.44701e-13,4.12403e-15
185.365,1.41593e-13,4.09368e-15
185.503,1.31684e-13,4.11752e-15
185.640,1.35327e-13,4.59479e-15
185.777,1.37568e-13,4.54482e-15
185.914,1.42927e-13,4.07204e-15
186.052,1.45130e-13,4.00745e-15
186.189,1.38835e-13,3.98274e-15
186.326,1.45062e-13,3.93617e-15
186.463,1.51996e-13,4.13260e-15
186.600,1.51412e-13,4.21895e-15
186.738,1.59200e-13,4.07083e-15
186.875,1.53332e-13,3.99339e-15
187.012,1.39496e-13,3.78057e-15
187.150,1.41810e-13,3.80104e-15
187.287,1.37819e-13,3.76842e-15
187.424,1.41774e-13,4.00979e-15
187.561,1.44337e-13,3.79319e-15
187.699,1.50902e-13,3.81005e-15
187.836,1.47673e-13,3.78370e-15
187.973,1.51650e-13,3.79082e-15
188.110,1.60984e-13,3.91350e-15
188.247,1.57290e-13,3.81807e-15
188.385,1.52971e-13,3.86926e-15
188.522,1.48854e-13,3.76387e-15
188.659,1.44244e-13,3.84576e-15
188.797,1.55167e-13,3.72081e-15
188.934,1.55947e-13,3.70874e-15
189.071,1.52103e-13,3.67449e-15
189.208,1.60113e-13,3.72704e-15
189.346,1.56206e-13,4.10915e-15
189.483,1.56782e-13,3.68669e-15
189.620,1.48330e-13,3.60116e-15
189.757,1.48707e-13,3.87014e-15
189.895,1.45636e-13,3.50219e-15
190.032,1.55821e-13,3.58347e-15
190.169,1.50986e-13,3.52102e-15
190.306,1.55667e-13,3.54228e-15
190.444,1.57464e-13,3.54941e-15
190.581,1.53588e-13,3.55527e-15
190.718,1.51973e-13,3.53873e-15
190.856,1.50353e-13,3.56268e-15
190.993,1.62515e-13,3.58589e-15
191.130,1.57034e-13,3.49261e-15
191.267,1.54808e-13,3.48344e-15
191.405,1.64197e-13,3.63334e-15
191.542,1.66435e-13,3.60625e-15
191.679,1.59675e-13,3.65486e-15
191.816,1.59228e-13,3.95802e-15
191.954,1.63599e-13,3.45986e-15
192.091,1.69385e-13,3.48601e-15
192.228,1.66647e-13,3.47828e-15
192.366,1.53262e-13,3.38430e-15
192.503,1.64326e-13,3.48946e-15
192.640,1.59479e-13,3.66475e-15
192.777,1.39230e-13,3.16074e-15
192.915,1.52703e-13,3.33115e-15
193.052,1.58803e-13,3.29290e-15
193.189,1.60713e-13,3.33478e-15
193.327,1.67020e-13,3.81053e-15
193.464,1.68372e-13,3.35214e-15
193.601,1.74345e-13,3.52364e-15
193.738,1.71620e-13,3.33854e-15
193.876,1.68958e-13,3.31568e-15
194.013,1.80736e-13,3.38684e-15
194.150,1.72923e-13,3.31834e-15
194.288,1.68674e-13,3.55211e-15
194.425,1.70708e-13,3.26052e-15
194.562,1.66626e-13,3.44303e-15
194.700,1.71042e-13,3.27716e-15
194.837,1.69302e-13,3.22218e-15
194.974,1.60932e-13,3.13790e-15
195.111,1.67543e-13,3.34825e-15
195.249,1.65961e-13,3.14782e-15
195.386,1.68628e-13,3.16825e-15
195.523,1.67418e-13,3.17772e-15
195.661,1.68296e-13,3.12537e-15
195.798,1.64285e-13,3.10657e-15
195.935,1.58640e-13,3.20390e-15
196.073,1.58386e-13,3.19701e-15
196.210,1.68570e-13,3.24384e-15
196.347,1.84339e-13,3.19489e-15
196.485,1.76600e-13,3.12600e-15
196.622,1.84546e-13,3.18022e-15
196.759,1.76048e-13,3.19384e-15
196.896,1.79465e-13,3.60073e-15
197.034,1.75108e-13,3.07728e-15
197.171,1.76369e-13,3.10875e-15
197.309,1.72151e-13,3.01853e-15
197.446,1.69654e-13,2.99338e-15
197.583,1.69968e-13,2.98218e-15
197.720,1.75074e-13,3.01791e-15
197.858,1.80172e-13,3.02623e-15
197.995,1.77065e-13,2.99649e-15
198.132,1.71944e-13,2.96072e-15
198.270,1.74386e-13,2.95339e-15
198.407,1.70009e-13,2.90678e-15
198.544,1.74216e-13,2.93107e-15
198.682,1.74814e-13,2.92118e-15
198.819,1.63342e-13,3.23977e-15
198.956,1.68672e-13,2.88431e-15
199.094,1.70925e-13,2.85352e-15
199.231,1.77665e-13,2.95338e-15
199.368,1.79844e-13,2.97558e-15
199.506,1.77078e-13,2.87936e-15
199.643,1.70316e-13,2.85965e-15
199.780,1.70723e-13,2.79795e-15
199.918,1.67909e-13,2.92690e-15
200.055,1.71179e-13,2.97975e-15
200.192,1.71454e-13,2.81974e-15
200.330,1.71944e-13,2.80952e-15
200.467,1.70691e-13,2.76881e-15
200.604,1.68769e-13,2.70878e-15
200.742,1.73204e-13,3.07834e-15
200.879,1.58889e-13,2.62977e-15
201.016,1.66825e-13,2.66601e-15
201.154,1.76811e-13,2.71518e-15
201.291,1.77720e-13,2.70677e-15
201.428,1.72510e-13,2.66446e-15
201.566,1.75997e-13,2.68701e-15
201.703,1.74469e-13,2.67074e-15
201.840,1.70759e-13,2.61899e-15
201.978,1.73587e-13,2.63545e-15
202.115,1.76346e-13,2.83838e-15
202.252,1.68480e-13,2.58045e-15
202.390,1.58097e-13,2.55556e-15
202.527,1.75345e-13,2.64545e-15
202.664,1.82610e-13,2.63945e-15
202.802,1.92263e-13,2.69888e-15
202.939,1.84811e-13,2.88349e-15
203.076,1.70099e-13,2.80004e-15
203.214,1.73520e-13,2.62225e-15
203.351,1.83076e-13,2.58170e-15
203.488,1.78141e-13,2.54496e-15
203.626,1.85622e-13,2.56955e-15
203.763,1.71108e-13,2.47639e-15
203.900,1.78541e-13,2.51189e-15
204.038,1.90357e-13,2.57859e-15
204.175,1.85370e-13,2.63508e-15
204.312,1.89898e-13,2.61603e-15
204.450,1.89270e-13,2.73378e-15
204.587,1.92413e-13,2.75460e-15
204.725,1.86526e-13,2.67458e-15
204.862,1.89963e-13,2.51409e-15
204.999,1.94365e-13,2.52406e-15
