wave,flux,fluxerr
171.124,-1.30152e-14,5.79236e-15
171.262,-8.02556e-15,6.31010e-15
171.399,-1.60800e-14,5.66349e-15
171.536,-1.42684e-14,5.52862e-15
171.673,-1.15064e-14,5.43118e-15
171.810,-1.45897e-14,5.24974e-15
171.947,-1.54737e-14,5.21620e-15
172.084,-1.99358e-14,5.13210e-15
172.221,-2.12220e-15,6.66939e-15
172.358,-1.45993e-14,4.99774e-15
172.496,-6.69951e-15,4.99544e-15
172.633,-3.89735e-15,5.03230e-15
172.770,-1.38930e-14,6.09704e-15
172.907,-6.59823e-15,4.80836e-15
173.044,-1.38216e-14,4.63691e-15
173.181,-7.86157e-15,4.65697e-15
173.319,-3.67862e-15,4.66859e-15
173.456,-4.54924e-15,4.57288e-15
173.593,-1.88590e-14,5.00847e-15
173.730,-1.14177e-14,4.51836e-15
173.867,-1.76210e-14,4.53801e-15
174.004,3.31997e-17,4.42803e-15
174.142,-1.23976e-14,4.23402e-15
174.279,-2.21029e-14,4.45010e-15
174.416,-9.87325e-15,4.35689e-15
174.553,-6.93955e-15,4.15146e-15
174.690,-2.39620e-15,4.15412e-15
174.827,-8.32527e-15,4.04509e-15
174.964,-9.79341e-15,4.03357e-15
175.102,-4.32740e-15,3.94489e-15
175.239,-5.08112e-15,4.13295e-15
175.376,-6.29834e-15,3.84381e-15
175.513,-1.14490e-14,3.93820e-15
175.650,-1.87256e-15,3.84809e-15
175.788,-9.70635e-15,3.78839e-15
175.925,-6.75883e-15,3.99819e-15
176.062,-6.39344e-15,3.74249e-15
176.199,-8.50409e-15,3.57593e-15
176.336,-6.65824e-15,4.32874e-15
176.473,-7.97744e-15,3.57831e-15
176.611,5.42146e-15,3.75421e-15
176.748,-2.54495e-15,4.19096e-15
176.885,-4.77050e-15,3.80415e-15
177.022,-6.27942e-15,3.61362e-15
177.159,-9.67825e-15,3.45286e-15
177.296,-4.06097e-15,3.38911e-15
177.434,-1.11301e-14,3.40626e-15
177.571,-6.59477e-15,3.27364e-15
177.708,3.26875e-15,6.09537e-15
177.845,-8.16226e-15,3.22855e-15
177.982,-6.30448e-16,3.28258e-15
178.120,-6.29555e-15,3.13474e-15
178.257,-9.15342e-15,3.10906e-15
178.394,-4.31827e-15,3.12979e-15
178.531,-3.62147e-15,3.13770e-15
178.668,-3.59903e-15,3.44005e-15
178.806,-1.78766e-13,6.82748e-15
178.943,1.26331e-11,1.04648e-13
179.080,-6.42385e-15,4.51903e-15
179.217,-6.75793e-15,2.90186e-15
179.354,-1.45737e-15,2.96745e-15
179.492,-2.08050e-15,2.91597e-15
179.629,-2.77602e-15,3.02326e-15
179.766,-3.26762e-15,2.88274e-15
179.903,-3.30018e-15,3.55100e-15
180.040,-3.55528e-15,2.89858e-15
180.178,-2.23300e-15,2.78433e-15
180.315,-4.61181e-15,2.73600e-15
180.452,1.67874e-16,2.84387e-15
180.589,-1.96657e-16,2.79829e-15
180.727,-1.77116e-15,2.70114e-15
180.864,2.77709e-15,2.74728e-15
181.001,-3.77191e-15,2.60111e-15
181.138,-3.02456e-15,2.72554e-15
181.275,-2.49048e-15,2.77032e-15
181.413,-2.69885e-15,2.69327e-15
181.550,2.96966e-15,2.73377e-15
181.687,-1.25563e-15,2.61587e-15
181.824,6.14402e-16,2.60247e-15
181.962,-1.74401e-15,3.02943e-15
182.099,1.68925e-15,2.64735e-15
182.236,-4.35277e-15,2.62987e-15
182.373,4.12876e-15,2.65837e-15
182.510,1.42572e-15,2.45231e-15
182.648,-2.12804e-15,2.50929e-15
182.785,1.84358e-15,2.42273e-15
182.922,-1.04073e-15,2.38034e-15
183.059,1.73592e-15,2.38243e-15
183.197,1.30738e-15,2.48465e-15
183.334,1.56556e-15,2.42588e-15
183.471,4.03160e-16,2.42019e-15
183.608,1.98014e-15,2.32396e-15
183.745,2.58287e-15,2.33061e-15
183.883,2.00983e-15,2.59496e-15
184.020,-5.15216e-15,2.54528e-15
184.157,1.83635e-16,2.31503e-15
184.294,-1.50813e-15,2.25090e-15
184.432,2.44845e-15,2.27690e-15
184.569,-4.89245e-15,2.11077e-15
184.706,-1.38691e-15,2.16935e-15
184.844,-2.44565e-15,2.11434e-15
184.981,-2.42277e-15,2.10254e-15
185.118,-2.11202e-15,2.11132e-15
185.255,-2.17938e-15,2.19541e-15
185.393,1.95980e-15,2.34099e-15
185.530,4.91783e-15,2.32333e-15
185.667,4.59100e-15,2.24907e-15
185.804,3.75617e-15,2.12739e-15
185.941,6.20523e-15,2.12736e-15
186.079,6.64213e-15,2.15104e-15
186.216,6.50930e-15,2.14486e-15
186.353,3.92584e-15,2.07318e-15
