wave,flux,fluxerr
171.157,8.44497e-15,6.07082e-15
171.295,6.40415e-15,6.50790e-15
171.432,6.07258e-15,6.09469e-15
171.569,1.33497e-14,6.16513e-15
171.706,-6.22440e-15,5.50341e-15
171.843,-2.22546e-15,5.57270e-15
171.980,1.63345e-14,5.63618e-15
172.118,-2.07943e-15,5.28673e-15
172.255,4.23352e-14,1.68280e-14
172.392,8.69624e-15,5.28135e-15
172.529,-1.40589e-14,4.93326e-15
172.666,5.88561e-15,5.13055e-15
172.803,4.40600e-16,6.73782e-15
172.941,2.53225e-15,5.00652e-15
173.078,3.58586e-15,4.81713e-15
173.215,8.90093e-15,4.88263e-15
173.352,-6.55275e-15,4.68857e-15
173.489,8.31705e-15,4.87119e-15
173.626,3.07905e-15,4.84761e-15
173.764,-3.62064e-15,4.50059e-15
173.901,1.07424e-14,5.10544e-15
174.038,2.20788e-15,4.41738e-15
174.175,-8.48844e-15,4.31719e-15
174.312,4.07244e-15,4.63437e-15
174.449,8.90157e-15,4.45005e-15
174.587,1.25391e-15,4.50120e-15
174.724,4.80452e-15,4.65046e-15
174.861,-1.32808e-15,4.95444e-15
174.998,3.75662e-15,4.35665e-15
175.135,7.84531e-15,4.10188e-15
175.273,-2.96543e-16,4.11759e-15
175.410,6.26715e-15,3.99264e-15
175.547,6.40100e-15,4.03470e-15
175.684,-9.25755e-14,1.31937e-14
175.821,2.75393e-15,3.91333e-15
175.959,7.88812e-15,4.98394e-15
176.096,-2.55246e-15,3.91896e-15
176.233,4.14195e-15,4.24416e-15
176.370,7.41662e-15,4.63857e-15
176.507,-1.03928e-15,3.84835e-15
176.645,4.66619e-15,3.77136e-15
176.782,3.98301e-15,3.65777e-15
176.919,-2.15192e-15,3.49697e-15
177.056,1.06719e-14,3.82629e-15
177.194,6.53937e-15,3.55480e-15
177.331,-1.49236e-16,3.46075e-15
177.468,1.46911e-15,3.56969e-15
177.605,5.58043e-15,3.43998e-15
177.742,-1.78595e-14,6.42987e-15
177.880,3.07859e-15,3.44796e-15
178.017,1.59132e-15,3.24622e-15
178.154,-7.07375e-16,3.19435e-15
178.291,1.01339e-14,3.39564e-15
178.428,2.94554e-16,3.18812e-15
178.566,5.75323e-16,3.11733e-15
178.703,1.04225e-15,3.42360e-15
178.840,-1.57567e-13,7.42327e-15
178.977,1.08165e-11,1.06189e-13
179.115,6.83948e-16,3.19535e-15
179.252,-1.35755e-15,2.99721e-15
179.389,-3.11112e-15,3.27870e-15
179.526,4.64084e-15,2.99345e-15
179.663,9.77791e-16,3.08787e-15
179.801,2.95835e-15,2.91992e-15
179.938,9.29901e-15,3.03921e-15
180.075,3.53157e-15,3.90205e-15
180.212,4.67332e-15,2.87923e-15
180.350,4.80036e-15,2.91107e-15
180.487,-1.18540e-15,2.82273e-15
180.624,5.73003e-15,2.86847e-15
180.761,1.10884e-15,2.71796e-15
180.899,5.99134e-15,2.72808e-15
181.036,3.66468e-15,2.73676e-15
181.173,3.39210e-15,2.71677e-15
181.310,1.48620e-15,3.15572e-15
181.448,7.65155e-15,2.74581e-15
181.585,3.32624e-15,2.75039e-15
181.722,-3.33609e-15,2.62977e-15
181.859,9.52426e-15,2.67099e-15
181.997,3.03838e-16,2.66043e-15
182.134,-4.70164e-16,2.49239e-15
182.271,1.30020e-15,2.51625e-15
182.408,3.44850e-16,2.53001e-15
182.546,2.15055e-15,2.44244e-15
182.683,6.74302e-15,2.50731e-15
182.820,-4.19376e-15,2.34168e-15
182.957,1.71277e-15,2.40664e-15
183.095,7.34705e-15,2.44890e-15
183.232,-3.11805e-15,2.46322e-15
183.369,2.01888e-15,2.55816e-15
183.507,1.02147e-14,2.65907e-15
183.644,-3.04426e-15,2.50939e-15
183.781,5.43704e-15,2.51179e-15
183.918,3.73011e-15,2.94126e-15
184.056,-1.00246e-14,2.98430e-15
184.193,4.00186e-15,2.46557e-15
184.330,8.66533e-15,2.51726e-15
184.467,-2.78549e-16,2.45187e-15
184.605,2.81638e-15,2.39933e-15
184.742,5.79689e-15,2.34608e-15
184.879,-4.41837e-15,2.16630e-15
185.017,3.29997e-15,2.14357e-15
185.154,1.96079e-16,2.18908e-15
185.291,1.86863e-15,2.15715e-15
185.428,6.28492e-15,2.27373e-15
185.566,1.85207e-15,2.21601e-15
185.703,-3.62082e-15,2.09838e-15
185.840,5.41436e-15,2.11761e-15
185.977,2.37241e-15,2.03922e-15
186.115,-4.83195e-15,2.14440e-15
186.252,1.13492e-16,2.12567e-15
186.389,7.11061e-16,2.00494e-15
186.527,-4.11265e-16,1.95986e-15
186.664,5.26140e-15,2.03682e-15
186.801,-1.55204e-15,1.95105e-15
186.939,2.55490e-15,1.97133e-15
187.076,8.38289e-15,2.03200e-15
187.213,-1.30759e-15,1.99794e-15
187.350,2.80218e-15,2.07416e-15
187.488,5.85354e-15,2.20993e-15
187.625,1.66165e-15,1.92797e-15
187.762,4.44723e-15,1.90806e-15
187.900,4.66461e-15,2.17320e-15
188.037,-1.49954e-15,1.81251e-15
188.174,3.10991e-16,1.90081e-15
188.311,3.70713e-15,1.97527e-15
188.449,-2.43687e-13,1.89418e-15
188.586,5.35813e-15,2.03169e-15
188.723,2.01125e-15,2.08435e-15
188.861,1.63908e-16,1.87406e-15
188.998,4.76920e-15,1.91614e-15
189.135,6.86100e-16,1.83851e-15
189.273,1.74444e-15,1.88289e-15
189.410,3.12792e-15,2.37964e-15
189.547,3.68058e-18,1.79617e-15
189.684,1.24222e-15,1.79789e-15
189.822,3.69686e-15,2.35019e-15
189.959,-1.50610e-15,1.72738e-15
190.096,3.24388e-15,1.72365e-15
190.234,1.69659e-15,1.64395e-15
190.371,-8.93267e-16,1.60941e-15
190.508,2.65289e-15,1.63802e-15
190.646,5.91486e-15,1.70026e-15
190.783,-2.81341e-15,1.56857e-15
190.920,4.23304e-15,1.65726e-15
191.058,2.05072e-15,1.64815e-15
191.195,1.44556e-16,1.57698e-15
191.332,2.64125e-15,1.62964e-15
191.470,5.78916e-15,1.93223e-15
191.607,3.05605e-15,1.81524e-15
191.744,5.56079e-15,1.60346e-15
191.882,3.74485e-15,1.60814e-15
192.019,1.07366e-16,1.50457e-15
192.156,2.91508e-15,1.59697e-15
192.294,1.20035e-15,1.53508e-15
192.431,2.42637e-15,1.52002e-15
192.568,4.55019e-15,1.53608e-15
192.706,-1.59333e-15,1.52131e-15
192.843,1.10976e-15,1.58932e-15
192.980,4.50505e-15,1.68012e-15
193.118,1.40167e-15,1.47842e-15
193.255,6.64366e-16,1.51854e-15
193.392,5.00753e-15,1.95441e-15
193.530,3.95407e-15,1.61774e-15
193.667,3.56268e-15,1.67965e-15
193.804,5.07586e-15,1.47474e-15
193.942,-6.61611e-16,1.39870e-15
194.079,1.34127e-15,1.38363e-15
194.216,4.45468e-15,1.45075e-15
194.354,6.26160e-16,1.50079e-15
194.491,1.37887e-15,1.37288e-15
194.628,5.17536e-15,1.42412e-15
194.766,2.60604e-15,1.42859e-15
194.903,4.17133e-15,1.41053e-15
195.040,7.17715e-15,1.42803e-15
195.178,2.06014e-15,1.38802e-15
195.315,4.73205e-15,1.44300e-15
195.452,4.61175e-15,1.47415e-15
195.590,2.79328e-15,1.49058e-15
195.727,5.66616e-15,1.38824e-15
195.865,5.42867e-15,1.39937e-15
196.002,3.25552e-15,1.30715e-15
196.139,4.90668e-15,1.32757e-15
196.277,1.44449e-15,1.25996e-15
196.414,2.55294e-15,1.30317e-15
196.551,3.64227e-15,1.27583e-15
196.689,4.14398e-15,1.31004e-15
196.826,2.32814e-15,1.34575e-15
196.963,7.86982e-15,1.46651e-15
197.101,2.62008e-15,1.32455e-15
197.238,4.57424e-15,1.35721e-15
197.375,7.48171e-15,1.34110e-15
197.513,2.80297e-15,1.25910e-15
197.650,3.60825e-15,1.22918e-15
197.788,4.93218e-15,1.24158e-15
197.925,2.87428e-15,1.20308e-15
198.062,6.95719e-15,1.40380e-15
198.200,6.25935e-15,1.32215e-15
198.337,3.64041e-15,1.24632e-15
198.474,5.83731e-15,1.23442e-15
198.612,4.03111e-15,1.23567e-15
198.749,3.56784e-15,1.16753e-15
198.886,5.86730e-15,1.17628e-15
199.024,3.20263e-15,1.15589e-15
199.161,3.47741e-15,1.14889e-15
199.298,6.34946e-15,1.35791e-15
199.436,5.83426e-15,1.21741e-15
199.573,4.70618e-15,1.16180e-15
199.711,6.44259e-15,1.25408e-15
199.848,5.40676e-15,1.21244e-15
199.985,4.40178e-15,1.21648e-15
200.123,6.72316e-15,1.19088e-15
200.260,4.95642e-15,1.14843e-15
200.397,4.64192e-15,1.09353e-15
200.535,5.14346e-15,1.08649e-15
200.672,4.63068e-15,1.16425e-15
200.810,4.16099e-15,1.71900e-15
200.947,6.92602e-15,1.15851e-15
201.084,3.40504e-15,1.04048e-15
201.222,4.40647e-15,1.03266e-15
201.359,6.21893e-15,1.08214e-15
201.497,2.00647e-15,1.00998e-15
201.634,5.88824e-15,1.07509e-15
201.771,6.37670e-15,1.06237e-15
201.909,4.80025e-15,1.03266e-15
202.046,7.26958e-15,1.06057e-15
202.184,7.83401e-15,1.07984e-15
202.321,2.64962e-15,1.09337e-15
202.458,8.99243e-15,1.22495e-15
202.596,7.91329e-15,1.15035e-15
202.733,5.12432e-15,1.11719e-15
202.870,8.27589e-15,1.09411e-15
203.008,6.70366e-15,9.92691e-16
203.145,7.43036e-15,1.05950e-15
203.283,7.25131e-15,1.00099e-15
203.420,7.83548e-15,1.03449e-15
203.557,5.77397e-15,1.00155e-15
203.695,8.36162e-15,1.01025e-15
203.832,7.16846e-15,9.85578e-16
203.970,6.19238e-15,9.65508e-16
204.107,8.36905e-15,9.90730e-16
204.244,7.24499e-15,9.68686e-16
204.382,8.21881e-15,1.02232e-15
204.519,9.28263e-15,9.84214e-16
204.656,8.59248e-15,1.04033e-15
204.794,8.47578e-15,9.37667e-16
204.931,9.77010e-15,9.72122e-16
205.069,8.69906e-15,9.37225e-16
205.206,9.75500e-15,9.88473e-16
205.344,1.04064e-14,1.05308e-15
205.481,7.79925e-15,9.89946e-16
205.618,8.01090e-15,9.64204e-16
205.756,8.84595e-15,1.05720e-15
205.893,7.66703e-15,9.01023e-16
206.031,9.94517e-15,9.17869e-16
206.168,9.52767e-15,9.16079e-16
206.305,5.95954e-15,9.93376e-16
206.443,1.00530e-14,9.15862e-16
206.580,9.29740e-15,9.08974e-16
206.718,1.20665e-14,1.26905e-15
206.855,1.05532e-14,8.96054e-16
206.992,8.76654e-15,9.15182e-16
207.130,8.09137e-15,8.58962e-16
207.267,1.14930e-14,9.51011e-16
207.405,1.21906e-14,9.03291e-16
207.542,1.11112e-14,8.83802e-16
207.679,1.17609e-14,8.99321e-16
