wave,flux,fluxerr
171.105,-1.31776e-14,5.93054e-15
171.242,-7.15458e-15,6.37291e-15
171.379,1.47893e-15,5.85134e-15
171.516,-8.24622e-15,5.79125e-15
171.654,5.56208e-15,5.93955e-15
171.791,-8.92896e-15,5.55970e-15
171.928,-1.44159e-17,5.74242e-15
172.065,-1.40045e-14,5.53211e-15
172.202,-4.55870e-15,7.48879e-15
172.339,-5.74604e-15,5.15762e-15
172.476,2.15771e-15,5.18004e-15
172.613,-8.77884e-16,5.14606e-15
172.751,3.39093e-15,6.45413e-15
172.888,5.30820e-15,5.08392e-15
173.025,-1.12466e-14,4.84177e-15
173.162,6.39064e-16,4.83779e-15
173.299,5.67741e-15,4.86319e-15
173.436,-4.74937e-15,4.75678e-15
173.573,-1.97974e-15,5.29055e-15
173.710,-2.58624e-16,4.72873e-15
173.848,-9.51760e-16,4.84804e-15
173.985,4.75190e-15,4.53261e-15
174.122,-1.25747e-15,4.55055e-15
174.259,-1.14115e-14,4.70513e-15
174.396,5.99897e-15,4.95800e-15
174.533,2.32481e-15,4.84869e-15
174.670,6.12961e-15,4.79132e-15
174.808,1.43319e-15,4.40479e-15
174.945,2.81510e-15,4.20740e-15
175.082,7.86048e-15,4.22202e-15
175.219,1.06844e-14,4.36192e-15
175.356,7.58141e-17,4.01205e-15
175.493,2.77287e-15,4.04509e-15
175.631,1.36154e-14,4.13213e-15
175.768,5.54058e-15,4.09147e-15
175.905,1.69580e-14,4.38973e-15
176.042,1.12909e-14,4.05020e-15
176.179,7.20861e-15,3.88291e-15
176.316,3.86733e-14,9.59564e-15
176.453,1.30104e-14,3.92983e-15
176.591,2.66657e-15,3.74106e-15
176.728,5.14281e-15,4.04814e-15
176.865,9.86996e-15,3.77529e-15
177.002,7.42260e-15,3.71727e-15
177.139,1.37210e-14,3.78789e-15
177.276,1.41641e-14,3.82485e-15
177.414,-2.93347e-16,3.60547e-15
177.551,1.27313e-14,3.61940e-15
177.688,2.39343e-14,6.42314e-15
177.825,5.49456e-15,3.57280e-15
177.962,2.03415e-14,3.64158e-15
178.100,2.04076e-14,3.61793e-15
178.237,1.78421e-14,3.58519e-15
178.374,1.57002e-14,3.54653e-15
178.511,1.70189e-14,3.51205e-15
