wave,flux,fluxerr
171.090,-9.93554e-15,6.70199e-15
171.227,5.75363e-15,5.61566e-15
171.364,-6.84165e-15,4.24160e-15
171.501,1.38520e-14,4.56789e-15
171.639,7.44894e-16,4.43440e-15
171.776,3.06251e-16,5.69092e-15
171.913,-3.30891e-16,5.92206e-15
172.050,1.30347e-14,8.05706e-15
172.187,2.59007e-14,1.79203e-14
172.324,-7.72070e-15,5.38344e-15
172.461,-4.42798e-15,5.42546e-15
172.598,9.94567e-15,5.79436e-15
172.735,7.54409e-15,1.49725e-14
172.872,-5.29586e-15,5.12701e-15
173.010,-2.39170e-15,3.58753e-15
173.147,-2.59194e-15,3.61200e-15
173.284,3.98338e-15,4.45395e-15
173.421,-2.62168e-15,3.46276e-15
173.558,-5.50905e-16,3.65046e-15
173.695,-6.98232e-16,4.24682e-15
173.832,-3.97766e-15,3.59474e-15
173.969,-1.29391e-15,4.52688e-15
174.107,-9.20987e-15,3.94546e-15
174.244,3.41265e-15,3.36537e-15
174.381,-4.79828e-15,3.71606e-15
174.518,-4.85364e-15,3.21995e-15
174.655,3.83799e-16,3.31896e-15
174.792,-4.93307e-15,4.15898e-15
174.929,3.71273e-15,3.19794e-15
175.066,-2.35627e-15,4.74293e-15
175.204,-3.81017e-15,3.57870e-15
175.341,-3.72177e-15,2.96464e-15
175.478,4.35951e-15,3.06081e-15
175.615,1.01502e-15,4.40517e-15
175.752,-1.10100e-14,4.20902e-15
175.889,-1.44823e-15,7.49481e-15
176.027,8.40656e-15,1.75848e-14
176.164,1.91918e-15,4.10279e-15
176.301,2.88124e-15,4.89512e-15
176.438,5.17099e-15,4.09923e-15
176.575,6.22177e-16,5.01508e-15
176.712,2.75576e-15,2.99398e-15
176.850,-1.25304e-15,2.85065e-15
176.987,3.15603e-15,2.81620e-15
177.124,-4.50322e-16,2.68029e-15
177.261,-9.56405e-15,2.72729e-15
177.398,2.67987e-15,2.74246e-15
177.535,-2.02874e-15,2.61557e-15
177.672,-6.90929e-15,5.04117e-15
177.810,-4.15427e-15,2.95796e-15
177.947,-3.06518e-15,3.46309e-15
178.084,-6.02942e-15,3.58168e-15
178.221,-5.54960e-15,5.27297e-15
178.358,-6.66071e-15,3.66829e-15
178.495,1.11008e-15,3.43366e-15
178.633,5.82821e-16,4.26960e-15
178.770,-4.26686e-15,3.22592e-15
178.907,-5.13220e-17,4.06968e-15
179.044,-5.00469e-15,3.37186e-15
179.181,-8.85869e-16,2.33032e-15
179.319,-3.56783e-16,3.67331e-15
179.456,1.32832e-15,3.19825e-15
179.593,-2.32376e-15,3.14814e-15
179.730,1.54603e-15,3.22443e-15
179.867,4.74200e-15,3.37730e-15
180.004,-1.10292e-14,5.72266e-15
180.142,2.23318e-15,4.26328e-15
180.279,4.91096e-15,3.13036e-15
180.416,-2.79352e-15,4.39151e-15
180.553,-2.81259e-15,2.39988e-15
180.690,7.06780e-16,2.13306e-15
180.827,1.81620e-15,2.86041e-15
180.965,1.54872e-16,3.31932e-15
181.102,6.53453e-16,2.91733e-15
181.239,3.08675e-15,4.05542e-15
181.376,-3.99807e-15,2.73257e-15
181.514,3.09858e-16,2.75440e-15
181.651,6.93002e-15,3.05248e-15
181.788,2.31966e-15,2.04510e-15
181.925,1.17318e-15,2.62877e-15
182.062,7.14077e-16,2.73227e-15
182.199,-2.29709e-15,2.00243e-12
182.337,-3.41884e-15,2.88664e-12
182.474,-1.69630e-15,4.42900e-12
182.611,-2.00345e-15,2.19979e-12
182.748,-1.59942e-15,3.57747e-12
182.885,-1.93560e-15,1.85390e-12
183.023,-2.12307e-15,1.88608e-12
183.160,2.00667e-15,4.63717e-15
183.297,2.57934e-15,2.74969e-15
183.434,-7.87107e-16,2.64231e-15
183.572,-1.06524e-15,2.51020e-12
183.709,-1.92802e-15,1.87232e-12
183.846,-1.09479e-15,2.50540e-12
183.983,-3.95915e-15,2.50836e-12
184.120,-2.07102e-15,1.65783e-12
184.258,-2.10946e-15,1.90180e-12
184.395,-4.33856e-15,2.54237e-15
184.532,2.40006e-15,2.54249e-15
184.669,-3.41203e-15,2.71282e-15
184.806,-2.45760e-15,1.64394e-15
184.944,-1.26398e-16,1.64630e-15
185.081,1.43606e-15,1.83505e-15
185.218,-3.81794e-15,2.21626e-15
185.355,-3.19353e-15,1.54662e-15
185.493,-1.09098e-15,2.27094e-15
185.630,-1.61641e-15,1.72865e-15
185.767,-2.81548e-15,2.18405e-15
185.904,-1.29462e-15,2.28389e-15
186.042,3.90128e-16,2.51122e-15
186.179,-1.43805e-15,2.43097e-15
186.316,-2.38658e-15,2.13444e-15
186.453,2.28588e-15,2.23050e-15
186.590,-5.82149e-16,1.57918e-15
186.728,-2.93818e-15,1.50385e-15
186.865,2.48418e-16,1.49037e-15
187.002,1.40423e-15,1.53030e-15
187.139,-1.42784e-15,1.47964e-15
187.277,-1.94847e-15,1.51758e-15
187.414,-5.71458e-16,1.56944e-15
187.551,2.57861e-15,4.61435e-15
187.688,-9.11472e-17,2.18133e-15
187.826,-2.86979e-15,1.66735e-12
187.963,-2.17925e-15,1.53463e-12
188.100,-1.46018e-15,1.63418e-12
188.237,-2.89756e-15,3.40540e-12
188.375,-8.27141e-16,2.01122e-12
188.512,-1.83424e-15,1.41936e-12
188.649,-1.38287e-15,1.63538e-12
188.786,-4.40760e-15,2.12115e-12
188.924,-2.32367e-15,1.38335e-12
189.061,-3.11948e-15,1.61660e-12
189.198,-2.01549e-15,1.43279e-12
