wave,flux,fluxerr
171.074,2.42522e-15,7.68810e-15
171.211,5.56470e-15,8.35560e-15
171.348,9.78193e-15,6.80158e-15
171.485,4.37504e-15,6.84904e-15
171.622,8.22665e-16,4.59344e-15
171.759,-1.85503e-15,4.45519e-15
171.896,-1.08041e-14,4.19964e-15
172.033,5.32686e-15,5.08153e-15
172.170,1.40825e-14,1.26320e-14
172.307,-5.59707e-15,3.92851e-15
172.444,-5.54686e-15,4.01666e-15
172.582,3.32093e-15,4.67154e-15
172.719,-1.40897e-15,5.11703e-15
172.856,-1.19734e-14,3.68415e-15
172.993,-2.53027e-15,3.75859e-15
173.130,-1.62116e-16,3.81990e-15
173.267,-9.85817e-15,4.31901e-15
173.404,2.78887e-15,3.74547e-15
173.541,2.30240e-17,3.74121e-15
173.678,2.77527e-16,6.16157e-15
173.816,-4.93387e-15,4.75547e-15
173.953,2.39409e-16,5.43678e-15
174.090,-9.79214e-15,7.84267e-15
174.227,5.83107e-15,5.04370e-15
174.364,-7.42754e-15,4.70902e-15
174.501,-7.54424e-15,4.95368e-15
174.638,1.13638e-14,5.07386e-15
174.775,8.79927e-15,6.18215e-15
174.913,-3.30033e-15,4.48761e-15
175.050,2.26858e-15,5.47022e-15
175.187,-8.88013e-15,4.34576e-15
175.324,4.19820e-15,4.60089e-15
175.461,-4.48933e-15,3.04103e-15
175.598,-3.40918e-15,4.70972e-15
175.735,-5.43647e-15,4.40231e-15
175.872,-5.22476e-15,5.93869e-15
176.010,-5.96494e-15,5.29192e-15
176.147,-4.14850e-16,4.26729e-15
176.284,-2.90632e-15,5.11248e-15
176.421,1.32146e-15,4.21946e-15
176.558,3.71299e-15,5.81532e-15
176.695,6.23886e-15,4.93040e-15
176.832,-1.72562e-15,3.87924e-15
176.969,-2.56257e-15,3.94656e-15
177.107,-9.24504e-15,4.00343e-15
177.244,-5.60391e-15,4.38386e-15
177.381,-2.05031e-16,2.78563e-15
177.518,1.94709e-15,2.85122e-15
177.655,9.64811e-15,5.52211e-15
177.792,-2.98224e-15,3.07397e-15
177.930,2.45121e-16,2.61072e-15
178.067,7.16396e-17,2.88095e-15
178.204,-3.96460e-15,3.15430e-15
178.341,2.61157e-15,2.88887e-15
178.478,2.13773e-15,2.53886e-15
178.615,2.24355e-15,4.66919e-15
178.753,-4.73046e-15,3.33297e-15
178.890,2.14018e-15,4.19478e-15
179.027,1.74300e-15,3.62682e-15
179.164,-3.79043e-15,3.29637e-15
