wave,flux,fluxerr
171.082,-9.41909e-15,6.35941e-15
171.220,-1.80623e-14,8.64858e-15
171.357,-7.91005e-15,5.97390e-15
171.494,-4.72399e-15,6.00105e-15
171.631,6.76481e-15,6.03570e-15
171.768,-2.05448e-14,5.50939e-15
171.905,-8.44154e-17,5.73747e-15
172.042,-1.35136e-14,5.48041e-15
172.179,-6.86033e-15,7.01790e-15
172.316,6.07252e-15,5.60726e-15
172.454,-9.99988e-15,5.17125e-15
172.591,-1.13716e-14,5.28820e-15
172.728,-1.56949e-14,6.68216e-15
172.865,-1.26985e-14,5.07798e-15
173.002,-8.54182e-15,5.00681e-15
173.139,3.45707e-15,5.08532e-15
173.276,-8.96196e-15,4.78927e-15
173.413,1.20789e-16,5.02258e-15
173.550,-1.39016e-14,5.14800e-15
173.688,-3.78671e-15,4.65985e-15
173.825,1.17787e-15,4.93273e-15
173.962,-1.23189e-14,4.55110e-15
174.099,-6.77537e-15,4.57926e-15
174.236,-2.65977e-16,4.83873e-15
174.373,-1.78549e-14,4.60238e-15
174.510,1.81431e-15,4.67505e-15
174.647,-1.10497e-14,4.44646e-15
174.785,-7.97922e-15,4.29983e-15
174.922,1.02486e-15,4.45534e-15
175.059,-1.40028e-15,4.25233e-15
175.196,-6.45097e-15,4.35341e-15
175.333,4.40629e-15,4.25220e-15
175.470,-1.06038e-14,4.06277e-15
175.607,1.41366e-15,4.12390e-15
175.744,-2.88687e-15,4.12075e-15
175.882,-5.97473e-15,4.14853e-15
176.019,6.52292e-15,4.19755e-15
176.156,4.70175e-15,4.08710e-15
176.293,-9.51643e-15,4.47020e-15
176.430,8.49440e-15,4.04388e-15
176.567,5.73148e-15,3.71357e-15
176.704,-1.53869e-14,3.93206e-15
176.842,7.33008e-15,3.89448e-15
176.979,3.13394e-14,3.58141e-15
177.116,-6.85652e-15,3.70311e-15
177.253,-3.53794e-15,3.68181e-15
177.390,-9.10479e-15,3.65464e-15
177.527,-2.98623e-15,5.02166e-15
177.665,-6.11749e-15,6.38685e-15
177.802,-1.02421e-14,3.33695e-15
177.939,8.37419e-15,3.58771e-15
178.076,-3.63902e-15,3.35651e-15
178.213,-2.88359e-15,3.37458e-15
178.350,5.14930e-15,3.47648e-15
178.488,3.31365e-16,3.34015e-15
178.625,-5.17122e-17,3.59120e-15
178.762,-6.48497e-15,3.36880e-15
178.899,-4.21497e-15,4.54538e-15
179.036,5.69185e-15,3.41173e-15
179.173,-6.68387e-15,3.08529e-15
179.311,-1.34144e-14,3.01267e-15
179.448,3.14132e-15,3.16956e-15
179.585,-1.76673e-15,3.22356e-15
179.722,2.69143e-15,3.11549e-15
179.859,4.47709e-15,3.51100e-15
179.996,-1.09406e-14,2.93039e-15
180.134,6.76708e-16,3.02611e-15
180.271,-3.47257e-15,2.91986e-15
180.408,-6.44196e-15,2.91761e-15
180.545,4.60908e-15,2.98285e-15
180.682,-1.00076e-14,2.86513e-15
