wave,flux,fluxerr
171.073,1.03271e-13,2.43121e-14
171.210,1.00655e-13,2.05629e-14
171.347,1.10198e-13,1.95107e-14
171.484,7.27584e-14,1.87812e-14
171.621,8.81246e-14,1.86669e-14
171.758,1.26758e-13,1.90766e-14
171.895,1.05353e-13,1.84662e-14
172.033,1.07405e-13,1.89265e-14
172.170,7.24865e-14,2.65405e-14
172.307,8.61771e-14,1.73625e-14
172.444,6.08042e-14,1.68466e-14
172.581,1.13010e-13,1.75233e-14
172.718,7.58172e-14,1.91685e-14
172.855,1.07731e-13,1.68794e-14
172.992,1.20599e-13,1.68810e-14
173.129,9.55153e-14,1.62783e-14
173.266,9.24002e-14,1.68226e-14
173.404,8.35134e-14,1.57668e-14
173.541,8.74275e-14,1.57792e-14
173.678,6.09559e-14,1.58178e-14
173.815,9.18408e-14,1.56889e-14
173.952,9.32165e-14,1.65851e-14
174.089,6.09431e-14,1.54271e-14
174.226,9.10964e-14,1.49423e-14
174.363,1.32649e-13,2.26752e-14
174.500,9.18288e-14,2.07384e-14
174.638,1.05480e-13,2.10518e-14
174.775,8.89877e-14,2.08133e-14
174.912,9.25296e-14,2.00426e-14
175.049,1.23175e-13,2.63046e-14
175.186,1.39205e-13,2.19538e-14
175.323,9.07637e-14,1.95348e-14
175.460,1.23608e-13,1.99488e-14
175.597,8.80790e-14,2.55705e-14
175.735,1.19450e-13,1.39323e-14
175.872,9.95458e-14,1.38627e-14
176.009,1.14211e-13,1.39496e-14
176.146,7.79369e-14,1.64468e-14
176.283,9.63093e-14,1.43922e-14
176.420,9.02664e-14,1.30410e-14
176.557,1.10723e-13,1.96361e-14
176.694,9.41013e-14,1.91925e-14
176.832,8.99559e-14,1.75182e-14
176.969,1.02077e-13,1.76327e-14
177.106,8.72165e-14,1.75077e-14
177.243,1.14129e-13,1.77534e-14
177.380,1.10703e-13,1.74300e-14
177.517,1.12759e-13,1.22723e-14
177.655,1.31827e-13,1.54102e-14
177.792,1.04452e-13,1.24259e-14
177.929,1.30884e-13,1.21618e-14
178.066,1.08622e-13,1.29192e-14
178.203,9.90804e-14,1.20651e-14
178.340,9.42712e-14,1.15914e-14
178.478,1.34077e-13,1.18371e-14
178.615,1.04381e-13,1.14632e-14
178.752,7.02589e-14,1.07903e-14
178.889,9.46138e-14,1.13748e-14
179.026,1.03424e-13,1.15257e-14
179.163,1.33852e-13,1.14132e-14
179.300,1.33717e-13,1.22600e-14
179.438,1.29482e-13,1.12424e-14
179.575,1.30177e-13,1.13047e-14
179.712,1.10289e-13,1.07924e-14
179.849,1.10804e-13,1.09810e-14
179.986,1.27750e-13,1.36462e-14
180.123,1.28736e-13,1.10443e-14
180.261,1.22363e-13,1.06450e-14
180.398,1.35354e-13,1.11696e-14
180.535,1.16372e-13,1.05855e-14
180.672,1.16251e-13,1.03573e-14
180.809,8.56718e-14,1.03197e-14
180.947,1.02964e-13,1.04041e-14
181.084,1.25625e-13,1.02627e-14
181.221,1.31831e-13,1.12454e-14
181.358,1.23491e-13,1.00413e-14
181.495,1.11963e-13,9.77502e-15
181.632,1.05785e-13,9.64917e-15
181.770,1.02978e-13,9.61199e-15
181.907,1.08357e-13,1.00911e-14
182.044,1.09096e-13,9.54113e-15
182.181,9.97088e-14,9.49444e-15
182.318,1.14895e-13,1.02474e-14
182.456,9.96414e-14,1.03375e-14
182.593,9.74627e-14,9.22106e-15
182.730,9.82803e-14,1.00469e-14
182.867,9.44585e-14,8.98038e-15
183.004,1.06927e-13,9.12398e-15
183.142,9.27887e-14,9.64364e-15
183.279,1.00581e-13,8.94575e-15
183.416,1.31156e-13,9.28687e-15
183.553,1.08965e-13,9.86082e-15
183.690,1.18147e-13,9.01742e-15
183.827,1.17529e-13,9.41108e-15
183.965,1.01370e-13,1.01095e-14
184.102,1.08492e-13,8.71805e-15
184.239,9.21863e-14,8.57686e-15
184.376,9.91081e-14,8.58255e-15
184.514,8.61127e-14,8.26156e-15
184.651,7.33532e-14,8.97128e-15
184.788,8.96384e-14,8.24626e-15
184.925,1.02412e-13,8.28707e-15
185.062,1.09687e-13,8.44871e-15
185.199,9.34030e-14,8.49847e-15
185.337,9.86795e-14,8.14483e-15
185.474,9.74817e-14,8.78631e-15
185.611,1.08382e-13,8.31260e-15
185.748,1.12779e-13,1.15933e-14
185.886,9.36607e-14,1.11781e-14
186.023,6.61962e-14,1.07526e-14
186.160,1.05070e-13,1.15520e-14
186.297,1.04048e-13,1.11527e-14
186.434,9.95604e-14,1.09582e-14
186.572,9.86043e-14,7.75368e-15
186.709,1.14009e-13,7.89576e-15
186.846,1.02987e-13,7.69269e-15
186.983,1.21449e-13,7.86904e-15
187.121,1.20775e-13,7.83357e-15
187.258,1.23597e-13,7.87221e-15
187.395,1.14113e-13,7.77779e-15
187.532,1.16727e-13,8.30854e-15
187.669,9.47398e-14,7.36808e-15
187.807,9.15733e-14,7.38745e-15
187.944,1.15188e-13,7.59366e-15
188.081,1.22478e-13,7.69961e-15
188.218,1.06483e-13,8.40986e-15
188.356,1.41029e-13,7.81088e-15
188.493,1.45937e-13,7.71574e-15
188.630,1.31862e-13,7.49307e-15
188.767,1.27176e-13,7.46914e-15
188.905,1.17314e-13,1.02015e-14
189.042,1.37673e-13,1.07354e-14
189.179,1.15608e-13,1.00934e-14
189.316,1.28979e-13,1.03914e-14
189.454,1.46539e-13,1.12463e-14
189.591,1.21158e-13,9.99040e-15
189.728,1.23135e-13,7.15468e-15
189.865,1.08578e-13,6.89077e-15
190.003,1.06282e-13,7.13722e-15
190.140,1.01670e-13,6.73832e-15
190.277,1.17068e-13,6.87062e-15
190.414,1.26261e-13,7.84288e-15
190.552,1.18115e-13,6.79150e-15
190.689,1.13931e-13,6.74643e-15
190.826,1.25633e-13,6.84556e-15
190.963,1.14966e-13,6.80012e-15
191.101,1.07108e-13,6.57941e-15
191.238,1.18169e-13,6.76326e-15
191.375,1.34208e-13,7.68434e-15
191.512,1.22744e-13,1.08446e-14
191.650,1.20052e-13,9.43204e-15
