wave,flux,fluxerr
171.037,-2.98637e-14,9.42360e-15
171.174,-1.07189e-14,1.00002e-14
171.311,-3.01067e-14,9.05848e-15
171.448,-9.11711e-15,9.17061e-15
171.585,-2.18689e-14,8.85010e-15
171.722,-3.73114e-14,8.58526e-15
171.859,-3.49087e-15,8.88803e-15
171.996,-2.34281e-14,8.51847e-15
172.133,5.79599e-14,2.09159e-14
172.270,-1.57441e-14,8.34848e-15
172.407,-2.18453e-14,8.13017e-15
172.544,-1.42665e-14,8.15898e-15
172.681,4.41444e-14,2.06935e-14
172.819,-1.19827e-15,8.13183e-15
172.956,-5.35340e-15,7.92289e-15
173.093,-1.19620e-14,7.73412e-15
173.230,-1.38470e-14,7.61856e-15
173.367,-1.47463e-14,7.51027e-15
173.504,-9.18912e-15,8.10359e-15
173.641,-1.34324e-14,7.39270e-15
173.778,-8.60502e-15,7.58491e-15
173.915,-9.15285e-15,7.21024e-15
174.052,-8.14048e-15,7.19504e-15
174.189,-1.10709e-14,7.28155e-15
174.326,-1.24322e-14,7.20848e-15
174.464,-1.10286e-14,6.89591e-15
174.601,-2.08181e-15,6.94188e-15
174.738,-1.00427e-14,6.75062e-15
174.875,-2.19198e-14,6.61032e-15
175.012,3.87656e-16,6.80717e-15
175.149,-3.68891e-15,6.72756e-15
175.286,-4.76630e-15,6.57829e-15
175.423,-1.01034e-14,6.44612e-15
175.560,-1.05071e-14,6.29609e-15
175.697,2.85529e-15,6.51046e-15
175.835,-2.79529e-15,6.50530e-15
175.972,-6.41826e-15,6.28414e-15
176.109,-3.01923e-15,6.13987e-15
176.246,-3.46264e-15,7.01173e-15
176.383,-3.26813e-15,6.06516e-15
176.520,5.89698e-15,6.13635e-15
176.657,-1.05811e-14,6.11887e-15
176.794,-9.33542e-15,5.97906e-15
176.931,-1.48097e-15,5.84834e-15
177.069,2.10153e-15,5.85765e-15
177.206,-5.91312e-15,5.72432e-15
177.343,9.28040e-15,6.00001e-15
177.480,-2.24045e-15,6.02867e-15
177.617,-4.58791e-15,9.46494e-15
177.754,-3.41546e-15,5.87137e-15
177.891,-8.89374e-15,5.33255e-15
178.028,-4.41787e-15,5.45404e-15
178.165,1.46308e-15,5.41382e-15
178.303,-8.37889e-15,5.22689e-15
178.440,2.17652e-15,5.31218e-15
178.577,3.25153e-15,5.61231e-15
178.714,-1.76944e-13,8.18960e-15
178.851,1.24122e-11,1.06546e-13
178.988,-1.48502e-14,4.99079e-15
179.125,-9.60178e-15,4.90086e-15
179.262,2.54290e-15,5.02497e-15
179.400,1.15183e-15,5.18698e-15
179.537,5.48254e-15,5.11018e-15
179.674,5.42870e-16,4.89103e-15
179.811,3.01823e-15,5.71444e-15
179.948,-5.83658e-15,4.96220e-15
180.085,-8.03306e-15,4.61548e-15
180.223,-7.78156e-16,4.68650e-15
180.360,1.07098e-14,4.83741e-15
180.497,8.45088e-16,4.62822e-15
180.634,-1.72055e-15,4.55259e-15
180.771,-7.00767e-15,4.60028e-15
180.908,-1.85071e-14,4.30335e-15
181.045,-4.52090e-15,4.41484e-15
181.182,-2.58392e-16,4.47603e-15
181.320,1.49309e-14,4.63785e-15
181.457,1.00243e-14,4.47661e-15
181.594,-5.29722e-16,4.36843e-15
181.731,-7.82422e-15,4.24732e-15
181.868,-1.06146e-14,4.80127e-15
182.006,-7.15426e-15,4.48242e-15
182.143,-1.80143e-14,4.47030e-15
182.280,-1.13512e-14,4.06151e-15
182.417,-9.13525e-15,4.02876e-15
182.554,-9.30946e-15,4.02193e-15
182.691,-8.44314e-15,3.97601e-15
182.828,-5.27539e-15,3.96142e-15
182.966,-7.54080e-15,3.87427e-15
183.103,-4.35207e-15,4.01729e-15
183.240,-1.10083e-14,4.03505e-15
183.377,-6.08142e-15,3.84139e-15
183.514,-7.29014e-15,3.78674e-15
183.651,-6.35469e-15,3.77927e-15
183.789,-8.36162e-15,4.08240e-15
183.926,-4.77669e-15,4.01038e-15
184.063,-1.12625e-14,3.69857e-15
184.200,-9.18223e-15,3.67850e-15
184.337,-1.40208e-14,3.68146e-15
184.475,-1.41152e-14,3.51215e-15
184.612,-1.11471e-14,3.53838e-15
184.749,-1.49641e-14,3.44226e-15
184.886,-1.38920e-14,3.42820e-15
185.023,-9.65178e-15,3.48593e-15
185.160,-1.12084e-14,3.54953e-15
185.298,-9.33004e-15,3.54129e-15
185.435,-3.15585e-15,3.56211e-15
185.572,-5.59880e-15,3.51764e-15
185.709,-3.35314e-15,3.43043e-15
185.846,-4.32116e-15,3.38110e-15
185.983,-4.62545e-15,3.40148e-15
186.121,2.21135e-15,3.45494e-15
186.258,-3.93368e-15,3.34140e-15
186.395,5.01357e-16,3.65224e-15
186.532,-2.21111e-15,3.45442e-15
186.669,-3.30821e-15,3.26028e-15
186.807,-1.14737e-14,3.29474e-15
