wave,flux,fluxerr
171.007,3.15447e-15,3.44376e-15
171.145,5.15400e-15,3.41090e-15
171.282,3.29577e-15,3.54477e-15
171.419,-4.98719e-15,3.10592e-15
171.556,3.94491e-15,3.22205e-15
171.693,9.11494e-16,3.15241e-15
171.830,4.63713e-15,3.24192e-15
171.967,3.11914e-15,3.27303e-15
172.104,-1.35468e-15,2.90038e-15
172.241,1.16754e-15,2.89923e-15
172.378,-3.56237e-16,2.88101e-15
172.515,3.28674e-15,2.88957e-15
172.652,-4.34877e-16,2.80645e-15
172.789,7.91034e-17,2.69770e-15
172.926,2.06976e-15,2.87616e-15
173.063,-1.73872e-15,2.65395e-15
173.200,-4.37297e-15,2.75665e-15
173.337,4.63566e-15,2.72569e-15
173.474,-1.02899e-15,2.59822e-15
173.611,1.40805e-15,2.65321e-15
173.749,5.80852e-16,2.69016e-15
173.886,-2.10743e-15,2.47802e-15
174.023,4.28440e-15,2.59370e-15
174.160,5.72582e-15,2.66228e-15
174.297,1.16430e-15,2.43400e-15
174.434,2.10052e-15,3.04958e-15
174.571,3.53508e-15,2.44472e-15
174.708,-1.93245e-15,2.30473e-15
174.845,3.11182e-15,2.46895e-15
174.982,1.16857e-16,2.35470e-15
175.119,1.24261e-15,2.28959e-15
175.256,3.15746e-16,2.27411e-15
175.393,-1.38760e-15,2.15367e-15
175.531,7.52015e-16,2.29065e-15
175.668,2.93217e-15,2.54571e-15
175.805,4.90605e-16,2.20627e-15
175.942,8.90152e-16,2.13840e-15
176.079,1.07469e-15,2.18275e-15
176.216,-7.48172e-16,2.14599e-15
176.353,4.74935e-15,2.36871e-15
176.490,1.13629e-15,2.12130e-15
176.627,2.90377e-15,2.13747e-15
176.764,1.17057e-15,2.10417e-15
176.901,9.64258e-16,2.00614e-15
177.038,1.42045e-15,2.14865e-15
177.176,3.87201e-15,2.07690e-15
177.313,-5.27510e-16,1.94677e-15
177.450,8.45229e-16,1.93104e-15
177.587,3.29589e-15,2.01844e-15
177.724,1.95060e-15,2.22598e-15
177.861,2.80536e-15,1.93458e-15
177.998,2.53992e-15,1.89486e-15
178.135,-1.75381e-15,1.83269e-15
178.272,3.19073e-15,1.92200e-15
178.410,-2.28493e-15,1.74688e-15
178.547,-2.33243e-15,1.88432e-15
178.684,2.86325e-15,1.85471e-15
178.821,4.06644e-16,1.74288e-15
178.958,1.55380e-15,1.80682e-15
179.095,3.56312e-15,1.82317e-15
179.232,-3.45332e-15,2.01828e-15
179.369,1.92941e-15,1.82414e-15
179.506,1.43009e-15,1.75034e-15
179.644,1.98899e-15,1.71931e-15
179.781,3.17619e-15,1.77592e-15
179.918,3.82556e-15,1.72457e-15
180.055,2.83670e-15,1.86714e-15
180.192,2.61971e-15,2.12845e-15
180.329,-6.89114e-16,1.60881e-15
180.466,-7.43285e-17,1.62474e-15
180.603,2.78964e-15,1.71814e-15
180.741,-3.26171e-15,1.55260e-15
180.878,3.35982e-15,1.63320e-15
181.015,3.03252e-15,1.89319e-15
181.152,-3.81837e-16,1.58232e-15
181.289,4.00528e-15,1.72296e-15
181.426,2.65861e-15,1.58492e-15
181.563,-3.29271e-15,1.89614e-15
181.701,1.83195e-15,1.54043e-15
181.838,3.54392e-17,1.48939e-15
181.975,-2.53930e-15,1.48612e-15
182.112,1.32526e-15,1.50966e-15
182.249,-2.95365e-15,1.43069e-15
182.386,2.65223e-15,1.99099e-15
182.523,2.55704e-15,1.49344e-15
182.660,8.37086e-16,1.44366e-15
182.798,4.45597e-17,1.41227e-15
182.935,-3.13073e-17,1.42253e-15
183.072,-6.64700e-16,1.55351e-15
183.209,7.07617e-16,1.42188e-15
183.346,1.34937e-16,1.36366e-15
183.483,6.88075e-17,1.36881e-15
183.620,1.72273e-15,1.40406e-15
183.758,2.42569e-16,1.34614e-15
183.895,1.04115e-15,1.39115e-15
184.032,-1.39796e-16,1.33015e-15
184.169,7.44755e-16,1.33851e-15
184.306,3.17318e-16,1.37210e-15
184.444,1.92560e-15,1.36178e-15
184.581,-1.97407e-15,1.22278e-15
184.718,4.79988e-15,1.59983e-15
184.855,-9.29159e-17,1.28631e-15
184.992,4.92616e-16,1.29576e-15
185.129,2.02589e-15,1.31092e-15
185.266,-1.04671e-15,1.33029e-15
185.404,1.32153e-15,1.30450e-15
185.541,6.16699e-16,1.26133e-15
185.678,-1.91959e-15,1.18355e-15
185.815,1.79978e-15,1.25209e-15
185.952,6.87258e-16,1.23101e-15
186.089,2.31606e-16,1.67790e-15
186.227,1.39684e-15,1.23824e-15
186.364,4.04134e-16,1.23058e-15
186.501,-3.51867e-16,1.18625e-15
186.638,-8.70136e-16,1.39071e-15
186.775,-1.84629e-15,1.14976e-15
186.913,-1.15743e-16,1.14475e-15
187.050,1.31133e-15,1.16550e-15
187.187,-1.50384e-15,1.11879e-15
187.324,1.85758e-15,1.17689e-15
187.461,-2.33476e-15,1.35907e-15
187.598,-2.15895e-15,1.17978e-15
187.736,7.17936e-16,1.12494e-15
187.873,2.78968e-16,1.13306e-15
188.010,-1.12289e-16,1.07790e-15
188.147,9.97755e-16,1.10555e-15
188.284,3.48226e-16,1.07491e-15
188.421,1.04547e-15,1.08924e-15
188.559,1.17001e-15,1.22722e-15
188.696,-9.23556e-16,1.04248e-15
188.833,1.21551e-15,1.10011e-15
188.970,-3.84584e-15,1.54638e-15
189.107,1.81417e-16,1.02014e-15
189.245,4.07707e-16,1.03939e-15
189.382,-2.23671e-16,1.05858e-15
189.519,-1.69053e-16,1.05755e-15
189.656,3.53992e-15,1.11569e-15
189.793,-3.07707e-15,1.85174e-15
189.931,5.43922e-16,1.01378e-15
190.068,9.45757e-16,1.05567e-15
190.205,5.99495e-17,1.01244e-15
190.342,6.51220e-16,1.02347e-15
190.480,6.47194e-16,9.95952e-16
190.617,3.90121e-16,9.67788e-16
190.754,1.84327e-15,1.02693e-15
190.891,7.97720e-16,9.79828e-16
191.028,2.90767e-15,1.23765e-15
191.165,1.02159e-15,9.98997e-16
191.303,-4.57495e-16,9.42974e-16
191.440,5.20246e-17,9.38337e-16
191.577,1.01159e-16,9.36759e-16
191.714,-9.59634e-16,9.12351e-16
191.852,7.78161e-16,9.31997e-16
191.989,1.37007e-15,9.60058e-16
192.126,4.03657e-16,9.13517e-16
192.263,5.69036e-16,1.00994e-15
192.400,1.72991e-16,9.09245e-16
192.538,3.15394e-16,8.96964e-16
192.675,2.64183e-15,9.49717e-16
192.812,-1.05615e-15,8.62082e-16
192.949,-6.84964e-16,9.17569e-16
193.087,1.57940e-15,9.38309e-16
193.224,-1.77518e-15,8.36391e-16
193.361,-4.90915e-16,8.57746e-16
193.498,4.53762e-16,8.79589e-16
193.635,-5.99711e-16,8.32465e-16
193.773,6.21841e-16,8.78846e-16
193.910,1.96599e-16,9.34148e-16
194.047,-4.04524e-16,8.20377e-16
194.184,5.51150e-16,8.49359e-16
194.322,-1.37054e-15,8.08457e-16
194.459,-4.06965e-16,8.09447e-16
194.596,2.66556e-17,8.71096e-16
194.733,-5.81180e-16,7.95750e-16
194.870,4.82124e-16,8.11166e-16
195.008,9.27258e-16,8.43817e-16
195.145,-5.72790e-16,7.77881e-16
195.282,-1.51156e-16,7.90148e-16
195.419,4.43614e-16,8.22291e-16
195.557,-1.87565e-16,7.83905e-16
195.694,1.70973e-15,8.45721e-16
195.831,-1.09544e-15,7.58973e-16
195.968,-4.18149e-16,7.71246e-16
196.106,2.70191e-15,9.66615e-16
196.243,-1.04450e-15,7.46307e-16
196.380,1.54602e-16,7.91122e-16
196.517,1.53222e-15,7.98388e-16
196.655,-9.15001e-16,7.41084e-16
196.792,-5.32980e-17,7.46729e-16
196.929,8.02792e-16,7.58265e-16
197.066,-3.92818e-16,7.31274e-16
197.204,9.58927e-16,7.73767e-16
197.341,-5.65516e-16,7.47939e-16
197.478,-9.34070e-16,7.13903e-16
197.615,1.15829e-15,7.57339e-16
197.753,-9.34859e-16,6.97497e-16
197.890,-2.96553e-16,7.15794e-16
198.027,8.58219e-16,7.30753e-16
198.164,-1.13105e-15,6.76633e-16
198.301,-1.76309e-18,7.18352e-16
198.439,3.63860e-16,7.23112e-16
198.576,-5.87262e-16,6.88390e-16
198.713,1.13267e-15,8.28607e-16
198.850,2.24559e-16,7.08968e-16
198.988,-1.26422e-15,6.58910e-16
199.125,5.51214e-16,6.95470e-16
199.262,6.87697e-16,7.12125e-16
199.400,-7.43205e-17,6.88159e-16
199.537,8.00223e-16,7.59847e-16
199.674,-1.11039e-15,6.92422e-16
199.811,1.22510e-15,7.26461e-16
199.949,-1.95311e-17,6.57596e-16
200.086,-4.30126e-16,6.55436e-16
200.223,-1.27413e-16,6.55512e-16
200.360,-5.53071e-16,6.36350e-16
200.498,-2.80383e-16,6.10879e-16
200.635,1.07459e-15,7.01663e-16
200.772,-1.15446e-15,6.10827e-16
200.909,-1.34742e-16,6.36128e-16
201.047,1.18955e-15,6.50698e-16
201.184,-2.48003e-16,6.07291e-16
201.321,8.92076e-17,6.51327e-16
201.458,-5.85067e-16,6.44153e-16
201.596,5.54296e-16,6.19936e-16
201.733,5.16350e-16,6.30970e-16
201.870,8.27876e-16,6.06632e-16
202.007,-2.45472e-16,5.89903e-16
202.145,1.35538e-15,6.17140e-16
202.282,-7.92814e-16,5.69412e-16
202.419,-4.30639e-17,5.75641e-16
202.557,2.11609e-16,5.87303e-16
202.694,-8.41844e-16,5.69894e-16
202.831,1.61754e-16,5.90896e-16
202.969,5.45258e-16,6.00088e-16
203.106,-3.76520e-16,5.50208e-16
203.243,8.82193e-16,5.98601e-16
203.380,1.25052e-15,6.10599e-16
203.518,-1.04977e-16,5.52700e-16
203.655,1.56472e-16,5.88354e-16
203.792,-5.11335e-17,5.46612e-16
203.929,-5.31062e-16,5.43937e-16
204.067,1.02206e-15,5.64919e-16
204.204,1.09345e-16,5.34464e-16
204.341,2.42959e-16,5.60934e-16
204.479,5.37225e-16,5.49920e-16
204.616,-5.29589e-16,5.20887e-16
204.753,5.67049e-16,5.51506e-16
204.890,4.71934e-16,5.34898e-16
205.028,-3.81792e-16,5.26521e-16
205.165,-2.26691e-16,5.67420e-16
205.302,-3.17738e-16,5.00405e-16
205.439,-1.26067e-16,5.08827e-16
205.577,-1.30118e-15,5.94893e-16
205.714,2.04052e-16,5.01952e-16
205.851,-3.16600e-16,5.06843e-16
205.989,2.66252e-16,5.11206e-16
206.126,-1.08419e-15,4.72072e-16
206.263,3.62755e-17,5.00459e-16
206.400,6.19708e-16,4.91827e-16
206.538,-1.06629e-15,4.65870e-16
206.675,1.42109e-16,4.85628e-16
206.812,-7.57307e-16,4.66020e-16
206.950,3.79609e-16,4.80350e-16
207.087,-1.50063e-16,4.97683e-16
207.224,-3.63201e-16,4.53035e-16
207.362,1.78726e-16,4.79001e-16
207.499,6.93056e-16,4.90036e-16
207.636,-3.38873e-16,4.46054e-16
207.774,3.78831e-17,4.68811e-16
207.911,-1.00352e-16,4.55355e-16
208.048,-4.97975e-16,4.41641e-16
208.185,2.82125e-16,4.60959e-16
208.323,-8.33220e-16,4.61496e-16
208.460,-2.14190e-16,4.40096e-16
208.597,5.20105e-16,4.70062e-16
208.735,-4.27225e-16,4.28258e-16
208.872,5.04231e-16,4.44207e-16
209.009,-7.18593e-17,5.16711e-16
209.147,-4.25126e-16,5.28269e-16
209.284,9.28202e-17,5.10405e-16
209.421,9.76953e-17,4.24230e-16
209.558,-1.06078e-15,4.11409e-16
209.696,4.77809e-16,4.31610e-16
209.833,-1.91397e-16,4.07416e-16
209.970,-6.05048e-16,3.99678e-16
210.108,5.59965e-16,4.23870e-16
210.245,-6.07332e-16,4.04422e-16
210.382,2.75375e-16,4.27837e-16
210.520,1.23923e-15,4.54111e-16
210.657,-3.43168e-16,3.87833e-16
210.794,2.15387e-16,4.03643e-16
210.931,5.97293e-16,4.06802e-16
211.069,-1.04437e-15,5.41621e-16
211.206,-5.93021e-17,4.50817e-16
211.343,3.43955e-16,4.55148e-16
211.481,-1.28917e-15,4.74196e-16
211.618,1.86578e-16,3.92349e-16
211.755,-1.46921e-16,4.40354e-16
211.893,-6.41816e-16,3.76358e-16
212.030,2.79157e-16,4.31902e-16
212.167,-1.12593e-15,4.19043e-16
212.304,-3.12761e-16,3.69894e-16
212.442,3.75824e-16,3.81230e-16
212.579,-3.40402e-16,3.57292e-16
212.717,1.48565e-16,3.78651e-16
212.854,-2.68963e-16,3.60610e-16
212.991,-7.31656e-16,4.50012e-16
213.128,1.17037e-16,3.91099e-16
213.266,-7.75452e-16,3.58502e-16
