wave,flux,fluxerr
171.077,-1.37461e-14,7.82161e-15
171.214,1.16324e-14,6.27421e-15
171.351,4.11874e-15,4.80642e-15
171.488,1.59312e-14,5.09576e-15
171.625,1.54606e-14,4.94075e-15
171.762,9.73713e-15,4.73650e-15
171.900,1.48821e-14,4.70835e-15
172.037,1.18201e-14,4.56585e-15
172.174,5.31264e-15,8.38586e-15
172.311,8.48699e-15,4.34366e-15
172.448,9.04752e-15,4.36046e-15
172.585,1.02421e-14,4.33235e-15
172.722,-2.57648e-15,1.38664e-14
172.859,1.46319e-14,4.28665e-15
172.996,9.48728e-15,4.07152e-15
173.133,1.26890e-14,4.16723e-15
173.271,7.46502e-15,4.06829e-15
173.408,6.30433e-15,3.89187e-15
173.545,1.60583e-14,4.03746e-15
173.682,1.65234e-14,4.08096e-15
173.819,7.96089e-15,4.39398e-15
173.956,1.54603e-14,3.83976e-15
174.093,1.25080e-14,3.80332e-15
174.230,1.12453e-14,4.06903e-15
174.368,1.96002e-14,4.01094e-15
174.505,1.36377e-14,3.89551e-15
174.642,1.62516e-14,4.05162e-15
174.779,1.47023e-14,4.07245e-15
174.916,1.82348e-14,3.64727e-15
175.053,2.00409e-14,3.63546e-15
175.190,1.83723e-14,3.72626e-15
175.327,1.74053e-14,3.53976e-15
175.465,1.69783e-14,3.49075e-15
175.602,2.65830e-15,9.93251e-15
175.739,1.72377e-14,3.48821e-15
175.876,1.30444e-14,3.67173e-15
176.013,1.40915e-14,3.39596e-15
176.150,1.21466e-14,3.63617e-15
176.287,-3.16468e-15,7.85700e-15
176.424,9.93875e-15,3.30685e-15
176.562,1.15005e-14,3.20757e-15
176.699,1.64063e-14,3.16370e-15
176.836,1.28892e-14,3.11974e-15
176.973,1.47893e-14,3.25585e-15
177.110,2.28681e-14,3.23627e-15
177.247,1.40772e-14,3.04348e-15
177.384,1.56165e-14,3.25537e-15
177.522,2.46930e-14,3.14615e-15
177.659,3.04044e-14,5.89070e-15
177.796,1.89595e-14,3.23960e-15
177.933,2.56026e-14,3.08879e-15
178.070,1.55445e-14,3.03681e-15
178.207,1.34458e-14,3.02663e-15
178.345,1.44492e-14,2.85873e-15
178.482,2.06885e-14,2.92439e-15
178.619,1.97283e-14,3.20493e-15
178.756,1.73266e-14,2.81308e-15
178.893,1.03952e-13,1.89419e-14
179.030,2.51530e-14,3.07972e-15
179.168,2.82479e-14,3.04479e-15
179.305,2.56079e-14,3.12758e-15
179.442,2.80389e-14,2.98030e-15
179.579,2.82786e-14,2.96840e-15
179.716,2.08688e-14,2.75644e-15
179.853,2.58105e-14,2.82745e-15
179.991,2.90207e-14,3.60974e-15
180.128,2.52608e-14,2.79585e-15
180.265,2.14805e-14,2.65368e-15
180.402,2.56492e-14,2.75698e-15
180.539,1.95861e-14,2.63349e-15
180.676,1.56016e-14,2.49451e-15
180.814,1.70132e-14,2.56462e-15
180.951,2.30806e-14,2.59672e-15
181.088,2.78323e-14,2.65126e-15
181.225,3.01190e-14,3.06562e-15
181.362,2.11528e-14,2.60305e-15
181.499,2.40483e-14,2.65739e-15
181.637,2.13225e-14,2.71739e-15
181.774,2.57359e-14,2.62642e-15
181.911,2.00877e-14,2.56195e-15
182.048,2.59204e-14,2.48804e-15
182.186,2.97903e-14,2.50316e-15
182.323,2.49630e-14,2.49519e-15
182.460,2.63084e-14,2.43878e-15
182.597,2.17906e-14,2.35629e-15
182.734,2.38000e-14,2.40316e-15
182.871,2.03651e-14,2.31609e-15
183.009,2.29006e-14,2.30253e-15
183.146,2.12024e-14,2.57345e-15
183.283,2.55087e-14,2.58496e-15
183.420,2.49154e-14,2.46537e-15
183.557,2.61942e-14,2.41677e-15
183.695,2.21543e-14,2.32666e-15
183.832,2.09976e-14,2.59105e-15
183.969,1.39508e-14,2.85172e-15
184.106,1.84762e-14,2.10434e-15
184.243,1.98991e-14,2.18096e-15
184.381,1.54176e-14,2.10417e-15
184.518,1.49349e-14,2.05479e-15
184.655,1.52909e-14,2.05459e-15
184.792,1.75299e-14,2.04312e-15
184.930,1.78814e-14,2.10497e-15
185.067,9.83391e-15,1.97892e-15
185.204,1.35013e-14,2.00741e-15
185.341,1.75958e-14,2.08203e-15
185.478,1.93335e-14,2.22438e-15
185.616,2.15257e-14,2.12682e-15
185.753,1.68259e-14,1.96498e-15
185.890,1.73248e-14,1.92362e-15
186.027,1.65691e-14,2.00998e-15
186.165,2.10527e-14,2.01053e-15
186.302,1.81314e-14,1.93178e-15
186.439,1.61581e-14,1.88179e-15
186.576,2.01539e-14,1.96351e-15
186.713,2.25126e-14,1.97273e-15
186.851,2.40520e-14,1.97981e-15
186.988,2.27158e-14,1.93625e-15
187.125,1.97742e-14,1.90650e-15
187.262,2.08398e-14,1.94801e-15
187.400,2.41297e-14,2.06996e-15
187.537,1.68072e-14,1.82929e-15
187.674,1.85550e-14,1.83468e-15
187.811,2.41276e-14,2.12925e-15
187.949,2.26317e-14,1.89628e-15
188.086,2.36612e-14,1.94172e-15
188.223,2.55857e-14,1.92725e-15
188.360,2.80876e-14,1.94717e-15
188.497,2.46127e-14,1.87541e-15
188.635,2.13071e-14,1.78382e-15
188.772,2.62841e-14,1.86366e-15
188.909,2.22936e-14,1.81663e-15
189.046,2.49475e-14,1.80859e-15
189.184,2.61349e-14,1.83154e-15
189.321,2.35616e-14,2.13254e-15
189.458,2.74978e-14,1.81820e-15
189.595,2.28139e-14,1.75660e-15
189.733,4.23531e-14,6.10523e-15
189.870,1.61156e-14,1.63423e-15
190.007,1.75401e-14,1.63122e-15
190.144,2.05073e-14,1.65255e-15
190.282,2.54627e-14,1.73052e-15
190.419,2.51338e-14,1.76579e-15
190.556,2.58572e-14,1.73536e-15
190.693,2.39477e-14,1.70751e-15
190.831,2.32262e-14,1.67574e-15
190.968,2.20759e-14,1.65931e-15
191.105,2.42910e-14,1.68854e-15
191.242,2.82115e-14,1.85219e-15
191.380,2.57136e-14,1.99959e-15
191.517,3.73908e-14,3.51484e-15
191.654,2.68737e-14,1.66559e-15
191.792,2.55712e-14,1.70919e-15
191.929,2.92662e-14,1.69647e-15
192.066,2.96129e-14,1.68049e-15
192.203,2.72847e-14,1.65727e-15
192.340,2.67451e-14,1.63758e-15
192.478,2.01838e-14,1.57218e-15
192.615,2.35394e-14,1.61377e-15
192.752,2.18210e-14,1.58514e-15
192.890,1.84734e-14,1.58838e-15
193.027,1.24902e-14,1.36219e-15
193.164,1.45792e-14,1.44239e-15
193.301,1.42870e-14,1.81276e-15
193.439,1.24542e-14,1.35035e-15
193.576,1.33188e-14,1.49380e-15
193.713,1.44891e-14,1.40852e-15
193.850,2.37757e-14,1.51483e-15
193.988,2.45049e-14,1.50384e-15
194.125,2.71019e-14,1.59239e-15
194.262,3.19242e-14,1.73163e-15
194.400,2.74112e-14,1.53866e-15
194.537,2.75433e-14,1.52457e-15
194.674,3.04257e-14,1.61472e-15
194.811,2.79638e-14,1.53677e-15
194.949,2.92897e-14,1.52553e-15
195.086,2.91824e-14,1.53323e-15
195.223,2.51936e-14,1.46526e-15
195.361,2.76829e-14,1.50437e-15
195.498,2.86479e-14,1.57466e-15
195.635,3.08380e-14,1.49890e-15
195.772,2.88027e-14,1.52018e-15
195.910,2.84149e-14,1.49029e-15
196.047,2.56886e-14,1.47797e-15
196.184,2.40106e-14,1.37756e-15
196.322,2.42740e-14,1.41070e-15
196.459,2.57522e-14,1.39175e-15
196.596,3.35396e-14,1.53138e-15
196.733,2.78398e-14,1.46338e-15
196.871,2.90589e-14,1.53232e-15
197.008,2.67380e-14,1.40417e-15
197.145,2.88362e-14,1.44338e-15
197.283,2.83784e-14,1.39588e-15
197.420,2.80012e-14,1.43231e-15
197.557,2.74181e-14,1.37332e-15
197.695,2.92310e-14,1.40655e-15
197.832,2.88142e-14,1.37903e-15
197.969,2.77509e-14,1.40803e-15
198.106,3.03498e-14,1.41169e-15
198.244,2.97080e-14,1.38162e-15
198.381,2.66212e-14,1.32400e-15
198.518,2.57476e-14,1.30626e-15
198.656,2.59336e-14,1.29409e-15
198.793,2.53610e-14,1.27994e-15
198.930,2.48097e-14,1.28313e-15
199.068,2.49573e-14,1.28900e-15
199.205,2.57948e-14,1.41970e-15
199.342,2.14374e-14,1.22218e-15
199.480,2.33484e-14,1.23453e-15
199.617,2.23492e-14,1.31424e-15
199.754,2.58307e-14,1.26536e-15
199.891,2.35204e-14,1.22336e-15
