wave,flux,fluxerr
170.928,-7.55727e-15,5.89659e-15
171.065,-1.68968e-14,6.43006e-15
171.202,-1.60007e-14,5.71890e-15
171.339,-1.22469e-14,5.49660e-15
171.476,-5.83008e-15,5.48993e-15
171.613,-1.85667e-15,5.49214e-15
171.750,-1.51504e-14,5.24763e-15
171.887,-6.67547e-15,5.30294e-15
172.024,-1.06696e-14,7.28873e-15
172.161,-1.24363e-14,5.02877e-15
172.298,2.12304e-15,5.18731e-15
172.435,-5.04253e-15,5.13873e-15
172.572,-9.59868e-15,6.87386e-15
172.709,-5.36457e-15,4.88334e-15
172.846,-5.37193e-15,4.78217e-15
172.983,1.05342e-15,4.92167e-15
173.120,-9.20821e-15,4.62517e-15
173.257,-6.85466e-15,4.56929e-15
173.394,-3.21065e-15,5.29676e-15
173.531,-4.00962e-15,4.56131e-15
173.668,1.24052e-15,4.84399e-15
173.805,6.81552e-14,4.45250e-15
173.942,-1.25126e-14,4.27906e-15
174.079,-5.32624e-15,4.54885e-15
174.216,-6.97287e-15,4.43863e-15
174.353,-4.71842e-15,4.18195e-15
174.490,-3.56808e-15,4.16383e-15
174.627,-1.74362e-15,4.16224e-15
174.764,-8.87261e-15,4.14461e-15
174.901,1.17735e-15,4.36486e-15
175.038,-2.87963e-15,4.14221e-15
175.175,2.99619e-15,4.15534e-15
175.312,-8.76200e-15,3.85169e-15
175.449,-3.83764e-15,3.85576e-15
175.586,-1.90929e-15,3.93516e-15
175.723,-2.63287e-15,4.15243e-15
175.860,-5.40362e-15,3.75894e-15
175.997,1.06067e-15,3.74811e-15
176.134,-9.96672e-15,5.16406e-15
176.271,-4.33997e-15,3.66000e-15
176.408,1.87467e-15,3.74441e-15
176.545,-8.99454e-15,3.78623e-15
176.682,3.45555e-16,3.56514e-15
176.819,7.90972e-15,3.69704e-15
176.956,1.53563e-15,3.60676e-15
177.093,-2.71755e-16,3.48358e-15
177.230,1.17776e-15,3.67942e-15
177.367,9.98325e-16,3.39024e-15
177.504,1.23953e-14,6.46860e-15
177.641,4.55112e-15,3.44754e-15
177.778,-9.00461e-16,3.32083e-15
177.915,7.71154e-16,3.27851e-15
178.052,-6.37668e-15,3.15255e-15
178.189,-6.08301e-15,3.25115e-15
178.327,3.38565e-15,3.28614e-15
178.464,1.66687e-15,3.47730e-15
178.601,-1.86595e-15,4.34461e-15
178.738,1.09432e-14,4.68496e-15
178.875,1.89626e-15,4.84257e-15
179.012,-7.06901e-15,3.01564e-15
179.149,1.39997e-15,3.02695e-15
179.286,-4.16162e-15,2.91507e-15
179.423,-1.09887e-15,3.11494e-15
179.560,3.04664e-15,3.00059e-15
179.697,-6.94906e-17,4.11680e-15
179.834,1.20687e-15,3.01833e-15
179.971,1.75622e-15,2.87333e-15
180.108,-1.21479e-15,2.85467e-15
180.245,1.67691e-15,2.90768e-15
180.382,3.84994e-16,2.78485e-15
180.519,3.61491e-15,2.80990e-15
180.656,2.17431e-15,2.84155e-15
180.793,4.86965e-15,2.74736e-15
180.931,6.42824e-16,2.70434e-15
181.068,1.96124e-15,2.74247e-15
181.205,-1.96516e-15,2.61849e-15
181.342,1.06583e-15,2.62836e-15
181.479,4.52436e-16,2.61832e-15
181.616,-1.76922e-15,2.52745e-15
181.753,6.09593e-16,3.00913e-15
181.890,3.45802e-15,2.59716e-15
182.027,-3.03236e-15,2.51061e-15
182.164,1.05063e-15,2.53861e-15
182.301,2.29345e-15,2.50249e-15
182.438,-2.02719e-15,2.46241e-15
182.575,5.83774e-16,2.44368e-15
182.712,2.21153e-15,2.44861e-15
182.850,-3.43093e-16,2.38149e-15
182.986,3.79942e-15,2.53564e-15
183.124,-8.10887e-15,3.27528e-15
183.261,-4.51610e-16,2.34563e-15
183.398,3.27135e-15,2.36679e-15
183.535,2.26653e-15,2.34052e-15
183.672,1.54151e-18,2.60513e-15
183.809,-1.29478e-15,2.60705e-15
183.946,-1.64090e-15,2.20664e-15
184.083,-2.12211e-15,2.29611e-15
184.220,-2.82088e-15,2.25908e-15
184.357,-1.36940e-15,2.22955e-15
184.494,3.14206e-16,2.21879e-15
184.632,1.99123e-15,2.19779e-15
184.769,6.87616e-16,2.16011e-15
184.906,6.20701e-15,2.20244e-15
185.043,-8.06336e-16,2.19218e-15
185.180,-4.01321e-16,2.21866e-15
185.317,6.66327e-15,2.30150e-15
185.454,4.71679e-16,2.19881e-15
185.591,4.63724e-15,2.14027e-15
185.728,3.26228e-15,2.09357e-15
185.866,-1.35946e-16,2.05977e-15
186.003,2.06973e-15,2.09860e-15
186.140,1.82981e-15,2.10137e-15
186.277,3.20450e-15,2.28099e-15
186.414,5.53343e-15,2.07018e-15
186.551,-4.41813e-16,1.96774e-15
186.688,4.54119e-15,2.02715e-15
186.825,7.47429e-16,1.95282e-15
186.962,3.35130e-15,1.99548e-15
187.099,2.49238e-15,2.01333e-15
187.236,3.64023e-15,2.27223e-15
187.374,2.80364e-15,1.96027e-15
187.511,2.90945e-15,1.92614e-15
187.648,4.29248e-15,2.00350e-15
187.785,3.37375e-15,1.95032e-15
187.922,3.75328e-15,2.05610e-15
188.059,3.57770e-15,2.65562e-15
188.196,1.73456e-15,1.95744e-15
188.333,4.43577e-15,1.92879e-15
188.471,1.49384e-15,1.80839e-15
188.608,3.76906e-15,1.82535e-15
188.745,2.91830e-15,1.81490e-15
188.882,2.67562e-15,1.77234e-15
189.019,2.02773e-15,1.76472e-15
189.156,7.26972e-15,2.80525e-15
189.293,-2.19003e-15,1.66204e-15
189.431,2.91876e-15,1.74253e-15
189.568,6.14817e-17,2.42391e-15
189.705,2.95811e-15,1.73478e-15
189.842,3.19603e-15,1.71389e-15
