wave,flux,fluxerr
171.076,-1.64966e-14,6.38653e-15
171.213,1.20782e-14,7.54054e-15
171.350,-7.60757e-15,6.23462e-15
171.487,-9.59513e-15,5.94937e-15
171.624,2.76774e-14,5.90257e-15
171.762,-7.20482e-15,5.91606e-15
171.899,-8.24500e-15,5.69991e-15
172.036,-4.91596e-15,5.71631e-15
172.173,-6.67996e-14,7.84925e-15
172.310,-6.96586e-14,5.57419e-15
172.447,-4.11571e-16,5.55703e-15
172.584,-1.65849e-14,5.40687e-15
172.721,-1.00824e-14,7.31009e-15
172.858,-4.99900e-14,5.28796e-15
172.995,-1.76519e-14,5.15189e-15
173.132,-1.16532e-14,5.25738e-15
173.270,-1.45909e-15,5.45841e-15
173.407,-1.24179e-14,5.15830e-15
173.544,-5.76871e-15,5.68483e-15
173.681,-8.36293e-15,4.99842e-15
173.818,-1.00761e-14,5.03876e-15
173.955,-7.77210e-15,4.66484e-15
174.092,2.37744e-14,4.78820e-15
174.229,-7.29141e-15,4.87211e-15
174.367,-1.46134e-14,4.88549e-15
174.504,-9.10617e-15,4.50731e-15
174.641,-1.47883e-15,4.43366e-15
174.778,-8.30059e-15,4.51302e-15
174.915,-5.83874e-15,4.38716e-15
175.052,-2.99978e-17,4.39484e-15
175.189,2.05218e-16,4.50500e-15
175.326,-4.92001e-15,4.24370e-15
175.464,-9.34082e-15,4.33096e-15
175.601,2.22543e-15,4.59049e-15
175.738,-2.85194e-15,4.55728e-15
175.875,-2.86817e-15,4.67066e-15
176.012,-9.85238e-15,4.38218e-15
176.149,-6.00486e-15,3.97751e-15
176.286,-7.67642e-15,4.82607e-15
176.423,2.65063e-15,4.14654e-15
176.561,-4.72302e-15,3.93523e-15
176.698,-6.89046e-15,4.09282e-15
176.835,1.46940e-15,4.05315e-15
176.972,-1.07505e-14,3.84594e-15
177.109,-7.39780e-16,4.08288e-15
177.246,-3.15097e-15,4.02717e-15
177.384,-5.20263e-15,3.85196e-15
177.521,6.15352e-15,3.77336e-15
177.658,2.28023e-15,7.10886e-12
177.795,-2.71619e-16,3.65319e-15
177.932,-1.28900e-15,3.62599e-15
178.069,-5.24608e-16,3.60977e-15
178.206,-3.00932e-15,3.41499e-15
178.344,2.60880e-15,3.54253e-15
178.481,-1.11300e-14,3.42469e-15
178.618,-2.88681e-15,3.81289e-15
178.755,-4.51173e-15,5.04150e-15
178.892,2.74792e-15,5.30244e-15
179.029,-1.19424e-14,3.47047e-15
179.167,2.07856e-13,3.24260e-15
179.304,-3.81178e-16,3.23307e-15
179.441,-3.16953e-15,3.30264e-15
179.578,1.07195e-16,3.34470e-15
179.715,9.78265e-16,3.19149e-15
179.852,-8.50629e-15,4.33259e-15
179.990,1.45203e-15,3.13548e-15
180.127,-4.45227e-15,3.32163e-15
180.264,-2.63823e-15,4.20869e-15
180.401,-1.34500e-15,3.27930e-15
180.538,-1.00694e-15,3.03632e-15
180.676,-1.28529e-15,2.94355e-15
180.813,2.84508e-14,2.89636e-15
180.950,-4.47463e-15,2.83868e-15
181.087,-4.73923e-15,2.84919e-15
181.224,-3.01559e-14,2.86950e-15
181.361,-3.73352e-15,2.88776e-15
181.499,-1.35177e-15,2.77898e-15
181.636,5.49349e-16,2.84397e-15
181.773,-7.36113e-16,2.75364e-15
181.910,7.98949e-16,3.23007e-15
182.047,-4.10874e-15,2.65945e-15
182.184,-1.11768e-14,2.61564e-15
182.322,-3.53023e-15,2.67917e-15
182.459,3.27832e-16,2.64820e-15
182.596,-3.91000e-15,2.68188e-15
182.733,-3.30093e-15,2.50879e-15
182.870,-3.96264e-15,2.56291e-15
183.008,-3.33652e-15,2.47712e-15
183.145,-4.32470e-15,2.64732e-15
183.282,-8.98863e-15,2.72255e-15
183.419,3.23027e-15,2.64978e-15
183.556,4.69435e-15,2.41823e-15
183.694,-1.62312e-15,2.46440e-15
183.831,-1.83110e-15,2.76504e-15
183.968,1.38203e-15,2.77105e-15
184.105,-1.49361e-15,2.39168e-15
184.243,-2.71440e-15,2.40904e-15
184.380,-2.58233e-15,2.39234e-15
184.517,-5.81719e-15,2.35255e-15
184.654,-2.05133e-15,2.33416e-15
184.791,-4.30308e-15,2.22240e-15
184.929,-9.61031e-16,2.30820e-15
185.066,-3.91958e-15,2.28500e-15
185.203,-2.71641e-15,2.36172e-15
185.340,-3.81411e-15,2.26740e-15
185.477,1.26145e-15,2.54801e-15
185.615,-4.17692e-15,2.35295e-15
185.752,-4.31083e-15,2.15093e-15
185.889,-1.65333e-15,2.17274e-15
186.026,-3.34689e-15,2.16747e-15
186.163,1.27106e-16,2.19757e-15
186.301,2.59776e-16,2.18776e-15
186.438,-1.32393e-15,2.34297e-15
186.575,-2.47639e-15,2.11170e-15
186.712,1.36419e-15,2.13790e-15
186.850,-6.83119e-15,2.05573e-15
186.987,1.15311e-15,2.09387e-15
187.124,2.65562e-16,2.09716e-15
187.261,1.41035e-16,2.10659e-15
187.399,-4.08999e-15,2.19181e-15
187.536,-3.02538e-15,2.01087e-15
187.673,-2.02439e-15,1.98569e-15
187.810,1.04982e-15,2.05380e-15
187.947,-2.41416e-16,1.98733e-15
188.085,1.13188e-16,2.07110e-15
188.222,-3.22625e-15,1.98438e-15
188.359,-1.27363e-15,2.04846e-15
188.496,-7.78936e-16,1.93049e-15
188.634,-3.71660e-15,1.88438e-15
188.771,-6.54794e-15,1.91743e-15
188.908,3.25304e-16,1.97369e-15
189.045,-9.41346e-16,1.89100e-15
189.183,-1.37087e-15,1.85918e-15
189.320,1.54275e-15,2.26145e-15
