wave,flux,fluxerr
300.00000,5.0258008e-16,6.2758208e-19
300.10000,5.0197681e-16,6.2758208e-19
300.20000,5.0137611e-16,6.2758208e-19
300.30000,5.0077836e-16,6.2758208e-19
300.40000,5.0018378e-16,6.2758208e-19
300.50000,4.9959239e-16,6.2758208e-19
300.60000,4.9900405e-16,6.2758208e-19
300.70000,4.9841840e-16,6.2758208e-19
300.80000,4.9783503e-16,6.2758208e-19
300.90000,4.9725343e-16,6.2758208e-19
301.00000,4.9667316e-16,6.2758208e-19
301.10000,4.9609380e-16,6.2758208e-19
301.20000,4.9551504e-16,6.2758208e-19
301.30000,4.9493665e-16,6.2758208e-19
301.40000,4.9435846e-16,6.2758208e-19
301.50000,4.9378040e-16,6.2758208e-19
301.60000,4.9320239e-16,6.2758208e-19
301.70000,4.9262440e-16,6.2758208e-19
301.80000,4.9204643e-16,6.2758208e-19
301.90000,4.9146847e-16,6.2758208e-19
302.00000,4.9089051e-16,6.2758208e-19
302.10000,4.9031255e-16,6.2758208e-19
302.20000,4.8973458e-16,6.2758208e-19
302.30000,4.8915662e-16,6.2758208e-19
302.40000,4.8857866e-16,6.2758208e-19
302.50000,4.8800070e-16,6.2758208e-19
302.60000,4.8742274e-16,6.2758208e-19
302.70000,4.8684478e-16,6.2758208e-19
302.80000,4.8626682e-16,6.2758208e-19
302.90000,4.8568886e-16,6.2758208e-19
303.00000,4.8511090e-16,6.2758208e-19
303.10000,4.8453293e-16,6.2758208e-19
303.20000,4.8395497e-16,6.2758208e-19
303.30000,4.8337701e-16,6.2758208e-19
303.40000,4.8279905e-16,6.2758208e-19
303.50000,4.8222109e-16,6.2758208e-19
303.60000,4.8164313e-16,6.2758208e-19
303.70000,4.8106518e-16,6.2758208e-19
303.80000,4.8048723e-16,6.2758208e-19
303.90000,4.7990930e-16,6.2758208e-19
304.00000,4.7933142e-16,6.2758208e-19
304.10000,4.7875364e-16,6.2758208e-19
304.20000,4.7817602e-16,6.2758208e-19
304.30000,4.7759873e-16,6.2758208e-19
304.40000,4.7702198e-16,6.2758208e-19
304.50000,4.7644610e-16,6.2758208e-19
304.60000,4.7587150e-16,6.2758208e-19
304.70000,4.7529872e-16,6.2758208e-19
304.80000,4.7472834e-16,6.2758208e-19
304.90000,4.7416092e-16,6.2758208e-19
305.00000,4.7359697e-16,6.2758208e-19
305.10000,4.7303682e-16,6.2758208e-19
305.20000,4.7248057e-16,6.2758208e-19
305.30000,4.7192808e-16,6.2758208e-19
305.40000,4.7137903e-16,6.2758208e-19
305.50000,4.7083289e-16,6.2758208e-19
305.60000,4.7028909e-16,6.2758208e-19
305.70000,4.6974706e-16,6.2758208e-19
305.80000,4.6920627e-16,6.2758208e-19
305.90000,4.6866631e-16,6.2758208e-19
306.00000,4.6812686e-16,6.2758208e-19
306.10000,4.6758772e-16,6.2758208e-19
306.20000,4.6704875e-16,6.2758208e-19
306.30000,4.6650986e-16,6.2758208e-19
306.40000,4.6597102e-16,6.2758208e-19
306.50000,4.6543219e-16,6.2758208e-19
306.60000,4.6489337e-16,6.2758208e-19
306.70000,4.6435456e-16,6.2758208e-19
306.80000,4.6381574e-16,6.2758208e-19
306.90000,4.6327693e-16,6.2758208e-19
307.00000,4.6273812e-16,6.2758208e-19
307.10000,4.6219930e-16,6.2758208e-19
307.20000,4.6166049e-16,6.2758208e-19
307.30000,4.6112168e-16,6.2758208e-19
307.40000,4.6058287e-16,6.2758208e-19
307.50000,4.6004405e-16,6.2758208e-19
307.60000,4.5950524e-16,6.2758208e-19
307.70000,4.5896643e-16,6.2758208e-19
307.80000,4.5842762e-16,6.2758208e-19
307.90000,4.5788880e-16,6.2758208e-19
308.00000,4.5734999e-16,6.2758208e-19
308.10000,4.5681118e-16,6.2758208e-19
308.20000,4.5627237e-16,6.2758208e-19
308.30000,4.5573355e-16,6.2758208e-19
308.40000,4.5519475e-16,6.2758208e-19
308.50000,4.5465594e-16,6.2758208e-19
308.60000,4.5411715e-16,6.2758208e-19
308.70000,4.5357840e-16,6.2758208e-19
308.80000,4.5303971e-16,6.2758208e-19
308.90000,4.5250115e-16,6.2758208e-19
309.00000,4.5196283e-16,6.2758208e-19
309.10000,4.5142492e-16,6.2758208e-19
309.20000,4.5088768e-16,6.2758208e-19
309.30000,4.5035145e-16,6.2758208e-19
309.40000,4.4981668e-16,6.2758208e-19
309.50000,4.4928387e-16,6.2758208e-19
309.60000,4.4875352e-16,6.2758208e-19
309.70000,4.4822611e-16,6.2758208e-19
309.80000,4.4770196e-16,6.2758208e-19
309.90000,4.4718123e-16,6.2758208e-19
310.00000,4.4666387e-16,6.2758208e-19
310.10000,4.4614963e-16,6.2758208e-19
310.20000,4.4563809e-16,6.2758208e-19
310.30000,4.4512877e-16,6.2758208e-19
310.40000,4.4462114e-16,6.2758208e-19
310.50000,4.4411473e-16,6.2758208e-19
310.60000,4.4360914e-16,6.2758208e-19
310.70000,4.4310409e-16,6.2758208e-19
310.80000,4.4259935e-16,6.2758208e-19
310.90000,4.4209478e-16,6.2758208e-19
311.00000,4.4159031e-16,6.2758208e-19
311.10000,4.4108588e-16,6.2758208e-19
311.20000,4.4058148e-16,6.2758208e-19
311.30000,4.4007708e-16,6.2758208e-19
311.40000,4.3957269e-16,6.2758208e-19
311.50000,4.3906830e-16,6.2758208e-19
311.60000,4.3856392e-16,6.2758208e-19
311.70000,4.3805953e-16,6.2758208e-19
311.80000,4.3755514e-16,6.2758208e-19
311.90000,4.3705075e-16,6.2758208e-19
312.00000,4.3654636e-16,6.2758208e-19
312.10000,4.3604197e-16,6.2758208e-19
312.20000,4.3553758e-16,6.2758208e-19
312.30000,4.3503320e-16,6.2758208e-19
312.40000,4.3452881e-16,6.2758208e-19
312.50000,4.3402442e-16,6.2758208e-19
312.60000,4.3352003e-16,6.2758208e-19
312.70000,4.3301564e-16,6.2758208e-19
312.80000,4.3251126e-16,6.2758208e-19
312.90000,4.3200688e-16,6.2758208e-19
313.00000,4.3150251e-16,6.2758208e-19
313.10000,4.3099816e-16,6.2758208e-19
313.20000,4.3049387e-16,6.2758208e-19
313.30000,4.2998966e-16,6.2758208e-19
313.40000,4.2948561e-16,6.2758208e-19
313.50000,4.2898183e-16,6.2758208e-19
313.60000,4.2847848e-16,6.2758208e-19
313.70000,4.2797575e-16,6.2758208e-19
313.80000,4.2747391e-16,6.2758208e-19
313.90000,4.2697321e-16,6.2758208e-19
314.00000,4.2647395e-16,6.2758208e-19
314.10000,4.2597636e-16,6.2758208e-19
314.20000,4.2548063e-16,6.2758208e-19
314.30000,4.2498685e-16,6.2758208e-19
314.40000,4.2449503e-16,6.2758208e-19
314.50000,4.2400507e-16,6.2758208e-19
314.60000,4.2351683e-16,6.2758208e-19
314.70000,4.2303013e-16,6.2758208e-19
314.80000,4.2254478e-16,6.2758208e-19
314.90000,4.2206059e-16,6.2758208e-19
315.00000,4.2157740e-16,6.2758208e-19
315.10000,4.2109511e-16,6.2758208e-19
315.20000,4.2061363e-16,6.2758208e-19
315.30000,4.2013291e-16,6.2758208e-19
315.40000,4.1965296e-16,6.2758208e-19
315.50000,4.1917378e-16,6.2758208e-19
315.60000,4.1869542e-16,6.2758208e-19
315.70000,4.1821789e-16,6.2758208e-19
315.80000,4.1774122e-16,6.2758208e-19
315.90000,4.1726538e-16,6.2758208e-19
316.00000,4.1679033e-16,6.2758208e-19
316.10000,4.1631596e-16,6.2758208e-19
316.20000,4.1584220e-16,6.2758208e-19
316.30000,4.1536894e-16,6.2758208e-19
316.40000,4.1489611e-16,6.2758208e-19
316.50000,4.1442368e-16,6.2758208e-19
316.60000,4.1395168e-16,6.2758208e-19
316.70000,4.1348020e-16,6.2758208e-19
316.80000,4.1300937e-16,6.2758208e-19
316.90000,4.1253939e-16,6.2758208e-19
317.00000,4.1207047e-16,6.2758208e-19
317.10000,4.1160280e-16,6.2758208e-19
317.20000,4.1113654e-16,6.2758208e-19
317.30000,4.1067176e-16,6.2758208e-19
317.40000,4.1020846e-16,6.2758208e-19
317.50000,4.0974653e-16,6.2758208e-19
317.60000,4.0928580e-16,6.2758208e-19
317.70000,4.0882606e-16,6.2758208e-19
317.80000,4.0836709e-16,6.2758208e-19
317.90000,4.0790868e-16,6.2758208e-19
318.00000,4.0745065e-16,6.2758208e-19
318.10000,4.0699286e-16,6.2758208e-19
318.20000,4.0653522e-16,6.2758208e-19
318.30000,4.0607766e-16,6.2758208e-19
318.40000,4.0562014e-16,6.2758208e-19
318.50000,4.0516265e-16,6.2758208e-19
318.60000,4.0470517e-16,6.2758208e-19
318.70000,4.0424769e-16,6.2758208e-19
318.80000,4.0379022e-16,6.2758208e-19
318.90000,4.0333275e-16,6.2758208e-19
319.00000,4.0287528e-16,6.2758208e-19
319.10000,4.0241783e-16,6.2758208e-19
319.20000,4.0196040e-16,6.2758208e-19
319.30000,4.0150302e-16,6.2758208e-19
319.40000,4.0104574e-16,6.2758208e-19
319.50000,4.0058864e-16,6.2758208e-19
319.60000,4.0013185e-16,6.2758208e-19
319.70000,3.9967555e-16,6.2758208e-19
319.80000,3.9922000e-16,6.2758208e-19
319.90000,3.9876550e-16,6.2758208e-19
320.00000,3.9831240e-16,6.2758208e-19
320.10000,3.9786106e-16,6.2758208e-19
320.20000,3.9741178e-16,6.2758208e-19
320.30000,3.9696476e-16,6.2758208e-19
320.40000,3.9652011e-16,6.2758208e-19
320.50000,3.9607774e-16,6.2758208e-19
320.60000,3.9563747e-16,6.2758208e-19
320.70000,3.9519900e-16,6.2758208e-19
320.80000,3.9476198e-16,6.2758208e-19
320.90000,3.9432607e-16,6.2758208e-19
321.00000,3.9389093e-16,6.2758208e-19
321.10000,3.9345633e-16,6.2758208e-19
321.20000,3.9302205e-16,6.2758208e-19
321.30000,3.9258797e-16,6.2758208e-19
321.40000,3.9215399e-16,6.2758208e-19
321.50000,3.9172007e-16,6.2758208e-19
321.60000,3.9128618e-16,6.2758208e-19
321.70000,3.9085230e-16,6.2758208e-19
321.80000,3.9041843e-16,6.2758208e-19
321.90000,3.8998456e-16,6.2758208e-19
322.00000,3.8955069e-16,6.2758208e-19
322.10000,3.8911682e-16,6.2758208e-19
322.20000,3.8868295e-16,6.2758208e-19
322.30000,3.8824908e-16,6.2758208e-19
322.40000,3.8781521e-16,6.2758208e-19
322.50000,3.8738134e-16,6.2758208e-19
322.60000,3.8694747e-16,6.2758208e-19
322.70000,3.8651361e-16,6.2758208e-19
322.80000,3.8607974e-16,6.2758208e-19
322.90000,3.8564587e-16,6.2758208e-19
323.00000,3.8521200e-16,6.2758208e-19
323.10000,3.8477813e-16,6.2758208e-19
323.20000,3.8434426e-16,6.2758208e-19
323.30000,3.8391039e-16,6.2758208e-19
323.40000,3.8347653e-16,6.2758208e-19
323.50000,3.8304267e-16,6.2758208e-19
323.60000,3.8260883e-16,6.2758208e-19
