wave,flux,fluxerr
320.10000,2.41789e-12,2.41789e-12
320.20000,2.41789e-12,2.41789e-12
320.30000,2.53117e-12,2.53117e-12
320.40000,2.65534e-12,2.65534e-12
320.50000,1.34716e-12,1.34716e-12
320.60000,9.23021e-13,9.23021e-13
320.70000,3.60621e-13,3.60621e-13
320.80000,7.07947e-13,7.07947e-13
320.90000,1.29781e-12,1.29781e-12
321.00000,1.45579e-12,1.45579e-12
321.10000,1.53415e-12,1.53415e-12
321.20000,2.32181e-13,2.32181e-13
321.30000,2.00067e-13,2.00067e-13
321.40000,2.37027e-13,2.37027e-13
321.50000,5.81509e-13,5.81509e-13
321.60000,8.49706e-13,8.49706e-13
321.70000,1.37061e-12,1.37061e-12
321.80000,1.45038e-12,1.45038e-12
321.90000,1.42397e-12,1.42397e-12
322.00000,1.41834e-12,1.41834e-12
322.10000,1.41162e-12,1.41162e-12
322.20000,1.87175e-12,1.87175e-12
322.30000,1.97867e-12,1.97867e-12
322.40000,1.18566e-12,1.18566e-12
322.50000,1.02650e-12,1.02650e-12
322.60000,7.30388e-13,7.30388e-13
322.70000,1.03615e-12,1.03615e-12
322.80000,1.20263e-12,1.20263e-12
322.90000,1.74698e-12,1.74698e-12
323.00000,1.63982e-12,1.63982e-12
323.10000,1.20830e-12,1.20830e-12
323.20000,7.12467e-13,7.12467e-13
323.30000,2.91816e-13,2.91816e-13
323.40000,1.64626e-12,1.64626e-12
323.50000,1.76637e-12,1.76637e-12
323.60000,8.84372e-13,8.84372e-13
323.70000,9.09766e-13,9.09766e-13
323.80000,9.42775e-13,9.42775e-13
323.90000,8.83058e-13,8.83058e-13
324.00000,8.61268e-13,8.61268e-13
324.10000,0.00000,0.00000
324.20000,1.34355e-12,1.34355e-12
324.30000,1.34355e-12,1.34355e-12
324.40000,1.45811e-12,1.45811e-12
324.50000,1.52642e-12,1.52642e-12
324.60000,1.38139e-12,1.38139e-12
324.70000,1.29851e-12,1.29851e-12
324.80000,1.04993e-12,1.04993e-12
324.90000,1.05828e-12,1.05828e-12
325.00000,1.06599e-12,1.06599e-12
325.10000,7.75826e-13,7.75826e-13
