wave,flux,fluxerr
320.10000,4.59269e-11,4.59269e-11
320.20000,4.62042e-11,4.62042e-11
320.30000,4.36276e-11,4.36276e-11
320.40000,4.08280e-11,4.08280e-11
320.50000,4.64517e-11,4.64517e-11
320.60000,4.87041e-11,4.87041e-11
320.70000,5.53254e-11,5.53254e-11
320.80000,5.27455e-11,5.27455e-11
320.90000,4.79180e-11,4.79180e-11
321.00000,4.70663e-11,4.70663e-11
321.10000,4.66095e-11,4.66095e-11
321.20000,5.20892e-11,5.20892e-11
321.30000,5.15416e-11,5.15416e-11
321.40000,4.78551e-11,4.78551e-11
321.50000,4.68198e-11,4.68198e-11
321.60000,4.55024e-11,4.55024e-11
321.70000,4.48571e-11,4.48571e-11
321.80000,4.46829e-11,4.46829e-11
321.90000,4.31277e-11,4.31277e-11
322.00000,4.52356e-11,4.52356e-11
322.10000,4.82553e-11,4.82553e-11
322.20000,4.87938e-11,4.87938e-11
322.30000,4.86763e-11,4.86763e-11
322.40000,4.91601e-11,4.91601e-11
322.50000,4.82695e-11,4.82695e-11
322.60000,4.66504e-11,4.66504e-11
322.70000,4.64528e-11,4.64528e-11
322.80000,4.58295e-11,4.58295e-11
322.90000,4.85875e-11,4.85875e-11
323.00000,4.82166e-11,4.82166e-11
323.10000,4.70173e-11,4.70173e-11
323.20000,4.66767e-11,4.66767e-11
323.30000,4.66707e-11,4.66707e-11
323.40000,4.90791e-11,4.90791e-11
323.50000,4.95164e-11,4.95164e-11
323.60000,5.20959e-11,5.20959e-11
323.70000,5.22248e-11,5.22248e-11
323.80000,5.23930e-11,5.23930e-11
323.90000,5.38802e-11,5.38802e-11
324.00000,5.41919e-11,5.41919e-11
324.10000,5.40601e-11,5.40601e-11
324.20000,5.33169e-11,5.33169e-11
324.30000,5.13315e-11,5.13315e-11
324.40000,5.58664e-11,5.58664e-11
324.50000,5.87259e-11,5.87259e-11
324.60000,6.14776e-11,6.14776e-11
324.70000,6.12543e-11,6.12543e-11
324.80000,5.97517e-11,5.97517e-11
324.90000,5.81068e-11,5.81068e-11
325.00000,5.66361e-11,5.66361e-11
325.10000,4.95680e-11,4.95680e-11
325.20000,4.75288e-11,4.75288e-11
325.30000,4.83791e-11,4.83791e-11
325.40000,4.82228e-11,4.82228e-11
325.50000,4.79758e-11,4.79758e-11
325.60000,4.95260e-11,4.95260e-11
325.70000,5.02110e-11,5.02110e-11
325.80000,5.48252e-11,5.48252e-11
325.90000,5.49649e-11,5.49649e-11
326.00000,5.45411e-11,5.45411e-11
326.10000,5.46692e-11,5.46692e-11
326.20000,5.46352e-11,5.46352e-11
326.30000,5.62595e-11,5.62595e-11
326.40000,5.67170e-11,5.67170e-11
326.50000,5.75743e-11,5.75743e-11
326.60000,5.81417e-11,5.81417e-11
326.70000,5.85969e-11,5.85969e-11
326.80000,5.87909e-11,5.87909e-11
326.90000,5.86161e-11,5.86161e-11
327.00000,5.73008e-11,5.73008e-11
327.10000,5.70053e-11,5.70053e-11
327.20000,5.62984e-11,5.62984e-11
327.30000,5.51658e-11,5.51658e-11
327.40000,5.44250e-11,5.44250e-11
327.50000,5.49162e-11,5.49162e-11
327.60000,5.53321e-11,5.53321e-11
327.70000,5.64240e-11,5.64240e-11
327.80000,5.48004e-11,5.48004e-11
327.90000,5.35848e-11,5.35848e-11
328.00000,4.87384e-11,4.87384e-11
328.10000,4.81070e-11,4.81070e-11
